,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,16670,30.0,1.0,21.0,1.0,5230.0,26.0,0.0,38.0,2.0,1.0,False
1,16671,20.0,1.0,18.0,2.0,5000.0,26.0,15.0,30.0,2.0,1.0,False
2,16672,35.0,1.0,21.0,2.0,1530.0,6.0,0.0,42.0,1.0,1.0,True
3,16673,49.0,1.0,15.0,1.0,6442.0,26.0,1.0,40.0,1.0,1.0,False
4,16674,82.0,1.0,16.0,2.0,9600.0,26.0,0.0,40.0,2.0,1.0,False
5,16675,25.0,1.0,16.0,1.0,7750.0,26.0,0.0,50.0,1.0,1.0,False
6,16676,43.0,1.0,21.0,1.0,1840.0,26.0,1.0,45.0,2.0,1.0,True
7,16677,35.0,1.0,16.0,1.0,7750.0,332.0,9.0,40.0,1.0,2.0,False
8,16678,64.0,1.0,19.0,1.0,7750.0,26.0,0.0,40.0,2.0,1.0,False
9,16679,20.0,1.0,19.0,2.0,4720.0,6.0,17.0,8.0,2.0,3.0,False
10,16680,57.0,1.0,16.0,2.0,4020.0,26.0,6.0,40.0,2.0,1.0,False
11,16681,63.0,3.0,22.0,1.0,2205.0,26.0,0.0,40.0,1.0,1.0,True
12,16682,28.0,1.0,18.0,1.0,9130.0,26.0,1.0,60.0,1.0,1.0,False
13,16683,58.0,1.0,19.0,1.0,5740.0,26.0,0.0,34.0,2.0,1.0,True
14,16684,26.0,1.0,18.0,1.0,5240.0,26.0,0.0,60.0,2.0,1.0,False
15,16685,42.0,4.0,16.0,2.0,4220.0,26.0,13.0,40.0,1.0,1.0,False
16,16686,57.0,1.0,21.0,1.0,10.0,25.0,1.0,60.0,1.0,1.0,True
17,16687,27.0,1.0,16.0,2.0,6050.0,26.0,0.0,80.0,1.0,1.0,False
18,16688,25.0,1.0,20.0,2.0,3640.0,26.0,2.0,40.0,2.0,1.0,False
19,16689,49.0,7.0,21.0,1.0,1007.0,17.0,1.0,52.0,1.0,1.0,True
20,16690,52.0,1.0,16.0,2.0,5740.0,26.0,0.0,38.0,2.0,1.0,False
21,16691,47.0,3.0,21.0,2.0,2004.0,26.0,2.0,40.0,1.0,2.0,True
22,16692,37.0,1.0,16.0,2.0,4700.0,26.0,13.0,20.0,2.0,1.0,False
23,16693,53.0,2.0,21.0,1.0,3030.0,26.0,0.0,40.0,2.0,1.0,True
24,16694,30.0,1.0,17.0,2.0,4020.0,12.0,15.0,40.0,1.0,1.0,True
25,16695,75.0,1.0,19.0,1.0,4700.0,26.0,0.0,36.0,1.0,1.0,False
26,16696,24.0,1.0,16.0,2.0,20.0,26.0,0.0,40.0,2.0,5.0,False
27,16697,21.0,5.0,18.0,2.0,5550.0,26.0,2.0,16.0,2.0,1.0,False
28,16698,46.0,1.0,18.0,1.0,910.0,26.0,1.0,50.0,2.0,1.0,True
29,16699,31.0,1.0,22.0,2.0,10.0,26.0,0.0,30.0,1.0,1.0,True
30,16700,25.0,1.0,21.0,2.0,5840.0,26.0,2.0,45.0,2.0,2.0,False
31,16701,19.0,1.0,18.0,2.0,7720.0,26.0,2.0,25.0,1.0,1.0,False
32,16702,37.0,3.0,16.0,2.0,8620.0,26.0,0.0,40.0,1.0,1.0,True
33,16703,60.0,1.0,19.0,1.0,7750.0,333.0,0.0,40.0,1.0,2.0,False
34,16704,43.0,1.0,20.0,1.0,4720.0,301.0,1.0,40.0,1.0,4.0,False
35,16705,55.0,1.0,19.0,2.0,5510.0,26.0,0.0,7.0,1.0,1.0,True
36,16706,23.0,1.0,19.0,1.0,2861.0,303.0,0.0,22.0,2.0,1.0,False
37,16707,20.0,1.0,19.0,2.0,5860.0,26.0,2.0,25.0,2.0,1.0,False
38,16708,40.0,1.0,16.0,1.0,9570.0,26.0,1.0,50.0,1.0,1.0,True
39,16709,26.0,1.0,20.0,1.0,3645.0,26.0,1.0,32.0,2.0,1.0,False
40,16710,59.0,6.0,15.0,1.0,4700.0,26.0,1.0,20.0,1.0,1.0,False
41,16711,18.0,1.0,16.0,2.0,4140.0,26.0,2.0,30.0,1.0,1.0,False
42,16712,21.0,1.0,19.0,2.0,1555.0,26.0,0.0,40.0,2.0,1.0,False
43,16713,60.0,2.0,19.0,1.0,5165.0,26.0,0.0,40.0,2.0,1.0,True
44,16714,45.0,3.0,19.0,2.0,7925.0,26.0,0.0,40.0,1.0,2.0,False
45,16715,49.0,1.0,16.0,1.0,5120.0,26.0,1.0,40.0,1.0,1.0,True
46,16716,42.0,1.0,14.0,2.0,8740.0,26.0,13.0,40.0,2.0,1.0,False
47,16717,33.0,3.0,21.0,2.0,20.0,26.0,0.0,50.0,1.0,1.0,True
48,16718,50.0,1.0,13.0,1.0,4220.0,26.0,1.0,40.0,2.0,1.0,False
49,16719,51.0,4.0,20.0,1.0,2300.0,26.0,1.0,36.0,2.0,1.0,False
50,16720,19.0,1.0,16.0,2.0,4030.0,26.0,7.0,20.0,1.0,1.0,False
51,16721,48.0,1.0,16.0,2.0,6260.0,26.0,0.0,37.0,1.0,1.0,False
52,16722,33.0,3.0,21.0,1.0,3740.0,39.0,0.0,56.0,1.0,1.0,True
53,16723,57.0,1.0,19.0,1.0,7750.0,26.0,1.0,60.0,2.0,1.0,True
54,16724,50.0,6.0,16.0,1.0,4950.0,26.0,1.0,10.0,2.0,1.0,False
55,16725,38.0,6.0,17.0,2.0,4500.0,26.0,2.0,34.0,1.0,2.0,False
56,16726,36.0,1.0,20.0,1.0,3620.0,26.0,0.0,40.0,2.0,1.0,True
57,16727,53.0,1.0,18.0,2.0,300.0,26.0,0.0,60.0,1.0,1.0,True
58,16728,60.0,1.0,19.0,1.0,230.0,47.0,0.0,40.0,1.0,2.0,True
59,16729,48.0,1.0,16.0,1.0,5000.0,26.0,1.0,40.0,2.0,5.0,False
60,16730,33.0,1.0,16.0,2.0,4200.0,26.0,0.0,50.0,1.0,1.0,False
61,16731,41.0,1.0,21.0,1.0,440.0,213.0,1.0,45.0,2.0,1.0,True
62,16732,23.0,2.0,21.0,2.0,725.0,25.0,2.0,40.0,2.0,1.0,False
63,16733,50.0,3.0,20.0,1.0,3402.0,26.0,0.0,80.0,1.0,4.0,True
64,16734,71.0,1.0,16.0,1.0,5610.0,26.0,0.0,25.0,1.0,1.0,False
65,16735,34.0,1.0,21.0,2.0,120.0,26.0,0.0,45.0,2.0,1.0,True
66,16736,17.0,1.0,14.0,2.0,6410.0,207.0,2.0,30.0,2.0,3.0,False
67,16737,60.0,7.0,16.0,1.0,9130.0,26.0,0.0,40.0,1.0,1.0,True
68,16738,57.0,1.0,12.0,2.0,4720.0,213.0,0.0,25.0,2.0,1.0,False
69,16739,63.0,1.0,19.0,2.0,5110.0,26.0,12.0,40.0,2.0,1.0,False
