,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,10331,55.0,6.0,24.0,1.0,3270.0,27.0,1.0,60.0,2.0,1.0,False,14108
1,10332,41.0,4.0,22.0,2.0,230.0,38.0,0.0,50.0,2.0,1.0,True,4761
2,10333,54.0,1.0,19.0,1.0,120.0,17.0,1.0,50.0,2.0,1.0,True,10912
3,10334,36.0,3.0,22.0,1.0,2310.0,27.0,0.0,40.0,1.0,1.0,True,20248
4,10335,60.0,6.0,16.0,2.0,4350.0,27.0,0.0,20.0,2.0,1.0,False,12353
5,10336,29.0,4.0,22.0,1.0,2002.0,27.0,0.0,40.0,2.0,1.0,True,17048
6,10337,56.0,6.0,21.0,1.0,10.0,27.0,0.0,60.0,1.0,1.0,True,1816
7,10338,41.0,2.0,22.0,1.0,2014.0,38.0,0.0,3.0,2.0,1.0,False,14718
8,10339,56.0,2.0,20.0,1.0,420.0,27.0,0.0,45.0,2.0,1.0,True,19731
9,10340,70.0,1.0,20.0,1.0,7200.0,27.0,1.0,40.0,1.0,1.0,False,2339
10,10341,51.0,1.0,17.0,1.0,9620.0,27.0,1.0,40.0,1.0,1.0,False,26508
11,10342,38.0,1.0,12.0,2.0,7150.0,27.0,0.0,40.0,1.0,1.0,False,16034
12,10343,56.0,4.0,20.0,2.0,3802.0,27.0,2.0,42.0,1.0,1.0,False,28663
13,10344,69.0,3.0,21.0,1.0,2310.0,12.0,1.0,5.0,2.0,1.0,False,4894
14,10345,47.0,1.0,20.0,1.0,7750.0,27.0,0.0,40.0,1.0,1.0,True,3821
15,10346,29.0,1.0,17.0,1.0,4230.0,27.0,1.0,20.0,2.0,1.0,False,26620
16,10347,51.0,1.0,21.0,1.0,7700.0,46.0,0.0,50.0,1.0,1.0,True,17741
17,10348,61.0,1.0,16.0,2.0,8990.0,27.0,0.0,40.0,1.0,1.0,False,26008
18,10349,18.0,1.0,16.0,2.0,4720.0,429.0,2.0,24.0,1.0,2.0,False,5939
19,10350,58.0,1.0,16.0,2.0,4720.0,27.0,13.0,30.0,2.0,1.0,False,25430
20,10351,44.0,7.0,18.0,1.0,6200.0,27.0,1.0,50.0,1.0,1.0,True,30525
21,10352,19.0,1.0,19.0,2.0,5160.0,27.0,2.0,30.0,2.0,5.0,False,9126
22,10353,38.0,1.0,20.0,1.0,3255.0,27.0,1.0,30.0,2.0,1.0,False,1850
23,10354,32.0,1.0,16.0,1.0,1050.0,27.0,0.0,40.0,2.0,1.0,True,15730
24,10355,54.0,1.0,21.0,1.0,4930.0,27.0,1.0,50.0,1.0,1.0,True,23181
25,10356,63.0,2.0,16.0,1.0,4251.0,27.0,1.0,40.0,1.0,1.0,False,15801
26,10357,65.0,3.0,22.0,1.0,2310.0,27.0,1.0,30.0,1.0,1.0,True,15015
27,10358,22.0,2.0,21.0,2.0,420.0,55.0,12.0,40.0,2.0,1.0,False,5268
28,10359,40.0,1.0,18.0,1.0,5940.0,27.0,0.0,50.0,2.0,1.0,False,16797
29,10360,36.0,1.0,19.0,2.0,4700.0,27.0,0.0,40.0,2.0,1.0,False,23993
30,10361,18.0,1.0,14.0,2.0,9620.0,27.0,2.0,8.0,1.0,1.0,False,6268
31,10362,40.0,3.0,20.0,1.0,3500.0,27.0,0.0,48.0,2.0,1.0,False,11588
32,10363,20.0,1.0,19.0,2.0,4760.0,27.0,15.0,25.0,1.0,1.0,False,10237
33,10364,57.0,1.0,19.0,2.0,5120.0,27.0,0.0,40.0,2.0,1.0,False,29702
34,10365,28.0,1.0,21.0,1.0,5630.0,27.0,0.0,40.0,1.0,1.0,False,23493
35,10366,36.0,1.0,22.0,2.0,735.0,207.0,0.0,40.0,2.0,3.0,True,6764
36,10367,44.0,1.0,22.0,1.0,710.0,39.0,0.0,45.0,1.0,1.0,True,24572
37,10368,59.0,2.0,16.0,1.0,4000.0,27.0,0.0,40.0,2.0,1.0,False,16287
38,10369,60.0,2.0,19.0,2.0,3649.0,17.0,0.0,42.0,2.0,1.0,False,21037
39,10370,52.0,4.0,19.0,1.0,6050.0,27.0,1.0,40.0,1.0,1.0,False,3675
40,10371,66.0,1.0,16.0,1.0,5610.0,27.0,0.0,16.0,2.0,1.0,False,27293
41,10372,61.0,1.0,20.0,2.0,8740.0,27.0,0.0,20.0,1.0,1.0,False,16368
42,10373,56.0,1.0,19.0,1.0,4850.0,27.0,1.0,50.0,1.0,1.0,True,21772
43,10374,58.0,2.0,16.0,2.0,4020.0,27.0,0.0,40.0,1.0,1.0,False,25850
44,10375,44.0,7.0,19.0,1.0,7810.0,27.0,1.0,54.0,1.0,1.0,False,25419
45,10376,52.0,7.0,21.0,1.0,850.0,27.0,0.0,78.0,1.0,1.0,True,25016
46,10377,56.0,2.0,22.0,1.0,2040.0,27.0,0.0,52.0,1.0,1.0,False,19913
47,10378,34.0,3.0,18.0,1.0,2014.0,27.0,1.0,30.0,2.0,1.0,False,27354
48,10379,24.0,5.0,16.0,1.0,700.0,329.0,0.0,40.0,1.0,1.0,False,29927
49,10380,36.0,1.0,16.0,1.0,335.0,27.0,1.0,40.0,2.0,1.0,False,18901
50,10381,18.0,1.0,16.0,2.0,4020.0,27.0,2.0,35.0,1.0,1.0,False,27510
51,10382,66.0,8.0,21.0,1.0,8990.0,27.0,0.0,60.0,1.0,1.0,False,14003
52,10383,18.0,1.0,19.0,2.0,4220.0,27.0,17.0,8.0,1.0,1.0,False,419
53,10384,71.0,6.0,16.0,1.0,9130.0,27.0,0.0,45.0,1.0,1.0,True,3030
54,10385,28.0,1.0,20.0,1.0,3500.0,6.0,0.0,40.0,2.0,1.0,False,16518
55,10386,74.0,6.0,15.0,1.0,4220.0,38.0,0.0,30.0,1.0,1.0,False,17934
56,10387,71.0,1.0,20.0,2.0,5400.0,38.0,0.0,16.0,2.0,1.0,True,4197
57,10388,51.0,4.0,24.0,2.0,2205.0,210.0,0.0,50.0,1.0,3.0,True,27148
58,10389,46.0,1.0,16.0,1.0,6442.0,55.0,1.0,40.0,1.0,1.0,True,25240
59,10390,33.0,1.0,20.0,1.0,3640.0,27.0,0.0,40.0,2.0,1.0,True,14369
60,10391,36.0,3.0,16.0,2.0,7000.0,27.0,13.0,40.0,1.0,1.0,True,11436
61,10392,57.0,7.0,23.0,1.0,3000.0,38.0,0.0,45.0,1.0,1.0,True,21687
62,10393,66.0,1.0,19.0,1.0,1021.0,36.0,0.0,80.0,1.0,1.0,True,23577
63,10394,72.0,2.0,19.0,1.0,2752.0,17.0,0.0,10.0,1.0,2.0,False,26941
64,10395,56.0,1.0,21.0,1.0,205.0,27.0,0.0,50.0,1.0,1.0,False,27636
65,10396,33.0,1.0,20.0,1.0,7200.0,55.0,0.0,45.0,1.0,1.0,False,17454
66,10397,65.0,1.0,21.0,1.0,8030.0,38.0,1.0,20.0,1.0,1.0,False,24729
67,10398,49.0,2.0,18.0,2.0,3602.0,27.0,0.0,40.0,2.0,1.0,False,10922
68,10399,37.0,6.0,16.0,1.0,9130.0,27.0,1.0,60.0,1.0,1.0,True,7758
69,10400,61.0,3.0,19.0,1.0,4030.0,27.0,1.0,40.0,2.0,1.0,False,13349
70,10401,60.0,1.0,22.0,1.0,2014.0,27.0,1.0,25.0,2.0,1.0,False,10547
71,10402,49.0,1.0,22.0,1.0,2100.0,6.0,0.0,50.0,1.0,1.0,True,19751
72,10403,38.0,2.0,20.0,1.0,3255.0,27.0,0.0,36.0,2.0,1.0,True,30081
73,10404,57.0,1.0,16.0,1.0,4030.0,27.0,0.0,8.0,2.0,1.0,False,8893
74,10405,40.0,1.0,19.0,2.0,7750.0,27.0,0.0,45.0,1.0,1.0,False,22675
75,10406,62.0,3.0,20.0,1.0,5860.0,27.0,1.0,20.0,2.0,1.0,False,28130
76,10407,73.0,1.0,16.0,1.0,6050.0,27.0,0.0,20.0,1.0,1.0,True,8537
77,10408,36.0,1.0,21.0,1.0,540.0,4.0,1.0,40.0,1.0,1.0,True,3784
78,10409,35.0,1.0,20.0,1.0,710.0,27.0,1.0,40.0,2.0,1.0,True,11230
79,10410,42.0,1.0,16.0,1.0,8990.0,27.0,0.0,40.0,2.0,1.0,False,24146
80,10411,18.0,4.0,18.0,2.0,1555.0,27.0,17.0,10.0,1.0,1.0,False,369
81,10412,23.0,1.0,19.0,2.0,3602.0,27.0,2.0,35.0,2.0,1.0,False,11995
82,10413,54.0,7.0,18.0,2.0,136.0,27.0,0.0,55.0,1.0,1.0,True,2310
83,10414,58.0,3.0,20.0,1.0,5810.0,27.0,1.0,26.0,2.0,1.0,False,6930
84,10415,21.0,1.0,19.0,2.0,5860.0,27.0,2.0,40.0,2.0,1.0,False,17724
85,10416,36.0,7.0,21.0,1.0,4850.0,27.0,1.0,50.0,1.0,1.0,True,22008
86,10417,49.0,1.0,21.0,1.0,2634.0,55.0,1.0,40.0,1.0,1.0,False,3163
87,10418,59.0,1.0,17.0,1.0,4020.0,27.0,0.0,12.0,2.0,1.0,False,17766
88,10419,50.0,5.0,24.0,1.0,3245.0,29.0,0.0,20.0,1.0,1.0,True,15541
89,10420,38.0,1.0,19.0,1.0,7315.0,27.0,1.0,40.0,1.0,1.0,True,3449
90,10421,39.0,1.0,16.0,1.0,150.0,301.0,0.0,56.0,1.0,1.0,True,2137
91,10422,23.0,1.0,21.0,2.0,5330.0,27.0,2.0,40.0,1.0,1.0,False,4773
92,10423,34.0,2.0,16.0,2.0,3300.0,55.0,4.0,40.0,2.0,1.0,True,18697
93,10424,30.0,2.0,22.0,2.0,1010.0,27.0,13.0,40.0,1.0,1.0,False,28246
94,10425,29.0,1.0,17.0,2.0,6240.0,27.0,13.0,30.0,1.0,1.0,False,10416
95,10426,23.0,1.0,21.0,2.0,51.0,38.0,0.0,40.0,2.0,1.0,False,12661
96,10427,49.0,2.0,22.0,1.0,230.0,38.0,1.0,50.0,1.0,1.0,True,26744
97,10428,35.0,3.0,21.0,1.0,3255.0,38.0,0.0,40.0,2.0,1.0,False,18337
98,10429,37.0,1.0,16.0,1.0,4700.0,55.0,1.0,40.0,2.0,1.0,False,27697
99,10430,28.0,1.0,19.0,2.0,4750.0,27.0,2.0,40.0,1.0,1.0,False,7904
100,10431,33.0,4.0,20.0,1.0,5240.0,27.0,1.0,30.0,2.0,1.0,False,4130
101,10432,23.0,1.0,19.0,2.0,3940.0,27.0,2.0,40.0,1.0,1.0,False,27283
102,10433,47.0,1.0,21.0,1.0,5240.0,19.0,1.0,20.0,2.0,1.0,False,3264
103,10434,57.0,6.0,16.0,1.0,205.0,27.0,0.0,60.0,1.0,1.0,True,5451
104,10435,63.0,1.0,21.0,1.0,1350.0,27.0,0.0,55.0,1.0,1.0,True,2307
105,10436,62.0,1.0,13.0,1.0,6520.0,27.0,1.0,40.0,1.0,1.0,False,3736
106,10437,30.0,3.0,21.0,1.0,2310.0,38.0,0.0,16.0,2.0,1.0,False,15805
107,10438,30.0,2.0,20.0,1.0,2002.0,27.0,1.0,40.0,2.0,1.0,False,3621
108,10439,21.0,1.0,16.0,2.0,5860.0,27.0,12.0,15.0,2.0,1.0,False,24382
109,10440,52.0,1.0,16.0,1.0,9130.0,27.0,1.0,40.0,1.0,1.0,False,2280
110,10441,64.0,1.0,17.0,1.0,8140.0,27.0,0.0,45.0,1.0,1.0,True,10285
111,10442,52.0,1.0,18.0,1.0,6200.0,21.0,0.0,42.0,1.0,1.0,False,5635
112,10443,42.0,1.0,20.0,1.0,3110.0,27.0,1.0,35.0,2.0,1.0,False,23397
113,10444,24.0,1.0,20.0,2.0,3603.0,27.0,2.0,16.0,2.0,1.0,False,28963
114,10445,67.0,7.0,16.0,1.0,4920.0,27.0,1.0,25.0,2.0,1.0,False,8754
115,10446,25.0,1.0,21.0,1.0,8465.0,27.0,1.0,40.0,1.0,1.0,False,4874
116,10447,32.0,2.0,21.0,2.0,4600.0,27.0,13.0,30.0,2.0,1.0,False,2304
117,10448,47.0,6.0,23.0,1.0,3000.0,27.0,1.0,50.0,1.0,1.0,False,28376
118,10449,31.0,6.0,20.0,2.0,4810.0,212.0,0.0,60.0,2.0,1.0,False,2511
119,10450,58.0,1.0,11.0,2.0,9130.0,27.0,10.0,40.0,1.0,1.0,False,11192
120,10451,56.0,5.0,16.0,1.0,5550.0,27.0,0.0,45.0,2.0,1.0,True,5571
121,10452,40.0,1.0,21.0,1.0,1021.0,27.0,0.0,42.0,1.0,1.0,True,23039
122,10453,55.0,2.0,21.0,1.0,10.0,27.0,1.0,60.0,2.0,1.0,True,9337
123,10454,70.0,2.0,21.0,1.0,3602.0,27.0,1.0,3.0,1.0,1.0,False,30068
124,10455,40.0,1.0,20.0,2.0,1108.0,27.0,2.0,45.0,1.0,1.0,False,6561
125,10456,37.0,2.0,14.0,2.0,4220.0,303.0,17.0,30.0,2.0,5.0,False,883
126,10457,28.0,4.0,22.0,1.0,3110.0,6.0,0.0,50.0,2.0,1.0,True,2796
127,10458,38.0,1.0,22.0,2.0,4760.0,245.0,0.0,40.0,1.0,3.0,False,11160
128,10459,60.0,1.0,19.0,2.0,9130.0,27.0,0.0,40.0,1.0,1.0,True,13722
129,10460,59.0,1.0,17.0,1.0,8990.0,27.0,1.0,40.0,1.0,1.0,False,7673
130,10461,24.0,1.0,20.0,2.0,3603.0,26.0,2.0,24.0,2.0,1.0,False,26820
131,10462,34.0,1.0,21.0,1.0,3030.0,27.0,0.0,40.0,2.0,1.0,True,25757
132,10463,51.0,2.0,19.0,1.0,4120.0,27.0,0.0,35.0,2.0,1.0,True,23775
133,10464,57.0,4.0,18.0,1.0,5740.0,27.0,0.0,40.0,2.0,1.0,False,3693
134,10465,59.0,1.0,20.0,2.0,8990.0,27.0,10.0,50.0,1.0,1.0,False,23853
135,10466,72.0,2.0,21.0,1.0,420.0,27.0,1.0,12.0,2.0,1.0,False,13886
136,10467,19.0,1.0,19.0,2.0,4760.0,27.0,4.0,15.0,1.0,1.0,False,14260
137,10468,19.0,1.0,19.0,2.0,4251.0,27.0,2.0,50.0,1.0,1.0,False,2096
138,10469,35.0,1.0,21.0,1.0,1305.0,38.0,1.0,40.0,1.0,1.0,True,29448
139,10470,65.0,6.0,19.0,1.0,205.0,27.0,1.0,50.0,1.0,1.0,True,6478
140,10471,33.0,1.0,20.0,1.0,1545.0,4.0,0.0,31.0,1.0,1.0,True,29605
141,10472,54.0,3.0,20.0,1.0,5240.0,27.0,0.0,30.0,2.0,1.0,False,26889
142,10473,42.0,1.0,16.0,2.0,5000.0,27.0,0.0,42.0,2.0,1.0,True,14816
143,10474,61.0,2.0,21.0,1.0,2016.0,27.0,1.0,40.0,2.0,1.0,False,25651
144,10475,53.0,1.0,19.0,1.0,6660.0,27.0,0.0,45.0,1.0,1.0,True,25057
145,10476,48.0,1.0,22.0,1.0,120.0,27.0,0.0,50.0,2.0,1.0,True,10833
146,10477,40.0,1.0,21.0,2.0,800.0,27.0,2.0,40.0,1.0,1.0,False,9823
147,10478,64.0,1.0,15.0,1.0,4230.0,27.0,1.0,40.0,2.0,1.0,False,9350
148,10479,18.0,3.0,16.0,2.0,4600.0,27.0,2.0,15.0,2.0,1.0,False,12114
149,10480,30.0,1.0,18.0,1.0,20.0,27.0,1.0,50.0,1.0,1.0,True,14959
150,10481,56.0,1.0,21.0,1.0,630.0,27.0,1.0,45.0,2.0,1.0,True,8698
151,10482,23.0,1.0,21.0,2.0,51.0,27.0,12.0,40.0,2.0,1.0,False,29129
152,10483,60.0,3.0,16.0,1.0,4220.0,55.0,0.0,40.0,1.0,1.0,False,12003
153,10484,64.0,1.0,19.0,1.0,4810.0,27.0,0.0,80.0,1.0,1.0,True,4746
154,10485,46.0,3.0,21.0,1.0,2011.0,27.0,1.0,37.0,2.0,1.0,False,9586
155,10486,28.0,1.0,21.0,1.0,2640.0,27.0,1.0,55.0,2.0,1.0,True,7231
156,10487,53.0,4.0,22.0,1.0,2310.0,55.0,0.0,40.0,2.0,1.0,True,9373
157,10488,70.0,1.0,22.0,2.0,5740.0,38.0,0.0,20.0,2.0,1.0,True,29851
158,10489,28.0,1.0,21.0,1.0,5240.0,27.0,1.0,45.0,2.0,1.0,True,23196
159,10490,26.0,3.0,20.0,2.0,5240.0,27.0,13.0,40.0,2.0,1.0,False,15759
160,10491,51.0,1.0,21.0,1.0,4600.0,301.0,1.0,40.0,2.0,4.0,False,26707
161,10492,38.0,1.0,19.0,1.0,7010.0,27.0,0.0,45.0,1.0,1.0,True,14997
162,10493,23.0,1.0,21.0,2.0,51.0,27.0,0.0,40.0,2.0,1.0,False,27895
163,10494,64.0,6.0,16.0,1.0,6230.0,27.0,0.0,2.0,1.0,1.0,False,29997
164,10495,54.0,1.0,15.0,2.0,4720.0,27.0,15.0,20.0,2.0,1.0,False,26107
165,10496,36.0,1.0,16.0,1.0,6230.0,27.0,1.0,40.0,1.0,1.0,False,4660
166,10497,39.0,1.0,1.0,1.0,3601.0,448.0,0.0,35.0,2.0,2.0,False,22671
167,10498,54.0,1.0,22.0,1.0,440.0,110.0,0.0,50.0,1.0,1.0,True,8479
168,10499,37.0,2.0,22.0,1.0,2040.0,27.0,1.0,40.0,1.0,1.0,False,26975
169,10500,44.0,1.0,20.0,1.0,8256.0,27.0,0.0,40.0,1.0,1.0,True,11813
170,10501,24.0,1.0,19.0,1.0,9005.0,27.0,2.0,29.0,1.0,1.0,False,8826
171,10502,47.0,5.0,20.0,1.0,9410.0,27.0,0.0,50.0,1.0,1.0,True,15492
172,10503,41.0,1.0,21.0,1.0,1530.0,29.0,0.0,40.0,1.0,1.0,True,30695
173,10504,38.0,1.0,23.0,1.0,2100.0,38.0,1.0,40.0,2.0,1.0,True,16333
174,10505,55.0,1.0,19.0,2.0,5630.0,12.0,0.0,50.0,2.0,1.0,True,19860
175,10506,53.0,3.0,19.0,1.0,2011.0,27.0,0.0,40.0,2.0,1.0,True,14371
176,10507,48.0,1.0,7.0,2.0,8800.0,303.0,0.0,40.0,1.0,5.0,False,6663
177,10508,26.0,1.0,12.0,2.0,8990.0,12.0,13.0,40.0,1.0,1.0,False,7718
178,10509,34.0,1.0,20.0,1.0,5000.0,27.0,0.0,40.0,2.0,1.0,True,28964
179,10510,67.0,1.0,16.0,2.0,9130.0,27.0,0.0,50.0,1.0,1.0,True,13926
180,10511,56.0,1.0,22.0,1.0,300.0,26.0,6.0,50.0,1.0,1.0,True,22477
181,10512,65.0,2.0,20.0,1.0,3515.0,27.0,0.0,40.0,2.0,1.0,False,4339
182,10513,62.0,1.0,16.0,2.0,4220.0,27.0,0.0,40.0,1.0,1.0,False,11800
183,10514,37.0,2.0,20.0,1.0,3255.0,27.0,1.0,24.0,2.0,1.0,False,15584
184,10515,28.0,1.0,16.0,2.0,4220.0,215.0,0.0,20.0,1.0,4.0,False,4544
185,10516,37.0,4.0,22.0,2.0,2310.0,27.0,0.0,45.0,2.0,1.0,True,21982
186,10517,27.0,3.0,16.0,1.0,2014.0,27.0,0.0,40.0,2.0,4.0,False,25596
187,10518,40.0,6.0,21.0,1.0,4621.0,27.0,1.0,15.0,2.0,1.0,False,17621
188,10519,54.0,2.0,19.0,1.0,5260.0,27.0,1.0,35.0,2.0,1.0,False,11986
189,10520,66.0,7.0,19.0,2.0,20.0,27.0,0.0,10.0,1.0,1.0,False,3890
190,10521,46.0,3.0,22.0,2.0,2310.0,27.0,0.0,45.0,2.0,1.0,True,16529
191,10522,65.0,5.0,23.0,1.0,3090.0,27.0,1.0,40.0,1.0,1.0,True,4820
192,10523,54.0,1.0,21.0,1.0,2310.0,27.0,1.0,40.0,2.0,1.0,True,23799
193,10524,22.0,1.0,19.0,2.0,4330.0,27.0,7.0,75.0,2.0,1.0,False,15048
194,10525,39.0,2.0,18.0,2.0,3930.0,27.0,0.0,40.0,2.0,1.0,False,19124
195,10526,45.0,3.0,21.0,1.0,3255.0,55.0,1.0,25.0,2.0,1.0,False,28893
196,10527,30.0,1.0,22.0,1.0,845.0,46.0,0.0,70.0,1.0,1.0,True,11197
197,10528,55.0,7.0,24.0,1.0,3000.0,46.0,0.0,50.0,1.0,1.0,True,28424
198,10529,40.0,1.0,22.0,1.0,136.0,27.0,1.0,50.0,2.0,1.0,True,4015
199,10530,27.0,1.0,21.0,1.0,800.0,27.0,0.0,50.0,1.0,1.0,True,21137
200,10531,27.0,1.0,19.0,2.0,7200.0,27.0,13.0,40.0,1.0,1.0,False,5371
201,10532,81.0,1.0,17.0,1.0,4220.0,27.0,0.0,16.0,1.0,1.0,False,1641
202,10533,54.0,1.0,20.0,1.0,9121.0,27.0,0.0,25.0,1.0,1.0,False,11428
203,10534,62.0,1.0,21.0,1.0,800.0,27.0,1.0,14.0,2.0,1.0,False,16775
204,10535,50.0,1.0,19.0,1.0,5740.0,27.0,0.0,18.0,2.0,1.0,False,27484
205,10536,74.0,7.0,24.0,1.0,710.0,31.0,0.0,2.0,1.0,1.0,True,3010
206,10537,45.0,3.0,21.0,2.0,4710.0,27.0,0.0,40.0,2.0,1.0,False,16802
207,10538,45.0,1.0,19.0,1.0,4850.0,27.0,0.0,45.0,1.0,1.0,True,5246
208,10539,38.0,6.0,21.0,1.0,4710.0,27.0,1.0,45.0,1.0,1.0,False,9887
209,10540,61.0,1.0,22.0,1.0,2001.0,39.0,1.0,44.0,1.0,1.0,False,6494
210,10541,61.0,1.0,16.0,1.0,2545.0,27.0,1.0,30.0,2.0,1.0,False,8980
211,10542,36.0,1.0,18.0,1.0,136.0,6.0,1.0,50.0,1.0,1.0,True,13527
212,10543,82.0,7.0,22.0,1.0,2040.0,55.0,0.0,30.0,1.0,1.0,False,11086
213,10544,71.0,7.0,21.0,1.0,3050.0,27.0,1.0,70.0,1.0,1.0,True,30248
214,10545,76.0,6.0,16.0,1.0,9130.0,26.0,1.0,3.0,1.0,1.0,False,15168
215,10546,66.0,1.0,16.0,1.0,5400.0,27.0,0.0,25.0,2.0,1.0,False,29899
216,10547,22.0,1.0,21.0,2.0,3655.0,27.0,0.0,28.0,1.0,1.0,False,15494
217,10548,32.0,1.0,20.0,1.0,5820.0,27.0,1.0,40.0,2.0,1.0,False,21671
218,10549,49.0,3.0,20.0,1.0,4020.0,27.0,1.0,35.0,2.0,1.0,False,15798
219,10550,71.0,2.0,15.0,2.0,4760.0,27.0,17.0,3.0,2.0,1.0,False,233
220,10551,52.0,1.0,19.0,1.0,8130.0,27.0,1.0,43.0,1.0,1.0,True,20127
221,10552,29.0,3.0,16.0,2.0,4220.0,27.0,2.0,24.0,1.0,1.0,False,30130
222,10553,58.0,1.0,20.0,1.0,7220.0,27.0,0.0,55.0,1.0,1.0,True,18667
223,10554,47.0,1.0,19.0,2.0,110.0,27.0,0.0,40.0,1.0,1.0,True,12312
224,10555,38.0,4.0,21.0,1.0,2310.0,27.0,1.0,40.0,2.0,1.0,True,27068
225,10556,39.0,2.0,22.0,1.0,3258.0,27.0,1.0,40.0,1.0,1.0,True,5180
226,10557,39.0,1.0,21.0,1.0,5740.0,27.0,1.0,25.0,2.0,1.0,False,3123
227,10558,44.0,7.0,24.0,1.0,2006.0,315.0,0.0,20.0,2.0,1.0,False,11546
228,10559,20.0,1.0,16.0,2.0,2740.0,38.0,12.0,20.0,2.0,1.0,False,24775
229,10560,35.0,1.0,21.0,1.0,800.0,27.0,0.0,40.0,1.0,1.0,True,9722
230,10561,55.0,1.0,19.0,1.0,5120.0,27.0,1.0,40.0,2.0,1.0,False,19056
231,10562,56.0,1.0,19.0,1.0,10.0,27.0,0.0,60.0,1.0,1.0,True,4505
232,10563,63.0,1.0,18.0,1.0,4220.0,365.0,0.0,42.0,1.0,5.0,False,7106
233,10564,32.0,1.0,21.0,1.0,52.0,27.0,0.0,40.0,1.0,1.0,True,18922
234,10565,35.0,6.0,19.0,1.0,7700.0,27.0,1.0,40.0,1.0,1.0,True,11299
235,10566,50.0,2.0,20.0,1.0,1006.0,27.0,0.0,40.0,2.0,1.0,True,11966
236,10567,54.0,4.0,16.0,1.0,4020.0,53.0,1.0,40.0,2.0,1.0,False,27266
237,10568,44.0,6.0,16.0,1.0,205.0,27.0,0.0,60.0,1.0,1.0,True,23990
238,10569,56.0,1.0,17.0,1.0,3603.0,27.0,0.0,36.0,2.0,1.0,False,15788
239,10570,42.0,2.0,20.0,2.0,350.0,27.0,0.0,65.0,2.0,1.0,False,19363
240,10571,60.0,3.0,18.0,2.0,9141.0,56.0,0.0,45.0,1.0,1.0,False,2785
241,10572,45.0,1.0,20.0,1.0,6200.0,27.0,1.0,80.0,1.0,1.0,True,22161
242,10573,42.0,6.0,16.0,1.0,205.0,27.0,0.0,60.0,1.0,1.0,False,11567
243,10574,20.0,1.0,16.0,2.0,6050.0,6.0,2.0,50.0,1.0,1.0,False,5901
244,10575,31.0,6.0,19.0,2.0,6200.0,27.0,0.0,50.0,1.0,1.0,True,22550
245,10576,55.0,3.0,19.0,1.0,5860.0,46.0,1.0,25.0,2.0,1.0,False,27109
246,10577,19.0,1.0,16.0,2.0,9645.0,27.0,4.0,20.0,1.0,1.0,False,27730
