,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,21110,71.0,2.0,22.0,2.0,2320.0,29.0,0.0,40.0,2.0,1.0,True
1,21111,52.0,1.0,17.0,2.0,4020.0,29.0,13.0,30.0,2.0,1.0,False
2,21112,63.0,1.0,20.0,1.0,8255.0,29.0,0.0,40.0,1.0,1.0,False
3,21113,66.0,1.0,16.0,1.0,9645.0,29.0,0.0,30.0,1.0,1.0,False
4,21114,58.0,1.0,16.0,1.0,1460.0,29.0,1.0,40.0,1.0,1.0,True
5,21115,24.0,1.0,21.0,2.0,3255.0,29.0,0.0,40.0,2.0,1.0,False
6,21116,36.0,1.0,16.0,1.0,6355.0,29.0,1.0,30.0,1.0,1.0,True
7,21117,26.0,2.0,21.0,1.0,5820.0,45.0,0.0,50.0,1.0,1.0,False
8,21118,24.0,1.0,21.0,1.0,4920.0,40.0,1.0,40.0,2.0,1.0,False
9,21119,60.0,1.0,21.0,1.0,6260.0,29.0,1.0,40.0,1.0,1.0,False
10,21120,43.0,6.0,21.0,1.0,2360.0,22.0,1.0,24.0,2.0,1.0,False
11,21121,34.0,1.0,16.0,2.0,3602.0,29.0,2.0,24.0,2.0,1.0,False
12,21122,45.0,4.0,17.0,2.0,530.0,29.0,5.0,40.0,1.0,1.0,True
13,21123,18.0,1.0,19.0,2.0,5240.0,29.0,13.0,30.0,1.0,1.0,False
14,21124,28.0,4.0,21.0,2.0,5000.0,29.0,13.0,40.0,2.0,1.0,False
15,21125,47.0,1.0,22.0,2.0,110.0,51.0,0.0,40.0,1.0,1.0,True
16,21126,22.0,1.0,20.0,2.0,8920.0,29.0,2.0,40.0,1.0,1.0,False
17,21127,72.0,4.0,18.0,1.0,5860.0,21.0,1.0,13.0,2.0,1.0,False
18,21128,72.0,4.0,16.0,2.0,4230.0,29.0,0.0,24.0,2.0,1.0,False
19,21129,31.0,2.0,21.0,1.0,2014.0,27.0,0.0,40.0,2.0,1.0,False
20,21130,61.0,1.0,18.0,1.0,5240.0,20.0,0.0,40.0,2.0,1.0,True
21,21131,33.0,1.0,15.0,2.0,4510.0,203.0,0.0,40.0,2.0,3.0,False
22,21132,19.0,1.0,16.0,2.0,4110.0,29.0,17.0,20.0,2.0,1.0,False
23,21133,73.0,6.0,14.0,1.0,4710.0,29.0,0.0,40.0,1.0,1.0,False
24,21134,65.0,6.0,16.0,1.0,4710.0,29.0,1.0,40.0,1.0,1.0,False
25,21135,65.0,6.0,19.0,1.0,750.0,34.0,1.0,2.0,2.0,1.0,False
26,21136,41.0,1.0,16.0,2.0,7315.0,29.0,13.0,55.0,1.0,1.0,True
