,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,45.0,1.0,19.0,2.0,3601.0,48.0,0.0,40.0,2.0,5.0,False,9977
1,1,17.0,1.0,14.0,2.0,4020.0,28.0,2.0,20.0,1.0,1.0,False,1927
2,2,23.0,1.0,16.0,1.0,310.0,210.0,2.0,35.0,1.0,3.0,False,10710
3,3,59.0,6.0,16.0,2.0,6230.0,28.0,0.0,35.0,1.0,2.0,False,6837
4,4,35.0,1.0,20.0,1.0,4720.0,47.0,1.0,40.0,2.0,2.0,False,5523
5,5,55.0,6.0,20.0,1.0,6260.0,28.0,0.0,40.0,1.0,1.0,False,6311
6,6,59.0,1.0,16.0,2.0,9645.0,28.0,0.0,40.0,1.0,2.0,False,7858
7,7,32.0,4.0,21.0,2.0,3550.0,48.0,0.0,40.0,2.0,1.0,True,2964
8,8,18.0,1.0,15.0,2.0,4030.0,28.0,4.0,15.0,1.0,2.0,False,6544
9,9,48.0,1.0,21.0,1.0,5000.0,15.0,0.0,38.0,2.0,5.0,False,1219
10,10,17.0,1.0,14.0,2.0,4760.0,28.0,2.0,25.0,2.0,1.0,False,8214
11,11,18.0,1.0,14.0,2.0,3960.0,28.0,2.0,20.0,1.0,1.0,False,11592
12,12,65.0,1.0,21.0,1.0,5000.0,28.0,0.0,40.0,2.0,2.0,False,811
13,13,46.0,1.0,18.0,1.0,5600.0,28.0,1.0,40.0,1.0,1.0,True,8738
14,14,32.0,6.0,18.0,1.0,9130.0,28.0,0.0,40.0,1.0,1.0,True,3900
15,15,43.0,1.0,16.0,2.0,3602.0,28.0,0.0,40.0,2.0,2.0,False,13185
16,16,47.0,6.0,21.0,2.0,6410.0,28.0,2.0,30.0,1.0,1.0,False,11763
17,17,26.0,6.0,17.0,1.0,7200.0,28.0,1.0,40.0,1.0,1.0,False,895
18,18,47.0,1.0,16.0,1.0,220.0,28.0,0.0,50.0,1.0,1.0,True,12163
19,19,60.0,1.0,22.0,1.0,2830.0,28.0,0.0,40.0,2.0,1.0,True,6379
20,20,62.0,1.0,19.0,2.0,4720.0,28.0,0.0,42.0,1.0,1.0,False,6066
21,21,28.0,1.0,19.0,2.0,5400.0,28.0,0.0,40.0,2.0,1.0,False,3828
22,22,46.0,1.0,16.0,2.0,4720.0,28.0,2.0,40.0,2.0,2.0,False,904
23,23,55.0,4.0,22.0,1.0,1220.0,28.0,1.0,40.0,1.0,1.0,True,5116
24,24,56.0,7.0,20.0,1.0,2910.0,28.0,0.0,50.0,1.0,1.0,True,10494
25,25,45.0,1.0,21.0,1.0,4720.0,47.0,1.0,60.0,2.0,4.0,False,6440
26,26,40.0,1.0,16.0,2.0,4020.0,28.0,0.0,6.0,2.0,2.0,False,7219
27,27,37.0,4.0,18.0,1.0,3750.0,28.0,1.0,40.0,1.0,1.0,False,4748
28,28,50.0,1.0,20.0,1.0,7200.0,39.0,1.0,40.0,1.0,1.0,False,7429
29,29,47.0,6.0,17.0,1.0,9130.0,28.0,0.0,40.0,1.0,1.0,True,8267
30,30,47.0,1.0,16.0,1.0,4720.0,47.0,1.0,40.0,2.0,1.0,False,11343
31,31,54.0,1.0,21.0,1.0,310.0,28.0,1.0,40.0,1.0,1.0,True,8119
32,32,36.0,1.0,23.0,2.0,2100.0,28.0,0.0,50.0,2.0,1.0,True,8647
33,33,30.0,1.0,22.0,1.0,800.0,47.0,0.0,50.0,1.0,1.0,True,1779
34,34,19.0,5.0,16.0,2.0,7220.0,42.0,17.0,20.0,1.0,1.0,False,310
35,35,46.0,1.0,14.0,1.0,8990.0,28.0,1.0,40.0,1.0,1.0,False,8555
36,36,36.0,1.0,16.0,2.0,4020.0,28.0,0.0,36.0,1.0,2.0,False,798
37,37,29.0,1.0,19.0,1.0,8740.0,28.0,0.0,40.0,1.0,1.0,False,10358
38,38,69.0,1.0,16.0,1.0,4700.0,28.0,0.0,38.0,2.0,1.0,False,9717
39,39,68.0,6.0,19.0,1.0,205.0,28.0,0.0,84.0,1.0,1.0,True,11649
40,40,57.0,4.0,24.0,1.0,2310.0,28.0,0.0,50.0,2.0,1.0,True,2416
41,41,24.0,1.0,16.0,1.0,8990.0,1.0,1.0,65.0,1.0,2.0,False,3016
42,42,34.0,1.0,21.0,2.0,1822.0,28.0,0.0,40.0,2.0,2.0,False,8540
43,43,71.0,4.0,21.0,1.0,2545.0,28.0,0.0,40.0,2.0,2.0,False,3516
44,44,17.0,1.0,16.0,2.0,4110.0,28.0,2.0,20.0,2.0,1.0,False,12243
45,45,45.0,1.0,20.0,1.0,800.0,28.0,1.0,40.0,2.0,2.0,True,1085
46,46,34.0,1.0,22.0,1.0,3150.0,28.0,2.0,40.0,2.0,1.0,True,2939
47,47,28.0,1.0,21.0,2.0,5240.0,28.0,0.0,40.0,2.0,2.0,False,11671
48,48,35.0,1.0,21.0,2.0,5860.0,28.0,2.0,40.0,2.0,2.0,False,13153
49,49,62.0,2.0,19.0,2.0,420.0,215.0,3.0,55.0,2.0,3.0,False,5081
50,50,47.0,1.0,19.0,1.0,3300.0,28.0,0.0,80.0,2.0,1.0,True,5820
51,51,67.0,1.0,16.0,2.0,3930.0,301.0,0.0,40.0,2.0,1.0,False,12290
52,52,53.0,1.0,17.0,1.0,440.0,28.0,1.0,40.0,1.0,1.0,True,3831
53,53,18.0,1.0,14.0,2.0,4720.0,28.0,2.0,8.0,1.0,2.0,False,1513
54,54,23.0,1.0,16.0,2.0,4760.0,28.0,2.0,40.0,2.0,1.0,False,11654
55,55,56.0,3.0,16.0,1.0,2545.0,28.0,1.0,40.0,2.0,1.0,False,996
56,56,50.0,1.0,21.0,2.0,4622.0,39.0,0.0,40.0,1.0,1.0,False,7944
57,57,46.0,6.0,19.0,2.0,9130.0,28.0,13.0,45.0,1.0,2.0,True,11612
58,58,20.0,1.0,19.0,2.0,4350.0,28.0,0.0,28.0,2.0,1.0,False,3980
59,59,62.0,7.0,13.0,1.0,9130.0,28.0,0.0,40.0,1.0,2.0,False,6509
60,60,42.0,1.0,14.0,1.0,6250.0,28.0,1.0,55.0,1.0,1.0,True,2595
61,61,61.0,1.0,20.0,1.0,9130.0,28.0,1.0,60.0,1.0,1.0,False,10524
62,62,21.0,1.0,19.0,2.0,4850.0,13.0,0.0,40.0,2.0,1.0,False,4854
63,63,47.0,4.0,12.0,2.0,4020.0,28.0,0.0,40.0,2.0,2.0,False,2180
64,64,58.0,1.0,21.0,1.0,230.0,28.0,0.0,40.0,1.0,2.0,True,4230
65,65,32.0,1.0,16.0,1.0,3640.0,44.0,0.0,38.0,2.0,1.0,False,12270
66,66,61.0,1.0,20.0,2.0,3645.0,1.0,0.0,40.0,2.0,1.0,False,1353
67,67,60.0,1.0,16.0,2.0,4760.0,28.0,2.0,40.0,2.0,1.0,True,4915
68,68,35.0,6.0,17.0,1.0,6230.0,28.0,1.0,8.0,1.0,1.0,False,7730
69,69,35.0,1.0,21.0,1.0,860.0,28.0,0.0,40.0,1.0,1.0,True,930
70,70,35.0,5.0,24.0,1.0,3050.0,12.0,1.0,40.0,1.0,2.0,True,4609
71,71,60.0,1.0,22.0,1.0,3258.0,26.0,0.0,35.0,1.0,1.0,True,9837
72,72,37.0,1.0,17.0,2.0,2004.0,28.0,0.0,40.0,1.0,1.0,False,10304
73,73,21.0,5.0,16.0,2.0,9825.0,233.0,17.0,40.0,2.0,3.0,False,28
74,74,31.0,1.0,21.0,1.0,4600.0,28.0,1.0,40.0,2.0,1.0,False,3760
75,75,36.0,2.0,22.0,1.0,5740.0,28.0,0.0,40.0,2.0,1.0,False,1090
76,76,42.0,1.0,14.0,1.0,9645.0,6.0,10.0,40.0,1.0,1.0,False,5157
77,77,29.0,1.0,20.0,2.0,4130.0,28.0,10.0,40.0,2.0,1.0,False,5008
78,78,69.0,7.0,19.0,1.0,4251.0,28.0,0.0,6.0,1.0,1.0,False,4693
79,79,62.0,1.0,18.0,2.0,9640.0,28.0,0.0,32.0,2.0,2.0,False,12680
80,80,27.0,1.0,14.0,2.0,6260.0,28.0,2.0,10.0,1.0,2.0,False,844
81,81,20.0,1.0,19.0,2.0,8950.0,48.0,17.0,20.0,2.0,1.0,False,407
82,82,36.0,1.0,19.0,2.0,8950.0,28.0,2.0,45.0,1.0,1.0,False,2159
83,83,31.0,1.0,20.0,1.0,8740.0,22.0,0.0,40.0,1.0,2.0,False,5479
84,84,71.0,4.0,17.0,2.0,230.0,47.0,0.0,40.0,2.0,1.0,False,773
85,85,17.0,1.0,15.0,2.0,9620.0,28.0,7.0,40.0,1.0,1.0,False,7310
86,86,20.0,1.0,18.0,2.0,5860.0,28.0,17.0,20.0,2.0,1.0,False,143
87,87,53.0,1.0,21.0,1.0,3645.0,364.0,0.0,40.0,1.0,5.0,False,3008
88,88,52.0,1.0,19.0,2.0,7040.0,72.0,15.0,40.0,1.0,5.0,False,1072
89,89,55.0,1.0,16.0,1.0,4760.0,28.0,1.0,40.0,1.0,2.0,False,12635
90,90,61.0,1.0,17.0,1.0,9130.0,5.0,0.0,40.0,1.0,1.0,False,11706
91,91,50.0,3.0,16.0,2.0,440.0,28.0,0.0,40.0,2.0,2.0,False,3812
92,92,71.0,2.0,16.0,1.0,5740.0,28.0,1.0,16.0,2.0,1.0,False,7335
93,93,47.0,1.0,19.0,1.0,6410.0,28.0,0.0,40.0,1.0,1.0,False,11078
94,94,68.0,1.0,20.0,1.0,3255.0,28.0,0.0,25.0,2.0,1.0,False,8754
95,95,22.0,1.0,21.0,1.0,3421.0,28.0,0.0,26.0,2.0,1.0,False,10436
96,96,71.0,1.0,18.0,2.0,5240.0,22.0,0.0,38.0,2.0,1.0,False,3774
97,97,53.0,1.0,20.0,1.0,5860.0,48.0,1.0,40.0,2.0,1.0,False,7597
98,98,37.0,1.0,19.0,2.0,6050.0,28.0,2.0,30.0,1.0,2.0,False,6119
99,99,59.0,4.0,16.0,1.0,2545.0,1.0,1.0,40.0,2.0,1.0,False,6211
100,100,48.0,1.0,16.0,1.0,8990.0,47.0,0.0,40.0,1.0,1.0,True,6010
101,101,41.0,1.0,18.0,2.0,7750.0,28.0,2.0,8.0,1.0,2.0,False,4992
102,102,23.0,1.0,21.0,2.0,3255.0,28.0,13.0,48.0,1.0,2.0,False,12113
103,103,28.0,1.0,18.0,1.0,3603.0,28.0,0.0,40.0,2.0,2.0,False,1294
104,104,67.0,1.0,19.0,2.0,5000.0,28.0,0.0,40.0,2.0,1.0,True,4668
105,105,60.0,1.0,20.0,1.0,9600.0,28.0,1.0,40.0,1.0,1.0,True,12227
106,106,46.0,7.0,21.0,1.0,4700.0,28.0,0.0,45.0,1.0,1.0,True,7291
107,107,49.0,1.0,20.0,1.0,3515.0,47.0,0.0,40.0,2.0,1.0,False,12900
108,108,31.0,1.0,16.0,2.0,6800.0,28.0,0.0,50.0,1.0,1.0,False,10170
109,109,54.0,7.0,16.0,1.0,4000.0,207.0,1.0,50.0,1.0,3.0,False,3653
110,110,65.0,1.0,20.0,1.0,1010.0,47.0,1.0,40.0,1.0,1.0,False,4720
111,111,39.0,1.0,18.0,2.0,9620.0,28.0,0.0,40.0,1.0,2.0,False,11929
112,112,35.0,1.0,17.0,1.0,9620.0,28.0,0.0,25.0,1.0,2.0,False,2888
113,113,50.0,1.0,19.0,1.0,4700.0,26.0,1.0,40.0,2.0,1.0,False,1184
