,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,44.0,2.0,21.0,2.0,440.0,30.0,17.0,10.0,1.0,1.0,False
1,1,38.0,1.0,19.0,1.0,6355.0,30.0,1.0,40.0,1.0,1.0,True
2,2,43.0,1.0,22.0,1.0,4850.0,30.0,0.0,40.0,1.0,1.0,True
3,3,59.0,1.0,19.0,1.0,850.0,30.0,0.0,42.0,1.0,1.0,True
4,4,52.0,2.0,21.0,1.0,2040.0,17.0,0.0,30.0,1.0,1.0,True
5,5,46.0,1.0,21.0,1.0,4700.0,30.0,0.0,39.0,2.0,1.0,True
6,6,22.0,1.0,16.0,2.0,6400.0,30.0,3.0,25.0,1.0,5.0,False
7,7,37.0,2.0,18.0,1.0,2300.0,30.0,1.0,25.0,2.0,1.0,False
8,8,19.0,1.0,18.0,2.0,3940.0,207.0,17.0,40.0,2.0,3.0,False
9,9,66.0,6.0,21.0,1.0,850.0,30.0,0.0,40.0,1.0,1.0,True
10,10,69.0,1.0,19.0,2.0,4510.0,6.0,0.0,18.0,2.0,5.0,False
11,11,63.0,3.0,16.0,1.0,4020.0,18.0,0.0,16.0,2.0,1.0,False
12,12,52.0,4.0,17.0,2.0,2145.0,53.0,16.0,35.0,1.0,1.0,False
13,13,40.0,1.0,18.0,1.0,136.0,38.0,0.0,40.0,1.0,1.0,True
14,14,61.0,3.0,23.0,1.0,3801.0,13.0,1.0,40.0,2.0,1.0,True
15,15,59.0,7.0,16.0,1.0,2360.0,30.0,1.0,1.0,2.0,1.0,False
16,16,26.0,6.0,21.0,2.0,2920.0,38.0,0.0,10.0,1.0,1.0,False
17,17,35.0,1.0,20.0,1.0,3255.0,30.0,0.0,40.0,2.0,1.0,False
18,18,43.0,1.0,23.0,1.0,2100.0,32.0,0.0,70.0,1.0,1.0,True
19,19,29.0,4.0,22.0,2.0,2205.0,240.0,12.0,19.0,1.0,3.0,False
20,20,46.0,3.0,20.0,1.0,5740.0,6.0,1.0,40.0,2.0,1.0,False
21,21,45.0,6.0,12.0,2.0,6230.0,53.0,0.0,35.0,1.0,1.0,False
22,22,55.0,1.0,21.0,1.0,2810.0,55.0,0.0,60.0,1.0,1.0,True
23,23,34.0,2.0,21.0,1.0,3255.0,30.0,0.0,36.0,2.0,1.0,True
24,24,46.0,1.0,18.0,1.0,9121.0,126.0,1.0,1.0,2.0,1.0,False
25,25,45.0,2.0,21.0,1.0,2310.0,16.0,0.0,25.0,2.0,1.0,False
26,26,51.0,2.0,22.0,1.0,2300.0,6.0,0.0,20.0,2.0,1.0,False
27,27,35.0,1.0,16.0,1.0,5300.0,30.0,2.0,16.0,2.0,1.0,False
28,28,65.0,7.0,22.0,2.0,2004.0,42.0,0.0,45.0,1.0,1.0,False
29,29,57.0,1.0,21.0,1.0,5120.0,38.0,0.0,40.0,2.0,1.0,True
30,30,41.0,1.0,9.0,2.0,4030.0,30.0,10.0,45.0,1.0,1.0,False
31,31,26.0,5.0,21.0,2.0,9800.0,53.0,0.0,85.0,1.0,1.0,True
32,32,59.0,3.0,20.0,2.0,5521.0,50.0,0.0,50.0,2.0,1.0,False
33,33,37.0,1.0,19.0,2.0,8140.0,30.0,0.0,40.0,1.0,4.0,False
34,34,30.0,1.0,16.0,1.0,9130.0,30.0,1.0,16.0,1.0,1.0,False
35,35,37.0,3.0,21.0,1.0,3870.0,30.0,1.0,45.0,1.0,1.0,True
36,36,61.0,5.0,21.0,1.0,440.0,53.0,0.0,45.0,1.0,1.0,True
37,37,55.0,1.0,18.0,2.0,4020.0,30.0,0.0,38.0,2.0,1.0,False
38,38,40.0,6.0,16.0,1.0,4510.0,30.0,1.0,40.0,2.0,1.0,False
39,39,64.0,7.0,23.0,1.0,800.0,30.0,1.0,50.0,2.0,1.0,True
40,40,28.0,1.0,20.0,2.0,9130.0,26.0,2.0,40.0,2.0,1.0,False
41,41,60.0,7.0,23.0,1.0,2100.0,27.0,1.0,40.0,1.0,1.0,True
42,42,62.0,7.0,21.0,2.0,5120.0,19.0,8.0,16.0,1.0,1.0,False
43,43,60.0,5.0,19.0,2.0,1900.0,30.0,0.0,40.0,2.0,1.0,False
44,44,72.0,7.0,19.0,1.0,6050.0,50.0,0.0,70.0,1.0,1.0,False
45,45,65.0,1.0,16.0,2.0,5940.0,30.0,10.0,42.0,2.0,1.0,False
46,46,41.0,5.0,22.0,1.0,1610.0,30.0,0.0,40.0,1.0,1.0,True
47,47,37.0,1.0,19.0,2.0,7510.0,30.0,13.0,40.0,1.0,4.0,False
48,48,22.0,1.0,21.0,2.0,5400.0,30.0,13.0,40.0,1.0,1.0,False
49,49,48.0,1.0,14.0,2.0,4030.0,247.0,0.0,40.0,2.0,3.0,False
50,50,59.0,6.0,21.0,1.0,205.0,30.0,1.0,40.0,1.0,1.0,False
51,51,59.0,1.0,21.0,1.0,3255.0,30.0,1.0,40.0,2.0,1.0,True
52,52,48.0,6.0,19.0,1.0,205.0,30.0,0.0,70.0,1.0,1.0,True
53,53,40.0,6.0,19.0,1.0,4920.0,30.0,1.0,8.0,2.0,1.0,False
54,54,30.0,6.0,11.0,1.0,6442.0,30.0,0.0,50.0,1.0,1.0,False
55,55,19.0,5.0,19.0,2.0,3740.0,32.0,17.0,40.0,1.0,1.0,False
56,56,34.0,1.0,19.0,2.0,120.0,30.0,0.0,40.0,1.0,1.0,False
57,57,60.0,4.0,22.0,2.0,3960.0,30.0,0.0,40.0,1.0,1.0,False
58,58,17.0,1.0,13.0,2.0,4760.0,26.0,2.0,12.0,2.0,1.0,False
59,59,24.0,1.0,16.0,1.0,4251.0,30.0,11.0,40.0,2.0,1.0,False
60,60,77.0,3.0,18.0,2.0,4020.0,30.0,0.0,40.0,2.0,4.0,False
61,61,50.0,1.0,13.0,2.0,4230.0,30.0,17.0,40.0,2.0,4.0,False
62,62,58.0,1.0,20.0,1.0,4700.0,30.0,0.0,45.0,1.0,1.0,False
63,63,64.0,1.0,17.0,1.0,9130.0,30.0,0.0,44.0,1.0,1.0,True
64,64,53.0,1.0,18.0,2.0,9620.0,30.0,0.0,40.0,1.0,1.0,False
65,65,22.0,1.0,21.0,1.0,5400.0,53.0,1.0,40.0,2.0,1.0,False
66,66,19.0,1.0,12.0,2.0,6330.0,8.0,2.0,50.0,1.0,1.0,False
67,67,67.0,1.0,21.0,1.0,6230.0,36.0,0.0,40.0,1.0,1.0,False
68,68,57.0,1.0,19.0,2.0,3603.0,16.0,0.0,40.0,2.0,1.0,False
69,69,30.0,1.0,24.0,1.0,2100.0,30.0,0.0,40.0,1.0,1.0,False
70,70,58.0,3.0,16.0,1.0,2440.0,46.0,1.0,24.0,2.0,1.0,False
71,71,72.0,6.0,16.0,1.0,440.0,42.0,0.0,30.0,1.0,1.0,False
72,72,65.0,3.0,22.0,1.0,2435.0,48.0,1.0,40.0,1.0,1.0,True
73,73,76.0,1.0,15.0,1.0,4350.0,30.0,0.0,10.0,1.0,1.0,False
74,74,61.0,6.0,21.0,2.0,2634.0,34.0,0.0,40.0,2.0,1.0,False
75,75,49.0,1.0,19.0,1.0,3930.0,25.0,0.0,42.0,1.0,1.0,False
76,76,59.0,1.0,24.0,1.0,3258.0,6.0,1.0,50.0,2.0,1.0,True
77,77,56.0,6.0,21.0,2.0,205.0,30.0,2.0,40.0,1.0,1.0,False
78,78,55.0,1.0,21.0,1.0,4110.0,26.0,0.0,9.0,2.0,1.0,False
79,79,24.0,1.0,18.0,2.0,4700.0,30.0,13.0,40.0,1.0,1.0,False
80,80,62.0,3.0,21.0,1.0,800.0,55.0,1.0,8.0,2.0,1.0,False
81,81,42.0,7.0,19.0,1.0,6200.0,30.0,0.0,60.0,1.0,1.0,False
82,82,38.0,6.0,21.0,2.0,4600.0,50.0,13.0,40.0,2.0,1.0,False
83,83,26.0,1.0,14.0,2.0,7750.0,30.0,16.0,70.0,1.0,4.0,False
84,84,35.0,1.0,21.0,1.0,850.0,51.0,1.0,40.0,1.0,1.0,True
85,85,55.0,1.0,16.0,1.0,4700.0,30.0,0.0,40.0,1.0,1.0,False
86,86,63.0,2.0,21.0,1.0,640.0,209.0,1.0,40.0,1.0,1.0,True
87,87,42.0,2.0,22.0,1.0,750.0,47.0,0.0,30.0,2.0,1.0,False
88,88,32.0,1.0,23.0,1.0,3150.0,18.0,1.0,8.0,2.0,1.0,False
89,89,58.0,1.0,19.0,2.0,1240.0,8.0,0.0,40.0,1.0,1.0,True
90,90,78.0,6.0,21.0,1.0,120.0,19.0,1.0,40.0,1.0,1.0,True
91,91,60.0,7.0,19.0,1.0,6050.0,42.0,1.0,40.0,2.0,1.0,False
92,92,60.0,1.0,16.0,1.0,4760.0,30.0,0.0,40.0,1.0,1.0,True
93,93,36.0,4.0,22.0,1.0,2006.0,30.0,1.0,40.0,1.0,1.0,False
94,94,17.0,1.0,12.0,2.0,4030.0,30.0,2.0,30.0,1.0,1.0,False
95,95,65.0,2.0,21.0,1.0,2752.0,30.0,1.0,10.0,2.0,1.0,False
96,96,44.0,6.0,21.0,1.0,9142.0,51.0,1.0,6.0,1.0,1.0,False
