,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,34712,55.0,2.0,21.0,2.0,4840.0,37.0,13.0,45.0,2.0,1.0,False
1,34713,40.0,1.0,21.0,1.0,4920.0,37.0,1.0,60.0,2.0,1.0,False
2,34714,60.0,6.0,19.0,2.0,4920.0,37.0,0.0,65.0,2.0,1.0,False
3,34715,27.0,1.0,21.0,1.0,8640.0,42.0,1.0,40.0,1.0,1.0,False
4,34716,26.0,4.0,21.0,1.0,2310.0,37.0,0.0,55.0,2.0,1.0,False
5,34717,65.0,1.0,19.0,2.0,3500.0,39.0,0.0,40.0,2.0,1.0,False
6,34718,52.0,2.0,22.0,1.0,2040.0,37.0,1.0,55.0,1.0,1.0,True
7,34719,44.0,1.0,22.0,1.0,120.0,26.0,0.0,70.0,1.0,1.0,True
8,34720,22.0,1.0,19.0,2.0,4030.0,449.0,17.0,20.0,2.0,2.0,False
9,34721,28.0,1.0,15.0,2.0,6260.0,37.0,16.0,65.0,1.0,1.0,False
10,34722,18.0,2.0,18.0,2.0,4251.0,51.0,17.0,20.0,1.0,2.0,False
11,34723,21.0,5.0,19.0,2.0,7200.0,13.0,17.0,45.0,1.0,2.0,False
12,34724,52.0,1.0,20.0,1.0,5000.0,37.0,1.0,36.0,2.0,1.0,False
13,34725,22.0,1.0,16.0,1.0,4251.0,42.0,2.0,55.0,1.0,1.0,False
14,34726,56.0,6.0,20.0,1.0,3630.0,48.0,1.0,40.0,2.0,1.0,False
15,34727,44.0,1.0,22.0,1.0,20.0,210.0,0.0,40.0,1.0,3.0,True
16,34728,46.0,3.0,16.0,1.0,4500.0,37.0,1.0,30.0,1.0,2.0,False
17,34729,56.0,5.0,21.0,2.0,5250.0,37.0,0.0,40.0,2.0,2.0,False
18,34730,18.0,1.0,16.0,2.0,4030.0,37.0,2.0,20.0,2.0,1.0,False
19,34731,57.0,3.0,18.0,1.0,8990.0,37.0,0.0,20.0,1.0,1.0,False
20,34732,57.0,1.0,17.0,2.0,520.0,134.0,0.0,44.0,2.0,1.0,False
21,34733,51.0,1.0,18.0,1.0,5740.0,37.0,1.0,26.0,2.0,1.0,False
22,34734,28.0,1.0,21.0,2.0,1021.0,233.0,13.0,40.0,1.0,3.0,False
23,34735,22.0,1.0,16.0,2.0,6260.0,34.0,2.0,50.0,1.0,1.0,False
24,34736,74.0,1.0,12.0,2.0,4720.0,37.0,0.0,30.0,1.0,1.0,False
25,34737,36.0,6.0,18.0,1.0,5240.0,37.0,0.0,20.0,2.0,1.0,False
26,34738,45.0,1.0,19.0,2.0,4220.0,51.0,0.0,40.0,2.0,1.0,True
27,34739,70.0,7.0,22.0,1.0,710.0,26.0,0.0,10.0,1.0,1.0,True
28,34740,41.0,1.0,21.0,1.0,710.0,42.0,0.0,40.0,1.0,1.0,True
29,34741,31.0,7.0,13.0,1.0,6230.0,37.0,0.0,40.0,1.0,1.0,False
30,34742,57.0,1.0,21.0,1.0,1530.0,37.0,0.0,60.0,1.0,1.0,True
31,34743,24.0,5.0,19.0,2.0,7340.0,6.0,12.0,40.0,1.0,1.0,False
32,34744,20.0,2.0,19.0,2.0,4622.0,51.0,2.0,15.0,2.0,1.0,False
33,34745,58.0,1.0,19.0,1.0,5400.0,26.0,0.0,28.0,2.0,4.0,False
34,34746,57.0,1.0,12.0,1.0,6330.0,37.0,0.0,40.0,1.0,4.0,False
35,34747,47.0,1.0,15.0,2.0,9121.0,45.0,0.0,40.0,2.0,2.0,False
36,34748,59.0,1.0,12.0,2.0,8760.0,110.0,0.0,40.0,2.0,1.0,False
37,34749,42.0,5.0,21.0,1.0,9800.0,36.0,0.0,60.0,1.0,1.0,True
38,34750,52.0,3.0,22.0,1.0,1860.0,39.0,0.0,12.0,2.0,1.0,False
39,34751,55.0,4.0,22.0,2.0,2205.0,11.0,0.0,40.0,2.0,2.0,True
40,34752,72.0,7.0,23.0,1.0,4920.0,45.0,1.0,29.0,1.0,1.0,True
41,34753,48.0,6.0,21.0,1.0,710.0,29.0,1.0,20.0,2.0,1.0,True
42,34754,21.0,2.0,19.0,2.0,4600.0,37.0,17.0,20.0,2.0,1.0,False
43,34755,57.0,2.0,22.0,1.0,20.0,37.0,1.0,40.0,2.0,1.0,True
44,34756,57.0,2.0,21.0,1.0,2040.0,37.0,0.0,40.0,1.0,1.0,False
45,34757,35.0,5.0,16.0,1.0,6355.0,47.0,1.0,40.0,1.0,1.0,True
46,34758,27.0,1.0,17.0,2.0,8140.0,37.0,16.0,55.0,1.0,1.0,False
47,34759,39.0,5.0,22.0,1.0,9825.0,21.0,1.0,40.0,1.0,1.0,True
48,34760,61.0,1.0,18.0,2.0,4700.0,215.0,2.0,35.0,1.0,1.0,False
49,34761,55.0,1.0,19.0,1.0,3500.0,37.0,1.0,25.0,2.0,1.0,False
50,34762,59.0,1.0,16.0,1.0,7340.0,39.0,0.0,40.0,1.0,1.0,False
51,34763,58.0,3.0,21.0,1.0,440.0,37.0,0.0,40.0,2.0,1.0,True
52,34764,86.0,1.0,20.0,1.0,2330.0,45.0,0.0,4.0,2.0,2.0,False
53,34765,49.0,1.0,16.0,1.0,5860.0,37.0,1.0,40.0,2.0,1.0,True
54,34766,21.0,1.0,16.0,2.0,9620.0,37.0,7.0,40.0,1.0,1.0,False
55,34767,56.0,1.0,16.0,2.0,9620.0,37.0,0.0,48.0,1.0,2.0,False
56,34768,72.0,2.0,21.0,2.0,3255.0,1.0,0.0,10.0,1.0,1.0,False
57,34769,29.0,1.0,21.0,1.0,4621.0,37.0,0.0,15.0,2.0,1.0,False
58,34770,32.0,1.0,21.0,2.0,4720.0,37.0,0.0,28.0,1.0,1.0,False
59,34771,33.0,1.0,21.0,1.0,4521.0,206.0,0.0,60.0,1.0,3.0,False
60,34772,57.0,1.0,21.0,1.0,2300.0,37.0,1.0,40.0,2.0,1.0,False
61,34773,48.0,1.0,18.0,1.0,4255.0,37.0,1.0,60.0,1.0,1.0,True
62,34774,57.0,1.0,17.0,2.0,9645.0,13.0,0.0,40.0,1.0,1.0,False
63,34775,45.0,1.0,18.0,1.0,7000.0,37.0,0.0,52.0,1.0,1.0,True
64,34776,48.0,4.0,21.0,1.0,2310.0,33.0,1.0,40.0,2.0,1.0,False
65,34777,50.0,1.0,17.0,1.0,9130.0,37.0,1.0,50.0,1.0,1.0,True
66,34778,48.0,2.0,20.0,1.0,3310.0,37.0,0.0,40.0,2.0,1.0,True
67,34779,46.0,1.0,19.0,2.0,410.0,37.0,13.0,45.0,2.0,2.0,True
68,34780,23.0,1.0,16.0,2.0,4720.0,37.0,2.0,40.0,2.0,1.0,False
69,34781,32.0,1.0,20.0,2.0,5400.0,13.0,0.0,23.0,2.0,1.0,False
70,34782,56.0,1.0,20.0,2.0,3645.0,39.0,5.0,37.0,2.0,1.0,False
71,34783,55.0,1.0,17.0,1.0,6200.0,54.0,1.0,50.0,1.0,1.0,True
72,34784,58.0,6.0,21.0,1.0,800.0,37.0,0.0,50.0,1.0,1.0,True
73,34785,59.0,1.0,16.0,1.0,9645.0,37.0,1.0,40.0,1.0,2.0,False
74,34786,54.0,1.0,16.0,1.0,4110.0,48.0,1.0,30.0,2.0,1.0,False
75,34787,43.0,1.0,21.0,1.0,136.0,29.0,0.0,45.0,2.0,1.0,True
76,34788,22.0,1.0,19.0,2.0,4840.0,37.0,5.0,40.0,2.0,2.0,False
77,34789,75.0,1.0,22.0,2.0,3255.0,55.0,0.0,20.0,2.0,1.0,False
78,34790,47.0,1.0,22.0,1.0,5940.0,12.0,1.0,40.0,2.0,2.0,True
79,34791,35.0,4.0,22.0,1.0,2310.0,26.0,0.0,45.0,1.0,1.0,False
80,34792,57.0,3.0,20.0,1.0,9130.0,37.0,1.0,42.0,1.0,1.0,False
81,34793,42.0,1.0,19.0,1.0,5860.0,39.0,0.0,40.0,2.0,1.0,False
82,34794,64.0,3.0,24.0,1.0,3740.0,39.0,0.0,40.0,1.0,1.0,True
83,34795,23.0,1.0,21.0,2.0,4040.0,28.0,0.0,40.0,2.0,1.0,False
84,34796,37.0,1.0,22.0,2.0,820.0,20.0,2.0,45.0,2.0,1.0,False
85,34797,31.0,5.0,20.0,1.0,9810.0,42.0,0.0,60.0,1.0,1.0,False
86,34798,36.0,1.0,22.0,1.0,750.0,36.0,0.0,20.0,2.0,2.0,False
87,34799,24.0,1.0,16.0,2.0,9645.0,37.0,11.0,40.0,1.0,1.0,False
88,34800,31.0,1.0,17.0,2.0,4210.0,37.0,17.0,40.0,1.0,5.0,False
89,34801,62.0,7.0,21.0,1.0,440.0,37.0,0.0,60.0,1.0,1.0,True
90,34802,31.0,1.0,18.0,1.0,6230.0,163.0,0.0,40.0,1.0,1.0,False
91,34803,33.0,6.0,11.0,1.0,6230.0,303.0,0.0,40.0,2.0,1.0,False
92,34804,28.0,1.0,21.0,1.0,120.0,37.0,0.0,40.0,2.0,1.0,False
93,34805,27.0,1.0,16.0,2.0,6040.0,37.0,0.0,40.0,2.0,2.0,False
94,34806,46.0,1.0,20.0,1.0,530.0,37.0,1.0,40.0,2.0,1.0,False
95,34807,46.0,1.0,19.0,2.0,8990.0,37.0,0.0,42.0,1.0,1.0,False
96,34808,45.0,7.0,18.0,1.0,7200.0,37.0,0.0,50.0,1.0,1.0,True
97,34809,20.0,1.0,19.0,2.0,4720.0,37.0,17.0,20.0,2.0,1.0,False
98,34810,22.0,1.0,1.0,2.0,8140.0,37.0,2.0,40.0,1.0,1.0,False
99,34811,52.0,4.0,16.0,2.0,4720.0,37.0,0.0,30.0,2.0,1.0,False
100,34812,59.0,3.0,20.0,1.0,5250.0,37.0,1.0,40.0,2.0,1.0,False
101,34813,76.0,2.0,20.0,1.0,10.0,18.0,1.0,10.0,1.0,1.0,False
102,34814,53.0,1.0,20.0,2.0,8800.0,34.0,16.0,50.0,1.0,2.0,False
103,34815,54.0,1.0,21.0,1.0,110.0,37.0,0.0,45.0,1.0,1.0,True
104,34816,60.0,1.0,21.0,1.0,705.0,36.0,1.0,60.0,1.0,1.0,True
105,34817,23.0,1.0,20.0,2.0,5860.0,37.0,13.0,36.0,2.0,1.0,False
106,34818,36.0,1.0,17.0,1.0,7700.0,37.0,2.0,40.0,1.0,1.0,False
107,34819,61.0,1.0,21.0,1.0,6130.0,6.0,1.0,45.0,1.0,1.0,False
108,34820,68.0,1.0,16.0,1.0,4435.0,34.0,1.0,21.0,1.0,1.0,True
109,34821,25.0,1.0,16.0,1.0,4720.0,54.0,15.0,20.0,2.0,1.0,False
110,34822,28.0,1.0,19.0,2.0,7315.0,37.0,7.0,40.0,1.0,1.0,False
111,34823,33.0,1.0,21.0,1.0,1460.0,17.0,1.0,42.0,1.0,1.0,True
112,34824,65.0,2.0,21.0,2.0,3110.0,35.0,0.0,50.0,1.0,1.0,True
113,34825,47.0,1.0,21.0,1.0,1460.0,37.0,0.0,60.0,1.0,1.0,True
114,34826,59.0,2.0,21.0,1.0,5120.0,37.0,1.0,35.0,2.0,1.0,True
115,34827,33.0,1.0,21.0,2.0,4840.0,13.0,0.0,43.0,1.0,1.0,False
116,34828,49.0,1.0,18.0,1.0,5000.0,37.0,1.0,40.0,1.0,1.0,True
117,34829,52.0,1.0,19.0,2.0,5850.0,36.0,2.0,12.0,2.0,1.0,False
118,34830,52.0,1.0,20.0,1.0,3424.0,45.0,1.0,38.0,2.0,1.0,False
119,34831,58.0,1.0,21.0,1.0,110.0,17.0,0.0,45.0,1.0,1.0,True
120,34832,52.0,1.0,19.0,1.0,4700.0,37.0,1.0,60.0,1.0,1.0,True
121,34833,19.0,1.0,20.0,2.0,2350.0,26.0,17.0,14.0,2.0,2.0,False
122,34834,58.0,2.0,22.0,1.0,2060.0,362.0,0.0,50.0,1.0,1.0,False
123,34835,26.0,1.0,21.0,1.0,4350.0,36.0,1.0,20.0,2.0,1.0,False
124,34836,62.0,2.0,21.0,2.0,4030.0,37.0,0.0,40.0,1.0,1.0,False
125,34837,71.0,7.0,20.0,1.0,6220.0,42.0,0.0,25.0,1.0,1.0,False
126,34838,46.0,2.0,20.0,1.0,5740.0,34.0,0.0,28.0,2.0,2.0,False
127,34839,52.0,2.0,22.0,1.0,2310.0,12.0,1.0,25.0,2.0,1.0,False
128,34840,34.0,6.0,21.0,2.0,1006.0,19.0,2.0,10.0,1.0,1.0,False
129,34841,67.0,3.0,16.0,1.0,2545.0,37.0,0.0,40.0,2.0,1.0,False
130,34842,48.0,1.0,18.0,1.0,3545.0,51.0,1.0,40.0,1.0,2.0,False
131,34843,48.0,1.0,20.0,2.0,530.0,37.0,0.0,50.0,2.0,1.0,True
132,34844,27.0,4.0,21.0,1.0,2310.0,37.0,1.0,40.0,2.0,1.0,False
133,34845,31.0,2.0,21.0,2.0,5710.0,37.0,2.0,40.0,2.0,1.0,False
134,34846,31.0,1.0,21.0,2.0,4030.0,36.0,0.0,35.0,2.0,1.0,False
135,34847,42.0,1.0,16.0,2.0,5610.0,1.0,16.0,40.0,1.0,1.0,False
136,34848,56.0,3.0,22.0,2.0,2300.0,37.0,0.0,60.0,2.0,1.0,True
137,34849,64.0,1.0,19.0,2.0,9122.0,37.0,0.0,40.0,1.0,1.0,False
138,34850,53.0,1.0,16.0,2.0,4230.0,37.0,0.0,15.0,2.0,2.0,False
139,34851,63.0,2.0,21.0,2.0,800.0,37.0,0.0,40.0,2.0,2.0,False
