,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,32.0,1.0,16.0,1.0,5610.0,6.0,12.0,30.0,2.0,1.0,False
1,1,34.0,2.0,15.0,2.0,2861.0,229.0,0.0,6.0,2.0,3.0,False
2,2,44.0,1.0,20.0,1.0,6442.0,38.0,0.0,40.0,1.0,1.0,True
3,3,23.0,1.0,20.0,2.0,6260.0,38.0,2.0,55.0,1.0,5.0,False
4,4,33.0,1.0,17.0,1.0,4720.0,38.0,1.0,40.0,1.0,1.0,False
5,5,45.0,1.0,19.0,1.0,5120.0,6.0,0.0,36.0,2.0,1.0,False
6,6,33.0,1.0,21.0,1.0,410.0,27.0,0.0,55.0,1.0,1.0,True
7,7,23.0,4.0,21.0,2.0,2300.0,38.0,13.0,15.0,2.0,1.0,False
8,8,55.0,1.0,21.0,1.0,3330.0,38.0,0.0,50.0,2.0,1.0,True
9,9,71.0,3.0,15.0,1.0,3801.0,38.0,1.0,5.0,1.0,1.0,True
10,10,52.0,1.0,16.0,1.0,4220.0,38.0,0.0,40.0,1.0,1.0,False
11,11,53.0,1.0,19.0,2.0,8140.0,38.0,2.0,40.0,1.0,1.0,False
12,12,53.0,1.0,16.0,2.0,4040.0,38.0,15.0,20.0,1.0,1.0,False
13,13,65.0,6.0,20.0,2.0,6765.0,38.0,0.0,50.0,1.0,1.0,False
14,14,51.0,1.0,21.0,2.0,4800.0,38.0,0.0,40.0,1.0,1.0,False
15,15,22.0,1.0,20.0,2.0,7210.0,38.0,13.0,50.0,1.0,1.0,True
16,16,37.0,1.0,20.0,1.0,7410.0,38.0,1.0,40.0,1.0,1.0,True
17,17,43.0,3.0,18.0,1.0,5740.0,46.0,0.0,40.0,2.0,1.0,False
18,18,47.0,2.0,18.0,1.0,3603.0,38.0,0.0,60.0,2.0,1.0,False
19,19,44.0,1.0,16.0,1.0,6305.0,2.0,0.0,40.0,1.0,1.0,True
20,20,65.0,1.0,21.0,1.0,20.0,15.0,0.0,65.0,1.0,1.0,True
21,21,49.0,1.0,21.0,1.0,800.0,29.0,1.0,40.0,2.0,1.0,True
