,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,63.0,1.0,20.0,1.0,5810.0,39.0,1.0,30.0,2.0,1.0,False,10537
1,1,56.0,1.0,15.0,1.0,4000.0,4.0,1.0,44.0,2.0,1.0,False,1588
2,2,26.0,2.0,21.0,1.0,2310.0,26.0,0.0,45.0,2.0,1.0,False,4680
3,3,57.0,1.0,18.0,1.0,530.0,31.0,0.0,45.0,1.0,1.0,True,9227
4,4,57.0,5.0,21.0,1.0,440.0,31.0,1.0,40.0,2.0,1.0,True,2531
5,5,18.0,1.0,15.0,2.0,6050.0,31.0,2.0,10.0,1.0,1.0,False,1402
6,6,51.0,2.0,23.0,1.0,3100.0,19.0,0.0,60.0,1.0,1.0,True,6850
7,7,52.0,5.0,22.0,1.0,530.0,8.0,0.0,40.0,1.0,1.0,True,6783
8,8,35.0,1.0,20.0,1.0,9005.0,31.0,0.0,55.0,1.0,1.0,True,4689
9,9,50.0,1.0,20.0,2.0,9620.0,31.0,17.0,10.0,1.0,1.0,False,339
10,10,65.0,6.0,16.0,1.0,9720.0,31.0,0.0,25.0,1.0,1.0,True,3428
11,11,66.0,1.0,18.0,1.0,10.0,31.0,1.0,50.0,1.0,1.0,True,5738
12,12,22.0,1.0,21.0,2.0,2310.0,19.0,12.0,40.0,2.0,1.0,False,8807
13,13,48.0,1.0,20.0,1.0,7130.0,31.0,1.0,42.0,1.0,1.0,True,5405
14,14,59.0,1.0,19.0,1.0,9130.0,31.0,0.0,60.0,1.0,1.0,False,10610
15,15,18.0,1.0,16.0,2.0,6260.0,31.0,17.0,40.0,1.0,1.0,False,236
16,16,68.0,1.0,16.0,1.0,136.0,31.0,0.0,40.0,2.0,1.0,True,4720
17,17,63.0,4.0,20.0,1.0,3802.0,31.0,1.0,40.0,2.0,1.0,False,9186
18,18,58.0,1.0,20.0,2.0,120.0,31.0,0.0,40.0,2.0,1.0,False,7518
19,19,30.0,1.0,21.0,2.0,2635.0,37.0,0.0,40.0,2.0,1.0,False,794
20,20,44.0,1.0,16.0,2.0,4700.0,31.0,0.0,45.0,1.0,1.0,False,4065
21,21,26.0,1.0,21.0,2.0,4840.0,31.0,0.0,40.0,1.0,1.0,True,6135
22,22,59.0,1.0,16.0,1.0,9620.0,31.0,0.0,40.0,1.0,1.0,True,9897
23,23,75.0,7.0,21.0,1.0,5740.0,31.0,1.0,40.0,1.0,1.0,True,4259
24,24,59.0,4.0,18.0,1.0,440.0,46.0,0.0,50.0,1.0,1.0,True,8475
25,25,49.0,1.0,18.0,2.0,9640.0,31.0,0.0,40.0,2.0,1.0,False,5749
26,26,55.0,1.0,21.0,1.0,60.0,12.0,0.0,45.0,2.0,1.0,True,6488
27,27,55.0,5.0,16.0,1.0,5550.0,31.0,0.0,35.0,1.0,1.0,False,5676
28,28,34.0,3.0,18.0,2.0,3802.0,31.0,0.0,56.0,1.0,1.0,True,2732
29,29,38.0,1.0,16.0,2.0,6442.0,31.0,13.0,40.0,1.0,1.0,False,4614
30,30,20.0,1.0,12.0,2.0,6230.0,31.0,2.0,40.0,1.0,1.0,False,2462
31,31,19.0,1.0,18.0,2.0,310.0,31.0,0.0,35.0,1.0,1.0,False,3771
