,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,31854,60.0,1.0,16.0,2.0,4900.0,34.0,0.0,38.0,2.0,1.0,True
1,31855,27.0,1.0,21.0,2.0,5000.0,36.0,0.0,42.0,1.0,1.0,False
2,31856,44.0,3.0,16.0,1.0,3740.0,372.0,2.0,48.0,1.0,5.0,True
3,31857,18.0,1.0,14.0,2.0,9645.0,329.0,5.0,10.0,2.0,5.0,False
4,31858,42.0,1.0,9.0,2.0,6260.0,303.0,0.0,40.0,1.0,5.0,False
5,31859,26.0,2.0,23.0,2.0,3090.0,207.0,0.0,80.0,1.0,3.0,True
6,31860,61.0,1.0,20.0,1.0,2545.0,34.0,0.0,45.0,2.0,1.0,False
7,31861,26.0,1.0,21.0,2.0,1410.0,34.0,2.0,40.0,1.0,5.0,True
8,31862,19.0,1.0,19.0,2.0,5240.0,34.0,17.0,12.0,2.0,2.0,False
9,31863,24.0,1.0,19.0,2.0,3640.0,34.0,2.0,40.0,2.0,5.0,False
10,31864,71.0,1.0,17.0,1.0,4055.0,12.0,1.0,20.0,2.0,1.0,False
11,31865,60.0,1.0,16.0,1.0,410.0,34.0,1.0,40.0,2.0,1.0,True
12,31866,24.0,3.0,21.0,2.0,2330.0,34.0,2.0,35.0,2.0,1.0,False
13,31867,52.0,4.0,21.0,1.0,3255.0,233.0,0.0,36.0,2.0,3.0,True
14,31868,65.0,1.0,1.0,1.0,7640.0,329.0,1.0,40.0,1.0,2.0,True
15,31869,50.0,1.0,19.0,1.0,3430.0,34.0,0.0,36.0,2.0,1.0,False
16,31870,19.0,1.0,19.0,2.0,4720.0,34.0,2.0,8.0,2.0,1.0,False
17,31871,48.0,1.0,19.0,1.0,4230.0,329.0,0.0,40.0,2.0,1.0,False
18,31872,45.0,1.0,16.0,1.0,3603.0,333.0,0.0,40.0,1.0,2.0,False
19,31873,42.0,4.0,16.0,2.0,7640.0,34.0,5.0,40.0,1.0,1.0,False
20,31874,65.0,3.0,21.0,1.0,10.0,34.0,0.0,3.0,1.0,1.0,True
21,31875,62.0,1.0,14.0,2.0,7200.0,36.0,0.0,8.0,1.0,1.0,False
22,31876,24.0,1.0,16.0,1.0,1050.0,34.0,1.0,40.0,2.0,1.0,False
23,31877,49.0,3.0,21.0,2.0,2310.0,34.0,0.0,40.0,2.0,1.0,True
24,31878,58.0,4.0,16.0,1.0,1980.0,120.0,0.0,40.0,1.0,1.0,True
25,31879,54.0,1.0,14.0,1.0,6230.0,128.0,0.0,40.0,1.0,1.0,True
26,31880,42.0,1.0,19.0,2.0,20.0,25.0,0.0,45.0,1.0,1.0,True
27,31881,63.0,2.0,22.0,1.0,2752.0,42.0,0.0,10.0,1.0,1.0,False
28,31882,59.0,1.0,16.0,1.0,7340.0,34.0,1.0,40.0,1.0,1.0,False
29,31883,47.0,1.0,19.0,2.0,3603.0,34.0,2.0,36.0,2.0,1.0,False
30,31884,23.0,1.0,21.0,2.0,800.0,333.0,2.0,40.0,1.0,2.0,False
31,31885,49.0,7.0,20.0,1.0,4510.0,34.0,1.0,50.0,2.0,1.0,True
32,31886,43.0,1.0,20.0,1.0,440.0,36.0,0.0,60.0,1.0,1.0,True
33,31887,45.0,1.0,12.0,2.0,9130.0,72.0,13.0,40.0,1.0,1.0,False
34,31888,65.0,8.0,16.0,1.0,9130.0,34.0,1.0,45.0,1.0,1.0,True
35,31889,18.0,1.0,16.0,2.0,4850.0,55.0,17.0,8.0,1.0,5.0,False
36,31890,25.0,1.0,21.0,2.0,2360.0,34.0,2.0,12.0,2.0,1.0,False
37,31891,27.0,1.0,23.0,2.0,3255.0,34.0,2.0,12.0,2.0,1.0,False
38,31892,36.0,1.0,22.0,1.0,440.0,210.0,1.0,40.0,2.0,3.0,True
39,31893,44.0,4.0,22.0,1.0,230.0,217.0,0.0,60.0,1.0,3.0,True
40,31894,52.0,1.0,19.0,2.0,6260.0,42.0,0.0,45.0,1.0,1.0,False
41,31895,18.0,1.0,18.0,2.0,4110.0,303.0,7.0,30.0,1.0,1.0,False
42,31896,80.0,1.0,21.0,1.0,850.0,34.0,0.0,40.0,1.0,1.0,True
43,31897,57.0,1.0,22.0,1.0,850.0,212.0,0.0,45.0,1.0,1.0,True
44,31898,35.0,1.0,16.0,2.0,9640.0,329.0,0.0,40.0,2.0,1.0,False
45,31899,69.0,3.0,22.0,1.0,230.0,12.0,1.0,40.0,2.0,1.0,True
46,31900,37.0,1.0,21.0,1.0,5160.0,34.0,0.0,40.0,2.0,1.0,False
47,31901,22.0,1.0,19.0,2.0,4120.0,42.0,2.0,15.0,2.0,2.0,False
48,31902,49.0,2.0,19.0,1.0,2300.0,207.0,1.0,34.0,2.0,3.0,False
49,31903,24.0,2.0,21.0,2.0,3323.0,34.0,2.0,20.0,1.0,1.0,False
50,31904,56.0,1.0,16.0,1.0,4760.0,128.0,1.0,40.0,2.0,1.0,False
51,31905,59.0,3.0,22.0,1.0,5000.0,440.0,0.0,40.0,1.0,2.0,True
52,31906,59.0,1.0,16.0,1.0,8140.0,364.0,0.0,40.0,1.0,5.0,False
53,31907,32.0,5.0,22.0,1.0,750.0,34.0,0.0,40.0,2.0,1.0,False
54,31908,54.0,1.0,22.0,1.0,1650.0,207.0,0.0,40.0,1.0,3.0,True
55,31909,21.0,1.0,19.0,2.0,5240.0,34.0,2.0,12.0,2.0,1.0,False
56,31910,54.0,2.0,22.0,1.0,2016.0,34.0,0.0,35.0,2.0,1.0,False
57,31911,51.0,1.0,21.0,2.0,2634.0,34.0,13.0,40.0,1.0,2.0,True
58,31912,59.0,1.0,16.0,1.0,410.0,34.0,1.0,45.0,1.0,1.0,True
59,31913,23.0,2.0,21.0,2.0,3210.0,34.0,2.0,50.0,2.0,1.0,False
60,31914,42.0,1.0,20.0,1.0,2545.0,34.0,1.0,40.0,2.0,5.0,False
61,31915,60.0,1.0,18.0,1.0,600.0,34.0,0.0,40.0,1.0,1.0,False
62,31916,61.0,7.0,16.0,2.0,4810.0,42.0,0.0,20.0,1.0,1.0,False
63,31917,36.0,3.0,20.0,1.0,3870.0,34.0,1.0,50.0,1.0,1.0,True
64,31918,23.0,1.0,12.0,1.0,9142.0,329.0,9.0,10.0,1.0,5.0,False
65,31919,25.0,1.0,21.0,2.0,4820.0,72.0,12.0,60.0,1.0,1.0,True
66,31920,20.0,1.0,19.0,2.0,4110.0,34.0,2.0,25.0,2.0,1.0,False
67,31921,64.0,7.0,21.0,1.0,4810.0,42.0,1.0,50.0,1.0,1.0,True
68,31922,63.0,6.0,24.0,1.0,710.0,42.0,0.0,60.0,2.0,1.0,True
69,31923,25.0,1.0,21.0,2.0,4010.0,34.0,2.0,40.0,1.0,1.0,False
70,31924,57.0,2.0,16.0,1.0,7700.0,13.0,0.0,40.0,1.0,2.0,False
71,31925,26.0,1.0,20.0,2.0,3620.0,34.0,3.0,40.0,1.0,5.0,False
72,31926,28.0,1.0,19.0,1.0,9130.0,329.0,0.0,40.0,1.0,5.0,False
73,31927,45.0,1.0,22.0,1.0,1720.0,207.0,1.0,40.0,2.0,3.0,True
74,31928,68.0,3.0,22.0,1.0,2310.0,36.0,0.0,40.0,2.0,1.0,True
75,31929,50.0,1.0,21.0,1.0,440.0,34.0,0.0,50.0,2.0,1.0,True
76,31930,23.0,1.0,16.0,1.0,5110.0,34.0,1.0,30.0,2.0,1.0,False
77,31931,79.0,1.0,21.0,2.0,2310.0,34.0,0.0,36.0,2.0,1.0,True
78,31932,29.0,3.0,21.0,2.0,3870.0,365.0,0.0,38.0,2.0,1.0,True
79,31933,59.0,4.0,21.0,2.0,2015.0,36.0,0.0,40.0,2.0,1.0,True
80,31934,63.0,6.0,16.0,1.0,600.0,42.0,1.0,40.0,1.0,1.0,True
81,31935,40.0,2.0,14.0,2.0,4200.0,34.0,0.0,40.0,1.0,2.0,False
82,31936,47.0,1.0,19.0,1.0,6355.0,42.0,1.0,50.0,1.0,1.0,True
83,31937,61.0,1.0,16.0,1.0,4720.0,217.0,0.0,45.0,2.0,3.0,False
84,31938,59.0,1.0,19.0,1.0,9121.0,48.0,1.0,20.0,2.0,2.0,False
85,31939,47.0,1.0,21.0,1.0,8100.0,217.0,1.0,8.0,2.0,3.0,False
86,31940,39.0,1.0,22.0,2.0,120.0,233.0,0.0,40.0,2.0,3.0,True
87,31941,58.0,2.0,21.0,1.0,5000.0,210.0,1.0,40.0,2.0,3.0,False
88,31942,29.0,1.0,21.0,1.0,2170.0,42.0,1.0,40.0,1.0,1.0,False
89,31943,45.0,3.0,22.0,1.0,2320.0,34.0,0.0,40.0,2.0,1.0,True
90,31944,49.0,1.0,1.0,2.0,4020.0,303.0,6.0,30.0,2.0,5.0,False
91,31945,43.0,1.0,21.0,2.0,5240.0,24.0,0.0,42.0,2.0,1.0,True
92,31946,55.0,1.0,18.0,1.0,4760.0,34.0,10.0,29.0,1.0,1.0,False
93,31947,56.0,1.0,14.0,2.0,9640.0,36.0,17.0,40.0,1.0,2.0,False
94,31948,23.0,1.0,21.0,2.0,3603.0,34.0,2.0,36.0,2.0,1.0,False
95,31949,26.0,1.0,19.0,2.0,7150.0,34.0,2.0,45.0,1.0,1.0,False
96,31950,63.0,4.0,19.0,1.0,440.0,56.0,0.0,35.0,1.0,1.0,True
97,31951,41.0,1.0,22.0,1.0,110.0,34.0,1.0,40.0,1.0,1.0,True
98,31952,45.0,7.0,22.0,1.0,710.0,36.0,0.0,25.0,2.0,3.0,True
