,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,45.0,5.0,22.0,1.0,2310.0,414.0,0.0,35.0,2.0,1.0,False
1,1,40.0,1.0,16.0,1.0,9620.0,48.0,1.0,30.0,1.0,2.0,False
2,2,29.0,1.0,18.0,2.0,4110.0,32.0,13.0,35.0,1.0,1.0,True
3,3,60.0,1.0,16.0,2.0,4020.0,22.0,0.0,29.0,2.0,1.0,False
4,4,67.0,1.0,20.0,1.0,7000.0,36.0,0.0,40.0,1.0,1.0,True
5,5,33.0,1.0,16.0,1.0,20.0,215.0,1.0,50.0,1.0,1.0,True
6,6,54.0,7.0,16.0,2.0,4920.0,17.0,15.0,60.0,1.0,2.0,False
7,7,18.0,1.0,14.0,2.0,4030.0,49.0,2.0,10.0,1.0,1.0,False
8,8,21.0,6.0,19.0,2.0,4600.0,19.0,12.0,30.0,2.0,1.0,False
9,9,29.0,1.0,16.0,2.0,6355.0,32.0,0.0,40.0,1.0,2.0,False
10,10,25.0,1.0,18.0,1.0,2910.0,303.0,1.0,40.0,1.0,5.0,False
11,11,47.0,3.0,16.0,1.0,1530.0,32.0,0.0,50.0,1.0,1.0,True
12,12,35.0,1.0,19.0,1.0,4110.0,49.0,0.0,32.0,1.0,1.0,False
13,13,23.0,1.0,19.0,1.0,4020.0,373.0,2.0,25.0,1.0,5.0,False
14,14,71.0,1.0,19.0,2.0,5120.0,29.0,0.0,32.0,1.0,2.0,False
15,15,62.0,6.0,22.0,1.0,205.0,6.0,0.0,25.0,1.0,1.0,True
16,16,34.0,1.0,18.0,2.0,310.0,4.0,0.0,64.0,2.0,1.0,False
17,17,30.0,1.0,16.0,2.0,4760.0,303.0,0.0,35.0,2.0,1.0,False
18,18,59.0,1.0,1.0,1.0,3602.0,29.0,1.0,40.0,2.0,1.0,False
19,19,30.0,1.0,14.0,1.0,4230.0,327.0,1.0,40.0,2.0,1.0,False
20,20,41.0,1.0,22.0,1.0,4760.0,16.0,1.0,50.0,1.0,1.0,False
21,21,55.0,2.0,18.0,2.0,120.0,36.0,0.0,45.0,2.0,1.0,True
22,22,41.0,1.0,8.0,2.0,4020.0,233.0,2.0,48.0,1.0,3.0,False
23,23,27.0,1.0,20.0,2.0,4720.0,32.0,2.0,36.0,2.0,1.0,False
24,24,57.0,1.0,22.0,1.0,5740.0,55.0,0.0,60.0,2.0,1.0,True
25,25,62.0,1.0,23.0,1.0,3050.0,17.0,1.0,40.0,1.0,1.0,True
26,26,56.0,1.0,20.0,2.0,3255.0,55.0,0.0,36.0,2.0,1.0,True
27,27,32.0,1.0,19.0,1.0,52.0,32.0,0.0,55.0,1.0,1.0,True
28,28,35.0,1.0,9.0,1.0,6260.0,303.0,1.0,40.0,1.0,5.0,True
29,29,55.0,4.0,18.0,1.0,5860.0,303.0,1.0,40.0,2.0,1.0,False
30,30,29.0,1.0,20.0,2.0,4700.0,6.0,13.0,40.0,2.0,5.0,False
31,31,44.0,1.0,16.0,1.0,4200.0,303.0,1.0,40.0,2.0,1.0,False
32,32,58.0,1.0,20.0,2.0,4840.0,19.0,0.0,40.0,2.0,1.0,True
33,33,37.0,1.0,19.0,2.0,6515.0,303.0,13.0,40.0,1.0,1.0,False
34,34,23.0,6.0,18.0,1.0,4220.0,6.0,0.0,7.0,2.0,1.0,False
35,35,43.0,1.0,18.0,1.0,4020.0,6.0,1.0,20.0,2.0,1.0,False
36,36,52.0,1.0,20.0,1.0,4521.0,247.0,1.0,40.0,2.0,3.0,False
37,37,48.0,1.0,20.0,1.0,3323.0,41.0,1.0,32.0,2.0,1.0,False
38,38,28.0,6.0,19.0,2.0,2360.0,32.0,13.0,1.0,2.0,1.0,False
39,39,49.0,7.0,23.0,2.0,2100.0,15.0,0.0,25.0,1.0,1.0,False
40,40,73.0,1.0,18.0,2.0,860.0,41.0,0.0,40.0,2.0,1.0,True
41,41,55.0,1.0,12.0,2.0,4130.0,303.0,0.0,40.0,1.0,1.0,False
42,42,45.0,4.0,22.0,1.0,230.0,6.0,1.0,65.0,2.0,1.0,True
43,43,30.0,1.0,17.0,2.0,4120.0,12.0,0.0,35.0,2.0,1.0,False
