,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,45539,45.0,3.0,16.0,2.0,3870.0,42.0,0.0,40.0,1.0,1.0,True
1,45540,24.0,1.0,16.0,2.0,8225.0,42.0,0.0,52.0,1.0,1.0,False
2,45541,21.0,1.0,19.0,2.0,2350.0,247.0,17.0,5.0,2.0,3.0,False
3,45542,30.0,2.0,22.0,2.0,3245.0,34.0,0.0,40.0,2.0,5.0,False
4,45543,25.0,1.0,20.0,2.0,4251.0,51.0,12.0,38.0,2.0,1.0,False
5,45544,18.0,1.0,16.0,2.0,4720.0,6.0,17.0,20.0,2.0,1.0,False
6,45545,31.0,1.0,20.0,2.0,9620.0,47.0,2.0,40.0,1.0,1.0,False
7,45546,37.0,2.0,21.0,1.0,710.0,11.0,0.0,36.0,2.0,1.0,False
8,45547,70.0,6.0,19.0,1.0,5120.0,42.0,1.0,20.0,2.0,1.0,False
9,45548,25.0,1.0,21.0,2.0,1305.0,42.0,2.0,40.0,1.0,1.0,True
10,45549,44.0,2.0,17.0,2.0,4120.0,42.0,16.0,40.0,1.0,1.0,False
11,45550,41.0,1.0,22.0,1.0,1200.0,36.0,0.0,45.0,1.0,1.0,True
12,45551,24.0,1.0,16.0,2.0,7640.0,36.0,2.0,30.0,1.0,1.0,False
13,45552,20.0,1.0,16.0,2.0,5260.0,42.0,17.0,7.0,2.0,3.0,False
14,45553,23.0,1.0,17.0,1.0,9600.0,42.0,7.0,32.0,1.0,1.0,False
15,45554,51.0,1.0,21.0,1.0,2310.0,42.0,1.0,30.0,2.0,1.0,False
16,45555,31.0,1.0,16.0,1.0,800.0,33.0,0.0,38.0,2.0,1.0,False
17,45556,36.0,1.0,17.0,1.0,7750.0,42.0,0.0,40.0,1.0,1.0,False
18,45557,49.0,2.0,19.0,2.0,4020.0,42.0,0.0,37.0,2.0,1.0,False
19,45558,27.0,7.0,16.0,1.0,4840.0,42.0,1.0,40.0,1.0,1.0,True
20,45559,50.0,7.0,21.0,2.0,735.0,42.0,13.0,40.0,2.0,1.0,False
21,45560,59.0,1.0,16.0,2.0,6355.0,42.0,0.0,40.0,1.0,1.0,False
22,45561,61.0,3.0,21.0,1.0,5420.0,42.0,0.0,12.0,2.0,1.0,False
23,45562,23.0,3.0,21.0,2.0,2310.0,42.0,0.0,40.0,1.0,1.0,False
24,45563,53.0,1.0,16.0,1.0,5600.0,42.0,1.0,40.0,2.0,1.0,False
25,45564,48.0,6.0,11.0,1.0,440.0,42.0,0.0,40.0,1.0,1.0,True
26,45565,77.0,1.0,16.0,2.0,3930.0,42.0,0.0,40.0,1.0,2.0,False
27,45566,53.0,1.0,21.0,1.0,4850.0,54.0,1.0,40.0,1.0,1.0,False
28,45567,18.0,1.0,16.0,2.0,4760.0,42.0,17.0,8.0,2.0,1.0,False
29,45568,54.0,1.0,16.0,1.0,9600.0,42.0,1.0,40.0,1.0,1.0,False
30,45569,25.0,1.0,21.0,2.0,710.0,42.0,2.0,40.0,2.0,1.0,False
31,45570,28.0,1.0,21.0,1.0,845.0,42.0,1.0,40.0,2.0,1.0,True
32,45571,28.0,3.0,18.0,2.0,3802.0,13.0,2.0,40.0,1.0,1.0,False
33,45572,23.0,1.0,21.0,2.0,5600.0,42.0,2.0,30.0,2.0,1.0,False
34,45573,50.0,2.0,16.0,1.0,5860.0,42.0,0.0,40.0,2.0,1.0,True
35,45574,22.0,1.0,14.0,2.0,9600.0,34.0,16.0,40.0,1.0,5.0,False
36,45575,59.0,2.0,19.0,1.0,3300.0,42.0,0.0,40.0,2.0,1.0,False
37,45576,64.0,1.0,16.0,1.0,4820.0,42.0,1.0,40.0,2.0,1.0,False
38,45577,40.0,1.0,22.0,2.0,1360.0,42.0,0.0,40.0,1.0,1.0,True
39,45578,37.0,4.0,21.0,1.0,2015.0,42.0,0.0,40.0,2.0,1.0,True
40,45579,52.0,3.0,20.0,1.0,4030.0,42.0,1.0,25.0,2.0,1.0,False
41,45580,45.0,1.0,21.0,1.0,120.0,6.0,0.0,45.0,1.0,1.0,True
42,45581,46.0,1.0,19.0,2.0,4510.0,42.0,0.0,40.0,1.0,1.0,False
43,45582,58.0,1.0,16.0,1.0,9130.0,42.0,1.0,40.0,1.0,1.0,True
44,45583,52.0,1.0,16.0,1.0,4010.0,42.0,1.0,40.0,2.0,1.0,False
45,45584,23.0,2.0,21.0,2.0,1010.0,42.0,0.0,40.0,1.0,1.0,False
46,45585,26.0,5.0,21.0,2.0,1410.0,22.0,0.0,40.0,2.0,1.0,True
47,45586,37.0,1.0,21.0,1.0,1021.0,210.0,0.0,40.0,1.0,3.0,True
48,45587,54.0,1.0,15.0,2.0,4010.0,42.0,13.0,35.0,2.0,1.0,False
49,45588,38.0,6.0,18.0,2.0,4230.0,42.0,0.0,6.0,2.0,2.0,False
50,45589,17.0,1.0,12.0,2.0,4055.0,42.0,2.0,18.0,1.0,1.0,False
51,45590,60.0,7.0,21.0,1.0,4920.0,42.0,0.0,40.0,1.0,1.0,True
52,45591,21.0,2.0,19.0,2.0,2350.0,5.0,0.0,10.0,2.0,1.0,False
53,45592,31.0,1.0,20.0,2.0,7200.0,42.0,0.0,45.0,1.0,1.0,False
54,45593,25.0,1.0,19.0,2.0,4040.0,39.0,2.0,30.0,1.0,1.0,False
55,45594,60.0,6.0,17.0,1.0,6230.0,39.0,1.0,50.0,1.0,1.0,True
56,45595,43.0,1.0,23.0,1.0,2100.0,42.0,9.0,44.0,1.0,2.0,True
57,45596,62.0,1.0,16.0,1.0,8465.0,42.0,0.0,48.0,1.0,1.0,False
58,45597,45.0,1.0,16.0,1.0,9645.0,10.0,1.0,95.0,2.0,1.0,False
59,45598,18.0,1.0,18.0,2.0,4720.0,42.0,17.0,70.0,1.0,1.0,False
60,45599,39.0,1.0,16.0,1.0,4000.0,217.0,0.0,40.0,1.0,3.0,False
61,45600,30.0,1.0,22.0,2.0,7200.0,42.0,2.0,36.0,2.0,1.0,False
62,45601,28.0,1.0,16.0,2.0,8225.0,42.0,0.0,44.0,1.0,1.0,False
63,45602,48.0,1.0,22.0,1.0,310.0,332.0,0.0,40.0,1.0,2.0,False
64,45603,48.0,2.0,21.0,2.0,4710.0,42.0,13.0,40.0,1.0,1.0,False
65,45604,20.0,1.0,18.0,2.0,3602.0,34.0,2.0,20.0,2.0,5.0,False
66,45605,34.0,2.0,19.0,1.0,4120.0,42.0,1.0,30.0,2.0,5.0,False
67,45606,59.0,1.0,16.0,1.0,5160.0,42.0,0.0,40.0,2.0,1.0,False
68,45607,26.0,5.0,21.0,2.0,5550.0,42.0,0.0,40.0,1.0,2.0,False
69,45608,22.0,1.0,21.0,2.0,845.0,36.0,0.0,50.0,2.0,1.0,False
70,45609,32.0,2.0,22.0,1.0,2310.0,42.0,1.0,10.0,2.0,1.0,False
71,45610,77.0,1.0,16.0,2.0,4030.0,24.0,0.0,16.0,2.0,1.0,False
72,45611,38.0,1.0,23.0,2.0,310.0,42.0,2.0,50.0,1.0,1.0,False
73,45612,57.0,1.0,16.0,2.0,410.0,42.0,0.0,40.0,2.0,1.0,True
74,45613,50.0,4.0,21.0,1.0,2310.0,42.0,1.0,50.0,1.0,1.0,True
75,45614,45.0,1.0,19.0,2.0,4110.0,42.0,2.0,80.0,2.0,1.0,False
76,45615,24.0,1.0,18.0,2.0,2310.0,427.0,17.0,30.0,2.0,2.0,False
77,45616,48.0,1.0,22.0,2.0,1360.0,42.0,0.0,40.0,2.0,1.0,True
78,45617,42.0,2.0,21.0,1.0,8740.0,42.0,0.0,40.0,2.0,1.0,True
79,45618,51.0,1.0,17.0,1.0,6442.0,42.0,0.0,50.0,1.0,1.0,False
