,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,3808,31.0,3.0,19.0,2.0,3740.0,45.0,0.0,48.0,1.0,1.0,True
1,3809,29.0,1.0,21.0,2.0,540.0,44.0,0.0,40.0,1.0,1.0,False
2,3810,31.0,1.0,21.0,1.0,4820.0,44.0,1.0,45.0,2.0,1.0,False
3,3811,21.0,2.0,19.0,2.0,1021.0,34.0,17.0,20.0,1.0,1.0,False
4,3812,56.0,7.0,18.0,1.0,6230.0,44.0,0.0,30.0,1.0,1.0,False
5,3813,61.0,6.0,18.0,2.0,6130.0,34.0,0.0,35.0,1.0,1.0,False
6,3814,18.0,1.0,18.0,2.0,4110.0,25.0,17.0,25.0,2.0,1.0,False
7,3815,50.0,2.0,18.0,1.0,110.0,44.0,0.0,40.0,2.0,1.0,False
8,3816,62.0,2.0,20.0,2.0,6355.0,129.0,0.0,40.0,1.0,1.0,True
9,3817,21.0,1.0,16.0,2.0,4120.0,55.0,17.0,40.0,2.0,5.0,False
10,3818,39.0,5.0,22.0,1.0,9800.0,12.0,0.0,40.0,1.0,1.0,True
11,3819,23.0,1.0,16.0,2.0,2721.0,301.0,12.0,13.0,1.0,1.0,True
12,3820,63.0,5.0,20.0,1.0,1108.0,25.0,1.0,40.0,2.0,1.0,True
13,3821,66.0,2.0,21.0,1.0,3255.0,25.0,0.0,24.0,2.0,1.0,True
14,3822,63.0,1.0,16.0,2.0,3645.0,364.0,0.0,15.0,2.0,1.0,False
15,3823,39.0,1.0,20.0,1.0,725.0,44.0,1.0,50.0,2.0,1.0,True
16,3824,48.0,1.0,16.0,1.0,4110.0,44.0,11.0,15.0,2.0,1.0,False
17,3825,70.0,3.0,21.0,2.0,2310.0,36.0,0.0,6.0,2.0,1.0,True
18,3826,64.0,7.0,16.0,1.0,5740.0,12.0,1.0,24.0,2.0,1.0,False
19,3827,30.0,1.0,22.0,1.0,4700.0,44.0,1.0,40.0,2.0,1.0,True
20,3828,42.0,4.0,24.0,1.0,2205.0,35.0,1.0,40.0,2.0,1.0,False
21,3829,44.0,1.0,9.0,1.0,9610.0,44.0,0.0,40.0,1.0,1.0,False
22,3830,58.0,2.0,22.0,1.0,3421.0,36.0,1.0,60.0,2.0,1.0,True
23,3831,45.0,3.0,21.0,2.0,2320.0,44.0,13.0,40.0,1.0,1.0,True
24,3832,44.0,1.0,19.0,1.0,1108.0,44.0,1.0,40.0,1.0,1.0,False
25,3833,55.0,1.0,21.0,1.0,845.0,44.0,0.0,40.0,2.0,1.0,True
26,3834,66.0,1.0,16.0,1.0,6200.0,44.0,0.0,40.0,1.0,1.0,True
27,3835,29.0,1.0,21.0,2.0,5740.0,25.0,0.0,40.0,2.0,1.0,False
28,3836,54.0,1.0,16.0,1.0,8365.0,329.0,1.0,40.0,1.0,1.0,False
29,3837,29.0,1.0,21.0,2.0,3255.0,44.0,13.0,32.0,2.0,1.0,True
30,3838,19.0,1.0,19.0,2.0,4110.0,36.0,17.0,20.0,2.0,1.0,False
31,3839,78.0,6.0,16.0,1.0,6260.0,44.0,1.0,40.0,1.0,1.0,False
32,3840,24.0,1.0,19.0,2.0,5020.0,36.0,2.0,10.0,2.0,1.0,False
33,3841,47.0,6.0,21.0,2.0,9142.0,329.0,0.0,45.0,1.0,5.0,True
34,3842,25.0,6.0,19.0,2.0,2350.0,25.0,2.0,2.0,2.0,1.0,False
35,3843,75.0,1.0,20.0,1.0,4220.0,44.0,1.0,40.0,1.0,1.0,False
36,3844,64.0,7.0,16.0,2.0,7340.0,44.0,0.0,25.0,1.0,1.0,False
37,3845,43.0,1.0,21.0,1.0,1032.0,44.0,0.0,50.0,2.0,1.0,False
38,3846,39.0,1.0,20.0,2.0,4230.0,329.0,0.0,40.0,2.0,5.0,False
39,3847,37.0,2.0,19.0,1.0,5740.0,33.0,0.0,37.0,2.0,1.0,False
