,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,1633,21.0,1.0,19.0,2.0,6355.0,46.0,2.0,40.0,1.0,1.0,False
1,1634,50.0,6.0,20.0,1.0,4510.0,38.0,0.0,35.0,2.0,1.0,False
2,1635,68.0,2.0,22.0,2.0,2180.0,46.0,0.0,48.0,2.0,1.0,True
3,1636,57.0,6.0,17.0,1.0,6410.0,46.0,1.0,40.0,1.0,4.0,False
4,1637,63.0,1.0,20.0,1.0,3255.0,46.0,1.0,74.0,2.0,1.0,True
5,1638,47.0,1.0,19.0,2.0,5850.0,19.0,0.0,40.0,2.0,1.0,False
6,1639,40.0,1.0,21.0,1.0,1010.0,46.0,1.0,50.0,1.0,1.0,True
7,1640,37.0,1.0,19.0,1.0,910.0,46.0,0.0,40.0,2.0,1.0,False
8,1641,59.0,2.0,16.0,1.0,5120.0,46.0,1.0,50.0,2.0,1.0,False
9,1642,55.0,1.0,13.0,2.0,4820.0,46.0,0.0,35.0,1.0,4.0,False
10,1643,46.0,1.0,20.0,2.0,8130.0,46.0,0.0,50.0,1.0,1.0,False
11,1644,38.0,5.0,21.0,1.0,5330.0,46.0,0.0,40.0,2.0,1.0,False
12,1645,45.0,3.0,21.0,1.0,2310.0,46.0,1.0,30.0,2.0,1.0,False
13,1646,35.0,3.0,16.0,2.0,3700.0,46.0,0.0,40.0,1.0,4.0,True
14,1647,32.0,1.0,19.0,2.0,6305.0,8.0,16.0,60.0,1.0,1.0,False
15,1648,69.0,1.0,18.0,1.0,4720.0,36.0,0.0,20.0,1.0,1.0,False
16,1649,25.0,1.0,19.0,2.0,3601.0,46.0,0.0,55.0,2.0,1.0,False
17,1650,18.0,2.0,18.0,2.0,3603.0,19.0,17.0,25.0,2.0,1.0,False
18,1651,60.0,1.0,16.0,1.0,9130.0,12.0,0.0,40.0,1.0,1.0,True
19,1652,47.0,1.0,20.0,2.0,4010.0,46.0,0.0,40.0,2.0,1.0,False
20,1653,24.0,1.0,16.0,2.0,3640.0,46.0,0.0,32.0,2.0,1.0,False
21,1654,22.0,5.0,18.0,2.0,5820.0,46.0,2.0,40.0,2.0,1.0,False
22,1655,29.0,6.0,20.0,2.0,4510.0,46.0,0.0,36.0,2.0,1.0,True
23,1656,19.0,3.0,18.0,2.0,4120.0,46.0,17.0,25.0,2.0,1.0,False
24,1657,50.0,1.0,21.0,1.0,160.0,46.0,1.0,40.0,1.0,1.0,True
25,1658,26.0,1.0,18.0,1.0,4020.0,12.0,2.0,40.0,1.0,1.0,False
26,1659,50.0,2.0,19.0,1.0,4230.0,46.0,1.0,40.0,2.0,4.0,False
27,1660,51.0,1.0,16.0,2.0,4230.0,46.0,0.0,35.0,2.0,4.0,False
28,1661,59.0,2.0,19.0,2.0,8990.0,20.0,0.0,40.0,1.0,1.0,False
29,1662,20.0,1.0,19.0,2.0,1450.0,46.0,2.0,60.0,2.0,1.0,False
30,1663,39.0,1.0,16.0,1.0,4230.0,31.0,1.0,40.0,2.0,1.0,False
31,1664,66.0,6.0,11.0,1.0,205.0,46.0,0.0,50.0,1.0,1.0,True
32,1665,22.0,1.0,18.0,2.0,7800.0,46.0,12.0,40.0,2.0,1.0,False
33,1666,35.0,6.0,21.0,1.0,205.0,46.0,0.0,70.0,1.0,1.0,True
34,1667,63.0,1.0,18.0,1.0,9130.0,46.0,0.0,46.0,1.0,1.0,False
35,1668,24.0,1.0,21.0,2.0,3255.0,46.0,13.0,24.0,2.0,1.0,False
36,1669,50.0,1.0,19.0,1.0,4230.0,53.0,1.0,20.0,2.0,1.0,False
37,1670,33.0,1.0,16.0,1.0,5330.0,46.0,0.0,40.0,2.0,4.0,True
38,1671,53.0,7.0,16.0,1.0,4700.0,46.0,1.0,60.0,1.0,1.0,False
