,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,22669,36.0,2.0,22.0,1.0,350.0,126.0,1.0,40.0,1.0,1.0,True
1,22670,47.0,1.0,21.0,1.0,4710.0,33.0,0.0,50.0,2.0,1.0,True
2,22671,61.0,1.0,16.0,1.0,3515.0,47.0,1.0,38.0,2.0,1.0,False
3,22672,34.0,1.0,22.0,1.0,3050.0,13.0,1.0,5.0,2.0,1.0,False
4,22673,48.0,1.0,21.0,1.0,52.0,25.0,0.0,40.0,1.0,1.0,True
5,22674,39.0,6.0,18.0,2.0,4220.0,27.0,0.0,40.0,1.0,1.0,False
6,22675,39.0,6.0,23.0,1.0,1305.0,47.0,1.0,45.0,1.0,1.0,False
7,22676,61.0,7.0,19.0,1.0,800.0,47.0,0.0,24.0,2.0,1.0,False
8,22677,32.0,1.0,17.0,2.0,4140.0,18.0,2.0,15.0,1.0,1.0,False
9,22678,59.0,1.0,16.0,2.0,4030.0,47.0,13.0,40.0,2.0,2.0,False
10,22679,65.0,1.0,16.0,1.0,8030.0,47.0,1.0,40.0,1.0,1.0,True
11,22680,52.0,1.0,21.0,1.0,7340.0,47.0,0.0,45.0,1.0,2.0,True
12,22681,44.0,6.0,21.0,1.0,230.0,6.0,0.0,10.0,2.0,1.0,False
13,22682,42.0,6.0,13.0,1.0,6230.0,303.0,0.0,48.0,1.0,1.0,False
14,22683,46.0,1.0,16.0,2.0,7200.0,51.0,0.0,45.0,1.0,1.0,False
15,22684,26.0,4.0,16.0,1.0,3802.0,150.0,2.0,40.0,2.0,1.0,False
16,22685,40.0,1.0,16.0,1.0,8140.0,47.0,0.0,40.0,1.0,1.0,False
17,22686,71.0,1.0,17.0,1.0,8225.0,303.0,0.0,40.0,1.0,1.0,False
18,22687,25.0,1.0,19.0,2.0,4940.0,47.0,13.0,30.0,1.0,1.0,False
19,22688,57.0,1.0,16.0,1.0,6410.0,39.0,0.0,48.0,1.0,1.0,False
20,22689,52.0,1.0,16.0,2.0,110.0,6.0,0.0,60.0,1.0,1.0,True
21,22690,75.0,6.0,19.0,1.0,4920.0,47.0,1.0,20.0,2.0,1.0,True
22,22691,46.0,1.0,18.0,1.0,8740.0,27.0,1.0,55.0,1.0,1.0,True
23,22692,46.0,1.0,16.0,2.0,6260.0,47.0,0.0,49.0,1.0,1.0,False
24,22693,26.0,1.0,19.0,1.0,8990.0,25.0,0.0,50.0,1.0,1.0,False
25,22694,49.0,1.0,21.0,1.0,3255.0,17.0,1.0,30.0,2.0,1.0,True
26,22695,43.0,1.0,19.0,1.0,4710.0,47.0,1.0,40.0,2.0,1.0,False
27,22696,40.0,1.0,19.0,1.0,4020.0,48.0,1.0,40.0,2.0,1.0,False
28,22697,65.0,3.0,19.0,1.0,5740.0,47.0,1.0,40.0,2.0,1.0,False
29,22698,54.0,3.0,16.0,1.0,4220.0,21.0,0.0,40.0,1.0,1.0,False
30,22699,26.0,1.0,19.0,2.0,7340.0,47.0,7.0,16.0,1.0,1.0,False
31,22700,31.0,1.0,19.0,2.0,9620.0,37.0,0.0,20.0,2.0,2.0,False
32,22701,45.0,1.0,18.0,1.0,4760.0,39.0,0.0,40.0,1.0,2.0,False
33,22702,42.0,1.0,19.0,1.0,6410.0,12.0,1.0,30.0,1.0,5.0,False
34,22703,40.0,1.0,16.0,2.0,7750.0,47.0,0.0,40.0,1.0,2.0,False
35,22704,18.0,1.0,16.0,2.0,9365.0,47.0,17.0,40.0,1.0,1.0,False
36,22705,46.0,3.0,13.0,1.0,9122.0,47.0,1.0,20.0,2.0,1.0,False
37,22706,41.0,1.0,21.0,1.0,5820.0,47.0,1.0,20.0,2.0,1.0,False
38,22707,34.0,1.0,16.0,2.0,4110.0,21.0,9.0,20.0,2.0,1.0,False
39,22708,28.0,6.0,21.0,1.0,5120.0,29.0,2.0,20.0,2.0,1.0,False
