,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,54.0,1.0,19.0,2.0,3255.0,48.0,2.0,45.0,2.0,1.0,False
1,1,60.0,1.0,16.0,2.0,7200.0,48.0,0.0,60.0,1.0,1.0,True
2,2,49.0,1.0,18.0,1.0,8040.0,48.0,0.0,40.0,1.0,1.0,True
3,3,37.0,1.0,19.0,1.0,4621.0,48.0,0.0,25.0,2.0,1.0,False
4,4,25.0,7.0,19.0,1.0,310.0,231.0,5.0,40.0,1.0,3.0,False
5,5,51.0,1.0,18.0,1.0,440.0,48.0,1.0,40.0,1.0,2.0,False
6,6,31.0,6.0,21.0,1.0,735.0,40.0,0.0,50.0,1.0,1.0,True
7,7,20.0,1.0,19.0,2.0,4020.0,48.0,16.0,40.0,1.0,2.0,False
8,8,43.0,7.0,21.0,1.0,5740.0,6.0,0.0,50.0,2.0,3.0,False
9,9,62.0,3.0,22.0,2.0,2014.0,48.0,0.0,40.0,2.0,1.0,True
10,10,70.0,2.0,21.0,1.0,540.0,48.0,1.0,40.0,1.0,1.0,True
11,11,44.0,2.0,19.0,1.0,5120.0,27.0,0.0,29.0,2.0,1.0,False
12,12,40.0,1.0,13.0,1.0,5740.0,48.0,1.0,40.0,2.0,1.0,False
13,13,58.0,1.0,14.0,2.0,2360.0,303.0,2.0,50.0,2.0,1.0,False
14,14,26.0,1.0,21.0,2.0,4251.0,48.0,2.0,55.0,1.0,5.0,False
15,15,32.0,1.0,16.0,2.0,6355.0,48.0,2.0,40.0,1.0,1.0,False
16,16,46.0,5.0,21.0,1.0,3910.0,48.0,0.0,99.0,1.0,1.0,True
17,17,23.0,1.0,19.0,1.0,9620.0,48.0,9.0,35.0,1.0,1.0,False
18,18,70.0,7.0,21.0,1.0,4760.0,48.0,0.0,10.0,1.0,1.0,True
19,19,66.0,1.0,11.0,1.0,9645.0,303.0,8.0,40.0,1.0,1.0,False
20,20,54.0,1.0,9.0,1.0,4230.0,303.0,0.0,40.0,2.0,1.0,False
21,21,26.0,1.0,19.0,2.0,4230.0,314.0,13.0,25.0,2.0,1.0,False
22,22,17.0,1.0,13.0,2.0,4110.0,48.0,2.0,20.0,1.0,1.0,False
23,23,26.0,1.0,19.0,2.0,8350.0,48.0,0.0,40.0,1.0,5.0,False
24,24,66.0,1.0,21.0,1.0,9130.0,48.0,0.0,4.0,1.0,1.0,False
25,25,56.0,1.0,16.0,2.0,2006.0,40.0,2.0,45.0,1.0,4.0,False
26,26,27.0,1.0,21.0,2.0,940.0,48.0,0.0,50.0,1.0,3.0,True
27,27,24.0,1.0,19.0,2.0,5860.0,303.0,4.0,40.0,1.0,1.0,False
28,28,23.0,1.0,21.0,2.0,5360.0,18.0,12.0,40.0,2.0,1.0,False
29,29,46.0,1.0,19.0,1.0,5120.0,303.0,1.0,35.0,2.0,1.0,False
30,30,30.0,1.0,21.0,1.0,800.0,48.0,1.0,45.0,2.0,1.0,True
31,31,35.0,1.0,19.0,1.0,9645.0,6.0,0.0,50.0,1.0,1.0,True
32,32,19.0,1.0,19.0,2.0,1520.0,48.0,12.0,40.0,1.0,1.0,False
33,33,52.0,6.0,10.0,1.0,136.0,48.0,1.0,40.0,1.0,1.0,False
34,34,54.0,1.0,21.0,1.0,800.0,48.0,1.0,50.0,2.0,1.0,True
35,35,48.0,3.0,16.0,1.0,9122.0,48.0,0.0,40.0,1.0,2.0,True
36,36,23.0,1.0,21.0,2.0,4965.0,48.0,0.0,60.0,2.0,1.0,False
37,37,48.0,1.0,17.0,1.0,9645.0,303.0,0.0,35.0,2.0,1.0,False
