,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,58.0,1.0,16.0,1.0,4850.0,27.0,1.0,50.0,1.0,1.0,True
1,1,40.0,7.0,21.0,1.0,440.0,55.0,0.0,70.0,1.0,1.0,True
2,2,31.0,1.0,21.0,1.0,7020.0,4.0,1.0,60.0,1.0,1.0,True
3,3,62.0,1.0,20.0,2.0,4820.0,55.0,13.0,40.0,2.0,1.0,True
4,4,47.0,1.0,18.0,1.0,3603.0,55.0,1.0,40.0,2.0,5.0,False
5,5,44.0,1.0,20.0,1.0,5600.0,55.0,1.0,40.0,2.0,1.0,False
6,6,64.0,3.0,21.0,1.0,5000.0,55.0,0.0,40.0,2.0,1.0,False
7,7,41.0,1.0,19.0,1.0,3421.0,55.0,1.0,40.0,2.0,2.0,True
8,8,62.0,6.0,15.0,2.0,6130.0,55.0,0.0,50.0,1.0,1.0,False
9,9,29.0,1.0,16.0,1.0,5400.0,50.0,0.0,40.0,2.0,1.0,False
10,10,29.0,3.0,21.0,2.0,3545.0,55.0,13.0,40.0,2.0,1.0,False
11,11,48.0,7.0,19.0,2.0,4700.0,55.0,0.0,40.0,1.0,1.0,False
12,12,56.0,1.0,20.0,1.0,5330.0,55.0,1.0,20.0,2.0,1.0,False
13,13,50.0,1.0,16.0,1.0,530.0,55.0,0.0,50.0,1.0,1.0,True
14,14,18.0,1.0,16.0,2.0,6305.0,55.0,2.0,40.0,1.0,1.0,False
15,15,35.0,1.0,21.0,1.0,705.0,55.0,0.0,40.0,1.0,1.0,True
16,16,36.0,1.0,19.0,2.0,4510.0,17.0,0.0,65.0,1.0,2.0,False
17,17,53.0,1.0,21.0,1.0,9645.0,26.0,0.0,38.0,2.0,1.0,False
18,18,46.0,2.0,22.0,1.0,350.0,55.0,0.0,40.0,1.0,1.0,True
19,19,54.0,1.0,18.0,1.0,440.0,55.0,0.0,52.0,1.0,1.0,True
20,20,17.0,1.0,14.0,2.0,4251.0,55.0,2.0,30.0,1.0,1.0,False
21,21,66.0,1.0,21.0,1.0,4850.0,17.0,0.0,50.0,1.0,1.0,False
22,22,58.0,1.0,20.0,1.0,8990.0,27.0,1.0,24.0,1.0,1.0,False
23,23,34.0,2.0,21.0,1.0,726.0,55.0,0.0,42.0,1.0,1.0,True
24,24,65.0,1.0,16.0,1.0,7340.0,55.0,0.0,40.0,1.0,1.0,True
25,25,33.0,1.0,19.0,2.0,7700.0,55.0,0.0,47.0,1.0,1.0,True
26,26,42.0,2.0,19.0,1.0,5240.0,26.0,1.0,40.0,2.0,1.0,False
27,27,29.0,7.0,19.0,2.0,9600.0,55.0,0.0,40.0,1.0,1.0,True
28,28,33.0,1.0,19.0,1.0,7700.0,436.0,1.0,40.0,1.0,1.0,False
29,29,20.0,5.0,19.0,2.0,7210.0,37.0,17.0,40.0,1.0,1.0,False
30,30,60.0,1.0,16.0,1.0,8800.0,55.0,1.0,40.0,1.0,1.0,False
31,31,30.0,1.0,21.0,2.0,136.0,55.0,0.0,50.0,2.0,1.0,True
32,32,60.0,1.0,20.0,1.0,3655.0,55.0,0.0,40.0,2.0,1.0,False
33,33,37.0,1.0,21.0,1.0,110.0,12.0,1.0,40.0,1.0,1.0,True
34,34,23.0,1.0,19.0,2.0,4760.0,55.0,12.0,55.0,1.0,1.0,False
35,35,43.0,3.0,21.0,1.0,110.0,55.0,0.0,38.0,2.0,1.0,True
36,36,19.0,4.0,16.0,2.0,3960.0,207.0,17.0,12.0,1.0,3.0,False
37,37,36.0,1.0,19.0,2.0,440.0,37.0,0.0,40.0,1.0,1.0,True
38,38,18.0,1.0,16.0,2.0,9150.0,17.0,17.0,20.0,1.0,1.0,False
39,39,22.0,1.0,21.0,2.0,3245.0,55.0,0.0,40.0,2.0,1.0,False
40,40,56.0,1.0,16.0,2.0,4700.0,55.0,0.0,35.0,2.0,1.0,True
41,41,85.0,6.0,19.0,1.0,4500.0,55.0,1.0,16.0,1.0,1.0,False
42,42,24.0,1.0,16.0,2.0,6050.0,55.0,0.0,50.0,1.0,1.0,True
43,43,56.0,1.0,23.0,2.0,310.0,55.0,11.0,50.0,1.0,1.0,False
44,44,19.0,1.0,16.0,2.0,4020.0,55.0,2.0,20.0,1.0,1.0,False
45,45,62.0,2.0,18.0,1.0,4700.0,55.0,0.0,45.0,1.0,1.0,True
46,46,51.0,1.0,23.0,2.0,3090.0,55.0,0.0,50.0,1.0,1.0,True
47,47,42.0,1.0,16.0,1.0,5610.0,55.0,1.0,40.0,2.0,1.0,False
48,48,21.0,1.0,16.0,2.0,6050.0,55.0,2.0,60.0,1.0,1.0,False
49,49,39.0,1.0,16.0,2.0,9130.0,55.0,13.0,50.0,1.0,1.0,False
50,50,58.0,1.0,19.0,1.0,5840.0,55.0,0.0,40.0,2.0,1.0,False
51,51,25.0,1.0,20.0,2.0,7240.0,55.0,0.0,40.0,1.0,1.0,False
52,52,34.0,1.0,22.0,1.0,2861.0,55.0,1.0,40.0,1.0,1.0,False
53,53,42.0,1.0,17.0,1.0,6260.0,55.0,0.0,40.0,1.0,1.0,True
54,54,52.0,1.0,19.0,1.0,4760.0,55.0,1.0,40.0,1.0,1.0,False
55,55,60.0,1.0,20.0,1.0,7410.0,55.0,1.0,50.0,1.0,1.0,False
56,56,41.0,1.0,16.0,1.0,5260.0,55.0,1.0,40.0,2.0,1.0,True
57,57,71.0,4.0,19.0,1.0,5860.0,55.0,0.0,40.0,2.0,1.0,True
58,58,57.0,1.0,22.0,2.0,800.0,55.0,15.0,45.0,2.0,1.0,True
59,59,60.0,1.0,16.0,1.0,4700.0,55.0,1.0,40.0,2.0,1.0,False
60,60,57.0,4.0,19.0,1.0,4220.0,55.0,1.0,48.0,1.0,1.0,False
61,61,30.0,1.0,17.0,2.0,440.0,27.0,0.0,45.0,1.0,1.0,False
62,62,48.0,2.0,20.0,2.0,3603.0,55.0,0.0,36.0,2.0,1.0,False
63,63,18.0,1.0,14.0,2.0,4600.0,27.0,2.0,3.0,2.0,1.0,False
64,64,61.0,1.0,16.0,2.0,8740.0,26.0,0.0,36.0,1.0,1.0,False
