,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,51.0,1.0,16.0,1.0,6260.0,56.0,0.0,60.0,1.0,1.0,False
1,1,37.0,5.0,16.0,1.0,9830.0,233.0,0.0,40.0,1.0,3.0,True
2,2,42.0,4.0,24.0,1.0,2205.0,20.0,1.0,50.0,2.0,1.0,True
3,3,44.0,1.0,20.0,1.0,1105.0,56.0,1.0,40.0,1.0,1.0,True
4,4,18.0,1.0,14.0,2.0,4720.0,56.0,4.0,8.0,2.0,1.0,False
5,5,39.0,1.0,20.0,1.0,1108.0,6.0,1.0,35.0,1.0,1.0,True
6,6,35.0,7.0,16.0,2.0,6305.0,16.0,0.0,55.0,1.0,1.0,False
7,7,67.0,4.0,22.0,1.0,4700.0,36.0,0.0,40.0,2.0,1.0,False
8,8,60.0,3.0,16.0,1.0,5350.0,56.0,1.0,40.0,2.0,1.0,False
9,9,60.0,1.0,22.0,1.0,2002.0,56.0,1.0,50.0,1.0,1.0,True
10,10,29.0,1.0,16.0,1.0,205.0,56.0,1.0,60.0,1.0,1.0,False
11,11,53.0,1.0,21.0,1.0,4850.0,49.0,1.0,40.0,1.0,1.0,True
12,12,72.0,1.0,19.0,1.0,9130.0,38.0,1.0,45.0,1.0,1.0,False
13,13,23.0,1.0,18.0,2.0,6230.0,56.0,2.0,40.0,1.0,1.0,False
14,14,53.0,7.0,19.0,2.0,2300.0,46.0,0.0,40.0,2.0,1.0,False
15,15,51.0,1.0,19.0,1.0,5120.0,31.0,0.0,50.0,2.0,1.0,False
16,16,59.0,1.0,20.0,1.0,1430.0,56.0,1.0,32.0,1.0,1.0,False
17,17,17.0,6.0,13.0,2.0,4251.0,56.0,2.0,1.0,1.0,1.0,False
18,18,34.0,4.0,21.0,1.0,2310.0,8.0,1.0,50.0,2.0,1.0,True
19,19,17.0,1.0,14.0,2.0,4055.0,56.0,2.0,25.0,2.0,1.0,False
