model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
LogisticRegression,0.7584097859327217,1.0_2.0,0.10777777777777778,1.0_2.0,0.3411764705882353,1.0_2.0,0.0493335265140539,SD_2
XGBoost,0.7889908256880734,1.0_2.0,0.07592592592592592,1.0_2.0,0.5529411764705883,2.0_1.0,0.026960784313725505,SD_2
LogisticRegression,0.7872053872053872,2.0_1.0,0.0719696969696969,4.0_5.0,0.6666666666666667,1.0_2.0,0.10026544401544402,AL_0
XGBoost,0.7811447811447811,1.0_2.0,0.05314505581409497,3.0_4.0,0.33333333333333337,1.0_2.0,0.12202129584942085,AL_0
LogisticRegression,0.7917383820998278,1.0_2.0,0.04714053494901732,3.0_2.0,1.0,1.0_2.0,0.1799069767441861,NM_0
XGBoost,0.7762478485370051,2.0_1.0,0.0871878232599379,3.0_4.0,0.75,1.0_2.0,0.11481213872832371,NM_0
LogisticRegression,0.8008611410118407,2.0_1.0,0.01833304453300988,2.0_3.0,0.47058823529411764,2.0_1.0,0.12478748724923494,AR_2
XGBoost,0.813778256189451,1.0_2.0,0.01673886674753075,5.0_3.0,1.0,2.0_1.0,0.060098605916354964,AR_2
LogisticRegression,0.7371349095966621,1.0_2.0,0.05303974518764715,2.0_3.0,0.5,1.0_2.0,0.11374517017903049,NE_2
XGBoost,0.7552155771905424,1.0_2.0,0.08659927064580158,1.0_3.0,0.5533980582524272,1.0_2.0,0.14635093167701863,NE_2
LogisticRegression,0.7746901990236575,2.0_1.0,0.08391587044781587,3.0_4.0,0.24135497529992944,1.0_2.0,0.13336149075497988,WA_2
XGBoost,0.8021028914757792,1.0_2.0,0.05825565912117181,4.0_5.0,0.1919642857142857,1.0_2.0,0.13042301111135174,WA_2
LogisticRegression,0.7825460829493087,2.0_1.0,0.08018867924528306,1.0_4.0,0.3522610483042138,1.0_2.0,0.2044025157232704,NC_1
XGBoost,0.7978110599078341,2.0_1.0,0.024595687331536387,3.0_4.0,0.44499999999999995,1.0_2.0,0.11163045385513666,NC_1
LogisticRegression,0.7813437312537492,2.0_1.0,0.09689844317173513,3.0_5.0,0.33999999999999997,1.0_2.0,0.1065420344779775,MI_1
XGBoost,0.7903419316136773,1.0_2.0,0.028633099863442146,3.0_2.0,0.43846153846153846,1.0_2.0,0.1316995578561414,MI_1
LogisticRegression,0.7593557555660825,2.0_1.0,0.09206001428911648,3.0_4.0,0.7333333333333333,1.0_2.0,0.08566063397369521,MO_2
XGBoost,0.7944102321174799,2.0_1.0,0.07026434865444153,3.0_4.0,0.8,1.0_2.0,0.07184751866219495,MO_2
LogisticRegression,0.7831775700934579,2.0_1.0,0.05479201249877941,4.0_5.0,0.42105263157894735,1.0_2.0,0.16558314522197137,MA_0
