AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
65.0,1.0,19.0,1.0,3602.0,6.0,1.0,56.0,2.0,1.0,False
34.0,1.0,20.0,2.0,5160.0,2.0,13.0,40.0,2.0,2.0,False
49.0,3.0,22.0,1.0,2310.0,120.0,1.0,40.0,2.0,1.0,False
39.0,6.0,19.0,2.0,9620.0,6.0,15.0,50.0,1.0,2.0,False
57.0,1.0,16.0,1.0,4700.0,41.0,0.0,40.0,2.0,1.0,False
52.0,3.0,21.0,2.0,3740.0,53.0,0.0,40.0,1.0,1.0,False
20.0,3.0,18.0,2.0,3401.0,2.0,17.0,45.0,1.0,2.0,True
37.0,1.0,18.0,2.0,4510.0,2.0,2.0,20.0,2.0,2.0,False
58.0,1.0,16.0,1.0,440.0,2.0,1.0,40.0,1.0,2.0,True
59.0,6.0,16.0,2.0,6115.0,2.0,15.0,80.0,1.0,2.0,False
53.0,2.0,18.0,1.0,3655.0,2.0,1.0,30.0,2.0,2.0,False
17.0,1.0,12.0,2.0,6115.0,2.0,2.0,99.0,1.0,2.0,False
66.0,6.0,19.0,1.0,6230.0,19.0,1.0,40.0,1.0,1.0,True
53.0,4.0,18.0,1.0,5500.0,6.0,0.0,34.0,1.0,1.0,False
57.0,5.0,11.0,1.0,5940.0,53.0,0.0,40.0,1.0,1.0,True
37.0,3.0,21.0,2.0,2014.0,5.0,0.0,38.0,1.0,2.0,True
44.0,1.0,19.0,2.0,4040.0,6.0,0.0,36.0,2.0,1.0,False
33.0,5.0,19.0,2.0,7140.0,22.0,0.0,40.0,1.0,1.0,False
28.0,3.0,16.0,2.0,5860.0,2.0,13.0,40.0,2.0,2.0,False
28.0,1.0,16.0,2.0,9141.0,2.0,0.0,70.0,1.0,1.0,True
64.0,8.0,20.0,1.0,8640.0,26.0,0.0,40.0,1.0,1.0,True
46.0,4.0,19.0,2.0,5860.0,2.0,0.0,36.0,2.0,1.0,False
28.0,3.0,16.0,2.0,440.0,2.0,3.0,20.0,2.0,2.0,False
57.0,6.0,19.0,2.0,6200.0,2.0,2.0,50.0,1.0,1.0,True
48.0,6.0,23.0,1.0,2100.0,42.0,0.0,40.0,1.0,1.0,True
80.0,6.0,16.0,1.0,6115.0,36.0,0.0,42.0,1.0,1.0,False
50.0,1.0,17.0,1.0,4840.0,26.0,1.0,40.0,1.0,1.0,True
34.0,1.0,23.0,1.0,3010.0,41.0,0.0,24.0,2.0,1.0,True
60.0,3.0,20.0,1.0,530.0,53.0,0.0,30.0,2.0,2.0,False
44.0,2.0,20.0,1.0,440.0,48.0,1.0,40.0,2.0,1.0,True
27.0,1.0,11.0,2.0,9645.0,2.0,3.0,84.0,1.0,2.0,False
39.0,5.0,21.0,1.0,6442.0,17.0,1.0,40.0,1.0,1.0,True
65.0,6.0,21.0,2.0,2600.0,23.0,0.0,72.0,2.0,1.0,False
24.0,5.0,18.0,1.0,136.0,48.0,1.0,40.0,1.0,1.0,False
35.0,1.0,21.0,1.0,2014.0,16.0,1.0,40.0,2.0,1.0,False
58.0,3.0,22.0,2.0,2310.0,301.0,0.0,40.0,2.0,1.0,True
63.0,1.0,16.0,1.0,9620.0,6.0,0.0,40.0,2.0,1.0,False
71.0,1.0,21.0,2.0,3050.0,26.0,5.0,40.0,1.0,1.0,False
52.0,6.0,21.0,2.0,2360.0,19.0,0.0,50.0,1.0,1.0,False
33.0,3.0,16.0,1.0,7700.0,20.0,1.0,40.0,2.0,1.0,True
59.0,7.0,16.0,1.0,6410.0,2.0,0.0,40.0,1.0,1.0,True
26.0,3.0,16.0,2.0,9130.0,2.0,2.0,40.0,2.0,2.0,False
68.0,1.0,19.0,1.0,4230.0,233.0,17.0,70.0,1.0,2.0,False
19.0,1.0,16.0,2.0,4030.0,53.0,12.0,40.0,2.0,1.0,False
