AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
58.0,5.0,19.0,2.0,5740.0,53.0,0.0,40.0,1.0,1.0,False
27.0,2.0,16.0,2.0,2016.0,6.0,0.0,40.0,1.0,1.0,False
29.0,1.0,21.0,1.0,2300.0,6.0,0.0,20.0,2.0,1.0,False
53.0,8.0,9.0,1.0,4600.0,303.0,1.0,23.0,2.0,2.0,False
19.0,1.0,19.0,2.0,4110.0,4.0,12.0,25.0,2.0,1.0,False
34.0,1.0,17.0,2.0,8030.0,32.0,13.0,45.0,1.0,1.0,False
48.0,1.0,21.0,1.0,800.0,17.0,1.0,40.0,2.0,1.0,True
60.0,8.0,19.0,1.0,850.0,26.0,1.0,50.0,1.0,1.0,False
43.0,1.0,21.0,2.0,2310.0,6.0,0.0,30.0,2.0,1.0,False
52.0,1.0,19.0,1.0,4840.0,6.0,1.0,45.0,2.0,1.0,True
67.0,1.0,13.0,1.0,5240.0,48.0,1.0,45.0,2.0,2.0,False
56.0,1.0,21.0,1.0,800.0,26.0,0.0,40.0,1.0,1.0,False
37.0,1.0,16.0,2.0,6240.0,56.0,0.0,40.0,1.0,1.0,False
30.0,2.0,21.0,2.0,2002.0,6.0,0.0,40.0,2.0,1.0,False
40.0,1.0,11.0,1.0,4000.0,207.0,0.0,60.0,1.0,2.0,False
53.0,1.0,22.0,1.0,440.0,6.0,1.0,40.0,1.0,1.0,True
38.0,1.0,19.0,2.0,5110.0,4.0,0.0,40.0,2.0,1.0,False
34.0,1.0,18.0,2.0,1050.0,4.0,2.0,40.0,2.0,1.0,True
25.0,2.0,22.0,1.0,3110.0,49.0,1.0,40.0,2.0,1.0,True
64.0,1.0,16.0,1.0,5740.0,47.0,0.0,40.0,2.0,1.0,False
41.0,1.0,21.0,1.0,110.0,210.0,1.0,40.0,2.0,2.0,False
51.0,1.0,22.0,2.0,705.0,40.0,0.0,40.0,2.0,1.0,False
60.0,1.0,18.0,2.0,2170.0,51.0,0.0,40.0,2.0,1.0,False
75.0,1.0,22.0,1.0,1320.0,4.0,0.0,40.0,1.0,1.0,True
41.0,1.0,21.0,2.0,7340.0,15.0,0.0,48.0,1.0,2.0,True
71.0,6.0,22.0,1.0,2600.0,26.0,0.0,4.0,2.0,1.0,False
62.0,2.0,19.0,2.0,350.0,26.0,0.0,50.0,2.0,2.0,True
56.0,1.0,16.0,2.0,5120.0,110.0,0.0,40.0,2.0,1.0,False
23.0,1.0,16.0,2.0,9620.0,6.0,2.0,15.0,1.0,1.0,False
53.0,5.0,19.0,1.0,4020.0,4.0,0.0,40.0,1.0,2.0,False
50.0,1.0,16.0,1.0,5140.0,17.0,0.0,40.0,2.0,1.0,False
19.0,7.0,19.0,2.0,4230.0,303.0,2.0,15.0,2.0,1.0,False
41.0,1.0,19.0,2.0,4600.0,53.0,0.0,26.0,2.0,1.0,False
61.0,6.0,16.0,2.0,9142.0,26.0,0.0,40.0,1.0,1.0,False
28.0,6.0,16.0,2.0,4600.0,303.0,0.0,24.0,2.0,2.0,False
58.0,6.0,21.0,1.0,205.0,26.0,1.0,80.0,2.0,1.0,False
66.0,1.0,19.0,1.0,3500.0,18.0,0.0,40.0,2.0,1.0,True
57.0,2.0,16.0,1.0,8740.0,6.0,1.0,32.0,2.0,1.0,False
58.0,1.0,21.0,1.0,3255.0,42.0,0.0,36.0,2.0,1.0,True
57.0,1.0,16.0,1.0,220.0,48.0,1.0,45.0,1.0,2.0,True
18.0,1.0,16.0,2.0,3603.0,2.0,2.0,30.0,2.0,1.0,False
51.0,5.0,19.0,1.0,3870.0,11.0,0.0,50.0,1.0,1.0,True
56.0,2.0,21.0,2.0,4965.0,19.0,0.0,20.0,2.0,1.0,False
69.0,3.0,22.0,1.0,4760.0,39.0,1.0,18.0,1.0,1.0,True
32.0,6.0,18.0,2.0,710.0,134.0,0.0,40.0,2.0,2.0,False
30.0,3.0,21.0,2.0,2310.0,4.0,0.0,40.0,1.0,1.0,False
51.0,3.0,19.0,1.0,2862.0,6.0,0.0,50.0,2.0,1.0,True
62.0,6.0,22.0,1.0,7200.0,27.0,0.0,35.0,1.0,1.0,False
37.0,1.0,15.0,1.0,9130.0,4.0,1.0,50.0,1.0,1.0,False
