AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
46.0,6.0,21.0,2.0,220.0,9.0,13.0,65.0,1.0,1.0,True
44.0,1.0,20.0,2.0,2300.0,9.0,0.0,40.0,2.0,1.0,False
41.0,1.0,21.0,1.0,150.0,36.0,1.0,40.0,2.0,1.0,True
52.0,2.0,22.0,1.0,1108.0,36.0,0.0,45.0,1.0,1.0,True
38.0,3.0,22.0,1.0,2002.0,9.0,0.0,40.0,1.0,1.0,True
23.0,1.0,21.0,2.0,1021.0,9.0,2.0,40.0,2.0,1.0,True
35.0,1.0,1.0,2.0,4521.0,303.0,0.0,30.0,2.0,2.0,False
40.0,1.0,19.0,1.0,1545.0,9.0,0.0,40.0,1.0,1.0,True
56.0,6.0,16.0,1.0,8335.0,25.0,0.0,50.0,1.0,1.0,True
54.0,3.0,19.0,1.0,5740.0,9.0,0.0,40.0,2.0,1.0,True
32.0,2.0,21.0,2.0,1108.0,212.0,11.0,15.0,2.0,2.0,False
29.0,2.0,22.0,1.0,750.0,9.0,0.0,40.0,2.0,1.0,True
53.0,6.0,15.0,2.0,6260.0,72.0,0.0,46.0,1.0,1.0,False
42.0,1.0,20.0,1.0,2700.0,6.0,1.0,50.0,1.0,2.0,True
35.0,1.0,21.0,1.0,4710.0,9.0,0.0,41.0,1.0,1.0,True
51.0,1.0,16.0,2.0,7700.0,36.0,10.0,45.0,1.0,1.0,True
42.0,1.0,22.0,1.0,220.0,9.0,1.0,60.0,1.0,1.0,True
47.0,1.0,16.0,1.0,9620.0,421.0,1.0,25.0,2.0,2.0,False
27.0,1.0,9.0,2.0,4251.0,313.0,13.0,37.0,1.0,1.0,False
57.0,1.0,23.0,1.0,3090.0,36.0,0.0,36.0,1.0,1.0,True
77.0,1.0,21.0,1.0,4710.0,9.0,1.0,35.0,1.0,1.0,True
65.0,1.0,19.0,1.0,7020.0,9.0,0.0,40.0,1.0,1.0,True
43.0,1.0,19.0,1.0,9121.0,462.0,1.0,20.0,2.0,2.0,False
54.0,1.0,16.0,1.0,4710.0,9.0,1.0,40.0,2.0,1.0,True
65.0,1.0,21.0,1.0,52.0,36.0,1.0,40.0,1.0,1.0,True
62.0,3.0,22.0,2.0,2310.0,9.0,0.0,40.0,2.0,1.0,True
57.0,7.0,16.0,1.0,4000.0,202.0,0.0,55.0,1.0,2.0,True
52.0,2.0,21.0,1.0,2360.0,34.0,0.0,20.0,2.0,1.0,False
62.0,6.0,20.0,2.0,6230.0,9.0,0.0,35.0,1.0,1.0,False
49.0,1.0,16.0,1.0,4521.0,9.0,1.0,20.0,2.0,1.0,False
78.0,3.0,21.0,1.0,3255.0,9.0,0.0,2.0,2.0,1.0,False
23.0,1.0,13.0,2.0,9620.0,9.0,16.0,40.0,1.0,2.0,False
29.0,1.0,20.0,1.0,9121.0,333.0,1.0,40.0,1.0,2.0,False
50.0,1.0,12.0,1.0,6260.0,72.0,0.0,40.0,1.0,2.0,False
61.0,1.0,21.0,1.0,1010.0,36.0,1.0,40.0,1.0,1.0,True
42.0,1.0,18.0,1.0,3401.0,9.0,0.0,40.0,1.0,1.0,False
61.0,1.0,21.0,1.0,1050.0,139.0,0.0,45.0,1.0,1.0,True
51.0,1.0,22.0,2.0,4820.0,12.0,13.0,13.0,2.0,1.0,False
36.0,1.0,16.0,2.0,3603.0,72.0,0.0,40.0,2.0,1.0,False
24.0,1.0,22.0,2.0,800.0,9.0,0.0,55.0,2.0,1.0,True
34.0,1.0,19.0,1.0,6230.0,36.0,1.0,45.0,1.0,1.0,True
29.0,1.0,16.0,2.0,5810.0,9.0,13.0,40.0,2.0,1.0,False
64.0,6.0,16.0,1.0,6200.0,9.0,1.0,50.0,1.0,1.0,True
57.0,1.0,21.0,1.0,800.0,36.0,0.0,50.0,1.0,1.0,True
64.0,1.0,16.0,2.0,8000.0,9.0,0.0,20.0,2.0,1.0,False
27.0,1.0,21.0,1.0,440.0,25.0,0.0,40.0,1.0,1.0,True
60.0,7.0,16.0,2.0,4510.0,9.0,0.0,47.0,1.0,1.0,False
41.0,1.0,14.0,1.0,7200.0,9.0,1.0,50.0,1.0,1.0,False
25.0,1.0,20.0,2.0,4720.0,9.0,3.0,15.0,2.0,1.0,False
40.0,6.0,16.0,2.0,6442.0,9.0,0.0,30.0,1.0,1.0,False
36.0,1.0,21.0,1.0,4920.0,9.0,0.0,2.0,2.0,1.0,False
50.0,1.0,16.0,1.0,6260.0,370.0,0.0,40.0,1.0,1.0,False
36.0,4.0,17.0,2.0,4220.0,72.0,0.0,37.0,2.0,1.0,False
41.0,1.0,24.0,1.0,960.0,207.0,0.0,48.0,1.0,2.0,True
62.0,1.0,22.0,2.0,4220.0,128.0,0.0,20.0,2.0,1.0,False
37.0,2.0,19.0,1.0,3603.0,303.0,1.0,24.0,2.0,2.0,False
61.0,1.0,17.0,2.0,3602.0,44.0,13.0,40.0,2.0,2.0,False
37.0,1.0,10.0,2.0,4230.0,72.0,0.0,26.0,2.0,2.0,False
40.0,2.0,22.0,1.0,2320.0,5.0,1.0,40.0,2.0,1.0,False
27.0,1.0,21.0,2.0,4850.0,9.0,2.0,45.0,1.0,1.0,True
19.0,1.0,19.0,2.0,2360.0,25.0,2.0,10.0,2.0,1.0,False
22.0,1.0,19.0,2.0,3603.0,36.0,0.0,36.0,2.0,1.0,False
57.0,6.0,19.0,1.0,350.0,9.0,1.0,38.0,2.0,2.0,True
58.0,1.0,21.0,1.0,4700.0,9.0,0.0,40.0,1.0,1.0,False
32.0,4.0,20.0,1.0,3870.0,9.0,1.0,40.0,1.0,1.0,False
63.0,1.0,19.0,2.0,4700.0,9.0,0.0,60.0,1.0,1.0,True
60.0,4.0,16.0,1.0,530.0,9.0,0.0,40.0,1.0,1.0,True
21.0,5.0,20.0,2.0,9825.0,25.0,17.0,40.0,1.0,2.0,False
43.0,1.0,21.0,2.0,9645.0,36.0,11.0,40.0,2.0,1.0,False
36.0,4.0,15.0,2.0,8530.0,9.0,17.0,40.0,2.0,2.0,False
62.0,1.0,16.0,2.0,4220.0,36.0,13.0,40.0,2.0,1.0,False
29.0,1.0,20.0,1.0,4510.0,9.0,1.0,50.0,1.0,1.0,True
38.0,1.0,16.0,2.0,6355.0,13.0,0.0,84.0,2.0,2.0,False
54.0,1.0,21.0,2.0,2640.0,9.0,0.0,25.0,2.0,1.0,False
58.0,1.0,18.0,2.0,5720.0,9.0,0.0,40.0,2.0,1.0,True
54.0,3.0,24.0,1.0,1822.0,36.0,0.0,45.0,2.0,1.0,True
56.0,1.0,16.0,1.0,8030.0,23.0,1.0,40.0,2.0,1.0,False
60.0,3.0,22.0,1.0,3870.0,9.0,1.0,48.0,1.0,1.0,True
39.0,1.0,21.0,1.0,800.0,9.0,0.0,40.0,2.0,1.0,True
52.0,7.0,16.0,2.0,4020.0,301.0,2.0,85.0,1.0,1.0,False
53.0,1.0,16.0,2.0,9620.0,9.0,16.0,30.0,1.0,1.0,False
51.0,1.0,16.0,2.0,5740.0,34.0,13.0,20.0,2.0,1.0,False
59.0,3.0,16.0,1.0,9121.0,9.0,0.0,32.0,2.0,1.0,False
37.0,4.0,17.0,2.0,7200.0,72.0,16.0,10.0,1.0,2.0,False
33.0,1.0,21.0,2.0,5240.0,9.0,2.0,40.0,2.0,1.0,False
62.0,1.0,21.0,1.0,1650.0,42.0,1.0,40.0,2.0,1.0,True
34.0,1.0,17.0,1.0,4700.0,55.0,1.0,48.0,1.0,2.0,True
38.0,1.0,22.0,1.0,220.0,9.0,0.0,40.0,1.0,1.0,False
51.0,1.0,21.0,1.0,5600.0,42.0,0.0,50.0,1.0,1.0,True
19.0,1.0,16.0,2.0,4055.0,72.0,11.0,15.0,1.0,1.0,False
24.0,1.0,17.0,2.0,9645.0,9.0,0.0,40.0,2.0,2.0,False
21.0,1.0,16.0,2.0,4252.0,9.0,2.0,40.0,1.0,1.0,False
54.0,3.0,20.0,2.0,5740.0,9.0,0.0,35.0,2.0,1.0,False
51.0,1.0,18.0,1.0,10.0,36.0,0.0,50.0,1.0,1.0,True
18.0,1.0,14.0,2.0,4600.0,9.0,2.0,2.0,1.0,1.0,False
19.0,1.0,19.0,2.0,4435.0,36.0,17.0,18.0,2.0,2.0,False
57.0,5.0,18.0,1.0,5550.0,9.0,0.0,40.0,1.0,1.0,True
46.0,2.0,22.0,1.0,2310.0,36.0,1.0,15.0,2.0,1.0,False
65.0,3.0,21.0,1.0,2545.0,163.0,1.0,35.0,2.0,1.0,False
36.0,2.0,18.0,2.0,2145.0,9.0,0.0,40.0,2.0,2.0,True
18.0,1.0,16.0,2.0,4000.0,9.0,2.0,40.0,1.0,2.0,False
49.0,1.0,13.0,1.0,9645.0,303.0,0.0,50.0,1.0,2.0,False
26.0,7.0,19.0,2.0,440.0,17.0,17.0,70.0,1.0,2.0,False
18.0,1.0,18.0,2.0,4760.0,9.0,17.0,26.0,1.0,1.0,False
22.0,1.0,20.0,2.0,9645.0,12.0,2.0,30.0,1.0,1.0,False
59.0,1.0,23.0,1.0,110.0,210.0,1.0,40.0,2.0,2.0,True
26.0,1.0,21.0,2.0,800.0,9.0,13.0,40.0,1.0,1.0,False
61.0,1.0,16.0,1.0,3300.0,365.0,0.0,40.0,2.0,1.0,False
25.0,1.0,16.0,1.0,4510.0,9.0,1.0,40.0,2.0,1.0,False
