AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
50.0,1.0,17.0,1.0,8990.0,17.0,0.0,40.0,1.0,1.0,False,4584
24.0,1.0,21.0,2.0,2360.0,17.0,2.0,25.0,2.0,1.0,False,38953
73.0,1.0,21.0,2.0,3160.0,103.0,0.0,35.0,2.0,1.0,True,32920
30.0,1.0,19.0,2.0,4110.0,17.0,15.0,40.0,1.0,1.0,False,36002
29.0,1.0,20.0,2.0,3255.0,17.0,0.0,38.0,2.0,1.0,False,12610
19.0,2.0,19.0,2.0,5860.0,17.0,17.0,9.0,1.0,2.0,False,455
23.0,1.0,18.0,2.0,7700.0,17.0,2.0,40.0,1.0,1.0,False,3861
62.0,1.0,21.0,2.0,5240.0,210.0,0.0,40.0,2.0,2.0,True,21383
55.0,1.0,21.0,1.0,1021.0,303.0,0.0,40.0,1.0,1.0,True,24337
59.0,1.0,17.0,1.0,8990.0,17.0,1.0,40.0,2.0,1.0,False,62653
38.0,1.0,19.0,2.0,5600.0,17.0,0.0,45.0,2.0,1.0,False,22038
63.0,1.0,23.0,1.0,4710.0,17.0,0.0,40.0,1.0,1.0,True,14799
52.0,4.0,21.0,1.0,800.0,17.0,0.0,48.0,2.0,1.0,False,9672
36.0,1.0,21.0,1.0,51.0,17.0,1.0,40.0,2.0,1.0,True,32287
24.0,1.0,16.0,2.0,4655.0,303.0,2.0,40.0,2.0,2.0,False,65430
43.0,1.0,16.0,1.0,7700.0,17.0,1.0,40.0,1.0,1.0,True,55770
56.0,6.0,18.0,1.0,440.0,17.0,0.0,40.0,1.0,1.0,False,9537
67.0,6.0,15.0,2.0,9142.0,231.0,0.0,40.0,1.0,2.0,False,16690
49.0,1.0,17.0,1.0,7330.0,17.0,15.0,66.0,1.0,1.0,False,12257
18.0,1.0,17.0,2.0,6260.0,17.0,4.0,38.0,1.0,1.0,False,26215
44.0,1.0,19.0,1.0,9050.0,17.0,0.0,40.0,2.0,1.0,True,28606
17.0,1.0,14.0,2.0,4110.0,17.0,2.0,10.0,2.0,1.0,False,33608
48.0,1.0,20.0,1.0,7315.0,34.0,0.0,40.0,1.0,1.0,True,12567
28.0,1.0,12.0,2.0,8255.0,17.0,2.0,60.0,1.0,2.0,False,28553
38.0,1.0,12.0,1.0,440.0,303.0,1.0,40.0,1.0,1.0,True,20443
52.0,6.0,21.0,1.0,4920.0,26.0,0.0,40.0,2.0,1.0,False,49157
68.0,1.0,18.0,1.0,5400.0,17.0,1.0,9.0,2.0,1.0,False,29273
57.0,1.0,21.0,1.0,110.0,17.0,0.0,35.0,1.0,1.0,True,56088
75.0,1.0,19.0,2.0,4900.0,17.0,0.0,25.0,2.0,1.0,False,51593
57.0,1.0,21.0,1.0,1530.0,17.0,0.0,54.0,1.0,1.0,True,54786
46.0,1.0,18.0,2.0,350.0,5.0,0.0,20.0,2.0,1.0,False,45174
39.0,6.0,16.0,1.0,4510.0,17.0,1.0,30.0,2.0,1.0,False,50754
