AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
51.0,1.0,17.0,2.0,6520.0,18.0,13.0,60.0,1.0,1.0,True,19127
27.0,1.0,16.0,2.0,5610.0,18.0,0.0,50.0,1.0,1.0,False,4441
32.0,1.0,21.0,2.0,440.0,48.0,2.0,40.0,2.0,1.0,True,3459
34.0,1.0,16.0,2.0,9645.0,18.0,2.0,40.0,2.0,1.0,False,25473
21.0,1.0,16.0,2.0,4850.0,18.0,2.0,25.0,1.0,1.0,False,17668
51.0,1.0,21.0,2.0,1010.0,18.0,13.0,50.0,1.0,1.0,True,5646
45.0,1.0,19.0,1.0,6305.0,17.0,1.0,40.0,1.0,2.0,True,32253
56.0,1.0,21.0,1.0,1050.0,18.0,1.0,40.0,1.0,1.0,False,14949
50.0,1.0,19.0,2.0,9130.0,18.0,0.0,50.0,1.0,1.0,False,7267
52.0,1.0,21.0,2.0,350.0,18.0,13.0,80.0,2.0,1.0,True,20725
35.0,1.0,16.0,2.0,8740.0,18.0,2.0,40.0,2.0,1.0,False,16077
62.0,3.0,16.0,1.0,3802.0,18.0,1.0,60.0,2.0,1.0,False,27875
39.0,2.0,20.0,2.0,3220.0,18.0,0.0,40.0,1.0,1.0,False,22742
59.0,3.0,21.0,1.0,10.0,18.0,0.0,50.0,1.0,1.0,True,26941
33.0,4.0,21.0,1.0,2002.0,1.0,1.0,40.0,2.0,1.0,False,11948
71.0,6.0,23.0,1.0,2145.0,18.0,1.0,35.0,1.0,1.0,True,13935
66.0,1.0,18.0,2.0,1010.0,18.0,0.0,40.0,1.0,1.0,True,15048
32.0,1.0,21.0,2.0,8320.0,12.0,0.0,40.0,2.0,1.0,False,19323
54.0,2.0,19.0,2.0,5400.0,18.0,0.0,45.0,2.0,1.0,False,12891
31.0,4.0,21.0,1.0,2310.0,18.0,0.0,45.0,1.0,1.0,False,7152
53.0,2.0,21.0,1.0,2040.0,303.0,0.0,40.0,1.0,1.0,False,26811
55.0,2.0,20.0,2.0,3649.0,26.0,0.0,20.0,2.0,1.0,False,1814
45.0,1.0,16.0,2.0,6410.0,18.0,0.0,28.0,2.0,1.0,False,21036
47.0,1.0,16.0,1.0,6040.0,18.0,1.0,45.0,2.0,1.0,False,21631
60.0,1.0,16.0,1.0,8000.0,18.0,1.0,56.0,1.0,1.0,True,10647
41.0,1.0,21.0,1.0,705.0,25.0,0.0,41.0,1.0,1.0,True,16653
27.0,1.0,19.0,2.0,7750.0,18.0,7.0,40.0,1.0,1.0,False,25662
24.0,6.0,16.0,1.0,9645.0,18.0,0.0,70.0,2.0,1.0,False,22947
26.0,1.0,20.0,2.0,4110.0,18.0,0.0,99.0,2.0,1.0,False,33789
21.0,1.0,16.0,2.0,2545.0,240.0,17.0,12.0,2.0,2.0,False,574
30.0,1.0,16.0,2.0,4020.0,303.0,0.0,40.0,2.0,2.0,False,4988
36.0,1.0,20.0,1.0,3500.0,6.0,0.0,40.0,1.0,1.0,False,30356
57.0,1.0,19.0,1.0,8030.0,29.0,0.0,48.0,1.0,1.0,False,24777
50.0,1.0,16.0,2.0,6260.0,18.0,0.0,45.0,1.0,1.0,True,5878
22.0,1.0,21.0,2.0,4220.0,18.0,7.0,40.0,1.0,1.0,False,24966
21.0,1.0,13.0,2.0,7750.0,18.0,2.0,50.0,1.0,1.0,True,21634
20.0,1.0,11.0,2.0,6260.0,18.0,2.0,30.0,1.0,1.0,False,31318
22.0,1.0,16.0,2.0,310.0,18.0,2.0,55.0,1.0,2.0,False,33172
53.0,3.0,17.0,1.0,4600.0,18.0,1.0,35.0,2.0,1.0,False,21074
47.0,2.0,19.0,2.0,4230.0,18.0,2.0,40.0,2.0,1.0,False,27981
70.0,1.0,19.0,1.0,220.0,12.0,1.0,55.0,1.0,1.0,True,23442
63.0,1.0,20.0,1.0,9130.0,18.0,0.0,50.0,1.0,1.0,False,21217
29.0,3.0,21.0,1.0,3870.0,18.0,0.0,50.0,1.0,1.0,False,26680
53.0,4.0,19.0,2.0,5250.0,18.0,0.0,40.0,2.0,2.0,False,16825
26.0,1.0,19.0,2.0,4850.0,18.0,0.0,38.0,1.0,2.0,False,7851
21.0,1.0,19.0,2.0,3421.0,18.0,2.0,20.0,2.0,1.0,False,24862
