AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
32.0,1.0,11.0,2.0,310.0,6.0,13.0,40.0,1.0,1.0,False,7798
62.0,5.0,23.0,1.0,2145.0,215.0,1.0,40.0,2.0,1.0,True,5261
27.0,1.0,20.0,1.0,2300.0,20.0,1.0,40.0,2.0,1.0,False,905
46.0,1.0,21.0,1.0,2435.0,20.0,0.0,40.0,2.0,1.0,False,4280
35.0,1.0,21.0,1.0,4760.0,20.0,1.0,40.0,2.0,1.0,False,6373
34.0,1.0,16.0,1.0,7210.0,20.0,0.0,20.0,1.0,1.0,False,9878
81.0,1.0,14.0,2.0,5740.0,20.0,0.0,40.0,2.0,1.0,False,4051
26.0,1.0,16.0,1.0,160.0,20.0,0.0,50.0,1.0,1.0,False,15076
46.0,1.0,16.0,2.0,7750.0,223.0,0.0,50.0,1.0,2.0,True,3076
46.0,5.0,22.0,1.0,750.0,20.0,0.0,40.0,2.0,2.0,True,10800
63.0,3.0,18.0,1.0,8620.0,12.0,0.0,40.0,1.0,1.0,False,12330
55.0,1.0,9.0,1.0,6050.0,303.0,0.0,99.0,1.0,2.0,False,7412
27.0,4.0,22.0,1.0,2205.0,20.0,2.0,20.0,2.0,1.0,False,9612
59.0,1.0,19.0,1.0,3500.0,20.0,1.0,40.0,2.0,1.0,False,9809
26.0,1.0,21.0,1.0,3255.0,20.0,1.0,36.0,2.0,1.0,False,9896
42.0,3.0,22.0,1.0,2320.0,20.0,1.0,50.0,2.0,1.0,False,12067
58.0,1.0,24.0,1.0,4810.0,20.0,1.0,50.0,1.0,1.0,True,4135
66.0,1.0,19.0,2.0,5240.0,20.0,0.0,33.0,2.0,1.0,False,2278
35.0,1.0,19.0,2.0,4030.0,20.0,16.0,84.0,1.0,1.0,False,423
44.0,3.0,1.0,1.0,4020.0,20.0,0.0,15.0,2.0,1.0,False,13229
19.0,1.0,19.0,2.0,4720.0,20.0,17.0,12.0,2.0,1.0,True,303
28.0,1.0,18.0,2.0,7720.0,6.0,13.0,40.0,2.0,1.0,False,5202
36.0,2.0,19.0,1.0,420.0,20.0,1.0,10.0,2.0,1.0,False,13748
64.0,1.0,18.0,1.0,10.0,20.0,0.0,40.0,1.0,1.0,True,7142
34.0,1.0,11.0,1.0,4251.0,303.0,0.0,42.0,1.0,2.0,False,6528
34.0,1.0,16.0,1.0,9130.0,42.0,1.0,40.0,1.0,1.0,False,1036
61.0,1.0,14.0,2.0,8300.0,20.0,0.0,40.0,1.0,2.0,False,9947
19.0,1.0,16.0,2.0,4720.0,20.0,2.0,30.0,1.0,1.0,False,13085
20.0,1.0,19.0,2.0,5240.0,55.0,2.0,20.0,1.0,1.0,False,6340
22.0,1.0,21.0,2.0,4600.0,20.0,2.0,6.0,2.0,1.0,False,4223
66.0,6.0,20.0,1.0,4251.0,20.0,0.0,2.0,1.0,1.0,False,6111
31.0,1.0,16.0,1.0,6260.0,20.0,0.0,50.0,1.0,1.0,False,10216
23.0,1.0,22.0,2.0,850.0,20.0,0.0,40.0,1.0,1.0,False,12914
57.0,1.0,9.0,1.0,9620.0,303.0,0.0,36.0,1.0,2.0,False,14782
44.0,7.0,18.0,1.0,4510.0,20.0,0.0,45.0,2.0,1.0,False,7358
23.0,1.0,16.0,1.0,5160.0,20.0,1.0,40.0,1.0,2.0,False,10067
66.0,2.0,21.0,2.0,1006.0,29.0,0.0,40.0,2.0,1.0,False,9432
20.0,1.0,19.0,2.0,5860.0,8.0,17.0,40.0,2.0,1.0,False,563
21.0,1.0,16.0,2.0,4110.0,6.0,0.0,55.0,2.0,1.0,False,1738
54.0,4.0,21.0,1.0,5000.0,1.0,1.0,40.0,2.0,1.0,True,8048
21.0,3.0,20.0,2.0,6260.0,20.0,17.0,5.0,1.0,1.0,False,122
66.0,1.0,19.0,1.0,5240.0,55.0,1.0,20.0,1.0,1.0,False,5156
56.0,1.0,16.0,1.0,9640.0,20.0,0.0,40.0,1.0,1.0,True,15502
29.0,7.0,21.0,1.0,220.0,20.0,0.0,55.0,1.0,1.0,False,6329
17.0,3.0,14.0,2.0,3960.0,20.0,2.0,18.0,1.0,1.0,False,14742
20.0,5.0,16.0,2.0,3870.0,6.0,17.0,60.0,2.0,1.0,False,135
63.0,4.0,16.0,1.0,4220.0,46.0,1.0,47.0,2.0,2.0,False,4832
47.0,5.0,21.0,1.0,440.0,20.0,0.0,40.0,2.0,1.0,True,7572
50.0,2.0,20.0,1.0,420.0,6.0,1.0,30.0,2.0,1.0,False,15773
46.0,1.0,21.0,2.0,7855.0,233.0,13.0,58.0,2.0,2.0,True,7599
63.0,1.0,19.0,1.0,9130.0,6.0,1.0,60.0,1.0,1.0,True,10104
52.0,1.0,22.0,1.0,440.0,209.0,0.0,50.0,1.0,2.0,True,1080
41.0,1.0,19.0,2.0,4720.0,20.0,2.0,35.0,2.0,1.0,False,7137
39.0,1.0,17.0,1.0,4720.0,303.0,0.0,30.0,2.0,1.0,False,1221
63.0,1.0,16.0,1.0,440.0,8.0,0.0,60.0,2.0,1.0,True,1373
48.0,6.0,16.0,1.0,9130.0,20.0,1.0,50.0,1.0,1.0,False,5894
68.0,8.0,19.0,1.0,6050.0,20.0,1.0,8.0,1.0,1.0,False,4186
55.0,1.0,18.0,1.0,1360.0,53.0,1.0,40.0,1.0,2.0,True,12739
50.0,1.0,20.0,1.0,5740.0,20.0,1.0,40.0,2.0,1.0,False,6932
41.0,1.0,21.0,1.0,6050.0,20.0,1.0,78.0,1.0,1.0,False,5497
58.0,1.0,20.0,2.0,2350.0,19.0,0.0,20.0,2.0,1.0,False,2881
64.0,3.0,16.0,1.0,120.0,20.0,1.0,30.0,2.0,1.0,False,2796
53.0,1.0,20.0,1.0,520.0,20.0,1.0,40.0,2.0,1.0,False,14292
50.0,2.0,20.0,1.0,5240.0,17.0,0.0,25.0,2.0,1.0,False,1764
35.0,1.0,16.0,2.0,8140.0,20.0,2.0,40.0,1.0,1.0,False,7045
27.0,1.0,19.0,2.0,3603.0,20.0,4.0,40.0,2.0,1.0,False,4087
57.0,7.0,16.0,1.0,440.0,20.0,1.0,40.0,1.0,1.0,True,15389
61.0,1.0,13.0,2.0,4220.0,29.0,0.0,40.0,1.0,2.0,False,12886
53.0,7.0,19.0,1.0,440.0,19.0,0.0,40.0,1.0,1.0,False,9718
39.0,2.0,20.0,1.0,2040.0,20.0,0.0,50.0,1.0,1.0,True,13387
60.0,2.0,22.0,1.0,2012.0,20.0,0.0,50.0,2.0,1.0,True,4822
54.0,1.0,15.0,1.0,4220.0,49.0,1.0,40.0,1.0,1.0,False,13325
30.0,7.0,21.0,1.0,4700.0,20.0,0.0,50.0,1.0,1.0,True,3868
42.0,1.0,17.0,1.0,6200.0,48.0,1.0,45.0,1.0,1.0,True,6181
62.0,1.0,19.0,1.0,3645.0,31.0,1.0,65.0,2.0,1.0,True,4405
22.0,1.0,16.0,2.0,9130.0,29.0,2.0,20.0,1.0,1.0,False,8247
55.0,2.0,21.0,1.0,725.0,25.0,0.0,60.0,1.0,1.0,True,2322
41.0,1.0,20.0,1.0,6305.0,20.0,1.0,40.0,1.0,1.0,True,5232
17.0,1.0,14.0,2.0,4110.0,20.0,2.0,24.0,2.0,1.0,False,13446
61.0,4.0,21.0,1.0,2310.0,20.0,1.0,55.0,1.0,1.0,False,10985
71.0,1.0,18.0,1.0,5000.0,24.0,1.0,40.0,2.0,1.0,True,11350
53.0,1.0,18.0,1.0,1910.0,20.0,1.0,40.0,1.0,1.0,True,10678
55.0,1.0,21.0,1.0,4700.0,20.0,1.0,60.0,1.0,1.0,True,4943
53.0,1.0,19.0,2.0,9620.0,20.0,0.0,40.0,1.0,1.0,True,8026
23.0,1.0,16.0,2.0,4720.0,4.0,2.0,30.0,1.0,1.0,False,5874
30.0,1.0,17.0,1.0,6442.0,20.0,1.0,40.0,1.0,1.0,True,2941
32.0,5.0,21.0,2.0,9030.0,6.0,0.0,50.0,1.0,1.0,True,9855
43.0,1.0,20.0,1.0,7410.0,20.0,1.0,40.0,1.0,1.0,True,7342
59.0,1.0,16.0,1.0,4750.0,39.0,0.0,40.0,1.0,1.0,False,1776
32.0,1.0,22.0,1.0,5740.0,12.0,1.0,33.0,2.0,1.0,False,6972
17.0,1.0,14.0,2.0,4720.0,6.0,2.0,12.0,2.0,1.0,False,11604
20.0,1.0,16.0,2.0,310.0,20.0,2.0,35.0,2.0,1.0,False,2048
60.0,1.0,18.0,1.0,9620.0,6.0,1.0,40.0,1.0,1.0,False,14856
37.0,1.0,21.0,2.0,4700.0,20.0,0.0,40.0,2.0,1.0,False,2502
55.0,6.0,13.0,1.0,4600.0,29.0,1.0,50.0,2.0,1.0,False,14895
34.0,3.0,22.0,1.0,2310.0,29.0,0.0,50.0,2.0,1.0,True,15260
22.0,1.0,16.0,1.0,4020.0,20.0,0.0,15.0,2.0,1.0,False,1623
50.0,1.0,18.0,1.0,2545.0,20.0,0.0,32.0,2.0,1.0,False,4545
59.0,6.0,20.0,1.0,205.0,20.0,0.0,40.0,1.0,1.0,True,2536
57.0,1.0,16.0,1.0,800.0,20.0,1.0,45.0,2.0,1.0,False,1754
49.0,7.0,24.0,1.0,3250.0,20.0,1.0,60.0,2.0,1.0,True,10106
18.0,1.0,16.0,2.0,7750.0,207.0,17.0,48.0,2.0,2.0,False,105
49.0,1.0,16.0,2.0,6520.0,20.0,0.0,48.0,1.0,1.0,True,5763
26.0,1.0,20.0,2.0,4720.0,20.0,2.0,24.0,2.0,1.0,False,12252
29.0,7.0,21.0,1.0,4700.0,28.0,0.0,70.0,1.0,1.0,True,8034
36.0,2.0,21.0,1.0,350.0,20.0,1.0,40.0,2.0,1.0,True,12026
24.0,1.0,21.0,1.0,2545.0,20.0,0.0,12.0,2.0,1.0,False,10135
21.0,1.0,19.0,2.0,4110.0,40.0,0.0,18.0,2.0,1.0,False,7421
17.0,1.0,13.0,2.0,6260.0,20.0,3.0,30.0,1.0,1.0,False,9774
40.0,1.0,18.0,1.0,4110.0,29.0,1.0,20.0,2.0,1.0,False,6974
41.0,5.0,20.0,1.0,5140.0,20.0,1.0,40.0,2.0,1.0,False,14741
73.0,4.0,21.0,1.0,2310.0,20.0,1.0,24.0,2.0,1.0,False,13570
39.0,1.0,16.0,1.0,7950.0,20.0,0.0,60.0,1.0,1.0,True,2212
37.0,1.0,19.0,1.0,7010.0,17.0,1.0,40.0,1.0,1.0,False,13572
62.0,6.0,19.0,1.0,9121.0,6.0,1.0,35.0,1.0,1.0,False,6699
19.0,1.0,18.0,2.0,3960.0,8.0,17.0,20.0,1.0,2.0,False,342
