AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
54.0,2.0,22.0,2.0,3258.0,12.0,0.0,50.0,2.0,1.0,True,3283
23.0,1.0,18.0,1.0,5160.0,22.0,1.0,40.0,2.0,1.0,False,13614
23.0,5.0,21.0,2.0,9800.0,110.0,0.0,45.0,1.0,1.0,False,17442
23.0,1.0,14.0,2.0,4020.0,28.0,13.0,30.0,1.0,2.0,False,2178
19.0,1.0,19.0,2.0,4350.0,22.0,2.0,50.0,2.0,1.0,False,14772
53.0,1.0,19.0,1.0,120.0,22.0,1.0,45.0,2.0,2.0,True,6296
41.0,1.0,16.0,2.0,9130.0,22.0,2.0,40.0,1.0,2.0,False,7339
43.0,1.0,22.0,2.0,1530.0,12.0,0.0,40.0,1.0,1.0,False,1425
24.0,1.0,17.0,1.0,6515.0,22.0,1.0,40.0,1.0,1.0,False,4738
53.0,3.0,22.0,2.0,2310.0,22.0,0.0,50.0,1.0,1.0,True,1195
44.0,1.0,11.0,1.0,9600.0,22.0,0.0,40.0,1.0,1.0,False,15923
33.0,4.0,16.0,1.0,2545.0,22.0,1.0,40.0,2.0,2.0,False,17922
60.0,5.0,21.0,1.0,7330.0,51.0,1.0,40.0,1.0,2.0,True,18030
29.0,1.0,19.0,2.0,4000.0,22.0,0.0,50.0,1.0,2.0,False,9443
40.0,1.0,21.0,1.0,3255.0,22.0,1.0,36.0,2.0,1.0,False,11948
47.0,2.0,22.0,1.0,5150.0,22.0,1.0,50.0,2.0,2.0,True,17284
48.0,3.0,21.0,2.0,2310.0,22.0,0.0,40.0,2.0,2.0,False,6568
28.0,2.0,19.0,2.0,4760.0,22.0,2.0,38.0,2.0,1.0,False,8500
62.0,1.0,19.0,1.0,9620.0,22.0,0.0,48.0,1.0,1.0,True,13483
69.0,1.0,22.0,1.0,350.0,6.0,1.0,35.0,1.0,1.0,True,13119
54.0,3.0,16.0,2.0,5740.0,22.0,0.0,38.0,2.0,1.0,False,10283
47.0,1.0,17.0,1.0,9130.0,22.0,1.0,40.0,1.0,1.0,False,1662
44.0,2.0,22.0,1.0,910.0,24.0,0.0,50.0,1.0,1.0,True,17197
29.0,1.0,16.0,1.0,8990.0,22.0,0.0,40.0,2.0,2.0,False,20540
52.0,1.0,15.0,2.0,9645.0,22.0,5.0,56.0,1.0,2.0,False,10497
61.0,4.0,24.0,1.0,2205.0,22.0,1.0,40.0,1.0,1.0,True,5894
31.0,5.0,18.0,1.0,6765.0,40.0,0.0,55.0,1.0,1.0,True,1910
26.0,1.0,17.0,2.0,4850.0,22.0,15.0,50.0,1.0,1.0,False,7279
44.0,4.0,22.0,2.0,2002.0,22.0,7.0,55.0,2.0,1.0,True,1823
58.0,7.0,19.0,1.0,230.0,20.0,1.0,40.0,2.0,1.0,False,11754
22.0,1.0,19.0,1.0,5110.0,22.0,9.0,40.0,2.0,1.0,False,16885
32.0,1.0,16.0,2.0,3323.0,22.0,13.0,40.0,1.0,1.0,False,18435
60.0,1.0,21.0,1.0,4760.0,17.0,0.0,40.0,1.0,2.0,False,11128
20.0,1.0,16.0,2.0,8740.0,22.0,0.0,40.0,1.0,1.0,False,9581
67.0,7.0,17.0,1.0,4810.0,36.0,0.0,50.0,1.0,1.0,True,20467
45.0,1.0,18.0,2.0,4030.0,22.0,2.0,21.0,1.0,2.0,False,726
29.0,4.0,21.0,2.0,2205.0,207.0,12.0,20.0,1.0,2.0,False,18878
28.0,1.0,19.0,1.0,5740.0,22.0,1.0,40.0,2.0,2.0,False,7399
53.0,1.0,19.0,1.0,7750.0,22.0,16.0,50.0,1.0,1.0,False,105
57.0,1.0,16.0,1.0,120.0,22.0,0.0,40.0,2.0,1.0,False,9253
43.0,4.0,21.0,1.0,800.0,48.0,0.0,40.0,2.0,2.0,True,4653
29.0,1.0,16.0,1.0,8140.0,22.0,0.0,45.0,1.0,1.0,False,20576
53.0,1.0,16.0,1.0,5240.0,22.0,1.0,40.0,2.0,2.0,False,755
32.0,1.0,19.0,2.0,3630.0,22.0,2.0,30.0,2.0,1.0,False,13461
65.0,3.0,20.0,1.0,3220.0,22.0,0.0,12.0,2.0,1.0,False,4332
55.0,4.0,20.0,2.0,2015.0,28.0,0.0,40.0,1.0,1.0,True,13684
66.0,1.0,23.0,2.0,4760.0,22.0,0.0,25.0,2.0,1.0,True,1057
65.0,3.0,15.0,1.0,4220.0,22.0,1.0,40.0,2.0,2.0,False,6346
57.0,4.0,19.0,1.0,230.0,22.0,1.0,40.0,2.0,1.0,False,19468
28.0,1.0,20.0,2.0,9130.0,22.0,5.0,40.0,1.0,2.0,False,5459
42.0,1.0,16.0,2.0,4020.0,22.0,0.0,40.0,2.0,2.0,False,20599
23.0,1.0,19.0,2.0,3500.0,22.0,15.0,48.0,1.0,1.0,False,14004
29.0,1.0,22.0,2.0,4110.0,22.0,2.0,40.0,1.0,1.0,False,16821
51.0,1.0,16.0,1.0,5120.0,22.0,0.0,40.0,2.0,1.0,False,12209
33.0,1.0,13.0,1.0,4110.0,329.0,1.0,40.0,2.0,2.0,False,13283
54.0,1.0,20.0,1.0,5740.0,22.0,0.0,40.0,2.0,1.0,True,14301
59.0,1.0,18.0,2.0,2440.0,72.0,0.0,37.0,2.0,1.0,False,13530
