AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
52.0,1.0,20.0,1.0,7640.0,29.0,1.0,40.0,1.0,1.0,False,17464
45.0,1.0,16.0,1.0,5730.0,20.0,0.0,40.0,2.0,1.0,False,17318
27.0,1.0,20.0,2.0,6442.0,29.0,0.0,40.0,1.0,1.0,True,25398
51.0,7.0,19.0,1.0,205.0,29.0,0.0,60.0,1.0,1.0,False,31300
20.0,2.0,19.0,2.0,2555.0,6.0,17.0,20.0,2.0,1.0,False,366
59.0,1.0,16.0,1.0,2910.0,29.0,1.0,40.0,1.0,1.0,True,24694
38.0,1.0,20.0,1.0,7020.0,29.0,0.0,42.0,1.0,1.0,True,18497
40.0,1.0,23.0,1.0,4850.0,210.0,0.0,40.0,1.0,2.0,True,30419
72.0,2.0,21.0,2.0,735.0,29.0,0.0,33.0,1.0,1.0,True,25661
22.0,1.0,16.0,2.0,4710.0,39.0,13.0,40.0,2.0,1.0,False,30406
40.0,4.0,24.0,2.0,2310.0,29.0,2.0,40.0,1.0,2.0,True,24813
31.0,2.0,21.0,2.0,3255.0,29.0,0.0,36.0,2.0,1.0,False,24614
61.0,1.0,18.0,1.0,4850.0,29.0,1.0,40.0,1.0,1.0,True,30295
78.0,1.0,19.0,1.0,4420.0,39.0,0.0,12.0,1.0,1.0,False,10329
20.0,1.0,19.0,2.0,102.0,39.0,0.0,24.0,2.0,1.0,False,7176
27.0,1.0,15.0,2.0,9645.0,29.0,2.0,45.0,2.0,2.0,False,29717
27.0,1.0,17.0,1.0,6050.0,29.0,0.0,50.0,1.0,1.0,False,12250
48.0,3.0,22.0,2.0,2310.0,29.0,0.0,40.0,2.0,1.0,True,10095
31.0,1.0,18.0,1.0,4110.0,29.0,0.0,30.0,2.0,1.0,False,7857
44.0,7.0,21.0,1.0,1305.0,19.0,1.0,60.0,1.0,1.0,True,26960
28.0,1.0,18.0,2.0,4850.0,20.0,0.0,40.0,2.0,1.0,False,19348
68.0,1.0,18.0,1.0,1920.0,29.0,0.0,50.0,1.0,1.0,True,16087
32.0,1.0,16.0,1.0,9130.0,29.0,1.0,45.0,1.0,1.0,False,14287
45.0,1.0,21.0,2.0,800.0,29.0,0.0,40.0,2.0,1.0,False,21147
73.0,7.0,20.0,1.0,4920.0,29.0,0.0,48.0,1.0,1.0,False,27454
78.0,6.0,23.0,1.0,710.0,29.0,0.0,20.0,1.0,1.0,True,23702
51.0,1.0,14.0,2.0,4720.0,20.0,2.0,35.0,2.0,1.0,False,10511
18.0,8.0,14.0,2.0,3602.0,29.0,2.0,30.0,1.0,2.0,False,2164
57.0,1.0,16.0,2.0,3725.0,28.0,0.0,40.0,2.0,2.0,False,13625
66.0,1.0,16.0,1.0,7150.0,29.0,1.0,40.0,1.0,1.0,False,5392
56.0,1.0,22.0,1.0,3255.0,17.0,0.0,40.0,2.0,1.0,True,20248
63.0,6.0,18.0,1.0,2025.0,29.0,1.0,20.0,2.0,1.0,False,8003
56.0,1.0,19.0,2.0,5710.0,29.0,0.0,45.0,2.0,1.0,False,3414
19.0,1.0,19.0,2.0,3645.0,17.0,17.0,10.0,2.0,1.0,False,671
29.0,1.0,17.0,2.0,6050.0,29.0,0.0,40.0,1.0,1.0,False,2946
44.0,1.0,20.0,1.0,7315.0,31.0,0.0,44.0,1.0,1.0,False,16648
29.0,2.0,15.0,2.0,630.0,29.0,7.0,40.0,1.0,2.0,False,27352
33.0,1.0,20.0,1.0,6230.0,29.0,1.0,40.0,1.0,1.0,True,1810
38.0,1.0,16.0,2.0,5240.0,29.0,0.0,30.0,2.0,2.0,False,9814
46.0,4.0,21.0,2.0,2145.0,29.0,0.0,45.0,2.0,1.0,False,14410
26.0,1.0,21.0,2.0,3421.0,29.0,0.0,40.0,1.0,1.0,False,1448
42.0,1.0,19.0,2.0,8990.0,29.0,0.0,40.0,2.0,2.0,False,11945
18.0,1.0,16.0,2.0,7700.0,29.0,2.0,40.0,1.0,1.0,False,27006
51.0,1.0,22.0,2.0,6050.0,29.0,2.0,45.0,1.0,1.0,False,9195
58.0,1.0,20.0,2.0,5240.0,44.0,0.0,40.0,1.0,2.0,False,12727
19.0,5.0,16.0,2.0,9130.0,327.0,17.0,40.0,1.0,1.0,False,712
51.0,1.0,1.0,1.0,4030.0,29.0,1.0,32.0,2.0,1.0,False,11992
19.0,1.0,19.0,2.0,4622.0,48.0,0.0,60.0,2.0,1.0,False,31635
64.0,5.0,18.0,2.0,7750.0,29.0,0.0,40.0,2.0,2.0,True,26156
30.0,4.0,15.0,2.0,3602.0,48.0,2.0,35.0,2.0,1.0,False,13908
41.0,1.0,21.0,1.0,4720.0,29.0,1.0,25.0,2.0,1.0,False,4193
46.0,1.0,19.0,2.0,4700.0,29.0,2.0,40.0,1.0,1.0,False,1980
52.0,1.0,19.0,1.0,5120.0,29.0,0.0,39.0,2.0,1.0,False,22451
49.0,1.0,21.0,1.0,52.0,21.0,0.0,55.0,1.0,1.0,True,4922
32.0,1.0,18.0,1.0,7340.0,29.0,0.0,40.0,1.0,1.0,False,5186
17.0,3.0,12.0,2.0,3960.0,29.0,2.0,25.0,1.0,1.0,False,18150
29.0,4.0,22.0,1.0,5150.0,29.0,0.0,40.0,1.0,1.0,False,30148
57.0,3.0,16.0,2.0,5740.0,29.0,0.0,40.0,2.0,2.0,False,8120
61.0,7.0,16.0,1.0,4700.0,29.0,0.0,48.0,1.0,1.0,False,3202
43.0,2.0,14.0,2.0,160.0,29.0,13.0,40.0,1.0,1.0,False,4513
23.0,1.0,21.0,2.0,4760.0,12.0,0.0,20.0,2.0,1.0,False,28699
28.0,1.0,19.0,2.0,7750.0,29.0,16.0,36.0,1.0,2.0,False,817
21.0,1.0,16.0,2.0,710.0,29.0,0.0,30.0,1.0,1.0,False,4355
64.0,6.0,20.0,1.0,4251.0,6.0,1.0,40.0,1.0,1.0,False,11466
42.0,3.0,22.0,1.0,2310.0,6.0,1.0,45.0,2.0,1.0,False,29553
62.0,2.0,18.0,1.0,420.0,17.0,0.0,40.0,2.0,1.0,True,27658
47.0,1.0,21.0,1.0,4920.0,29.0,1.0,40.0,2.0,1.0,False,12167
29.0,1.0,16.0,2.0,630.0,29.0,12.0,40.0,2.0,1.0,False,15803
54.0,2.0,16.0,1.0,3603.0,29.0,1.0,40.0,2.0,1.0,False,13065
21.0,1.0,16.0,2.0,9645.0,29.0,2.0,1.0,2.0,1.0,False,3476
48.0,1.0,19.0,2.0,7340.0,29.0,0.0,60.0,1.0,1.0,False,15609
50.0,1.0,18.0,1.0,4850.0,17.0,1.0,45.0,1.0,1.0,False,29344
64.0,6.0,16.0,1.0,4220.0,160.0,0.0,30.0,1.0,1.0,False,13858
61.0,6.0,19.0,2.0,4500.0,29.0,2.0,24.0,1.0,1.0,False,23604
37.0,1.0,21.0,2.0,4840.0,18.0,0.0,45.0,2.0,1.0,True,18786
39.0,6.0,21.0,1.0,2014.0,37.0,1.0,35.0,2.0,1.0,False,31112
53.0,1.0,16.0,1.0,8810.0,29.0,1.0,45.0,1.0,1.0,False,25830
44.0,1.0,18.0,1.0,7220.0,29.0,1.0,40.0,1.0,1.0,False,31394
42.0,1.0,20.0,1.0,3421.0,29.0,1.0,40.0,2.0,1.0,False,23942
35.0,1.0,19.0,1.0,5860.0,20.0,1.0,40.0,2.0,1.0,False,10035
59.0,4.0,21.0,1.0,2015.0,29.0,1.0,40.0,2.0,1.0,False,2039
42.0,1.0,17.0,2.0,6515.0,5.0,0.0,30.0,1.0,2.0,True,17015
51.0,4.0,16.0,1.0,565.0,29.0,0.0,40.0,1.0,1.0,True,16952
46.0,1.0,18.0,1.0,9645.0,29.0,0.0,40.0,2.0,1.0,False,9662
33.0,3.0,21.0,2.0,3740.0,29.0,0.0,55.0,1.0,1.0,False,22286
27.0,1.0,16.0,2.0,6355.0,29.0,0.0,50.0,1.0,1.0,True,27434
32.0,1.0,14.0,1.0,8990.0,29.0,0.0,40.0,1.0,1.0,True,17911
50.0,1.0,18.0,1.0,4030.0,29.0,1.0,40.0,1.0,1.0,False,3124
44.0,1.0,20.0,1.0,9620.0,39.0,0.0,42.0,1.0,1.0,True,23040
24.0,2.0,16.0,2.0,4020.0,29.0,2.0,25.0,2.0,1.0,False,25949
37.0,1.0,17.0,1.0,4720.0,48.0,1.0,60.0,2.0,1.0,False,13276
35.0,1.0,18.0,1.0,7340.0,20.0,0.0,50.0,1.0,1.0,True,26059
24.0,1.0,20.0,1.0,5630.0,29.0,9.0,40.0,2.0,1.0,False,20688
47.0,1.0,21.0,1.0,20.0,53.0,1.0,50.0,1.0,1.0,True,6204
56.0,1.0,21.0,2.0,800.0,20.0,0.0,50.0,2.0,1.0,False,21479
64.0,2.0,22.0,1.0,2040.0,29.0,17.0,45.0,1.0,1.0,False,341
33.0,1.0,18.0,2.0,6050.0,29.0,0.0,50.0,1.0,1.0,True,18631
41.0,1.0,18.0,2.0,8990.0,29.0,0.0,40.0,2.0,1.0,False,6437
29.0,1.0,16.0,1.0,4510.0,247.0,0.0,50.0,2.0,2.0,False,16034
30.0,1.0,19.0,2.0,1545.0,29.0,13.0,43.0,1.0,1.0,False,15722
18.0,1.0,18.0,2.0,3602.0,29.0,0.0,52.0,2.0,1.0,False,15994
41.0,1.0,18.0,1.0,9600.0,1.0,1.0,40.0,1.0,2.0,False,31413
31.0,1.0,21.0,1.0,630.0,29.0,1.0,55.0,2.0,1.0,True,26504
