AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
39.0,1.0,20.0,1.0,845.0,28.0,0.0,45.0,2.0,2.0,False,6518
31.0,1.0,19.0,1.0,2850.0,28.0,1.0,20.0,2.0,1.0,False,3222
60.0,3.0,21.0,2.0,3255.0,440.0,0.0,40.0,2.0,2.0,False,9012
32.0,1.0,18.0,1.0,6210.0,28.0,1.0,60.0,1.0,1.0,True,8463
26.0,1.0,20.0,2.0,4110.0,28.0,2.0,30.0,2.0,1.0,False,11168
44.0,6.0,19.0,2.0,2600.0,12.0,0.0,35.0,2.0,1.0,False,3035
35.0,1.0,17.0,1.0,6230.0,28.0,0.0,40.0,1.0,1.0,False,2134
19.0,1.0,18.0,2.0,9620.0,47.0,2.0,20.0,1.0,1.0,False,10591
60.0,1.0,21.0,1.0,7700.0,28.0,5.0,7.0,1.0,2.0,False,1107
21.0,6.0,18.0,2.0,5240.0,48.0,10.0,40.0,2.0,2.0,False,5739
55.0,3.0,20.0,1.0,7000.0,28.0,1.0,40.0,1.0,1.0,False,9215
39.0,1.0,14.0,2.0,4030.0,28.0,2.0,40.0,1.0,2.0,False,4555
30.0,1.0,20.0,1.0,3603.0,28.0,1.0,40.0,2.0,1.0,False,3745
23.0,1.0,18.0,2.0,4010.0,28.0,0.0,8.0,2.0,2.0,False,10014
22.0,1.0,19.0,2.0,4760.0,45.0,17.0,20.0,1.0,2.0,False,244
52.0,2.0,16.0,1.0,2545.0,28.0,1.0,40.0,2.0,1.0,False,723
28.0,4.0,22.0,2.0,1650.0,28.0,0.0,40.0,2.0,1.0,True,11556
27.0,1.0,21.0,1.0,4840.0,28.0,1.0,40.0,2.0,1.0,False,7346
41.0,1.0,18.0,1.0,5160.0,46.0,1.0,39.0,2.0,1.0,False,3288
40.0,3.0,22.0,2.0,2300.0,28.0,0.0,50.0,2.0,2.0,True,12732
24.0,2.0,22.0,1.0,2014.0,28.0,1.0,60.0,2.0,1.0,False,12952
59.0,1.0,16.0,2.0,7855.0,28.0,5.0,32.0,1.0,2.0,False,12742
58.0,1.0,21.0,1.0,4220.0,28.0,1.0,40.0,1.0,1.0,False,4563
33.0,1.0,15.0,2.0,9620.0,28.0,2.0,35.0,1.0,2.0,False,9987
49.0,2.0,17.0,2.0,9645.0,28.0,0.0,32.0,2.0,2.0,False,7120
56.0,5.0,21.0,2.0,1108.0,29.0,0.0,40.0,2.0,1.0,True,4486
54.0,1.0,20.0,1.0,3255.0,28.0,0.0,36.0,2.0,1.0,True,2065
45.0,7.0,18.0,1.0,350.0,18.0,1.0,30.0,2.0,1.0,False,1704
63.0,3.0,21.0,2.0,3255.0,47.0,0.0,38.0,2.0,1.0,True,847
36.0,1.0,19.0,2.0,8950.0,28.0,2.0,45.0,1.0,1.0,False,2159
43.0,3.0,20.0,1.0,3870.0,28.0,1.0,40.0,1.0,1.0,False,4279
51.0,1.0,16.0,1.0,9130.0,28.0,1.0,60.0,1.0,1.0,False,9141
57.0,2.0,21.0,1.0,4700.0,28.0,1.0,42.0,2.0,1.0,False,6380
69.0,1.0,15.0,1.0,5740.0,28.0,0.0,51.0,2.0,1.0,False,7526
29.0,1.0,20.0,1.0,7700.0,28.0,1.0,50.0,1.0,2.0,False,1076
57.0,1.0,18.0,1.0,220.0,28.0,1.0,65.0,1.0,1.0,True,4129
29.0,1.0,15.0,2.0,9620.0,28.0,2.0,30.0,1.0,1.0,False,8204
47.0,1.0,16.0,1.0,5120.0,26.0,1.0,40.0,2.0,1.0,False,6550
61.0,1.0,1.0,2.0,8300.0,55.0,0.0,88.0,2.0,2.0,False,10330
43.0,7.0,19.0,2.0,2360.0,28.0,0.0,38.0,1.0,2.0,False,9998
59.0,1.0,20.0,2.0,3255.0,28.0,0.0,40.0,2.0,2.0,False,3485
37.0,1.0,19.0,1.0,5000.0,28.0,1.0,60.0,2.0,1.0,True,1440
25.0,4.0,19.0,2.0,9600.0,47.0,2.0,40.0,1.0,2.0,False,11723
30.0,1.0,16.0,1.0,5240.0,28.0,1.0,40.0,2.0,1.0,False,7582
38.0,2.0,24.0,1.0,2310.0,25.0,0.0,48.0,2.0,1.0,False,2597
51.0,1.0,21.0,2.0,120.0,28.0,0.0,40.0,2.0,1.0,True,8718
24.0,1.0,17.0,2.0,9620.0,21.0,13.0,40.0,2.0,1.0,False,2002
33.0,1.0,23.0,1.0,3090.0,28.0,0.0,80.0,1.0,1.0,True,6752
41.0,1.0,20.0,1.0,120.0,28.0,0.0,40.0,2.0,2.0,False,4159
43.0,4.0,17.0,2.0,4020.0,17.0,0.0,35.0,2.0,2.0,False,1605
36.0,2.0,22.0,1.0,5740.0,28.0,0.0,40.0,2.0,1.0,False,1090
19.0,1.0,16.0,2.0,9310.0,28.0,2.0,99.0,1.0,1.0,False,10461
76.0,3.0,15.0,2.0,3946.0,28.0,0.0,32.0,2.0,2.0,False,11089
31.0,1.0,19.0,2.0,6260.0,6.0,2.0,32.0,1.0,2.0,False,9512
63.0,1.0,19.0,1.0,1555.0,12.0,1.0,45.0,1.0,1.0,False,4112
41.0,4.0,20.0,1.0,4230.0,28.0,0.0,40.0,2.0,2.0,False,5353
45.0,4.0,17.0,2.0,630.0,28.0,0.0,39.0,2.0,2.0,False,7583
33.0,4.0,20.0,1.0,5740.0,28.0,0.0,40.0,2.0,1.0,False,12382
27.0,1.0,20.0,2.0,5860.0,47.0,0.0,40.0,2.0,1.0,False,7627
53.0,4.0,21.0,1.0,2320.0,28.0,0.0,12.0,2.0,1.0,False,5105
29.0,1.0,20.0,1.0,3603.0,28.0,0.0,60.0,2.0,2.0,False,2747
52.0,1.0,16.0,1.0,9365.0,28.0,0.0,84.0,1.0,1.0,True,11868
39.0,1.0,20.0,1.0,3500.0,28.0,1.0,32.0,2.0,1.0,False,6049
60.0,1.0,10.0,2.0,7340.0,28.0,5.0,40.0,1.0,1.0,False,1667
