AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
47.0,2.0,18.0,1.0,3645.0,33.0,0.0,39.0,2.0,1.0,False,2095
27.0,1.0,21.0,2.0,1065.0,33.0,0.0,40.0,2.0,1.0,True,2556
36.0,1.0,22.0,2.0,350.0,33.0,0.0,44.0,2.0,1.0,True,4249
17.0,1.0,13.0,2.0,4720.0,33.0,2.0,8.0,1.0,1.0,False,5351
71.0,2.0,19.0,1.0,5860.0,34.0,0.0,24.0,2.0,1.0,False,2084
52.0,1.0,20.0,1.0,9645.0,33.0,0.0,48.0,1.0,1.0,False,3622
79.0,3.0,18.0,1.0,5740.0,33.0,0.0,12.0,1.0,1.0,False,7925
34.0,1.0,20.0,1.0,7700.0,33.0,0.0,55.0,1.0,1.0,True,2914
20.0,1.0,19.0,2.0,4110.0,39.0,12.0,30.0,2.0,1.0,False,3607
19.0,4.0,19.0,2.0,230.0,24.0,17.0,8.0,2.0,1.0,False,56
27.0,1.0,19.0,2.0,7750.0,33.0,0.0,54.0,2.0,1.0,True,1642
59.0,1.0,16.0,1.0,440.0,25.0,5.0,70.0,1.0,1.0,True,5356
25.0,1.0,16.0,2.0,6230.0,33.0,0.0,38.0,1.0,1.0,False,5801
29.0,1.0,18.0,2.0,120.0,25.0,13.0,40.0,2.0,1.0,True,7683
32.0,1.0,19.0,1.0,530.0,33.0,1.0,42.0,2.0,1.0,False,1063
33.0,1.0,21.0,2.0,2710.0,33.0,0.0,46.0,1.0,1.0,True,5031
28.0,1.0,21.0,2.0,4000.0,33.0,2.0,36.0,1.0,1.0,False,7832
60.0,1.0,16.0,1.0,8225.0,33.0,0.0,40.0,1.0,1.0,True,2620
55.0,1.0,16.0,2.0,9645.0,34.0,2.0,20.0,1.0,1.0,False,2945
33.0,3.0,22.0,1.0,230.0,25.0,1.0,50.0,2.0,2.0,True,3100
45.0,1.0,16.0,1.0,8225.0,33.0,1.0,40.0,1.0,1.0,False,6904
62.0,2.0,16.0,1.0,3500.0,233.0,1.0,40.0,2.0,2.0,False,1115
63.0,6.0,21.0,2.0,850.0,50.0,0.0,2.0,1.0,1.0,False,2930
37.0,1.0,18.0,1.0,4700.0,110.0,1.0,41.0,2.0,1.0,False,2390
52.0,1.0,22.0,1.0,1530.0,34.0,0.0,50.0,1.0,1.0,True,4896
19.0,6.0,19.0,2.0,4621.0,33.0,17.0,30.0,1.0,1.0,False,147
62.0,3.0,22.0,2.0,2006.0,12.0,0.0,40.0,2.0,1.0,True,5192
19.0,2.0,18.0,2.0,4540.0,13.0,17.0,8.0,2.0,2.0,False,192
57.0,7.0,21.0,1.0,10.0,6.0,1.0,40.0,1.0,1.0,True,2323
53.0,2.0,23.0,2.0,3100.0,36.0,0.0,55.0,1.0,1.0,True,2120
33.0,1.0,19.0,1.0,6305.0,33.0,1.0,40.0,1.0,1.0,True,7037
61.0,2.0,18.0,1.0,5310.0,11.0,0.0,40.0,2.0,1.0,False,1249
59.0,1.0,16.0,1.0,4700.0,33.0,1.0,40.0,2.0,1.0,False,6659
83.0,6.0,21.0,1.0,4920.0,25.0,0.0,40.0,1.0,1.0,True,2413
62.0,2.0,21.0,1.0,3255.0,50.0,1.0,40.0,2.0,1.0,True,1664
65.0,2.0,22.0,2.0,800.0,25.0,0.0,5.0,1.0,1.0,True,5883
46.0,1.0,21.0,1.0,4820.0,33.0,0.0,40.0,1.0,1.0,True,1856
52.0,1.0,16.0,1.0,5740.0,33.0,0.0,40.0,2.0,1.0,True,2527
29.0,1.0,21.0,2.0,4110.0,33.0,2.0,20.0,2.0,1.0,False,5743
31.0,3.0,19.0,2.0,3820.0,25.0,0.0,65.0,1.0,1.0,True,3919
58.0,1.0,21.0,1.0,4700.0,33.0,1.0,80.0,1.0,1.0,True,5382
44.0,7.0,21.0,1.0,4850.0,36.0,0.0,60.0,1.0,1.0,True,3527
25.0,1.0,20.0,2.0,4040.0,25.0,13.0,40.0,2.0,1.0,False,2004
49.0,1.0,19.0,1.0,6355.0,44.0,0.0,48.0,1.0,1.0,True,2235
55.0,2.0,16.0,2.0,3655.0,25.0,0.0,40.0,2.0,1.0,False,3619
58.0,1.0,16.0,1.0,2635.0,25.0,1.0,50.0,1.0,1.0,True,5254
37.0,2.0,21.0,1.0,420.0,37.0,0.0,40.0,2.0,1.0,True,2304
29.0,2.0,21.0,1.0,2850.0,23.0,1.0,45.0,2.0,1.0,False,2605
36.0,1.0,16.0,1.0,8030.0,50.0,1.0,45.0,1.0,1.0,False,2465
42.0,1.0,18.0,2.0,4220.0,33.0,0.0,40.0,1.0,1.0,True,6396
54.0,2.0,22.0,2.0,4700.0,25.0,0.0,50.0,2.0,1.0,True,932
38.0,1.0,17.0,2.0,9130.0,33.0,2.0,70.0,1.0,1.0,False,6909
24.0,1.0,16.0,2.0,4010.0,33.0,11.0,40.0,1.0,1.0,False,1985
20.0,8.0,16.0,2.0,4010.0,33.0,0.0,45.0,2.0,1.0,False,7739
30.0,1.0,17.0,2.0,4030.0,33.0,13.0,40.0,2.0,1.0,False,7030
50.0,2.0,21.0,1.0,3255.0,233.0,1.0,32.0,2.0,2.0,True,6539
27.0,1.0,21.0,2.0,310.0,229.0,15.0,40.0,1.0,2.0,False,7643
40.0,1.0,20.0,1.0,440.0,33.0,0.0,40.0,1.0,1.0,True,4252
24.0,1.0,18.0,2.0,6442.0,25.0,13.0,50.0,1.0,1.0,False,3914
62.0,1.0,22.0,1.0,530.0,233.0,1.0,40.0,2.0,2.0,True,3967
47.0,2.0,20.0,1.0,2002.0,25.0,0.0,40.0,2.0,1.0,False,4027
69.0,6.0,19.0,1.0,6230.0,33.0,1.0,5.0,1.0,1.0,False,929
79.0,6.0,18.0,1.0,3603.0,39.0,0.0,20.0,1.0,1.0,False,4273
28.0,1.0,16.0,2.0,4251.0,163.0,3.0,50.0,2.0,1.0,False,7426
29.0,1.0,20.0,1.0,4700.0,24.0,1.0,40.0,2.0,1.0,False,6053
57.0,2.0,19.0,1.0,4330.0,25.0,0.0,45.0,1.0,1.0,False,3339
20.0,2.0,16.0,2.0,230.0,33.0,2.0,5.0,2.0,1.0,False,988
60.0,6.0,24.0,1.0,3250.0,9.0,0.0,50.0,2.0,1.0,False,6458
39.0,1.0,20.0,1.0,6355.0,33.0,0.0,50.0,1.0,1.0,True,7304
54.0,7.0,24.0,1.0,710.0,6.0,0.0,36.0,1.0,1.0,True,2879
25.0,1.0,20.0,2.0,440.0,33.0,13.0,50.0,1.0,2.0,False,6127
18.0,1.0,18.0,2.0,4110.0,25.0,17.0,20.0,2.0,1.0,False,24
25.0,1.0,19.0,2.0,4700.0,33.0,0.0,40.0,2.0,1.0,False,4736
38.0,3.0,22.0,1.0,2310.0,36.0,1.0,40.0,2.0,1.0,True,7838
26.0,1.0,24.0,2.0,3050.0,25.0,2.0,40.0,2.0,1.0,True,1557
37.0,1.0,14.0,1.0,6442.0,49.0,1.0,40.0,1.0,1.0,True,6417
52.0,1.0,12.0,2.0,440.0,33.0,0.0,60.0,1.0,1.0,False,5219
57.0,2.0,16.0,2.0,10.0,23.0,13.0,40.0,1.0,1.0,True,1880
36.0,1.0,19.0,1.0,440.0,33.0,0.0,40.0,1.0,1.0,True,2988
28.0,1.0,16.0,1.0,7130.0,33.0,0.0,50.0,1.0,1.0,False,6594
58.0,1.0,19.0,1.0,4850.0,25.0,0.0,40.0,1.0,1.0,True,5527
65.0,2.0,20.0,1.0,4965.0,25.0,0.0,40.0,2.0,1.0,True,7338
22.0,1.0,21.0,2.0,4760.0,33.0,2.0,35.0,1.0,1.0,False,2829
41.0,1.0,21.0,1.0,1240.0,33.0,0.0,40.0,1.0,1.0,True,3837
18.0,1.0,18.0,2.0,4110.0,33.0,17.0,35.0,2.0,1.0,False,372
64.0,1.0,24.0,1.0,735.0,55.0,0.0,40.0,1.0,1.0,True,4951
62.0,3.0,22.0,1.0,3820.0,25.0,0.0,40.0,1.0,1.0,True,4953
28.0,1.0,19.0,1.0,750.0,33.0,0.0,46.0,1.0,1.0,True,1504
53.0,4.0,22.0,1.0,565.0,25.0,0.0,40.0,2.0,1.0,True,4194
26.0,1.0,17.0,2.0,8320.0,23.0,0.0,40.0,1.0,1.0,True,5197
35.0,3.0,21.0,1.0,3255.0,33.0,1.0,37.0,2.0,1.0,False,4289
50.0,1.0,21.0,1.0,5000.0,33.0,0.0,40.0,2.0,1.0,True,1179
60.0,1.0,16.0,1.0,4720.0,25.0,1.0,28.0,2.0,1.0,False,2354
67.0,1.0,22.0,1.0,1108.0,25.0,1.0,45.0,1.0,1.0,True,4704
