AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
22.0,1.0,21.0,2.0,4850.0,34.0,2.0,60.0,2.0,2.0,True
65.0,1.0,19.0,2.0,5600.0,36.0,0.0,35.0,2.0,1.0,True
41.0,1.0,19.0,1.0,5000.0,34.0,0.0,40.0,2.0,1.0,True
57.0,8.0,21.0,1.0,5000.0,34.0,0.0,40.0,2.0,1.0,False
46.0,1.0,18.0,2.0,630.0,34.0,0.0,40.0,1.0,1.0,True
57.0,1.0,20.0,1.0,2145.0,34.0,0.0,36.0,2.0,1.0,False
45.0,1.0,21.0,2.0,1650.0,233.0,0.0,67.0,2.0,2.0,True
50.0,7.0,21.0,1.0,110.0,210.0,0.0,40.0,1.0,2.0,False
26.0,1.0,19.0,2.0,4700.0,34.0,2.0,40.0,2.0,1.0,False
66.0,1.0,22.0,1.0,7700.0,117.0,1.0,40.0,2.0,1.0,True
56.0,3.0,16.0,2.0,4600.0,34.0,0.0,30.0,2.0,1.0,False
47.0,5.0,16.0,1.0,5550.0,34.0,0.0,40.0,2.0,1.0,True
49.0,3.0,22.0,1.0,2310.0,42.0,0.0,40.0,2.0,1.0,True
49.0,6.0,16.0,1.0,2400.0,36.0,1.0,25.0,1.0,1.0,False
47.0,1.0,1.0,2.0,6260.0,134.0,0.0,40.0,1.0,1.0,True
54.0,1.0,21.0,2.0,800.0,34.0,0.0,37.0,2.0,1.0,True
44.0,1.0,21.0,1.0,7700.0,217.0,1.0,40.0,2.0,2.0,False
50.0,1.0,21.0,1.0,2710.0,36.0,1.0,65.0,2.0,1.0,True
42.0,4.0,1.0,2.0,2545.0,34.0,13.0,50.0,1.0,2.0,True
64.0,1.0,16.0,1.0,5240.0,36.0,1.0,24.0,2.0,1.0,False
40.0,1.0,21.0,1.0,2310.0,34.0,1.0,40.0,1.0,1.0,True
26.0,3.0,19.0,2.0,2545.0,34.0,0.0,30.0,2.0,2.0,False
24.0,1.0,20.0,2.0,8530.0,34.0,5.0,50.0,1.0,1.0,False
46.0,1.0,21.0,1.0,300.0,329.0,0.0,50.0,1.0,2.0,True
36.0,1.0,16.0,1.0,5330.0,34.0,1.0,40.0,2.0,1.0,False
53.0,1.0,16.0,1.0,6230.0,34.0,0.0,40.0,1.0,1.0,True
60.0,1.0,15.0,1.0,20.0,34.0,1.0,60.0,2.0,1.0,True
40.0,1.0,21.0,1.0,1050.0,210.0,0.0,40.0,1.0,2.0,True
24.0,1.0,19.0,2.0,4720.0,210.0,2.0,20.0,2.0,2.0,False
25.0,1.0,16.0,2.0,6260.0,34.0,12.0,40.0,1.0,1.0,False
33.0,1.0,21.0,2.0,120.0,72.0,13.0,50.0,2.0,1.0,True
18.0,1.0,16.0,2.0,9620.0,34.0,2.0,15.0,2.0,1.0,False
60.0,5.0,19.0,1.0,5550.0,217.0,0.0,40.0,1.0,2.0,True
51.0,7.0,21.0,1.0,440.0,34.0,0.0,50.0,1.0,1.0,True
40.0,1.0,19.0,1.0,7700.0,34.0,1.0,40.0,1.0,1.0,False
28.0,1.0,21.0,2.0,520.0,34.0,0.0,47.0,2.0,1.0,True
44.0,1.0,21.0,1.0,136.0,36.0,1.0,45.0,2.0,2.0,True
