AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
29.0,1.0,18.0,2.0,3640.0,4.0,0.0,40.0,1.0,2.0,False
53.0,6.0,16.0,1.0,4510.0,6.0,1.0,45.0,2.0,1.0,False
62.0,6.0,1.0,1.0,440.0,303.0,0.0,20.0,1.0,1.0,False
50.0,2.0,12.0,1.0,6260.0,303.0,0.0,40.0,1.0,2.0,False
34.0,1.0,19.0,2.0,5400.0,35.0,2.0,30.0,2.0,1.0,False
18.0,1.0,13.0,2.0,9645.0,35.0,7.0,30.0,1.0,1.0,False
23.0,2.0,17.0,2.0,4130.0,35.0,0.0,20.0,2.0,1.0,False
51.0,1.0,20.0,2.0,3255.0,35.0,0.0,40.0,1.0,2.0,False
61.0,3.0,19.0,2.0,5860.0,48.0,0.0,40.0,2.0,1.0,False
61.0,1.0,21.0,1.0,705.0,28.0,0.0,40.0,1.0,1.0,True
22.0,1.0,17.0,2.0,4700.0,35.0,16.0,40.0,1.0,1.0,False
61.0,1.0,18.0,2.0,8740.0,5.0,0.0,40.0,1.0,2.0,True
62.0,1.0,21.0,2.0,4760.0,49.0,0.0,45.0,1.0,1.0,False
44.0,6.0,20.0,1.0,4760.0,35.0,1.0,40.0,2.0,2.0,False
53.0,4.0,17.0,2.0,5820.0,35.0,13.0,40.0,2.0,2.0,False
59.0,6.0,22.0,2.0,710.0,6.0,0.0,40.0,1.0,1.0,True
59.0,1.0,18.0,1.0,9121.0,35.0,1.0,25.0,2.0,1.0,False
57.0,1.0,24.0,1.0,1760.0,29.0,0.0,40.0,2.0,1.0,True
64.0,1.0,20.0,2.0,3255.0,36.0,0.0,48.0,2.0,1.0,True
34.0,3.0,21.0,1.0,3710.0,35.0,1.0,42.0,2.0,2.0,False
32.0,1.0,19.0,2.0,3602.0,35.0,0.0,60.0,1.0,2.0,False
68.0,1.0,18.0,2.0,9645.0,48.0,0.0,40.0,1.0,1.0,False
42.0,1.0,12.0,1.0,6260.0,303.0,16.0,40.0,1.0,1.0,False
56.0,6.0,21.0,2.0,2710.0,48.0,13.0,40.0,1.0,1.0,True
61.0,4.0,18.0,2.0,5710.0,35.0,0.0,40.0,2.0,2.0,False
19.0,1.0,16.0,2.0,4110.0,35.0,0.0,30.0,2.0,2.0,False
61.0,1.0,19.0,2.0,8740.0,35.0,0.0,40.0,1.0,2.0,True
60.0,1.0,16.0,1.0,3520.0,23.0,1.0,40.0,2.0,1.0,False
55.0,2.0,21.0,2.0,4700.0,6.0,0.0,40.0,2.0,1.0,False
40.0,1.0,22.0,1.0,800.0,35.0,0.0,45.0,2.0,1.0,False
20.0,5.0,16.0,2.0,9830.0,26.0,17.0,50.0,1.0,1.0,False
26.0,1.0,21.0,1.0,1108.0,15.0,1.0,40.0,1.0,2.0,False
35.0,1.0,18.0,2.0,6305.0,17.0,2.0,40.0,1.0,2.0,False
41.0,3.0,22.0,1.0,60.0,35.0,1.0,52.0,1.0,1.0,True
33.0,1.0,16.0,1.0,5530.0,35.0,0.0,40.0,1.0,1.0,False
44.0,1.0,19.0,1.0,800.0,12.0,1.0,1.0,2.0,1.0,False
56.0,1.0,18.0,1.0,5522.0,35.0,0.0,80.0,1.0,1.0,True
44.0,1.0,19.0,2.0,8990.0,35.0,0.0,40.0,1.0,1.0,False
45.0,1.0,18.0,2.0,4220.0,35.0,0.0,40.0,1.0,1.0,False
54.0,1.0,16.0,1.0,6200.0,35.0,0.0,54.0,1.0,1.0,True
63.0,4.0,16.0,1.0,5740.0,35.0,1.0,40.0,2.0,1.0,False
36.0,1.0,21.0,1.0,440.0,35.0,1.0,47.0,1.0,1.0,False
54.0,4.0,16.0,2.0,3500.0,4.0,0.0,40.0,2.0,2.0,True
51.0,3.0,21.0,1.0,3255.0,35.0,0.0,40.0,2.0,1.0,True
67.0,3.0,22.0,1.0,2310.0,42.0,0.0,4.0,1.0,1.0,False
27.0,1.0,15.0,2.0,6410.0,6.0,13.0,40.0,1.0,1.0,False
48.0,6.0,11.0,1.0,9130.0,303.0,0.0,80.0,1.0,1.0,False
19.0,1.0,16.0,2.0,160.0,35.0,0.0,40.0,1.0,2.0,False
35.0,2.0,21.0,1.0,735.0,35.0,0.0,50.0,1.0,1.0,True
55.0,1.0,15.0,1.0,9620.0,303.0,1.0,40.0,2.0,1.0,False
65.0,4.0,17.0,1.0,6200.0,35.0,0.0,40.0,2.0,1.0,False
37.0,1.0,19.0,1.0,4930.0,48.0,1.0,60.0,1.0,2.0,True
46.0,1.0,16.0,1.0,9510.0,35.0,1.0,40.0,1.0,2.0,True
71.0,2.0,18.0,1.0,4640.0,5.0,16.0,40.0,2.0,1.0,False
73.0,6.0,18.0,1.0,8300.0,35.0,0.0,6.0,2.0,1.0,False
47.0,3.0,22.0,2.0,2320.0,35.0,0.0,40.0,2.0,1.0,True
47.0,1.0,16.0,1.0,4760.0,449.0,1.0,40.0,1.0,1.0,True
25.0,1.0,18.0,2.0,4461.0,48.0,0.0,50.0,1.0,1.0,False
55.0,1.0,16.0,1.0,4220.0,35.0,1.0,40.0,1.0,1.0,False
48.0,1.0,18.0,2.0,5940.0,6.0,0.0,44.0,1.0,1.0,False
66.0,2.0,16.0,1.0,9130.0,8.0,1.0,30.0,1.0,1.0,False
67.0,1.0,21.0,2.0,4760.0,48.0,0.0,25.0,2.0,1.0,False
18.0,1.0,18.0,2.0,4230.0,35.0,2.0,25.0,2.0,2.0,False
23.0,1.0,18.0,2.0,5000.0,35.0,0.0,40.0,2.0,2.0,False
37.0,1.0,20.0,2.0,9645.0,110.0,13.0,40.0,1.0,1.0,False
21.0,1.0,19.0,2.0,4030.0,35.0,2.0,35.0,1.0,1.0,False
45.0,4.0,20.0,1.0,2310.0,35.0,1.0,24.0,2.0,2.0,True
27.0,5.0,21.0,2.0,3820.0,35.0,2.0,40.0,2.0,2.0,False
26.0,6.0,13.0,2.0,6260.0,35.0,10.0,25.0,1.0,1.0,False
57.0,1.0,18.0,1.0,9645.0,6.0,0.0,42.0,2.0,1.0,False
47.0,1.0,16.0,1.0,800.0,35.0,6.0,40.0,1.0,2.0,True
54.0,3.0,21.0,2.0,2435.0,19.0,0.0,40.0,2.0,1.0,True
67.0,1.0,16.0,2.0,6040.0,35.0,0.0,40.0,2.0,2.0,False
17.0,3.0,14.0,2.0,4720.0,35.0,13.0,6.0,2.0,2.0,False
57.0,1.0,16.0,2.0,3601.0,4.0,0.0,39.0,2.0,2.0,False
57.0,7.0,21.0,1.0,4920.0,35.0,0.0,40.0,1.0,2.0,True
72.0,6.0,16.0,1.0,540.0,17.0,1.0,35.0,1.0,1.0,True
74.0,5.0,24.0,1.0,1760.0,36.0,0.0,40.0,1.0,1.0,True
31.0,3.0,16.0,1.0,2360.0,35.0,2.0,40.0,1.0,1.0,False
62.0,4.0,16.0,1.0,5730.0,35.0,1.0,40.0,2.0,1.0,False
37.0,1.0,20.0,1.0,220.0,22.0,1.0,55.0,1.0,1.0,False
66.0,1.0,16.0,1.0,136.0,36.0,1.0,40.0,2.0,1.0,True
19.0,1.0,16.0,2.0,20.0,35.0,2.0,30.0,2.0,1.0,False
63.0,3.0,20.0,1.0,2310.0,31.0,1.0,35.0,2.0,1.0,False
62.0,1.0,16.0,1.0,4810.0,56.0,1.0,40.0,2.0,1.0,False
54.0,1.0,7.0,2.0,8990.0,303.0,0.0,40.0,2.0,1.0,False
67.0,2.0,21.0,2.0,440.0,26.0,13.0,40.0,2.0,1.0,True
37.0,1.0,19.0,2.0,4040.0,35.0,0.0,40.0,1.0,1.0,False
55.0,1.0,19.0,2.0,1050.0,35.0,0.0,40.0,1.0,1.0,False
62.0,1.0,21.0,2.0,1530.0,6.0,11.0,45.0,1.0,1.0,True
19.0,1.0,16.0,2.0,4055.0,35.0,7.0,35.0,2.0,1.0,False
55.0,1.0,20.0,1.0,20.0,6.0,1.0,44.0,2.0,1.0,True
54.0,5.0,19.0,1.0,5740.0,35.0,0.0,40.0,2.0,2.0,False
60.0,1.0,19.0,2.0,3603.0,35.0,0.0,40.0,2.0,2.0,False
60.0,7.0,16.0,1.0,4510.0,8.0,1.0,12.0,2.0,1.0,False
65.0,1.0,19.0,2.0,4220.0,35.0,0.0,40.0,1.0,1.0,True
68.0,7.0,22.0,1.0,710.0,35.0,0.0,25.0,1.0,1.0,True
26.0,1.0,19.0,2.0,7200.0,35.0,10.0,40.0,1.0,2.0,False
67.0,4.0,24.0,1.0,10.0,21.0,1.0,70.0,1.0,1.0,True
35.0,6.0,20.0,1.0,4510.0,35.0,1.0,35.0,2.0,1.0,False
45.0,1.0,16.0,1.0,4251.0,303.0,0.0,40.0,1.0,2.0,False
22.0,1.0,19.0,2.0,5240.0,35.0,15.0,40.0,2.0,1.0,False
38.0,1.0,19.0,1.0,310.0,17.0,1.0,45.0,1.0,1.0,True
68.0,4.0,22.0,2.0,2320.0,4.0,0.0,40.0,2.0,2.0,False
54.0,1.0,16.0,2.0,4700.0,6.0,0.0,40.0,2.0,2.0,False
58.0,3.0,16.0,1.0,9121.0,35.0,0.0,40.0,1.0,1.0,False
58.0,2.0,19.0,2.0,2001.0,35.0,0.0,24.0,2.0,1.0,True
62.0,6.0,19.0,1.0,205.0,35.0,1.0,84.0,2.0,1.0,False
25.0,2.0,19.0,1.0,3430.0,6.0,0.0,40.0,2.0,1.0,False
28.0,4.0,21.0,1.0,2310.0,17.0,0.0,60.0,1.0,1.0,False
41.0,1.0,18.0,2.0,1006.0,35.0,0.0,50.0,2.0,1.0,True
33.0,1.0,13.0,2.0,5400.0,35.0,0.0,40.0,2.0,2.0,False
57.0,4.0,22.0,2.0,5740.0,35.0,0.0,40.0,2.0,1.0,False
50.0,1.0,9.0,1.0,6305.0,303.0,0.0,40.0,1.0,1.0,True
72.0,7.0,19.0,1.0,410.0,36.0,1.0,30.0,1.0,1.0,True
53.0,3.0,18.0,1.0,3801.0,35.0,1.0,40.0,1.0,1.0,False
44.0,1.0,16.0,2.0,6305.0,35.0,2.0,40.0,1.0,2.0,False
31.0,6.0,18.0,2.0,4251.0,35.0,0.0,2.0,1.0,1.0,False
42.0,1.0,16.0,1.0,630.0,35.0,0.0,60.0,2.0,1.0,True
