AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
58.0,2.0,16.0,1.0,3602.0,233.0,1.0,13.0,2.0,2.0,False,4774
64.0,3.0,16.0,2.0,5522.0,40.0,0.0,40.0,1.0,1.0,True,17426
20.0,1.0,19.0,2.0,4760.0,17.0,17.0,15.0,2.0,1.0,False,653
35.0,1.0,17.0,2.0,2360.0,40.0,0.0,35.0,2.0,1.0,False,13011
53.0,5.0,16.0,1.0,5400.0,40.0,0.0,40.0,2.0,2.0,False,3373
36.0,4.0,21.0,1.0,2310.0,40.0,0.0,45.0,2.0,1.0,False,4836
61.0,1.0,16.0,2.0,20.0,40.0,0.0,55.0,1.0,1.0,True,1075
28.0,2.0,16.0,1.0,3640.0,40.0,1.0,42.0,2.0,1.0,False,7610
60.0,1.0,17.0,1.0,150.0,51.0,1.0,45.0,2.0,1.0,True,9493
32.0,6.0,22.0,1.0,3150.0,5.0,1.0,25.0,2.0,1.0,False,7148
29.0,5.0,21.0,2.0,3945.0,40.0,12.0,16.0,1.0,1.0,False,12748
68.0,2.0,16.0,1.0,630.0,40.0,0.0,24.0,1.0,1.0,True,3192
56.0,1.0,16.0,1.0,5740.0,5.0,1.0,40.0,2.0,2.0,False,9094
59.0,1.0,17.0,1.0,5740.0,17.0,1.0,45.0,2.0,1.0,False,15699
37.0,1.0,21.0,2.0,4800.0,40.0,0.0,40.0,1.0,1.0,True,11800
19.0,3.0,18.0,2.0,2350.0,40.0,2.0,22.0,1.0,1.0,False,14152
40.0,1.0,17.0,1.0,5240.0,48.0,0.0,40.0,1.0,1.0,False,10467
51.0,1.0,21.0,1.0,4810.0,40.0,1.0,50.0,1.0,1.0,True,6659
52.0,4.0,21.0,1.0,2310.0,40.0,0.0,40.0,2.0,1.0,False,5365
21.0,1.0,19.0,2.0,7740.0,40.0,2.0,40.0,1.0,1.0,False,11044
22.0,1.0,1.0,1.0,8800.0,40.0,0.0,8.0,2.0,2.0,False,14293
42.0,1.0,16.0,1.0,3640.0,40.0,1.0,20.0,2.0,1.0,False,9837
47.0,1.0,21.0,1.0,2145.0,6.0,0.0,37.0,2.0,1.0,False,3152
56.0,1.0,18.0,2.0,5240.0,40.0,0.0,30.0,2.0,1.0,False,10593
39.0,1.0,20.0,2.0,4621.0,37.0,0.0,30.0,2.0,1.0,False,2899
32.0,1.0,17.0,2.0,3940.0,40.0,16.0,72.0,1.0,2.0,False,74
57.0,1.0,18.0,1.0,4220.0,47.0,0.0,50.0,1.0,2.0,False,3868
57.0,1.0,16.0,2.0,5240.0,8.0,2.0,40.0,2.0,1.0,False,14123
26.0,1.0,1.0,1.0,6800.0,48.0,0.0,80.0,1.0,1.0,False,12775
31.0,1.0,19.0,1.0,1551.0,8.0,1.0,40.0,1.0,1.0,False,9368
58.0,1.0,17.0,1.0,7840.0,40.0,0.0,40.0,2.0,1.0,False,16360
26.0,1.0,18.0,2.0,1555.0,49.0,2.0,60.0,1.0,1.0,True,2590
39.0,1.0,20.0,2.0,3255.0,22.0,0.0,40.0,2.0,1.0,True,9766
63.0,2.0,18.0,2.0,3500.0,40.0,0.0,40.0,2.0,1.0,False,4640
46.0,1.0,16.0,2.0,4110.0,20.0,0.0,16.0,2.0,1.0,False,16924
54.0,1.0,18.0,1.0,3255.0,6.0,0.0,40.0,2.0,1.0,False,12652
34.0,1.0,19.0,1.0,2145.0,22.0,1.0,20.0,2.0,1.0,False,4684
53.0,1.0,17.0,1.0,4220.0,40.0,0.0,15.0,2.0,1.0,False,2519
55.0,1.0,1.0,1.0,6330.0,48.0,1.0,58.0,1.0,1.0,False,1654
48.0,1.0,16.0,1.0,5120.0,40.0,0.0,43.0,2.0,1.0,False,4462
54.0,1.0,16.0,2.0,6200.0,9.0,0.0,40.0,1.0,1.0,False,17803
20.0,4.0,19.0,2.0,5600.0,42.0,17.0,9.0,2.0,1.0,False,122
43.0,1.0,17.0,2.0,4720.0,40.0,16.0,39.0,2.0,2.0,False,624
18.0,1.0,10.0,2.0,4140.0,40.0,2.0,30.0,1.0,1.0,False,1153
23.0,3.0,16.0,1.0,5860.0,37.0,2.0,40.0,2.0,1.0,False,11186
71.0,1.0,17.0,1.0,4850.0,40.0,0.0,45.0,1.0,1.0,True,11503
68.0,7.0,20.0,1.0,2060.0,9.0,0.0,40.0,1.0,1.0,False,8135
46.0,1.0,16.0,2.0,4700.0,6.0,0.0,40.0,2.0,1.0,False,8906
69.0,5.0,19.0,2.0,8030.0,40.0,0.0,40.0,1.0,2.0,True,10253
25.0,1.0,20.0,2.0,4850.0,29.0,0.0,44.0,1.0,1.0,False,13264
54.0,1.0,19.0,1.0,4710.0,40.0,0.0,40.0,1.0,2.0,False,1384
19.0,2.0,19.0,2.0,3960.0,48.0,17.0,50.0,1.0,1.0,False,135
