AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
36.0,6.0,19.0,2.0,4510.0,72.0,0.0,12.0,1.0,1.0,False,8454
50.0,4.0,21.0,2.0,2310.0,72.0,0.0,30.0,2.0,1.0,False,3737
56.0,7.0,24.0,1.0,3090.0,72.0,1.0,60.0,1.0,1.0,False,7749
65.0,1.0,18.0,1.0,4220.0,72.0,0.0,40.0,1.0,2.0,False,3829
29.0,1.0,21.0,2.0,4760.0,72.0,0.0,23.0,2.0,1.0,False,9060
55.0,1.0,19.0,1.0,3930.0,72.0,0.0,40.0,1.0,1.0,False,820
40.0,6.0,21.0,1.0,4600.0,72.0,1.0,40.0,2.0,1.0,False,6884
27.0,1.0,16.0,2.0,5840.0,72.0,2.0,40.0,2.0,1.0,False,285
47.0,1.0,19.0,2.0,4700.0,72.0,2.0,40.0,1.0,1.0,False,5425
34.0,4.0,21.0,2.0,2310.0,72.0,0.0,30.0,2.0,1.0,False,8391
37.0,4.0,22.0,1.0,2310.0,72.0,1.0,40.0,2.0,1.0,False,6974
22.0,1.0,16.0,2.0,4720.0,72.0,0.0,12.0,2.0,1.0,False,8788
58.0,1.0,16.0,2.0,8300.0,72.0,2.0,40.0,1.0,2.0,False,7300
62.0,1.0,21.0,1.0,2320.0,72.0,0.0,40.0,1.0,1.0,False,2444
57.0,4.0,16.0,1.0,2545.0,72.0,1.0,40.0,2.0,1.0,False,5711
51.0,4.0,21.0,2.0,800.0,72.0,0.0,40.0,2.0,1.0,False,1307
58.0,1.0,10.0,2.0,6355.0,72.0,2.0,40.0,1.0,1.0,False,5698
20.0,1.0,19.0,2.0,8990.0,72.0,2.0,40.0,2.0,2.0,False,7792
38.0,6.0,19.0,1.0,4230.0,329.0,0.0,8.0,2.0,2.0,False,196
39.0,6.0,16.0,1.0,6230.0,72.0,1.0,30.0,2.0,2.0,False,6331
55.0,1.0,22.0,1.0,2145.0,36.0,1.0,1.0,2.0,1.0,False,6487
27.0,3.0,12.0,2.0,9141.0,72.0,2.0,30.0,1.0,1.0,False,6160
42.0,4.0,16.0,1.0,6441.0,72.0,1.0,40.0,1.0,1.0,False,1897
24.0,1.0,21.0,2.0,4700.0,72.0,2.0,40.0,1.0,1.0,False,4336
18.0,1.0,19.0,2.0,4030.0,72.0,2.0,20.0,1.0,1.0,False,6648
26.0,4.0,21.0,2.0,2014.0,72.0,2.0,20.0,2.0,1.0,False,9031
26.0,1.0,21.0,1.0,3255.0,72.0,1.0,40.0,1.0,2.0,False,6411
28.0,1.0,20.0,1.0,3220.0,72.0,1.0,16.0,2.0,2.0,False,8743
39.0,4.0,21.0,1.0,2435.0,72.0,1.0,40.0,2.0,1.0,False,7783
31.0,1.0,19.0,1.0,2861.0,72.0,0.0,40.0,1.0,1.0,False,8629
83.0,1.0,19.0,1.0,4621.0,72.0,0.0,10.0,2.0,1.0,False,5064
71.0,6.0,21.0,1.0,850.0,72.0,1.0,40.0,1.0,1.0,False,4719
34.0,1.0,21.0,1.0,4760.0,72.0,1.0,20.0,2.0,1.0,False,825
58.0,2.0,21.0,1.0,5740.0,72.0,1.0,40.0,2.0,1.0,False,2792
25.0,1.0,19.0,2.0,9130.0,72.0,2.0,30.0,1.0,1.0,False,2120
57.0,1.0,21.0,1.0,1010.0,72.0,0.0,40.0,2.0,1.0,True,6356
66.0,6.0,21.0,2.0,8610.0,72.0,0.0,2.0,1.0,1.0,False,5868
50.0,4.0,21.0,1.0,2310.0,72.0,1.0,40.0,2.0,1.0,False,5096
