AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
27.0,1.0,16.0,1.0,4760.0,12.0,0.0,40.0,1.0,1.0,False,17612
35.0,1.0,1.0,2.0,6260.0,303.0,10.0,40.0,1.0,2.0,False,5003
67.0,3.0,14.0,1.0,4220.0,47.0,1.0,40.0,1.0,1.0,True,8677
49.0,1.0,16.0,2.0,9600.0,47.0,0.0,40.0,1.0,2.0,False,8573
32.0,1.0,19.0,2.0,10.0,37.0,0.0,60.0,1.0,1.0,True,4039
29.0,1.0,19.0,2.0,4621.0,47.0,2.0,40.0,1.0,2.0,False,6433
30.0,1.0,16.0,2.0,9600.0,47.0,13.0,40.0,1.0,2.0,False,28495
66.0,4.0,16.0,1.0,4140.0,47.0,1.0,7.0,2.0,1.0,False,5068
31.0,1.0,21.0,1.0,5160.0,47.0,1.0,43.0,2.0,1.0,False,3304
57.0,7.0,21.0,1.0,4200.0,39.0,0.0,65.0,1.0,1.0,True,13635
49.0,3.0,16.0,1.0,9130.0,47.0,0.0,40.0,1.0,1.0,False,25365
50.0,3.0,21.0,2.0,5740.0,47.0,0.0,66.0,2.0,2.0,False,33344
33.0,3.0,21.0,2.0,2310.0,47.0,0.0,55.0,1.0,1.0,False,6223
44.0,1.0,21.0,2.0,1360.0,5.0,0.0,45.0,1.0,1.0,True,6783
65.0,1.0,16.0,2.0,530.0,47.0,0.0,40.0,2.0,1.0,False,28481
33.0,1.0,19.0,2.0,6050.0,47.0,7.0,40.0,1.0,1.0,False,31558
35.0,1.0,16.0,2.0,6220.0,303.0,16.0,45.0,1.0,1.0,False,279
22.0,1.0,21.0,2.0,4720.0,13.0,0.0,30.0,2.0,1.0,False,22262
67.0,1.0,21.0,2.0,440.0,47.0,0.0,40.0,1.0,2.0,False,31523
54.0,2.0,21.0,2.0,2040.0,51.0,13.0,21.0,2.0,1.0,False,24580
21.0,2.0,16.0,2.0,3960.0,51.0,2.0,25.0,1.0,1.0,False,28761
42.0,2.0,22.0,2.0,2205.0,461.0,0.0,20.0,2.0,2.0,False,25161
36.0,1.0,21.0,2.0,1021.0,6.0,0.0,50.0,1.0,2.0,True,14442
36.0,4.0,22.0,2.0,2002.0,110.0,0.0,38.0,2.0,1.0,False,11482
35.0,1.0,19.0,2.0,3500.0,12.0,0.0,40.0,2.0,1.0,False,5614
46.0,1.0,18.0,1.0,9600.0,47.0,1.0,40.0,1.0,1.0,False,22236
35.0,1.0,21.0,1.0,910.0,47.0,0.0,55.0,1.0,1.0,True,13930
22.0,1.0,14.0,2.0,6240.0,47.0,15.0,40.0,1.0,1.0,True,23821
19.0,1.0,16.0,2.0,4110.0,47.0,4.0,35.0,2.0,1.0,False,7571
27.0,6.0,19.0,2.0,7260.0,47.0,2.0,55.0,1.0,1.0,False,20053
