AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
46.0,1.0,17.0,2.0,4700.0,53.0,13.0,50.0,1.0,1.0,True,29078
45.0,2.0,18.0,1.0,7340.0,164.0,0.0,40.0,1.0,1.0,False,35670
38.0,1.0,16.0,2.0,6230.0,53.0,16.0,25.0,1.0,1.0,False,934
46.0,2.0,21.0,1.0,2310.0,17.0,1.0,14.0,2.0,1.0,False,31822
51.0,1.0,21.0,1.0,1065.0,53.0,0.0,25.0,2.0,1.0,False,13042
62.0,7.0,23.0,1.0,3250.0,53.0,1.0,50.0,1.0,1.0,True,19376
21.0,1.0,18.0,2.0,4030.0,53.0,2.0,30.0,2.0,2.0,False,5310
21.0,1.0,21.0,2.0,4760.0,110.0,12.0,30.0,2.0,2.0,False,8066
35.0,1.0,14.0,2.0,4400.0,242.0,4.0,32.0,2.0,2.0,False,31333
21.0,1.0,16.0,2.0,3603.0,53.0,12.0,30.0,2.0,1.0,False,24771
67.0,7.0,21.0,1.0,410.0,53.0,1.0,1.0,1.0,1.0,False,24167
43.0,6.0,22.0,2.0,4251.0,53.0,0.0,70.0,2.0,2.0,False,25172
35.0,1.0,19.0,1.0,6230.0,6.0,0.0,40.0,1.0,1.0,False,10967
31.0,1.0,19.0,2.0,1050.0,53.0,0.0,36.0,1.0,1.0,False,28733
64.0,6.0,19.0,2.0,6260.0,53.0,0.0,20.0,1.0,1.0,True,37187
24.0,2.0,21.0,2.0,2205.0,217.0,2.0,40.0,2.0,2.0,False,28404
34.0,1.0,12.0,1.0,5240.0,303.0,0.0,38.0,2.0,1.0,False,8521
28.0,1.0,20.0,1.0,5240.0,53.0,0.0,40.0,2.0,2.0,False,14964
34.0,6.0,21.0,1.0,1006.0,42.0,1.0,15.0,2.0,1.0,False,27339
20.0,3.0,18.0,2.0,4030.0,53.0,0.0,40.0,2.0,2.0,False,14090
62.0,1.0,18.0,1.0,540.0,38.0,1.0,40.0,2.0,1.0,False,23763
33.0,3.0,19.0,1.0,3870.0,6.0,0.0,55.0,1.0,1.0,True,18564
32.0,1.0,20.0,1.0,1105.0,53.0,0.0,40.0,1.0,1.0,True,15634
37.0,2.0,19.0,2.0,5400.0,53.0,17.0,40.0,2.0,2.0,False,792
59.0,3.0,20.0,2.0,1530.0,53.0,0.0,40.0,1.0,1.0,True,29027
50.0,1.0,21.0,1.0,51.0,17.0,0.0,50.0,1.0,1.0,True,5441
38.0,1.0,21.0,1.0,440.0,247.0,0.0,50.0,1.0,2.0,True,34757
26.0,6.0,19.0,2.0,5510.0,219.0,0.0,35.0,1.0,2.0,True,12464
33.0,1.0,16.0,2.0,9620.0,210.0,3.0,20.0,1.0,2.0,False,2940
28.0,1.0,20.0,1.0,9620.0,233.0,1.0,20.0,2.0,2.0,False,10230
20.0,1.0,20.0,2.0,5240.0,53.0,17.0,10.0,2.0,1.0,False,1061
30.0,1.0,21.0,1.0,440.0,53.0,1.0,40.0,2.0,1.0,True,36897
37.0,1.0,12.0,2.0,6355.0,6.0,0.0,47.0,1.0,1.0,True,13256
19.0,1.0,19.0,2.0,9130.0,53.0,2.0,45.0,2.0,1.0,False,26266
54.0,7.0,20.0,1.0,5000.0,53.0,1.0,30.0,2.0,1.0,True,15983
29.0,1.0,19.0,2.0,4020.0,51.0,0.0,40.0,2.0,1.0,False,17593
65.0,1.0,19.0,1.0,4850.0,26.0,1.0,30.0,2.0,1.0,False,28502
42.0,1.0,16.0,1.0,5610.0,53.0,0.0,50.0,1.0,1.0,False,38293
57.0,5.0,21.0,1.0,1560.0,53.0,0.0,40.0,1.0,1.0,True,37314
41.0,3.0,21.0,2.0,5400.0,53.0,2.0,40.0,2.0,1.0,False,17622
84.0,6.0,22.0,1.0,2634.0,53.0,0.0,1.0,1.0,1.0,False,4901
48.0,6.0,20.0,1.0,4500.0,4.0,1.0,65.0,1.0,1.0,False,25906
24.0,5.0,19.0,2.0,9030.0,22.0,0.0,45.0,2.0,2.0,False,32978
60.0,1.0,22.0,2.0,710.0,17.0,0.0,40.0,1.0,1.0,True,19991
27.0,1.0,21.0,1.0,710.0,373.0,1.0,40.0,2.0,2.0,False,24180
21.0,1.0,19.0,2.0,9130.0,53.0,12.0,30.0,1.0,1.0,False,20803
20.0,1.0,15.0,2.0,9130.0,2.0,2.0,30.0,1.0,1.0,False,26260
38.0,1.0,21.0,1.0,7800.0,53.0,0.0,24.0,2.0,2.0,False,21017
40.0,1.0,20.0,1.0,410.0,25.0,1.0,50.0,1.0,1.0,True,37601
58.0,7.0,18.0,2.0,4622.0,6.0,0.0,10.0,2.0,2.0,False,39108
28.0,1.0,16.0,2.0,5240.0,4.0,15.0,40.0,2.0,2.0,False,24689
62.0,3.0,19.0,1.0,2545.0,301.0,0.0,22.0,2.0,1.0,False,39162
47.0,1.0,19.0,1.0,7010.0,53.0,0.0,38.0,2.0,1.0,False,4025
52.0,1.0,22.0,1.0,110.0,36.0,0.0,50.0,1.0,1.0,True,13402
32.0,1.0,20.0,1.0,5240.0,53.0,2.0,40.0,2.0,1.0,False,31244
35.0,1.0,22.0,2.0,136.0,17.0,0.0,50.0,2.0,2.0,True,26861
28.0,3.0,21.0,2.0,1108.0,48.0,0.0,40.0,1.0,1.0,False,7394
32.0,1.0,21.0,1.0,3515.0,53.0,0.0,40.0,2.0,1.0,False,13922
34.0,5.0,19.0,1.0,3423.0,26.0,0.0,55.0,2.0,1.0,False,29672
66.0,3.0,16.0,2.0,2145.0,55.0,0.0,40.0,2.0,1.0,True,13879
55.0,4.0,20.0,1.0,1050.0,53.0,0.0,40.0,2.0,1.0,True,13956
39.0,6.0,21.0,2.0,4621.0,2.0,0.0,30.0,2.0,2.0,False,13287
58.0,6.0,23.0,1.0,710.0,25.0,0.0,20.0,1.0,1.0,True,23757
40.0,1.0,18.0,1.0,3645.0,53.0,1.0,40.0,2.0,1.0,False,8929
62.0,1.0,16.0,1.0,7340.0,8.0,0.0,50.0,1.0,1.0,False,14812
35.0,1.0,17.0,1.0,5000.0,6.0,0.0,40.0,1.0,1.0,False,24946
27.0,7.0,19.0,1.0,4510.0,53.0,1.0,60.0,2.0,1.0,False,23991
32.0,1.0,21.0,1.0,4220.0,164.0,0.0,15.0,1.0,1.0,False,12200
32.0,1.0,21.0,2.0,4055.0,6.0,0.0,40.0,1.0,1.0,True,33366
44.0,3.0,20.0,2.0,5120.0,9.0,0.0,40.0,2.0,1.0,True,39680
54.0,3.0,21.0,1.0,800.0,207.0,1.0,40.0,2.0,2.0,True,4999
43.0,4.0,24.0,2.0,2205.0,29.0,0.0,50.0,1.0,1.0,True,15467
44.0,1.0,21.0,2.0,4251.0,48.0,0.0,45.0,2.0,1.0,False,36855
39.0,1.0,21.0,1.0,1050.0,21.0,0.0,42.0,1.0,1.0,True,38968
41.0,1.0,21.0,1.0,440.0,35.0,1.0,45.0,1.0,1.0,True,5483
41.0,1.0,16.0,2.0,5120.0,53.0,13.0,40.0,2.0,1.0,False,4786
41.0,5.0,21.0,2.0,9830.0,15.0,0.0,40.0,1.0,2.0,True,9362
61.0,1.0,21.0,1.0,440.0,48.0,1.0,95.0,2.0,1.0,True,25357
22.0,1.0,20.0,2.0,5400.0,53.0,0.0,32.0,2.0,1.0,False,33302
29.0,2.0,21.0,2.0,2310.0,16.0,12.0,40.0,2.0,1.0,False,16404
19.0,1.0,19.0,2.0,5400.0,8.0,17.0,30.0,2.0,1.0,False,732
47.0,2.0,18.0,2.0,3550.0,53.0,0.0,40.0,1.0,1.0,True,39075
53.0,1.0,21.0,1.0,410.0,53.0,0.0,45.0,1.0,1.0,True,14228
30.0,3.0,22.0,1.0,2310.0,53.0,0.0,40.0,2.0,1.0,True,31927
59.0,1.0,21.0,1.0,1320.0,6.0,0.0,40.0,1.0,1.0,True,20697
31.0,1.0,18.0,2.0,9645.0,53.0,0.0,27.0,2.0,2.0,False,26327
58.0,1.0,21.0,1.0,1440.0,6.0,0.0,84.0,1.0,1.0,True,21441
34.0,1.0,9.0,1.0,6040.0,303.0,0.0,40.0,2.0,2.0,False,10765
47.0,1.0,16.0,1.0,6515.0,53.0,1.0,50.0,1.0,1.0,True,29402
33.0,1.0,16.0,2.0,3645.0,53.0,15.0,40.0,2.0,1.0,False,28495
62.0,6.0,19.0,2.0,9610.0,26.0,0.0,8.0,2.0,1.0,False,10696
39.0,1.0,9.0,1.0,4230.0,312.0,1.0,5.0,2.0,2.0,False,1662
49.0,1.0,20.0,1.0,4230.0,53.0,0.0,20.0,2.0,1.0,False,23961
34.0,1.0,21.0,2.0,705.0,6.0,0.0,50.0,1.0,1.0,False,27830
40.0,1.0,19.0,2.0,3421.0,53.0,0.0,40.0,2.0,2.0,True,7943
28.0,1.0,21.0,2.0,3300.0,36.0,13.0,38.0,1.0,1.0,False,20130
40.0,4.0,18.0,1.0,2545.0,53.0,0.0,32.0,2.0,1.0,False,26955
33.0,6.0,21.0,2.0,2360.0,53.0,0.0,70.0,1.0,1.0,True,36007
55.0,6.0,21.0,1.0,710.0,53.0,1.0,25.0,1.0,1.0,True,38120
32.0,2.0,21.0,2.0,5400.0,39.0,12.0,40.0,2.0,1.0,False,3336
51.0,1.0,16.0,1.0,5400.0,53.0,1.0,40.0,2.0,1.0,False,17737
49.0,1.0,16.0,1.0,8740.0,53.0,0.0,45.0,1.0,1.0,False,39289
45.0,1.0,16.0,2.0,9130.0,6.0,2.0,54.0,1.0,1.0,False,28961
34.0,1.0,22.0,2.0,5860.0,25.0,0.0,40.0,2.0,2.0,False,10646
48.0,1.0,21.0,1.0,440.0,53.0,0.0,50.0,1.0,1.0,True,11623
20.0,1.0,19.0,2.0,3603.0,53.0,0.0,40.0,2.0,1.0,False,9421
68.0,7.0,19.0,1.0,4920.0,38.0,0.0,25.0,1.0,1.0,True,34346
32.0,5.0,20.0,2.0,3740.0,32.0,0.0,30.0,2.0,2.0,False,19865
36.0,1.0,16.0,1.0,7430.0,53.0,0.0,40.0,1.0,1.0,True,28104
72.0,2.0,19.0,2.0,9645.0,53.0,0.0,40.0,2.0,1.0,False,3179
21.0,1.0,17.0,2.0,4760.0,41.0,17.0,10.0,2.0,2.0,False,225
55.0,1.0,16.0,1.0,4760.0,303.0,0.0,60.0,1.0,2.0,False,18311
64.0,1.0,19.0,2.0,3500.0,303.0,0.0,40.0,2.0,1.0,False,36889
45.0,6.0,19.0,1.0,6260.0,164.0,0.0,40.0,1.0,1.0,False,6073
41.0,2.0,22.0,1.0,1065.0,13.0,1.0,40.0,2.0,1.0,False,33495
37.0,1.0,24.0,2.0,3140.0,16.0,0.0,35.0,2.0,1.0,True,33678
18.0,1.0,14.0,2.0,4600.0,4.0,2.0,30.0,2.0,1.0,False,10274
53.0,7.0,19.0,2.0,310.0,41.0,0.0,38.0,2.0,1.0,True,5111
59.0,1.0,14.0,1.0,4760.0,53.0,1.0,40.0,2.0,1.0,False,35363
18.0,1.0,14.0,2.0,4251.0,53.0,2.0,5.0,1.0,1.0,False,29318
65.0,1.0,19.0,1.0,440.0,6.0,0.0,40.0,1.0,1.0,True,22799
56.0,1.0,21.0,1.0,1920.0,53.0,1.0,40.0,1.0,1.0,True,33034
20.0,1.0,16.0,2.0,5160.0,17.0,12.0,70.0,1.0,1.0,True,16595
47.0,1.0,16.0,1.0,7120.0,39.0,0.0,60.0,1.0,1.0,True,31348
31.0,1.0,21.0,1.0,4850.0,53.0,0.0,50.0,1.0,1.0,True,14021
58.0,1.0,20.0,1.0,5740.0,6.0,0.0,30.0,2.0,1.0,False,39714
26.0,1.0,19.0,2.0,4760.0,41.0,0.0,30.0,1.0,1.0,False,9348
