AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
66.0,4.0,20.0,2.0,5400.0,54.0,2.0,20.0,1.0,1.0,True,3048
71.0,2.0,22.0,1.0,230.0,36.0,0.0,40.0,1.0,1.0,True,5317
32.0,1.0,18.0,1.0,4700.0,6.0,0.0,55.0,2.0,1.0,True,2938
58.0,1.0,18.0,1.0,4700.0,36.0,1.0,40.0,2.0,1.0,False,1749
31.0,1.0,15.0,1.0,9645.0,54.0,1.0,20.0,1.0,1.0,False,3084
40.0,1.0,19.0,2.0,3500.0,54.0,0.0,40.0,2.0,1.0,False,740
19.0,1.0,19.0,2.0,9130.0,24.0,17.0,40.0,1.0,2.0,False,92
34.0,1.0,19.0,2.0,4020.0,54.0,2.0,48.0,2.0,1.0,False,6217
49.0,1.0,20.0,1.0,4010.0,54.0,9.0,45.0,2.0,1.0,False,2376
64.0,2.0,22.0,1.0,2310.0,34.0,0.0,40.0,2.0,1.0,False,6440
52.0,2.0,21.0,2.0,2016.0,54.0,0.0,64.0,2.0,1.0,False,4889
57.0,1.0,16.0,2.0,4760.0,54.0,2.0,2.0,1.0,1.0,False,1963
37.0,4.0,23.0,1.0,3090.0,54.0,1.0,55.0,2.0,1.0,True,948
22.0,2.0,20.0,2.0,2545.0,54.0,2.0,35.0,2.0,1.0,False,5989
48.0,1.0,19.0,2.0,8990.0,54.0,0.0,40.0,1.0,1.0,True,824
48.0,1.0,16.0,1.0,7200.0,24.0,0.0,40.0,1.0,1.0,False,5640
49.0,2.0,16.0,1.0,9040.0,19.0,1.0,10.0,2.0,1.0,False,6382
60.0,3.0,22.0,1.0,2310.0,42.0,0.0,40.0,1.0,1.0,False,4466
23.0,1.0,17.0,2.0,4700.0,54.0,0.0,30.0,1.0,1.0,False,3383
60.0,4.0,22.0,1.0,2014.0,42.0,0.0,60.0,1.0,1.0,False,3143
38.0,3.0,16.0,2.0,6442.0,54.0,13.0,40.0,1.0,1.0,False,1405
60.0,3.0,16.0,2.0,4220.0,54.0,0.0,40.0,1.0,1.0,False,6451
70.0,1.0,17.0,1.0,9620.0,42.0,1.0,67.0,1.0,1.0,False,3883
44.0,7.0,16.0,2.0,4700.0,54.0,0.0,40.0,2.0,1.0,False,2014
54.0,6.0,13.0,1.0,4230.0,25.0,1.0,37.0,2.0,1.0,False,1248
62.0,4.0,11.0,1.0,6305.0,54.0,0.0,40.0,1.0,1.0,False,7701
47.0,1.0,16.0,2.0,6950.0,54.0,0.0,50.0,1.0,1.0,True,4902
44.0,1.0,20.0,1.0,3255.0,54.0,1.0,36.0,2.0,1.0,True,2277
50.0,2.0,16.0,2.0,4110.0,39.0,0.0,40.0,2.0,1.0,False,4342
67.0,7.0,20.0,1.0,5120.0,54.0,1.0,20.0,2.0,1.0,False,2596
50.0,3.0,22.0,1.0,2310.0,54.0,0.0,40.0,2.0,1.0,False,6259
45.0,1.0,16.0,1.0,7750.0,15.0,1.0,40.0,2.0,1.0,False,4055
36.0,7.0,20.0,1.0,440.0,21.0,0.0,45.0,1.0,1.0,False,4722
31.0,1.0,19.0,1.0,3300.0,54.0,1.0,35.0,2.0,1.0,False,921
67.0,7.0,21.0,1.0,7200.0,54.0,1.0,45.0,1.0,1.0,False,6935
47.0,1.0,16.0,2.0,7220.0,54.0,2.0,40.0,1.0,1.0,True,6125
29.0,1.0,14.0,1.0,6200.0,54.0,1.0,40.0,1.0,1.0,False,324
69.0,6.0,21.0,2.0,2862.0,54.0,0.0,8.0,2.0,1.0,False,4994
18.0,1.0,16.0,2.0,3960.0,54.0,17.0,25.0,1.0,1.0,False,146
64.0,2.0,18.0,2.0,4220.0,40.0,0.0,25.0,2.0,2.0,False,1129
41.0,4.0,20.0,1.0,5740.0,54.0,1.0,40.0,2.0,1.0,False,6385
57.0,1.0,18.0,1.0,4220.0,54.0,0.0,40.0,1.0,1.0,True,7993
21.0,1.0,18.0,2.0,4020.0,12.0,0.0,29.0,1.0,1.0,False,7212
70.0,3.0,21.0,2.0,5320.0,36.0,0.0,20.0,1.0,1.0,False,3807
60.0,4.0,20.0,2.0,230.0,54.0,0.0,40.0,2.0,1.0,False,2245
53.0,1.0,21.0,1.0,20.0,54.0,0.0,60.0,1.0,1.0,True,4644
55.0,1.0,20.0,2.0,4000.0,39.0,0.0,40.0,1.0,1.0,False,5810
36.0,3.0,16.0,2.0,7750.0,54.0,17.0,25.0,1.0,1.0,False,181
64.0,1.0,16.0,2.0,5740.0,54.0,0.0,20.0,2.0,1.0,False,7657
40.0,5.0,19.0,1.0,9005.0,54.0,0.0,40.0,1.0,1.0,True,2743
24.0,3.0,16.0,2.0,3602.0,54.0,0.0,30.0,2.0,1.0,False,6589
24.0,3.0,22.0,1.0,2310.0,54.0,0.0,40.0,2.0,1.0,False,2966
28.0,1.0,19.0,1.0,310.0,11.0,0.0,35.0,2.0,1.0,False,2408
50.0,1.0,16.0,2.0,4220.0,54.0,0.0,40.0,1.0,1.0,False,5203
39.0,6.0,21.0,1.0,51.0,51.0,0.0,40.0,2.0,1.0,True,5073
73.0,7.0,16.0,1.0,220.0,54.0,0.0,40.0,1.0,1.0,True,6647
48.0,6.0,16.0,1.0,4500.0,11.0,0.0,40.0,2.0,1.0,False,3291
52.0,7.0,16.0,1.0,6230.0,54.0,0.0,50.0,1.0,1.0,False,6776
35.0,1.0,19.0,1.0,10.0,51.0,1.0,50.0,1.0,1.0,True,3282
40.0,1.0,20.0,1.0,1006.0,42.0,0.0,45.0,1.0,2.0,True,596
54.0,2.0,23.0,1.0,3050.0,231.0,1.0,40.0,1.0,2.0,True,4087
43.0,1.0,16.0,2.0,4020.0,54.0,0.0,40.0,2.0,1.0,False,4332
64.0,3.0,20.0,2.0,8620.0,54.0,0.0,40.0,1.0,1.0,False,1036
26.0,3.0,20.0,2.0,8990.0,54.0,12.0,40.0,2.0,2.0,False,7681
58.0,1.0,14.0,1.0,8740.0,39.0,0.0,60.0,1.0,1.0,True,5151
65.0,1.0,14.0,2.0,4700.0,54.0,0.0,37.0,2.0,1.0,False,988
60.0,1.0,16.0,1.0,7040.0,54.0,0.0,40.0,1.0,1.0,False,544
52.0,2.0,16.0,2.0,5740.0,54.0,0.0,40.0,2.0,1.0,False,6304
57.0,1.0,13.0,1.0,6200.0,54.0,0.0,30.0,1.0,1.0,False,2976
56.0,1.0,16.0,1.0,9645.0,54.0,1.0,40.0,1.0,1.0,False,5246
36.0,1.0,21.0,1.0,440.0,54.0,1.0,40.0,1.0,1.0,True,851
51.0,1.0,20.0,1.0,4720.0,54.0,0.0,40.0,2.0,1.0,False,5357
22.0,1.0,21.0,2.0,5860.0,109.0,12.0,3.0,2.0,1.0,False,4412
57.0,3.0,16.0,1.0,6200.0,54.0,0.0,48.0,1.0,1.0,False,7442
37.0,3.0,21.0,1.0,2310.0,54.0,0.0,50.0,2.0,1.0,False,6494
37.0,2.0,16.0,1.0,7410.0,38.0,1.0,50.0,1.0,1.0,True,379
33.0,1.0,22.0,1.0,1410.0,18.0,0.0,50.0,1.0,1.0,True,4999
33.0,3.0,22.0,1.0,2320.0,24.0,1.0,40.0,2.0,1.0,False,4946
42.0,3.0,17.0,2.0,7200.0,54.0,15.0,40.0,1.0,1.0,False,7587
24.0,4.0,23.0,2.0,2100.0,54.0,0.0,10.0,2.0,1.0,False,4672
62.0,1.0,16.0,1.0,440.0,54.0,1.0,60.0,1.0,1.0,True,4301
84.0,1.0,16.0,2.0,5010.0,54.0,0.0,20.0,2.0,1.0,True,4408
58.0,5.0,17.0,1.0,5820.0,47.0,1.0,40.0,1.0,1.0,True,6661
33.0,1.0,19.0,1.0,8740.0,54.0,1.0,99.0,1.0,1.0,True,3837
19.0,2.0,16.0,2.0,4220.0,42.0,17.0,8.0,1.0,1.0,False,90
38.0,1.0,19.0,1.0,630.0,54.0,0.0,40.0,1.0,1.0,True,7965
68.0,1.0,19.0,1.0,4760.0,54.0,0.0,12.0,2.0,1.0,False,1263
21.0,4.0,16.0,2.0,3802.0,54.0,2.0,60.0,1.0,1.0,False,6207
55.0,3.0,21.0,2.0,2360.0,54.0,13.0,40.0,1.0,1.0,False,441
37.0,5.0,22.0,1.0,630.0,54.0,0.0,40.0,2.0,1.0,False,7920
21.0,1.0,16.0,2.0,4760.0,54.0,2.0,35.0,2.0,1.0,False,6604
74.0,1.0,16.0,1.0,9141.0,54.0,0.0,20.0,1.0,1.0,False,4074
51.0,1.0,18.0,1.0,600.0,51.0,0.0,40.0,1.0,1.0,False,4965
48.0,2.0,21.0,1.0,350.0,54.0,0.0,40.0,2.0,1.0,False,5288
59.0,1.0,21.0,1.0,800.0,54.0,1.0,50.0,2.0,1.0,True,800
