model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
LogisticRegression,0.7760487144790257,0.08684509362553822,0.11071361533450372,0.16649884956551247,AL
XGBoost,0.8085250338294994,0.1492266514033282,0.15088277187054888,0.22155033111964204,AL
LogisticRegression,0.7860011474469306,0.0828626799557032,0.10254399195575664,0.1555431131019037,NM
XGBoost,0.8232931726907631,0.11315060908084162,0.14519356460532928,0.19320334628812333,NM
LogisticRegression,0.7602040816326531,0.10453089550246898,0.07117715176739013,0.08103497419796732,SD
XGBoost,0.7806122448979592,0.15150807420258908,0.0968366984258017,0.16883420758192622,SD
LogisticRegression,0.7635953789799944,0.05606883394432005,0.11444508860719826,0.16102750584688405,IA
XGBoost,0.8041701887855734,0.11098916148840826,0.11878221901881827,0.20000889778523082,IA
LogisticRegression,0.7730275458058083,0.03595867042359957,0.13482571259394488,0.31614702013676954,MA
XGBoost,0.8251277576966222,0.11269176702210038,0.15158541592491953,0.33042504682839474,MA
LogisticRegression,0.7755785184107117,0.09744987636058272,0.07716852933705867,0.15132177656667184,IN
XGBoost,0.8102168534420027,0.17344959507941848,0.08839577512488356,0.21561880713581985,IN
LogisticRegression,0.7964148527528809,0.09695512820512821,0.022436503434801774,0.11173708920187793,WV
XGBoost,0.8124199743918054,0.20130390442890442,0.034946744816285374,0.19154929577464785,WV
LogisticRegression,0.7724033358605004,0.054160596893822494,0.12786987728040303,0.17105774003142038,FL
XGBoost,0.8130401819560273,0.1050709738523328,0.12331649285785723,0.19227001817130246,FL
LogisticRegression,0.7732872596153846,0.04020844085875458,0.1338426865551413,0.1940194142103557,AZ
XGBoost,0.8182091346153846,0.10241490777714396,0.16435309630838574,0.21638006754694988,AZ
LogisticRegression,0.7695930816153193,0.11045428463324017,0.0814149232327882,0.19984130897499502,PA
XGBoost,0.8157671222299436,0.19323745495471642,0.10658665679248983,0.2396068244912669,PA
LogisticRegression,0.7541858772142683,0.010943966099028424,0.15555558329731528,0.22705252714778945,NY
XGBoost,0.8048046590633341,0.0821183987544194,0.15356417575255532,0.23217842573370373,NY
LogisticRegression,0.7323943661971831,0.03253453487160163,0.23734991423670668,0.2515217512704529,AK
XGBoost,0.780281690140845,0.10018520151688859,0.2833817126269957,0.26961523426592954,AK
LogisticRegression,0.7888079724032196,0.06577738025838238,0.1002886470776634,0.11829118539380952,MS
XGBoost,0.8033729398236872,0.0911543054327999,0.14845737261015834,0.17868248342112758,MS
LogisticRegression,0.7732859612060687,0.032687617191537066,0.11324172622755613,0.1979511384018239,NC
XGBoost,0.8147685807566737,0.09458534496759236,0.13210978483489308,0.23612173518771448,NC
LogisticRegression,0.7667811426787386,0.09656560936743802,0.0924101448691613,0.23709327104511624,IL
XGBoost,0.8103340618170465,0.207090031907113,0.12602677192841127,0.26302134238139596,IL
LogisticRegression,0.7879367102049485,0.1244495139027996,0.035644071671709326,0.18923739688625646,MI
XGBoost,0.8277583094403738,0.21050449389746578,0.06710895710676365,0.23077260802085173,MI
LogisticRegression,0.7810797424467558,0.04372104181549269,0.11611765101126342,0.19040165141662455,GA
XGBoost,0.8142644873699851,0.09984866911831292,0.13575834503222703,0.2275258346507944,GA
LogisticRegression,0.7689243027888446,0.019769904009034445,0.1673399014778325,0.17436829352717206,VT
XGBoost,0.7636122177954847,0.049378881987577616,0.2197536945812808,0.19174022152994116,VT
LogisticRegression,0.7632636655948553,0.06101130100426261,0.1314862437814899,0.17228515150636292,SC
XGBoost,0.8090836012861736,0.1199666694619852,0.16310334779683286,0.22029064218114333,SC
LogisticRegression,0.9143179255918827,0.013581576652818382,0.0035152288601998614,0.02154780361757106,PR
XGBoost,0.9199549041713642,0.048499769195260806,0.009087179954649562,0.06043927648578812,PR
LogisticRegression,0.7502627430373096,0.10745580851935899,0.09145700678631924,0.2637315453418827,WA
XGBoost,0.8029427220178665,0.20422875188348216,0.0972843763661227,0.27201958393950826,WA
LogisticRegression,0.7673956262425448,0.04316952752031172,0.12374929657353151,0.29283498035640065,NJ
XGBoost,0.8105053887203097,0.12737720836254163,0.13990756082964123,0.3098423148607517,NJ
LogisticRegression,0.7768973821176105,0.10264435511437772,0.07669141370737223,0.1929836860634528,TX
XGBoost,0.8149615474248427,0.18612686366927672,0.07702383118064399,0.2269379163403738,TX
LogisticRegression,0.7728076825878191,0.07273803707693594,0.21417634004779784,0.3057544935931647,CT
XGBoost,0.819560272934041,0.13089841761737037,0.19467224308637765,0.3002976730208242,CT
LogisticRegression,0.7663755458515283,0.00801472306056572,0.10019421093744402,0.2554647088269648,DE
XGBoost,0.7914847161572053,0.11869037231988327,0.17969169909487673,0.20565898309933017,DE
LogisticRegression,0.7867050067658998,0.09494534095136441,0.04198246092330063,0.12739035360037743,MO
XGBoost,0.831359945872801,0.1801321064059747,0.06543075245365321,0.16951227900264926,MO
LogisticRegression,0.7497812773403325,0.04972873011401907,0.2522906894557605,0.28769916598287876,RI
XGBoost,0.8136482939632546,0.13197922917712757,0.20064254963695943,0.3244553170122347,RI
LogisticRegression,0.7248764415156508,0.09064908412112743,0.014644778966010463,0.16567754698318496,WY
XGBoost,0.7512355848434926,0.1527301705128485,0.11474014031741708,0.19617540389053745,WY
LogisticRegression,0.7610660131720018,0.05694690009039788,0.14724922896376003,0.19290631855293822,WI
XGBoost,0.7916985755858478,0.13377615874499746,0.17406761761729683,0.24143452141607377,WI
LogisticRegression,0.772967994473866,0.023289560357833472,0.12457119210023115,0.21337294708855956,OR
XGBoost,0.8054340317752705,0.07155479059093517,0.14761028187638536,0.24356127233070873,OR
LogisticRegression,0.7930980879838334,0.09245187698632376,0.07584761684031618,0.1485912024014009,TN
XGBoost,0.8235659878750194,0.16998297081349248,0.09804104379339043,0.19441593671250734,TN
LogisticRegression,0.7663740715732613,0.04338851289555515,0.15598552119682832,0.17306695372780528,NV
XGBoost,0.812626603646185,0.09610206694713735,0.17050128665187828,0.19054549367357557,NV
LogisticRegression,0.7706528018486424,0.09680998108540667,0.08396485004837151,0.10877058056591168,OK
XGBoost,0.8105141536683997,0.1864118046462001,0.11071375993718716,0.17755519578475532,OK
LogisticRegression,0.7542883634677793,0.04393155700736964,0.1363028342744367,0.17334726292397457,NE
XGBoost,0.7858136300417247,0.10526361176314347,0.1393892878679897,0.22792587805115583,NE
LogisticRegression,0.7900856793145655,0.14590268731606115,0.12403777628267426,0.21512548732943468,UT
XGBoost,0.8206854345165239,0.24310078641385632,0.18082778899105428,0.23952241715399608,UT
LogisticRegression,0.7432715551974214,0.05896813964790304,0.172736984772383,0.2156220532482852,MN
XGBoost,0.7822723609991942,0.12503213305304345,0.15712190066172366,0.24089982276336727,MN
LogisticRegression,0.7903629536921152,0.13296878806745893,0.09726472437644099,0.11999412225705328,ID
XGBoost,0.8241551939924906,0.1946346877453236,0.13597778243554812,0.18344762277951931,ID
LogisticRegression,0.691609977324263,0.1361075170082224,0.13428927680798006,0.14400177232950556,ND
XGBoost,0.7437641723356009,0.26106056179306314,0.18659600997506237,0.19015618653768043,ND
LogisticRegression,0.7854663212435233,0.025182780167179175,0.10358069500672895,0.2271910958308852,CA
XGBoost,0.8264507772020725,0.08732864961414344,0.12005198432937558,0.23996965577940887,CA
LogisticRegression,0.7765932243544184,0.12845695106236327,0.10113469991685725,0.27454903120899066,VA
XGBoost,0.8221985311537551,0.23038508795588722,0.10624988116289241,0.2773780017487809,VA
LogisticRegression,0.7566331198536139,0.07992090441156655,0.10012185665226542,0.11199836199836201,MT
XGBoost,0.7904849039341263,0.08546568032985688,0.10424282707433255,0.16615999666847125,MT
LogisticRegression,0.8070044709388972,0.10089764201500537,0.0737034959132507,0.10278375741607192,AR
XGBoost,0.8252608047690015,0.1611044122901036,0.07588262884035926,0.16147286979629993,AR
LogisticRegression,0.7681159420289855,0.0962566844919786,0.07460057440697798,0.1627940283484353,KS
XGBoost,0.808300395256917,0.17781835572366417,0.06558025741942347,0.21086563605513353,KS
LogisticRegression,0.7700105916174913,0.01160285869762906,0.13579374962936613,0.3020616062540745,MD
XGBoost,0.8147980027235587,0.09577047337311706,0.12271719148431476,0.302061790936172,MD
LogisticRegression,0.7619672131147541,0.11186147186147188,0.029765293857151875,0.27505483899271743,NH
XGBoost,0.7927868852459017,0.20666666666666667,0.020726576833048627,0.2877687110643151,NH
LogisticRegression,0.7859775434987571,0.09884059226647929,0.06904944422412515,0.16749536935213327,OH
XGBoost,0.8227479214879575,0.19708362703141918,0.10409841779663923,0.22446969476147194,OH
LogisticRegression,0.7448099648674544,0.045296847067070545,0.14898733532051395,0.24933573459089914,CO
XGBoost,0.793197061641648,0.12025301424842988,0.15706343703886516,0.2665913695007282,CO
LogisticRegression,0.7473709953533871,0.10806213924307595,0.09654576856649397,0.1707419017763845,LA
XGBoost,0.7911469797016385,0.19558579072555474,0.15041789257166663,0.2224869383490073,LA
LogisticRegression,0.7394957983193278,0.013627677763250523,0.13683639150240534,0.24807718800716372,HI
XGBoost,0.7666451195862961,0.07988534647490697,0.122063519094044,0.26123530380261484,HI
LogisticRegression,0.778738902799909,0.042844606433730476,0.09662423741205517,0.15998699668323021,KY
XGBoost,0.8058274527657637,0.10701827903088287,0.1083450193568492,0.20380263014761876,KY
LogisticRegression,0.7601713062098501,0.013056331423678375,0.10575793184488835,0.1661402204880466,ME
XGBoost,0.7922912205567452,0.10028135130175947,0.11460373416895159,0.2101697014740493,ME
