model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
LogisticRegression,0.7760487144790257,0.004854368932038833,0.11548591580733003,0.09414681357518401,AL
XGBoost,0.8085250338294994,0.047016995466495626,0.12678005446185436,0.11553708439897697,AL
LogisticRegression,0.7860011474469306,0.06588224234637918,0.09920634920634924,0.13517342452369324,NM
XGBoost,0.8232931726907631,0.05287429477567665,0.15249796499796497,0.12226021820550392,NM
LogisticRegression,0.7602040816326531,0.07620320855614976,0.03282828282828287,0.04442819128242635,SD
XGBoost,0.7806122448979592,0.10835913312693501,0.04545454545454547,0.10846392057390952,SD
LogisticRegression,0.7635953789799944,0.06739605954741446,0.0772577537447946,0.1005876063037765,IA
XGBoost,0.8041701887855734,0.05031628949699386,0.05085099406837759,0.12656020466287587,IA
LogisticRegression,0.7730275458058083,0.04179210272722744,0.08203775462114468,0.17904135338345864,MA
XGBoost,0.8251277576966222,0.027178555995539505,0.07204290377218037,0.16907503132832083,MA
LogisticRegression,0.7755785184107117,0.03819407490856419,0.11741059616128313,0.11280144011087218,IN
XGBoost,0.8102168534420027,0.0645002515845715,0.04167429932222022,0.1453228359342439,IN
LogisticRegression,0.7964148527528809,0.07254034570328499,0.061497326203208524,0.1265042451088963,WV
XGBoost,0.8124199743918054,0.10387482591955438,0.3877005347593583,0.17796234772978958,WV
LogisticRegression,0.7724033358605004,0.014942923111961465,0.15070677923608433,0.1060832534754585,FL
XGBoost,0.8130401819560273,0.041792160365415665,0.07448648320640794,0.10532585951140117,FL
LogisticRegression,0.7732872596153846,0.014226314421923333,0.14182668369022872,0.1096625507258957,AZ
XGBoost,0.8182091346153846,0.04363780722200172,0.1361384556616968,0.10695861634947157,AZ
LogisticRegression,0.7695930816153193,0.005773071176859879,0.05195675644914738,0.15643084780399757,PA
XGBoost,0.8157671222299436,0.05882846213919385,0.04931003463089377,0.15265549680767854,PA
LogisticRegression,0.7541858772142683,0.07078279579085356,0.11214223819354174,0.1283960983093364,NY
XGBoost,0.8048046590633341,0.02079570240342546,0.09279347299742591,0.11220299142991412,NY
LogisticRegression,0.7323943661971831,0.02354111405835546,0.24062813230872032,0.15828865302549514,AK
XGBoost,0.780281690140845,0.06056587091069854,0.210023387905112,0.1362618218018915,AK
LogisticRegression,0.7888079724032196,0.015031296023564067,0.10542635658914729,0.0841031757262124,MS
XGBoost,0.8033729398236872,0.007643927962486946,0.15895482491312485,0.13520588651478704,MS
LogisticRegression,0.7732859612060687,0.03583898111475517,0.060783477709258515,0.09989360766728217,NC
XGBoost,0.8147685807566737,0.019847031897118117,0.0494734015318673,0.1073900413856219,NC
LogisticRegression,0.7667811426787386,0.04623496623927392,0.046216476780926524,0.16468648230943317,IL
XGBoost,0.8103340618170465,0.07726676504344974,0.06669141397437071,0.14897885963459734,IL
LogisticRegression,0.7879367102049485,0.03842246501820962,0.07635301068044398,0.1435648443845165,MI
XGBoost,0.8277583094403738,0.07278608395629671,0.03028635637003918,0.15131013491669232,MI
LogisticRegression,0.7810797424467558,0.03214658692763736,0.07397114690650108,0.09106011454551818,GA
XGBoost,0.8142644873699851,0.025473711163445975,0.06379616190936943,0.10700755772656362,GA
LogisticRegression,0.7689243027888446,0.03233082706766917,0.4476987447698745,0.08830721854904444,VT
XGBoost,0.7636122177954847,0.0858543417366946,0.37656903765690375,0.10786086423536621,VT
LogisticRegression,0.7632636655948553,0.007645971914264638,0.09808599585173727,0.10616769207301568,SC
XGBoost,0.8090836012861736,0.035683201893525376,0.12033544328737289,0.1182098608498161,SC
LogisticRegression,0.9143179255918827,0.03625906476619155,0.018677213799165024,0.08744588744588745,PR
XGBoost,0.9199549041713642,0.09727431857964491,0.1531531531531532,0.11861471861471862,PR
LogisticRegression,0.7502627430373096,0.04354012190991874,0.06348194563042964,0.1611223500069281,WA
XGBoost,0.8029427220178665,0.07234496156309567,0.051684366242919166,0.14485520299293336,WA
LogisticRegression,0.7673956262425448,0.03561775488011443,0.06737697003770499,0.17964131934423722,NJ
XGBoost,0.8105053887203097,0.042917354934206564,0.07205609604067492,0.16232719162235404,NJ
LogisticRegression,0.7768973821176105,0.0169367768705347,0.05450263054613025,0.12458375507449854,TX
XGBoost,0.8149615474248427,0.06722725058539292,0.02513063306986474,0.13422557438425786,TX
LogisticRegression,0.7728076825878191,0.016721658723369587,0.1288923778550335,0.1959099021166495,CT
XGBoost,0.819560272934041,0.041030195381882684,0.08231104336865201,0.16940794600829207,CT
LogisticRegression,0.7663755458515283,0.07814434491297073,0.024588892336332546,0.1839514397808868,DE
XGBoost,0.7914847161572053,0.08932342873789234,0.1011237708756048,0.08945887926567475,DE
LogisticRegression,0.7867050067658998,0.02181118178774688,0.04292814917208315,0.11750735153283687,MO
XGBoost,0.831359945872801,0.06013837741323513,0.029040322343460545,0.07709814437171159,MO
LogisticRegression,0.7497812773403325,0.040323646594535384,0.2855805758960524,0.1929246192404087,RI
XGBoost,0.8136482939632546,0.06541822275431985,0.13604580741066996,0.22911361819972864,RI
LogisticRegression,0.7248764415156508,0.020487623991842008,0.1305164319248826,0.0840300531013445,WY
XGBoost,0.7512355848434926,0.07521948456527897,0.09407315943818492,0.08222234775731554,WY
LogisticRegression,0.7610660131720018,0.05775064710195499,0.15033575587572778,0.11455436366044236,WI
XGBoost,0.7916985755858478,0.061585659917921434,0.21880976667091673,0.13945389927726437,WI
LogisticRegression,0.772967994473866,0.04504899242004068,0.055113495480467956,0.10931382739147,OR
XGBoost,0.8054340317752705,0.025969633491236016,0.06245256933330327,0.11750209792033772,OR
LogisticRegression,0.7930980879838334,0.019711305918988176,0.06091494114901136,0.09479322650097965,TN
XGBoost,0.8235659878750194,0.039453922426363364,0.08052415724717421,0.08847007725603251,TN
LogisticRegression,0.7663740715732613,0.041132726056301805,0.15597508955356126,0.1564304347826087,NV
XGBoost,0.812626603646185,0.03190847580186974,0.12363454552358777,0.12905652173913051,NV
LogisticRegression,0.7706528018486424,0.07893026279134557,0.1755151515151515,0.07251478731641925,OK
XGBoost,0.8105141536683997,0.07724332188070693,0.14626839826839833,0.11945028273218855,OK
LogisticRegression,0.7542883634677793,0.05231523133171262,0.13681273442502973,0.11151170145477546,NE
XGBoost,0.7858136300417247,0.04341120202813971,0.1793523007959016,0.12613535736875403,NE
LogisticRegression,0.7900856793145655,0.04940718157181567,0.07207179423919086,0.10333941158860194,UT
XGBoost,0.8206854345165239,0.14620596205962055,0.14688829951273663,0.09103537190025741,UT
LogisticRegression,0.7432715551974214,0.07698340584708441,0.11712853729382114,0.1542880266284522,MN
