AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
46.0,1.0,19.0,1.0,5240.0,39.0,0.0,20.0,2.0,1.0,False,411
31.0,1.0,17.0,1.0,8650.0,32.0,17.0,84.0,1.0,1.0,True,125
31.0,1.0,17.0,1.0,8650.0,32.0,17.0,84.0,1.0,1.0,True,343
31.0,1.0,19.0,2.0,5120.0,6.0,13.0,15.0,2.0,4.0,False,1297
44.0,1.0,14.0,2.0,6115.0,2.0,0.0,84.0,1.0,4.0,False,669
28.0,2.0,19.0,1.0,5120.0,2.0,0.0,18.0,2.0,4.0,False,2118
24.0,3.0,19.0,2.0,9620.0,2.0,2.0,40.0,1.0,4.0,False,1666
38.0,1.0,15.0,2.0,8225.0,6.0,0.0,48.0,1.0,1.0,True,1462
24.0,4.0,21.0,2.0,2011.0,36.0,0.0,45.0,1.0,1.0,True,1756
32.0,3.0,21.0,1.0,3740.0,24.0,0.0,56.0,1.0,5.0,True,2147
25.0,1.0,19.0,2.0,4510.0,2.0,7.0,30.0,2.0,5.0,False,3164
21.0,1.0,20.0,1.0,9130.0,2.0,1.0,30.0,1.0,1.0,False,2930
65.0,1.0,16.0,2.0,9630.0,233.0,10.0,40.0,2.0,3.0,False,1118
39.0,6.0,21.0,1.0,4020.0,2.0,0.0,99.0,2.0,1.0,True,695
45.0,1.0,21.0,1.0,530.0,217.0,1.0,40.0,2.0,3.0,False,2321
32.0,4.0,16.0,2.0,7750.0,2.0,16.0,48.0,2.0,5.0,False,332
70.0,4.0,21.0,1.0,2555.0,49.0,0.0,38.0,1.0,1.0,True,973
37.0,3.0,21.0,1.0,3255.0,2.0,1.0,40.0,2.0,1.0,False,3360
41.0,3.0,16.0,2.0,9620.0,2.0,0.0,6.0,1.0,5.0,False,3085
33.0,3.0,12.0,2.0,4220.0,2.0,2.0,9.0,1.0,4.0,False,3468
50.0,7.0,1.0,1.0,4020.0,217.0,1.0,12.0,1.0,3.0,False,2394
26.0,2.0,21.0,1.0,10.0,4.0,1.0,45.0,2.0,1.0,False,3038
28.0,1.0,20.0,2.0,4030.0,53.0,13.0,18.0,2.0,1.0,False,3040
21.0,1.0,16.0,2.0,5260.0,2.0,2.0,8.0,2.0,5.0,False,2418
