AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
45.0,1.0,21.0,1.0,3300.0,42.0,0.0,40.0,2.0,2.0,True,660
37.0,1.0,16.0,2.0,7855.0,34.0,0.0,40.0,1.0,2.0,False,2656
75.0,1.0,14.0,1.0,5300.0,36.0,0.0,32.0,2.0,1.0,False,1307
66.0,1.0,21.0,1.0,1555.0,10.0,0.0,40.0,2.0,1.0,False,2644
57.0,3.0,20.0,1.0,6660.0,26.0,0.0,40.0,1.0,1.0,True,1678
55.0,2.0,18.0,2.0,420.0,10.0,2.0,30.0,2.0,1.0,False,2774
20.0,1.0,16.0,2.0,5400.0,36.0,2.0,40.0,2.0,1.0,False,1819
44.0,5.0,22.0,1.0,845.0,247.0,0.0,40.0,1.0,3.0,True,3672
61.0,4.0,21.0,1.0,4220.0,10.0,1.0,40.0,1.0,2.0,True,2369
52.0,1.0,19.0,1.0,5120.0,24.0,0.0,40.0,2.0,1.0,True,3103
24.0,1.0,21.0,2.0,440.0,10.0,2.0,60.0,2.0,1.0,False,1287
42.0,1.0,21.0,2.0,3310.0,51.0,0.0,32.0,2.0,1.0,True,2250
26.0,1.0,16.0,2.0,9142.0,36.0,12.0,40.0,1.0,2.0,False,1587
27.0,1.0,19.0,2.0,5820.0,10.0,2.0,40.0,2.0,5.0,False,2983
50.0,1.0,15.0,1.0,6260.0,10.0,0.0,40.0,1.0,1.0,False,2567
46.0,1.0,18.0,1.0,5710.0,10.0,0.0,40.0,2.0,1.0,False,1084
64.0,4.0,18.0,2.0,5320.0,17.0,2.0,20.0,2.0,1.0,False,1373
23.0,1.0,20.0,2.0,4350.0,10.0,7.0,30.0,2.0,2.0,False,1636
53.0,7.0,18.0,1.0,20.0,10.0,1.0,50.0,1.0,1.0,True,1127
28.0,1.0,16.0,2.0,5610.0,24.0,0.0,35.0,1.0,1.0,False,4185
57.0,1.0,16.0,1.0,2635.0,138.0,1.0,40.0,1.0,1.0,False,3469
62.0,6.0,16.0,1.0,8555.0,27.0,0.0,50.0,1.0,1.0,False,2433
24.0,1.0,19.0,2.0,1460.0,47.0,13.0,40.0,1.0,2.0,False,3850
53.0,1.0,19.0,2.0,6260.0,10.0,16.0,40.0,1.0,2.0,False,8
26.0,2.0,21.0,2.0,6200.0,42.0,0.0,40.0,2.0,1.0,False,2844
68.0,2.0,22.0,2.0,420.0,36.0,17.0,60.0,1.0,1.0,False,31
32.0,1.0,20.0,2.0,9620.0,36.0,2.0,35.0,2.0,2.0,False,4174
63.0,1.0,22.0,2.0,1430.0,42.0,13.0,50.0,1.0,1.0,True,2247
66.0,1.0,19.0,1.0,9600.0,24.0,0.0,40.0,1.0,2.0,True,3192
62.0,3.0,18.0,1.0,2435.0,10.0,0.0,40.0,2.0,1.0,False,683
57.0,1.0,18.0,1.0,4720.0,54.0,1.0,20.0,2.0,1.0,False,2732
47.0,1.0,16.0,2.0,7700.0,10.0,2.0,40.0,1.0,1.0,True,604
71.0,5.0,23.0,2.0,3421.0,247.0,0.0,40.0,1.0,3.0,True,2452
52.0,1.0,21.0,2.0,4760.0,42.0,0.0,70.0,2.0,1.0,True,1097
42.0,4.0,20.0,1.0,440.0,10.0,0.0,37.0,2.0,1.0,False,4578
67.0,1.0,21.0,1.0,3602.0,51.0,0.0,20.0,2.0,2.0,False,4193
46.0,4.0,16.0,1.0,2015.0,10.0,0.0,40.0,2.0,1.0,False,628
63.0,1.0,21.0,2.0,5240.0,24.0,0.0,40.0,1.0,1.0,False,3090
49.0,1.0,17.0,2.0,7750.0,51.0,17.0,40.0,1.0,1.0,False,102
67.0,1.0,21.0,1.0,160.0,36.0,0.0,41.0,1.0,1.0,True,623
63.0,4.0,16.0,1.0,3802.0,42.0,0.0,45.0,1.0,1.0,True,3891
59.0,1.0,16.0,1.0,8740.0,10.0,0.0,40.0,1.0,1.0,True,2671
54.0,1.0,19.0,1.0,5740.0,51.0,0.0,32.0,2.0,1.0,False,4573
68.0,1.0,18.0,2.0,120.0,39.0,0.0,50.0,2.0,1.0,True,4247
18.0,1.0,16.0,2.0,4251.0,10.0,2.0,30.0,1.0,1.0,False,935
70.0,1.0,16.0,1.0,3930.0,24.0,0.0,40.0,1.0,2.0,True,4333
