AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
31.0,1.0,15.0,2.0,3603.0,22.0,7.0,8.0,2.0,1.0,False,19689
30.0,1.0,19.0,2.0,8990.0,22.0,0.0,40.0,2.0,2.0,False,15346
26.0,1.0,16.0,2.0,6200.0,22.0,13.0,32.0,1.0,1.0,False,15605
30.0,1.0,16.0,2.0,3930.0,22.0,0.0,37.0,2.0,2.0,False,13991
31.0,1.0,19.0,2.0,4850.0,22.0,0.0,41.0,2.0,1.0,False,6449
27.0,1.0,21.0,2.0,1745.0,17.0,0.0,40.0,2.0,1.0,False,860
48.0,1.0,16.0,2.0,4900.0,22.0,0.0,30.0,2.0,1.0,False,6443
36.0,1.0,18.0,2.0,4720.0,22.0,2.0,35.0,2.0,1.0,False,4538
24.0,1.0,22.0,1.0,3550.0,22.0,1.0,44.0,2.0,1.0,False,19092
21.0,1.0,16.0,2.0,2300.0,22.0,15.0,37.0,2.0,1.0,False,7951
52.0,3.0,16.0,1.0,4020.0,22.0,1.0,40.0,2.0,2.0,False,1064
49.0,1.0,20.0,1.0,9620.0,22.0,1.0,45.0,1.0,1.0,False,3912
43.0,1.0,19.0,2.0,8140.0,22.0,0.0,60.0,1.0,2.0,True,13078
50.0,1.0,20.0,1.0,3255.0,22.0,0.0,50.0,1.0,1.0,True,15501
44.0,1.0,14.0,1.0,4030.0,22.0,1.0,40.0,1.0,4.0,False,16941
60.0,7.0,16.0,1.0,4510.0,22.0,0.0,30.0,2.0,1.0,False,15759
62.0,6.0,21.0,1.0,4920.0,22.0,1.0,50.0,2.0,1.0,True,14884
33.0,2.0,24.0,1.0,3090.0,48.0,1.0,60.0,2.0,1.0,True,4716
28.0,3.0,21.0,2.0,10.0,22.0,2.0,40.0,1.0,2.0,False,20007
17.0,1.0,13.0,2.0,4030.0,22.0,16.0,45.0,1.0,2.0,False,170
34.0,1.0,21.0,1.0,3602.0,22.0,1.0,40.0,2.0,1.0,False,19133
76.0,1.0,22.0,1.0,4810.0,48.0,0.0,30.0,1.0,1.0,True,9732
27.0,1.0,15.0,1.0,4110.0,5.0,0.0,27.0,2.0,1.0,False,15476
26.0,2.0,19.0,2.0,3500.0,22.0,2.0,40.0,2.0,2.0,False,9655
59.0,1.0,1.0,1.0,9645.0,247.0,8.0,25.0,2.0,3.0,False,1591
48.0,1.0,20.0,2.0,3255.0,22.0,0.0,40.0,2.0,2.0,False,18177
48.0,4.0,24.0,1.0,3230.0,22.0,0.0,11.0,2.0,2.0,False,15948
56.0,6.0,20.0,2.0,3602.0,22.0,0.0,24.0,2.0,2.0,False,18210
36.0,6.0,19.0,1.0,4510.0,48.0,0.0,35.0,1.0,1.0,False,4304
58.0,1.0,19.0,1.0,340.0,13.0,0.0,45.0,2.0,1.0,True,12137
57.0,1.0,16.0,2.0,9130.0,22.0,0.0,40.0,1.0,1.0,False,10707
31.0,4.0,23.0,1.0,3090.0,126.0,1.0,40.0,1.0,1.0,False,9741
21.0,1.0,16.0,2.0,3500.0,22.0,0.0,36.0,2.0,2.0,False,13189
53.0,1.0,19.0,1.0,7750.0,22.0,16.0,50.0,1.0,1.0,False,105
25.0,1.0,18.0,2.0,9640.0,22.0,4.0,40.0,1.0,2.0,False,6856
45.0,1.0,16.0,2.0,5410.0,303.0,0.0,40.0,2.0,1.0,False,1144
25.0,1.0,16.0,2.0,4850.0,22.0,2.0,40.0,1.0,1.0,True,14091
41.0,3.0,16.0,2.0,3840.0,22.0,0.0,40.0,2.0,2.0,False,3961
23.0,1.0,17.0,2.0,9645.0,22.0,2.0,40.0,1.0,1.0,False,13143
54.0,1.0,16.0,1.0,8990.0,22.0,1.0,80.0,1.0,1.0,False,2075
50.0,1.0,21.0,1.0,140.0,22.0,0.0,40.0,1.0,1.0,True,5612
49.0,3.0,12.0,1.0,4020.0,22.0,1.0,35.0,2.0,1.0,False,7920
57.0,1.0,21.0,2.0,51.0,22.0,0.0,60.0,2.0,1.0,True,10744
48.0,1.0,16.0,1.0,8030.0,22.0,0.0,50.0,1.0,1.0,True,8026
31.0,4.0,22.0,1.0,2310.0,28.0,9.0,40.0,2.0,1.0,False,10560
53.0,6.0,20.0,1.0,2640.0,17.0,1.0,40.0,2.0,1.0,False,14145
53.0,1.0,16.0,1.0,4252.0,22.0,6.0,40.0,1.0,5.0,False,1371
66.0,1.0,16.0,1.0,20.0,22.0,0.0,50.0,1.0,1.0,True,2611
31.0,1.0,21.0,1.0,3255.0,22.0,1.0,40.0,2.0,1.0,False,5792
22.0,1.0,12.0,1.0,4760.0,22.0,1.0,38.0,1.0,1.0,False,3799
56.0,1.0,21.0,2.0,5140.0,22.0,0.0,40.0,2.0,2.0,False,9961
58.0,5.0,22.0,1.0,110.0,55.0,0.0,40.0,1.0,1.0,True,3790
27.0,2.0,23.0,2.0,51.0,22.0,0.0,40.0,2.0,1.0,True,9532
24.0,1.0,16.0,1.0,4700.0,22.0,1.0,35.0,2.0,1.0,False,18572
58.0,1.0,20.0,1.0,3255.0,22.0,1.0,36.0,2.0,1.0,True,15996
60.0,1.0,16.0,1.0,9130.0,22.0,1.0,40.0,1.0,2.0,False,5100
25.0,1.0,1.0,1.0,9640.0,303.0,0.0,40.0,2.0,1.0,False,2839
51.0,1.0,16.0,1.0,5740.0,22.0,1.0,40.0,2.0,1.0,False,20131
32.0,1.0,22.0,2.0,2004.0,41.0,0.0,40.0,2.0,1.0,False,5318
45.0,1.0,16.0,2.0,4700.0,45.0,0.0,56.0,2.0,2.0,False,16287
66.0,6.0,19.0,1.0,4760.0,22.0,1.0,10.0,1.0,1.0,True,11851
22.0,1.0,16.0,2.0,7200.0,22.0,7.0,40.0,1.0,1.0,False,13281
26.0,1.0,16.0,2.0,5740.0,22.0,0.0,40.0,2.0,1.0,False,2046
56.0,3.0,16.0,2.0,4020.0,22.0,0.0,80.0,2.0,2.0,False,10522
23.0,1.0,20.0,2.0,4110.0,22.0,7.0,36.0,1.0,2.0,False,16382
40.0,1.0,16.0,2.0,4760.0,12.0,2.0,40.0,1.0,1.0,False,17211
23.0,1.0,16.0,2.0,4110.0,22.0,0.0,40.0,2.0,2.0,False,1878
37.0,1.0,21.0,2.0,440.0,341.0,0.0,40.0,2.0,3.0,True,4383
22.0,1.0,19.0,2.0,4020.0,22.0,2.0,40.0,1.0,1.0,False,17706
33.0,1.0,21.0,2.0,2350.0,247.0,0.0,40.0,2.0,3.0,False,6524
19.0,1.0,16.0,2.0,5820.0,47.0,17.0,20.0,2.0,2.0,False,344
51.0,1.0,16.0,1.0,4720.0,22.0,0.0,38.0,2.0,1.0,False,19888
51.0,6.0,16.0,2.0,4510.0,22.0,0.0,1.0,2.0,1.0,False,12703
27.0,1.0,22.0,1.0,4150.0,29.0,1.0,40.0,2.0,5.0,False,14392
57.0,1.0,22.0,1.0,800.0,22.0,0.0,40.0,1.0,1.0,True,1032
32.0,1.0,19.0,2.0,3630.0,22.0,2.0,30.0,2.0,1.0,False,13461
50.0,1.0,17.0,1.0,6260.0,55.0,15.0,40.0,2.0,1.0,False,4499
26.0,1.0,13.0,2.0,136.0,22.0,0.0,40.0,2.0,1.0,False,3491
22.0,1.0,14.0,2.0,4110.0,22.0,2.0,20.0,2.0,2.0,False,16954
47.0,1.0,21.0,2.0,7350.0,6.0,0.0,40.0,2.0,1.0,True,3194
57.0,1.0,17.0,2.0,8990.0,22.0,17.0,24.0,1.0,1.0,False,305
62.0,1.0,17.0,1.0,7210.0,22.0,1.0,40.0,1.0,1.0,True,18429
33.0,1.0,16.0,1.0,6260.0,303.0,2.0,40.0,1.0,5.0,False,17202
43.0,3.0,21.0,1.0,2310.0,22.0,0.0,40.0,2.0,1.0,False,12651
48.0,6.0,16.0,2.0,6230.0,22.0,0.0,99.0,1.0,1.0,False,8449
46.0,1.0,16.0,2.0,6442.0,22.0,2.0,50.0,1.0,2.0,False,10862
46.0,1.0,16.0,1.0,7430.0,22.0,1.0,42.0,1.0,1.0,True,6755
21.0,1.0,19.0,2.0,4020.0,22.0,2.0,30.0,1.0,1.0,False,16465
68.0,1.0,21.0,1.0,310.0,22.0,0.0,40.0,1.0,1.0,False,19597
36.0,3.0,23.0,1.0,3160.0,22.0,0.0,34.0,2.0,1.0,False,9295
54.0,4.0,14.0,2.0,3710.0,22.0,5.0,40.0,1.0,2.0,True,12077
28.0,1.0,19.0,1.0,4020.0,39.0,0.0,38.0,1.0,1.0,False,16936
23.0,2.0,16.0,2.0,3602.0,22.0,10.0,36.0,2.0,2.0,False,9280
25.0,1.0,9.0,2.0,4140.0,313.0,0.0,50.0,1.0,5.0,True,14168
20.0,1.0,19.0,2.0,4220.0,22.0,2.0,15.0,2.0,2.0,False,12772
32.0,1.0,20.0,2.0,4110.0,40.0,13.0,35.0,2.0,1.0,False,10130
39.0,1.0,16.0,2.0,8300.0,22.0,0.0,30.0,2.0,2.0,False,20236
35.0,6.0,23.0,1.0,3010.0,22.0,0.0,32.0,1.0,1.0,True,15246
28.0,1.0,21.0,2.0,9142.0,22.0,2.0,40.0,1.0,2.0,False,5542
34.0,2.0,17.0,2.0,8950.0,22.0,2.0,38.0,1.0,1.0,False,14674
42.0,6.0,21.0,1.0,3603.0,48.0,0.0,20.0,2.0,1.0,False,4907
39.0,1.0,18.0,2.0,9600.0,40.0,13.0,40.0,1.0,2.0,False,20383
25.0,1.0,22.0,2.0,5120.0,45.0,0.0,45.0,1.0,1.0,True,818
59.0,1.0,16.0,2.0,7315.0,22.0,0.0,45.0,1.0,1.0,False,2706
69.0,7.0,22.0,1.0,800.0,22.0,0.0,40.0,1.0,1.0,True,19751
60.0,1.0,19.0,2.0,3930.0,17.0,0.0,40.0,1.0,1.0,True,8005
38.0,7.0,16.0,1.0,6200.0,22.0,1.0,40.0,1.0,1.0,True,20031
48.0,4.0,16.0,1.0,4600.0,22.0,0.0,20.0,2.0,1.0,False,10185
60.0,4.0,15.0,2.0,7340.0,22.0,0.0,40.0,1.0,2.0,False,1018
26.0,1.0,16.0,2.0,6260.0,22.0,0.0,40.0,1.0,1.0,False,5851
43.0,1.0,16.0,2.0,7200.0,22.0,0.0,50.0,1.0,1.0,False,15807
60.0,7.0,16.0,1.0,3646.0,22.0,1.0,8.0,2.0,1.0,False,7466
60.0,6.0,18.0,1.0,2634.0,48.0,0.0,5.0,2.0,1.0,False,18369
39.0,1.0,20.0,1.0,5820.0,22.0,0.0,6.0,2.0,1.0,False,9111
49.0,6.0,16.0,1.0,440.0,22.0,9.0,50.0,1.0,1.0,True,19017
50.0,1.0,16.0,2.0,1108.0,22.0,0.0,41.0,1.0,1.0,False,7735
32.0,3.0,23.0,1.0,3090.0,22.0,1.0,80.0,1.0,1.0,True,18251
29.0,1.0,21.0,2.0,1050.0,22.0,0.0,40.0,1.0,1.0,False,4227
66.0,1.0,19.0,1.0,2435.0,22.0,1.0,40.0,2.0,2.0,False,1070
17.0,1.0,13.0,2.0,4720.0,36.0,4.0,30.0,2.0,2.0,False,20457
50.0,1.0,18.0,1.0,565.0,22.0,1.0,40.0,1.0,1.0,False,14201
59.0,3.0,15.0,1.0,440.0,22.0,0.0,40.0,1.0,1.0,False,9018
63.0,1.0,21.0,1.0,5710.0,22.0,1.0,50.0,2.0,1.0,False,18543
41.0,1.0,21.0,1.0,630.0,22.0,0.0,40.0,2.0,1.0,True,6643
26.0,1.0,20.0,2.0,910.0,22.0,0.0,40.0,2.0,1.0,False,15854
25.0,1.0,21.0,2.0,110.0,22.0,0.0,40.0,1.0,1.0,True,11709
32.0,1.0,13.0,2.0,4230.0,22.0,0.0,20.0,2.0,2.0,False,13629
34.0,1.0,10.0,2.0,6260.0,303.0,0.0,40.0,1.0,1.0,False,2758
48.0,6.0,20.0,1.0,6260.0,22.0,0.0,5.0,1.0,1.0,False,18113
38.0,1.0,15.0,2.0,7200.0,22.0,0.0,40.0,1.0,2.0,False,12513
50.0,1.0,16.0,1.0,6520.0,17.0,0.0,40.0,1.0,1.0,False,11155
40.0,1.0,22.0,1.0,6005.0,48.0,0.0,60.0,1.0,1.0,True,8578
63.0,1.0,22.0,1.0,2180.0,22.0,1.0,24.0,2.0,1.0,False,4900
34.0,1.0,20.0,1.0,120.0,22.0,0.0,40.0,2.0,1.0,True,11434
68.0,1.0,18.0,2.0,5165.0,12.0,0.0,40.0,2.0,1.0,True,19014
40.0,1.0,22.0,1.0,5000.0,51.0,1.0,40.0,2.0,1.0,True,14714
67.0,1.0,16.0,2.0,4251.0,22.0,0.0,40.0,1.0,2.0,False,11041
25.0,1.0,19.0,2.0,6260.0,22.0,0.0,65.0,1.0,1.0,False,10820
23.0,1.0,19.0,2.0,4110.0,34.0,13.0,40.0,2.0,1.0,False,3240
29.0,3.0,22.0,1.0,2310.0,22.0,1.0,45.0,1.0,1.0,False,8353
48.0,5.0,22.0,1.0,3820.0,31.0,0.0,55.0,1.0,1.0,True,2941
19.0,1.0,19.0,2.0,8630.0,22.0,2.0,50.0,1.0,1.0,False,4410
48.0,1.0,16.0,1.0,440.0,22.0,0.0,50.0,1.0,1.0,True,7881
50.0,1.0,16.0,1.0,8740.0,48.0,1.0,70.0,1.0,1.0,True,7562
25.0,1.0,18.0,1.0,6200.0,22.0,0.0,50.0,1.0,1.0,False,7690
70.0,1.0,16.0,2.0,9141.0,22.0,0.0,25.0,1.0,2.0,False,8906
46.0,1.0,20.0,2.0,6355.0,22.0,0.0,40.0,1.0,1.0,False,697
32.0,1.0,21.0,2.0,440.0,36.0,0.0,50.0,1.0,1.0,True,17092
20.0,1.0,19.0,1.0,2600.0,8.0,0.0,25.0,2.0,1.0,False,1093
35.0,1.0,21.0,1.0,9645.0,28.0,1.0,40.0,1.0,1.0,False,10984
62.0,1.0,16.0,1.0,8740.0,22.0,0.0,99.0,1.0,1.0,True,14470
64.0,1.0,1.0,1.0,9620.0,303.0,15.0,4.0,1.0,5.0,False,1413
32.0,2.0,21.0,1.0,800.0,22.0,1.0,40.0,1.0,1.0,True,18389
30.0,1.0,17.0,1.0,2545.0,34.0,0.0,40.0,2.0,1.0,True,7639
62.0,2.0,20.0,1.0,350.0,22.0,1.0,40.0,2.0,2.0,False,14114
60.0,1.0,14.0,1.0,8140.0,22.0,0.0,50.0,1.0,1.0,True,1261
45.0,2.0,18.0,1.0,6200.0,22.0,0.0,45.0,1.0,1.0,True,10036
52.0,1.0,19.0,1.0,120.0,22.0,1.0,40.0,2.0,1.0,False,13429
49.0,7.0,19.0,1.0,440.0,22.0,0.0,40.0,1.0,1.0,True,15069
17.0,1.0,14.0,2.0,9620.0,22.0,16.0,20.0,1.0,2.0,False,287
22.0,5.0,16.0,2.0,3645.0,6.0,17.0,50.0,1.0,1.0,False,501
52.0,1.0,17.0,2.0,5740.0,22.0,0.0,45.0,2.0,1.0,False,1152
28.0,1.0,21.0,2.0,110.0,28.0,13.0,60.0,1.0,1.0,True,15872
66.0,1.0,21.0,1.0,220.0,22.0,1.0,20.0,1.0,1.0,False,11343
57.0,3.0,16.0,2.0,3870.0,22.0,0.0,42.0,1.0,5.0,False,15388
20.0,1.0,18.0,2.0,6230.0,22.0,10.0,40.0,1.0,1.0,False,3445
29.0,1.0,19.0,2.0,4020.0,22.0,13.0,40.0,1.0,1.0,False,13870
60.0,5.0,21.0,1.0,800.0,72.0,0.0,60.0,2.0,1.0,True,8116
23.0,1.0,19.0,2.0,5160.0,303.0,13.0,40.0,2.0,1.0,False,12283
