AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
21.0,1.0,19.0,2.0,4010.0,26.0,17.0,10.0,1.0,1.0,False
61.0,4.0,21.0,2.0,2545.0,26.0,0.0,30.0,2.0,1.0,False
39.0,1.0,16.0,1.0,8990.0,26.0,1.0,55.0,1.0,1.0,False
60.0,1.0,18.0,1.0,7700.0,26.0,1.0,40.0,1.0,1.0,False
55.0,1.0,17.0,2.0,4510.0,303.0,12.0,30.0,2.0,4.0,False
19.0,1.0,16.0,2.0,4010.0,26.0,2.0,28.0,1.0,1.0,False
47.0,1.0,20.0,1.0,120.0,26.0,1.0,40.0,2.0,1.0,False
38.0,1.0,17.0,2.0,5000.0,26.0,0.0,55.0,2.0,1.0,False
18.0,1.0,14.0,2.0,4760.0,26.0,2.0,12.0,2.0,1.0,False
48.0,1.0,19.0,2.0,5610.0,17.0,0.0,40.0,1.0,1.0,False
54.0,6.0,16.0,1.0,4760.0,26.0,0.0,50.0,1.0,1.0,True
32.0,5.0,16.0,2.0,7905.0,26.0,2.0,70.0,1.0,1.0,False
52.0,1.0,18.0,1.0,6200.0,55.0,1.0,60.0,1.0,1.0,True
43.0,1.0,21.0,2.0,5240.0,26.0,2.0,40.0,1.0,1.0,False
18.0,1.0,16.0,2.0,6355.0,26.0,17.0,40.0,1.0,1.0,False
63.0,1.0,16.0,1.0,350.0,26.0,1.0,40.0,2.0,1.0,False
53.0,1.0,16.0,1.0,4020.0,26.0,1.0,40.0,2.0,1.0,False
43.0,1.0,16.0,1.0,8450.0,212.0,0.0,40.0,1.0,5.0,False
23.0,1.0,17.0,2.0,4965.0,26.0,2.0,40.0,2.0,1.0,False
73.0,7.0,22.0,2.0,2006.0,26.0,0.0,20.0,1.0,1.0,False
81.0,1.0,20.0,2.0,4220.0,26.0,0.0,35.0,1.0,2.0,False
37.0,1.0,16.0,2.0,4251.0,26.0,12.0,40.0,1.0,2.0,False
47.0,4.0,17.0,2.0,5260.0,26.0,16.0,35.0,1.0,1.0,False
53.0,1.0,16.0,2.0,8990.0,26.0,0.0,40.0,1.0,1.0,True
73.0,1.0,21.0,2.0,1021.0,26.0,0.0,32.0,2.0,1.0,True
58.0,1.0,21.0,1.0,735.0,26.0,1.0,45.0,1.0,1.0,True
56.0,2.0,22.0,1.0,800.0,26.0,0.0,45.0,1.0,1.0,True
52.0,1.0,21.0,1.0,800.0,26.0,0.0,25.0,2.0,1.0,False
27.0,1.0,21.0,1.0,4850.0,26.0,0.0,40.0,1.0,1.0,True
52.0,3.0,18.0,1.0,1108.0,26.0,0.0,40.0,1.0,1.0,False
26.0,1.0,17.0,2.0,8740.0,26.0,16.0,42.0,1.0,2.0,False
58.0,1.0,19.0,1.0,9620.0,26.0,0.0,16.0,2.0,1.0,False
45.0,1.0,19.0,1.0,8990.0,39.0,1.0,45.0,1.0,2.0,False
27.0,1.0,20.0,1.0,5740.0,18.0,0.0,20.0,1.0,1.0,False
63.0,6.0,16.0,2.0,6355.0,26.0,0.0,20.0,1.0,1.0,False
50.0,7.0,21.0,1.0,2100.0,26.0,0.0,45.0,1.0,1.0,True
26.0,1.0,22.0,2.0,3602.0,26.0,0.0,50.0,2.0,1.0,True
55.0,3.0,20.0,2.0,3740.0,26.0,0.0,50.0,2.0,1.0,False
42.0,1.0,16.0,1.0,9620.0,26.0,1.0,40.0,1.0,1.0,False
56.0,1.0,16.0,1.0,1460.0,26.0,0.0,45.0,1.0,1.0,True
62.0,1.0,20.0,1.0,6355.0,26.0,1.0,45.0,1.0,2.0,True
51.0,1.0,21.0,1.0,5240.0,26.0,1.0,50.0,2.0,1.0,True
48.0,1.0,22.0,1.0,3258.0,36.0,1.0,30.0,2.0,1.0,True
29.0,1.0,21.0,2.0,5740.0,26.0,13.0,40.0,2.0,1.0,False
50.0,4.0,19.0,1.0,3802.0,26.0,0.0,40.0,1.0,1.0,True
32.0,1.0,16.0,2.0,1555.0,26.0,0.0,45.0,1.0,2.0,False
29.0,4.0,20.0,2.0,3802.0,26.0,13.0,43.0,2.0,1.0,False
54.0,1.0,18.0,2.0,8030.0,39.0,0.0,50.0,1.0,1.0,True
23.0,2.0,19.0,1.0,2310.0,26.0,2.0,38.0,2.0,1.0,False
39.0,1.0,22.0,2.0,4230.0,303.0,17.0,45.0,2.0,1.0,True
57.0,1.0,16.0,2.0,8030.0,26.0,0.0,55.0,1.0,1.0,True
34.0,1.0,21.0,1.0,440.0,217.0,0.0,43.0,2.0,3.0,False
31.0,4.0,21.0,1.0,51.0,26.0,1.0,50.0,2.0,1.0,True
64.0,1.0,24.0,1.0,1430.0,48.0,0.0,40.0,1.0,1.0,True
61.0,5.0,22.0,1.0,3258.0,26.0,1.0,40.0,2.0,1.0,True
45.0,3.0,21.0,1.0,2310.0,26.0,1.0,40.0,2.0,1.0,True
33.0,1.0,17.0,1.0,9620.0,26.0,16.0,60.0,1.0,1.0,False
43.0,5.0,22.0,2.0,2014.0,28.0,13.0,40.0,2.0,2.0,True
48.0,2.0,19.0,2.0,1006.0,26.0,15.0,40.0,1.0,1.0,False
33.0,1.0,22.0,1.0,5600.0,26.0,0.0,50.0,1.0,5.0,False
39.0,2.0,22.0,1.0,2310.0,26.0,1.0,40.0,2.0,2.0,True
66.0,2.0,20.0,1.0,4600.0,26.0,1.0,25.0,2.0,1.0,False
18.0,1.0,16.0,2.0,4110.0,6.0,2.0,12.0,2.0,1.0,False
38.0,1.0,19.0,1.0,1105.0,26.0,0.0,40.0,2.0,1.0,False
52.0,1.0,16.0,1.0,5740.0,51.0,1.0,40.0,2.0,1.0,False
60.0,1.0,16.0,2.0,8225.0,26.0,5.0,40.0,1.0,1.0,False
28.0,1.0,16.0,2.0,4720.0,17.0,2.0,30.0,1.0,1.0,False
37.0,1.0,20.0,1.0,5240.0,26.0,1.0,25.0,2.0,1.0,False
62.0,1.0,20.0,2.0,5000.0,26.0,0.0,30.0,2.0,2.0,False
29.0,2.0,22.0,2.0,3402.0,26.0,13.0,29.0,2.0,1.0,False
42.0,2.0,21.0,1.0,3255.0,233.0,0.0,36.0,2.0,3.0,True
29.0,1.0,19.0,2.0,3930.0,26.0,0.0,40.0,1.0,1.0,False
25.0,1.0,21.0,2.0,2310.0,110.0,0.0,40.0,2.0,1.0,False
43.0,1.0,23.0,1.0,3090.0,47.0,1.0,30.0,1.0,1.0,True
62.0,1.0,19.0,1.0,5610.0,26.0,0.0,40.0,1.0,1.0,False
68.0,6.0,21.0,2.0,205.0,26.0,0.0,40.0,1.0,1.0,False
37.0,1.0,16.0,1.0,4020.0,26.0,0.0,38.0,1.0,1.0,False
48.0,1.0,16.0,1.0,8990.0,26.0,0.0,12.0,1.0,1.0,False
43.0,2.0,19.0,2.0,9142.0,202.0,0.0,40.0,1.0,3.0,False
57.0,1.0,22.0,2.0,3930.0,26.0,0.0,40.0,2.0,2.0,True
50.0,1.0,15.0,1.0,2634.0,26.0,1.0,50.0,1.0,1.0,True
49.0,1.0,16.0,1.0,7700.0,26.0,1.0,40.0,1.0,1.0,True
44.0,1.0,16.0,2.0,2170.0,26.0,2.0,40.0,2.0,1.0,False
31.0,1.0,21.0,2.0,1750.0,26.0,0.0,40.0,2.0,1.0,True
72.0,3.0,20.0,1.0,9122.0,26.0,0.0,40.0,1.0,1.0,False
19.0,1.0,16.0,2.0,4600.0,26.0,2.0,35.0,2.0,1.0,False
41.0,1.0,19.0,1.0,5610.0,26.0,2.0,55.0,2.0,2.0,False
74.0,7.0,20.0,1.0,5000.0,26.0,0.0,32.0,2.0,1.0,False
21.0,1.0,19.0,2.0,4020.0,26.0,12.0,18.0,1.0,1.0,False
58.0,1.0,21.0,1.0,10.0,26.0,1.0,50.0,1.0,1.0,True
62.0,4.0,22.0,1.0,2205.0,138.0,1.0,50.0,2.0,1.0,True
46.0,1.0,20.0,2.0,1555.0,301.0,0.0,55.0,1.0,1.0,True
38.0,1.0,16.0,1.0,6720.0,26.0,1.0,72.0,1.0,1.0,True
50.0,1.0,20.0,1.0,4760.0,110.0,1.0,25.0,2.0,1.0,False
57.0,1.0,18.0,2.0,7340.0,26.0,13.0,40.0,1.0,1.0,False
51.0,2.0,16.0,1.0,3603.0,26.0,1.0,24.0,2.0,1.0,False
25.0,1.0,21.0,2.0,4140.0,210.0,12.0,9.0,1.0,5.0,False
36.0,7.0,16.0,1.0,9130.0,26.0,0.0,65.0,1.0,1.0,False
65.0,1.0,15.0,1.0,9620.0,26.0,0.0,50.0,1.0,1.0,False
59.0,1.0,20.0,1.0,5400.0,26.0,0.0,40.0,2.0,1.0,False
39.0,1.0,17.0,1.0,6410.0,26.0,0.0,32.0,2.0,1.0,False
38.0,1.0,21.0,2.0,4760.0,26.0,0.0,25.0,1.0,1.0,False
47.0,1.0,21.0,1.0,2330.0,26.0,0.0,40.0,2.0,1.0,False
40.0,1.0,19.0,2.0,4040.0,26.0,0.0,28.0,1.0,1.0,False
18.0,1.0,18.0,2.0,4720.0,26.0,2.0,20.0,1.0,1.0,False
29.0,1.0,16.0,1.0,4020.0,26.0,0.0,40.0,2.0,1.0,False
42.0,1.0,21.0,2.0,4622.0,26.0,13.0,45.0,2.0,1.0,False
38.0,1.0,20.0,2.0,6260.0,26.0,0.0,50.0,1.0,1.0,False
45.0,1.0,18.0,2.0,9645.0,26.0,5.0,32.0,1.0,1.0,False
35.0,1.0,24.0,1.0,3250.0,26.0,1.0,38.0,2.0,1.0,True
56.0,6.0,18.0,1.0,310.0,26.0,1.0,56.0,1.0,1.0,False
54.0,1.0,20.0,1.0,7330.0,26.0,0.0,40.0,1.0,1.0,True
20.0,1.0,19.0,2.0,4110.0,26.0,4.0,20.0,2.0,1.0,False
57.0,6.0,16.0,1.0,9130.0,26.0,0.0,40.0,1.0,1.0,False
50.0,2.0,21.0,1.0,5710.0,26.0,1.0,30.0,2.0,1.0,False
23.0,1.0,16.0,2.0,9365.0,26.0,2.0,18.0,2.0,1.0,False
57.0,1.0,23.0,1.0,2100.0,17.0,1.0,40.0,1.0,1.0,True
54.0,1.0,16.0,1.0,2145.0,26.0,0.0,35.0,2.0,1.0,False
40.0,1.0,17.0,1.0,4850.0,12.0,1.0,50.0,1.0,1.0,True
43.0,1.0,22.0,1.0,2825.0,26.0,0.0,32.0,2.0,1.0,True
33.0,4.0,17.0,2.0,4220.0,26.0,16.0,40.0,1.0,1.0,False
19.0,1.0,18.0,2.0,5400.0,26.0,17.0,12.0,1.0,1.0,False
23.0,1.0,21.0,2.0,4760.0,26.0,2.0,50.0,1.0,1.0,False
49.0,1.0,16.0,1.0,5120.0,26.0,0.0,40.0,2.0,1.0,False
56.0,1.0,22.0,1.0,1450.0,207.0,0.0,45.0,1.0,3.0,True
36.0,1.0,22.0,1.0,3160.0,26.0,0.0,40.0,1.0,1.0,False
42.0,2.0,16.0,1.0,4655.0,26.0,1.0,36.0,2.0,1.0,False
44.0,1.0,21.0,1.0,2300.0,26.0,0.0,40.0,2.0,1.0,False
53.0,6.0,19.0,1.0,1541.0,26.0,0.0,40.0,1.0,1.0,False
60.0,6.0,20.0,1.0,4920.0,26.0,1.0,40.0,2.0,1.0,True
19.0,1.0,19.0,2.0,230.0,26.0,2.0,25.0,2.0,1.0,False
44.0,2.0,18.0,1.0,3602.0,26.0,0.0,75.0,2.0,1.0,True
38.0,1.0,18.0,1.0,7420.0,26.0,0.0,40.0,1.0,1.0,True
21.0,1.0,18.0,2.0,4220.0,26.0,10.0,40.0,2.0,1.0,False
43.0,6.0,16.0,2.0,3630.0,26.0,0.0,20.0,2.0,1.0,False
45.0,1.0,16.0,1.0,4230.0,26.0,0.0,40.0,2.0,1.0,False
66.0,2.0,21.0,1.0,3300.0,26.0,0.0,40.0,1.0,1.0,True
43.0,6.0,19.0,1.0,5550.0,26.0,0.0,43.0,2.0,1.0,False
23.0,1.0,19.0,2.0,440.0,26.0,2.0,45.0,1.0,1.0,False
30.0,2.0,22.0,1.0,3545.0,17.0,0.0,52.0,1.0,1.0,True
49.0,1.0,19.0,1.0,7140.0,26.0,0.0,40.0,1.0,2.0,True
75.0,6.0,22.0,1.0,4251.0,42.0,1.0,20.0,1.0,1.0,False
45.0,6.0,19.0,1.0,4220.0,26.0,1.0,40.0,2.0,1.0,False
36.0,1.0,20.0,2.0,4110.0,8.0,0.0,20.0,2.0,1.0,False
53.0,1.0,20.0,2.0,6520.0,26.0,0.0,45.0,1.0,4.0,False
69.0,6.0,16.0,1.0,4510.0,26.0,1.0,8.0,2.0,1.0,False
31.0,2.0,18.0,2.0,2545.0,26.0,2.0,40.0,2.0,1.0,False
65.0,1.0,16.0,1.0,5860.0,39.0,1.0,40.0,2.0,1.0,True
20.0,1.0,19.0,2.0,440.0,26.0,0.0,39.0,2.0,1.0,False
48.0,1.0,21.0,1.0,1400.0,26.0,0.0,20.0,2.0,1.0,True
63.0,7.0,23.0,1.0,3000.0,39.0,0.0,22.0,1.0,1.0,False
63.0,1.0,20.0,2.0,5000.0,26.0,0.0,45.0,1.0,1.0,False
34.0,1.0,16.0,2.0,8225.0,26.0,12.0,40.0,1.0,1.0,False
50.0,4.0,22.0,1.0,2310.0,37.0,0.0,40.0,2.0,1.0,True
24.0,1.0,17.0,2.0,4020.0,313.0,3.0,40.0,1.0,4.0,False
67.0,2.0,23.0,1.0,3010.0,39.0,0.0,40.0,1.0,1.0,True
39.0,1.0,22.0,1.0,440.0,110.0,0.0,40.0,1.0,1.0,True
32.0,1.0,13.0,2.0,6230.0,26.0,13.0,40.0,1.0,1.0,False
49.0,2.0,15.0,2.0,4220.0,26.0,17.0,20.0,2.0,1.0,False
72.0,1.0,16.0,1.0,4621.0,26.0,1.0,2.0,2.0,1.0,False
57.0,1.0,12.0,2.0,4220.0,26.0,0.0,39.0,1.0,1.0,False
36.0,1.0,21.0,2.0,310.0,26.0,0.0,60.0,2.0,2.0,True
23.0,4.0,19.0,2.0,110.0,26.0,11.0,40.0,1.0,1.0,False
18.0,1.0,18.0,2.0,9130.0,26.0,2.0,10.0,1.0,1.0,False
61.0,1.0,16.0,1.0,4720.0,26.0,1.0,38.0,1.0,1.0,False
40.0,1.0,16.0,2.0,3500.0,26.0,0.0,20.0,2.0,1.0,False
70.0,1.0,18.0,1.0,1460.0,26.0,0.0,50.0,1.0,1.0,False
32.0,3.0,1.0,1.0,3602.0,55.0,0.0,5.0,2.0,1.0,False
23.0,1.0,19.0,2.0,9645.0,26.0,12.0,40.0,1.0,1.0,False
19.0,2.0,19.0,2.0,3645.0,26.0,2.0,40.0,2.0,3.0,False
46.0,1.0,21.0,1.0,850.0,26.0,0.0,45.0,2.0,1.0,True
61.0,1.0,15.0,2.0,9130.0,26.0,0.0,60.0,1.0,1.0,False
50.0,4.0,16.0,1.0,3870.0,18.0,0.0,48.0,1.0,1.0,True
65.0,2.0,13.0,2.0,5400.0,17.0,0.0,26.0,1.0,2.0,False
33.0,1.0,18.0,2.0,20.0,26.0,0.0,55.0,2.0,1.0,True
47.0,1.0,22.0,1.0,2310.0,6.0,0.0,50.0,1.0,1.0,True
45.0,1.0,20.0,1.0,3310.0,26.0,0.0,30.0,2.0,1.0,False
30.0,1.0,19.0,2.0,4622.0,26.0,2.0,40.0,2.0,1.0,False
60.0,1.0,16.0,1.0,8710.0,26.0,1.0,18.0,2.0,1.0,False
79.0,6.0,19.0,1.0,4500.0,26.0,0.0,10.0,1.0,1.0,False
69.0,6.0,22.0,2.0,4251.0,17.0,0.0,4.0,2.0,1.0,False
32.0,3.0,19.0,2.0,9121.0,18.0,0.0,40.0,2.0,2.0,False
56.0,1.0,18.0,1.0,540.0,26.0,0.0,40.0,1.0,1.0,True
56.0,1.0,19.0,1.0,3500.0,26.0,0.0,40.0,2.0,1.0,True
62.0,1.0,19.0,1.0,4700.0,26.0,0.0,45.0,1.0,1.0,False
57.0,1.0,18.0,1.0,8130.0,26.0,1.0,50.0,1.0,1.0,True
