AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
37.0,1.0,18.0,1.0,630.0,27.0,1.0,50.0,2.0,1.0,True,18609
20.0,1.0,16.0,2.0,7340.0,27.0,0.0,40.0,1.0,1.0,False,20261
33.0,3.0,18.0,2.0,2016.0,27.0,0.0,37.0,2.0,4.0,False,5095
49.0,1.0,19.0,1.0,8030.0,27.0,1.0,40.0,1.0,1.0,False,10831
36.0,1.0,23.0,2.0,4840.0,27.0,0.0,42.0,2.0,1.0,False,29588
49.0,1.0,21.0,2.0,1305.0,55.0,13.0,50.0,1.0,1.0,True,29489
48.0,4.0,21.0,1.0,2300.0,27.0,1.0,40.0,2.0,1.0,False,27562
56.0,1.0,17.0,1.0,7360.0,27.0,1.0,39.0,2.0,1.0,False,17664
52.0,1.0,19.0,1.0,8910.0,27.0,0.0,48.0,1.0,1.0,True,25575
23.0,1.0,16.0,2.0,9645.0,27.0,2.0,15.0,1.0,1.0,False,1855
47.0,4.0,22.0,1.0,2310.0,27.0,1.0,40.0,2.0,1.0,True,14039
28.0,1.0,20.0,2.0,1545.0,27.0,0.0,40.0,1.0,1.0,False,23115
27.0,1.0,20.0,1.0,7700.0,27.0,0.0,45.0,1.0,1.0,False,25659
51.0,1.0,21.0,1.0,800.0,19.0,1.0,48.0,2.0,1.0,True,23253
19.0,1.0,16.0,2.0,4720.0,365.0,4.0,40.0,2.0,1.0,False,18915
42.0,1.0,21.0,1.0,5940.0,55.0,1.0,40.0,2.0,1.0,False,26567
47.0,1.0,19.0,1.0,3300.0,27.0,1.0,40.0,2.0,1.0,False,26340
48.0,6.0,19.0,1.0,4522.0,27.0,0.0,40.0,2.0,1.0,True,4132
62.0,1.0,16.0,1.0,7330.0,27.0,1.0,40.0,1.0,1.0,True,11009
56.0,2.0,20.0,1.0,3500.0,27.0,0.0,32.0,2.0,1.0,False,22183
56.0,2.0,20.0,1.0,3930.0,27.0,0.0,3.0,1.0,1.0,False,2680
27.0,1.0,21.0,2.0,565.0,48.0,12.0,45.0,2.0,1.0,True,26072
54.0,6.0,23.0,1.0,4810.0,27.0,0.0,60.0,1.0,1.0,True,4708
55.0,2.0,17.0,2.0,9620.0,27.0,17.0,20.0,2.0,1.0,False,1021
21.0,1.0,18.0,2.0,3601.0,27.0,0.0,40.0,2.0,1.0,False,19085
77.0,1.0,16.0,2.0,120.0,27.0,0.0,32.0,2.0,1.0,False,15047
24.0,1.0,18.0,2.0,9620.0,27.0,0.0,40.0,2.0,1.0,False,21155
56.0,1.0,16.0,2.0,5120.0,27.0,0.0,40.0,2.0,1.0,True,20917
18.0,1.0,18.0,2.0,4120.0,27.0,2.0,15.0,2.0,1.0,False,30830
31.0,1.0,16.0,1.0,9645.0,23.0,0.0,50.0,1.0,1.0,True,8582
43.0,5.0,19.0,1.0,5550.0,27.0,1.0,12.0,2.0,1.0,False,23956
30.0,1.0,22.0,1.0,2320.0,55.0,1.0,40.0,2.0,1.0,True,7016
40.0,1.0,16.0,1.0,7700.0,27.0,1.0,40.0,1.0,1.0,True,15582
54.0,1.0,16.0,1.0,6230.0,17.0,0.0,40.0,1.0,1.0,True,5841
88.0,6.0,16.0,2.0,205.0,27.0,0.0,60.0,1.0,1.0,True,28816
40.0,4.0,21.0,1.0,6010.0,56.0,0.0,45.0,2.0,1.0,True,2434
61.0,1.0,16.0,2.0,4760.0,38.0,0.0,40.0,1.0,1.0,False,12100
36.0,3.0,17.0,1.0,3740.0,448.0,1.0,92.0,1.0,2.0,True,15182
28.0,4.0,22.0,2.0,2205.0,209.0,0.0,50.0,1.0,1.0,False,1707
46.0,3.0,20.0,1.0,440.0,27.0,1.0,40.0,1.0,1.0,True,26831
34.0,1.0,16.0,2.0,8140.0,26.0,0.0,60.0,1.0,1.0,True,2088
57.0,1.0,14.0,1.0,4252.0,27.0,0.0,40.0,1.0,1.0,False,25733
31.0,3.0,22.0,1.0,3255.0,17.0,0.0,40.0,1.0,1.0,True,20643
19.0,5.0,14.0,2.0,4140.0,27.0,2.0,40.0,1.0,4.0,False,5687
35.0,1.0,19.0,2.0,6230.0,27.0,13.0,40.0,1.0,4.0,False,5096
30.0,6.0,16.0,2.0,4850.0,27.0,2.0,8.0,1.0,1.0,False,6652
52.0,1.0,19.0,1.0,7200.0,27.0,0.0,60.0,1.0,1.0,True,5175
23.0,1.0,19.0,2.0,7750.0,27.0,2.0,40.0,1.0,3.0,False,8788
52.0,1.0,19.0,1.0,5240.0,27.0,0.0,40.0,2.0,1.0,True,20022
68.0,1.0,20.0,2.0,7150.0,27.0,0.0,45.0,1.0,1.0,True,15509
37.0,1.0,20.0,2.0,1106.0,55.0,0.0,40.0,1.0,1.0,True,28466
49.0,1.0,21.0,1.0,1430.0,17.0,1.0,45.0,1.0,1.0,False,24483
47.0,1.0,20.0,1.0,120.0,27.0,1.0,45.0,2.0,1.0,True,6901
62.0,6.0,20.0,1.0,205.0,27.0,0.0,60.0,1.0,1.0,False,14678
37.0,1.0,16.0,1.0,4110.0,27.0,1.0,40.0,2.0,1.0,False,28300
31.0,1.0,20.0,1.0,9620.0,27.0,0.0,50.0,1.0,5.0,True,19514
27.0,2.0,21.0,2.0,2310.0,27.0,12.0,20.0,2.0,1.0,False,16295
