AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
29.0,1.0,16.0,2.0,350.0,6.0,15.0,44.0,2.0,1.0,False
46.0,1.0,16.0,1.0,6250.0,29.0,0.0,45.0,1.0,1.0,True
28.0,1.0,21.0,2.0,710.0,29.0,2.0,40.0,1.0,1.0,True
42.0,3.0,16.0,1.0,6730.0,40.0,1.0,40.0,1.0,1.0,True
64.0,1.0,16.0,1.0,5740.0,29.0,0.0,45.0,2.0,1.0,False
50.0,2.0,21.0,1.0,2310.0,8.0,1.0,45.0,1.0,1.0,True
42.0,1.0,19.0,1.0,5600.0,29.0,0.0,40.0,2.0,1.0,False
58.0,6.0,6.0,2.0,4600.0,303.0,0.0,48.0,2.0,1.0,True
48.0,6.0,16.0,1.0,4510.0,29.0,1.0,30.0,2.0,1.0,False
64.0,1.0,12.0,1.0,5120.0,29.0,1.0,22.0,2.0,1.0,False
74.0,1.0,21.0,1.0,3150.0,18.0,1.0,40.0,2.0,1.0,False
57.0,6.0,18.0,1.0,4600.0,29.0,1.0,40.0,2.0,2.0,False
71.0,7.0,23.0,1.0,800.0,19.0,1.0,52.0,1.0,1.0,False
58.0,2.0,16.0,2.0,4230.0,29.0,0.0,40.0,2.0,2.0,False
64.0,1.0,13.0,1.0,9620.0,29.0,0.0,40.0,1.0,1.0,False
25.0,6.0,19.0,1.0,630.0,29.0,1.0,30.0,2.0,1.0,False
40.0,5.0,19.0,2.0,440.0,29.0,0.0,45.0,2.0,2.0,True
18.0,3.0,19.0,2.0,4251.0,29.0,2.0,40.0,1.0,1.0,False
43.0,1.0,17.0,1.0,4622.0,29.0,1.0,50.0,2.0,1.0,False
69.0,2.0,21.0,1.0,230.0,25.0,0.0,40.0,1.0,1.0,True
50.0,7.0,18.0,1.0,4020.0,40.0,0.0,70.0,2.0,4.0,False
54.0,1.0,21.0,1.0,1760.0,29.0,1.0,40.0,2.0,1.0,True
60.0,1.0,19.0,1.0,6355.0,150.0,0.0,40.0,1.0,1.0,False
33.0,2.0,21.0,2.0,4600.0,29.0,0.0,20.0,1.0,1.0,False
40.0,1.0,21.0,1.0,540.0,29.0,0.0,65.0,2.0,2.0,False
65.0,2.0,24.0,1.0,3255.0,29.0,0.0,40.0,2.0,1.0,True
40.0,1.0,19.0,2.0,4251.0,29.0,16.0,40.0,1.0,2.0,False
22.0,8.0,17.0,2.0,4020.0,46.0,2.0,40.0,1.0,1.0,False
56.0,3.0,16.0,2.0,6730.0,29.0,13.0,32.0,1.0,1.0,False
23.0,2.0,19.0,2.0,4600.0,29.0,2.0,20.0,2.0,1.0,False
58.0,1.0,16.0,1.0,5000.0,31.0,1.0,40.0,2.0,1.0,False
57.0,1.0,20.0,2.0,6442.0,29.0,0.0,50.0,1.0,1.0,True
66.0,3.0,18.0,1.0,7640.0,29.0,1.0,40.0,1.0,1.0,False
38.0,1.0,22.0,2.0,3550.0,29.0,0.0,46.0,2.0,1.0,False
20.0,1.0,19.0,2.0,3603.0,20.0,5.0,30.0,2.0,2.0,False
54.0,1.0,19.0,1.0,910.0,29.0,0.0,40.0,1.0,1.0,False
22.0,1.0,19.0,2.0,9620.0,29.0,13.0,35.0,1.0,1.0,False
37.0,1.0,17.0,2.0,4110.0,29.0,0.0,16.0,2.0,1.0,False
22.0,1.0,14.0,2.0,4110.0,29.0,2.0,40.0,1.0,1.0,False
20.0,1.0,19.0,2.0,2850.0,29.0,4.0,30.0,1.0,1.0,False
56.0,2.0,21.0,1.0,136.0,6.0,0.0,40.0,1.0,1.0,True
24.0,1.0,19.0,2.0,310.0,20.0,13.0,40.0,2.0,1.0,False
73.0,6.0,19.0,1.0,4810.0,37.0,0.0,2.0,1.0,1.0,True
28.0,4.0,21.0,1.0,2310.0,29.0,1.0,20.0,2.0,1.0,False
25.0,1.0,21.0,2.0,2634.0,29.0,11.0,40.0,2.0,1.0,False
19.0,1.0,19.0,2.0,310.0,29.0,17.0,20.0,2.0,1.0,False
59.0,1.0,22.0,1.0,9050.0,29.0,0.0,50.0,1.0,1.0,True
52.0,1.0,21.0,1.0,800.0,29.0,0.0,42.0,2.0,1.0,True
64.0,3.0,22.0,1.0,10.0,5.0,1.0,40.0,2.0,2.0,True
57.0,2.0,21.0,1.0,1065.0,29.0,1.0,40.0,2.0,1.0,False
56.0,1.0,19.0,1.0,1108.0,29.0,0.0,40.0,1.0,1.0,True
25.0,3.0,22.0,2.0,2205.0,210.0,0.0,20.0,1.0,3.0,False
67.0,1.0,18.0,1.0,6305.0,21.0,0.0,55.0,1.0,1.0,False
23.0,1.0,20.0,2.0,1460.0,29.0,2.0,40.0,1.0,1.0,False
44.0,1.0,19.0,2.0,140.0,29.0,0.0,42.0,1.0,2.0,False
27.0,1.0,19.0,2.0,4720.0,29.0,2.0,25.0,1.0,1.0,False
61.0,6.0,21.0,1.0,440.0,29.0,1.0,55.0,2.0,1.0,False
49.0,1.0,21.0,2.0,5240.0,29.0,0.0,40.0,2.0,1.0,False
51.0,1.0,16.0,1.0,7750.0,29.0,1.0,52.0,2.0,1.0,False
53.0,7.0,23.0,1.0,440.0,20.0,1.0,40.0,1.0,1.0,True
47.0,2.0,21.0,1.0,3255.0,55.0,0.0,35.0,1.0,1.0,False
54.0,1.0,21.0,1.0,2100.0,17.0,1.0,40.0,2.0,1.0,True
28.0,1.0,16.0,2.0,3602.0,29.0,0.0,25.0,2.0,1.0,False
40.0,1.0,21.0,2.0,565.0,29.0,0.0,40.0,2.0,1.0,True
70.0,2.0,21.0,1.0,420.0,46.0,0.0,40.0,2.0,1.0,True
42.0,6.0,17.0,1.0,4760.0,29.0,0.0,40.0,1.0,1.0,False
27.0,1.0,21.0,2.0,3255.0,29.0,5.0,40.0,2.0,1.0,True
36.0,1.0,18.0,1.0,9130.0,29.0,0.0,40.0,2.0,2.0,True
55.0,1.0,15.0,1.0,4760.0,29.0,1.0,34.0,2.0,1.0,False
37.0,1.0,18.0,2.0,630.0,29.0,0.0,45.0,2.0,1.0,True
38.0,1.0,17.0,1.0,4760.0,29.0,0.0,20.0,2.0,1.0,False
25.0,1.0,19.0,1.0,120.0,29.0,1.0,32.0,2.0,1.0,False
63.0,1.0,17.0,1.0,9122.0,29.0,0.0,40.0,1.0,1.0,False
35.0,1.0,19.0,1.0,3421.0,20.0,1.0,28.0,2.0,1.0,False
73.0,2.0,24.0,2.0,2205.0,39.0,17.0,50.0,1.0,1.0,True
72.0,1.0,18.0,2.0,4510.0,19.0,0.0,16.0,2.0,1.0,False
17.0,1.0,14.0,2.0,9645.0,21.0,2.0,12.0,2.0,1.0,False
60.0,6.0,16.0,1.0,6660.0,42.0,0.0,36.0,1.0,1.0,False
