AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
44.0,2.0,21.0,2.0,440.0,30.0,17.0,10.0,1.0,1.0,False
38.0,1.0,19.0,1.0,6355.0,30.0,1.0,40.0,1.0,1.0,True
43.0,1.0,22.0,1.0,4850.0,30.0,0.0,40.0,1.0,1.0,True
59.0,1.0,19.0,1.0,850.0,30.0,0.0,42.0,1.0,1.0,True
52.0,2.0,21.0,1.0,2040.0,17.0,0.0,30.0,1.0,1.0,True
46.0,1.0,21.0,1.0,4700.0,30.0,0.0,39.0,2.0,1.0,True
22.0,1.0,16.0,2.0,6400.0,30.0,3.0,25.0,1.0,5.0,False
37.0,2.0,18.0,1.0,2300.0,30.0,1.0,25.0,2.0,1.0,False
19.0,1.0,18.0,2.0,3940.0,207.0,17.0,40.0,2.0,3.0,False
66.0,6.0,21.0,1.0,850.0,30.0,0.0,40.0,1.0,1.0,True
69.0,1.0,19.0,2.0,4510.0,6.0,0.0,18.0,2.0,5.0,False
63.0,3.0,16.0,1.0,4020.0,18.0,0.0,16.0,2.0,1.0,False
52.0,4.0,17.0,2.0,2145.0,53.0,16.0,35.0,1.0,1.0,False
40.0,1.0,18.0,1.0,136.0,38.0,0.0,40.0,1.0,1.0,True
61.0,3.0,23.0,1.0,3801.0,13.0,1.0,40.0,2.0,1.0,True
59.0,7.0,16.0,1.0,2360.0,30.0,1.0,1.0,2.0,1.0,False
26.0,6.0,21.0,2.0,2920.0,38.0,0.0,10.0,1.0,1.0,False
35.0,1.0,20.0,1.0,3255.0,30.0,0.0,40.0,2.0,1.0,False
43.0,1.0,23.0,1.0,2100.0,32.0,0.0,70.0,1.0,1.0,True
29.0,4.0,22.0,2.0,2205.0,240.0,12.0,19.0,1.0,3.0,False
46.0,3.0,20.0,1.0,5740.0,6.0,1.0,40.0,2.0,1.0,False
45.0,6.0,12.0,2.0,6230.0,53.0,0.0,35.0,1.0,1.0,False
55.0,1.0,21.0,1.0,2810.0,55.0,0.0,60.0,1.0,1.0,True
34.0,2.0,21.0,1.0,3255.0,30.0,0.0,36.0,2.0,1.0,True
46.0,1.0,18.0,1.0,9121.0,126.0,1.0,1.0,2.0,1.0,False
45.0,2.0,21.0,1.0,2310.0,16.0,0.0,25.0,2.0,1.0,False
51.0,2.0,22.0,1.0,2300.0,6.0,0.0,20.0,2.0,1.0,False
35.0,1.0,16.0,1.0,5300.0,30.0,2.0,16.0,2.0,1.0,False
65.0,7.0,22.0,2.0,2004.0,42.0,0.0,45.0,1.0,1.0,False
57.0,1.0,21.0,1.0,5120.0,38.0,0.0,40.0,2.0,1.0,True
41.0,1.0,9.0,2.0,4030.0,30.0,10.0,45.0,1.0,1.0,False
26.0,5.0,21.0,2.0,9800.0,53.0,0.0,85.0,1.0,1.0,True
59.0,3.0,20.0,2.0,5521.0,50.0,0.0,50.0,2.0,1.0,False
37.0,1.0,19.0,2.0,8140.0,30.0,0.0,40.0,1.0,4.0,False
30.0,1.0,16.0,1.0,9130.0,30.0,1.0,16.0,1.0,1.0,False
37.0,3.0,21.0,1.0,3870.0,30.0,1.0,45.0,1.0,1.0,True
61.0,5.0,21.0,1.0,440.0,53.0,0.0,45.0,1.0,1.0,True
55.0,1.0,18.0,2.0,4020.0,30.0,0.0,38.0,2.0,1.0,False
40.0,6.0,16.0,1.0,4510.0,30.0,1.0,40.0,2.0,1.0,False
64.0,7.0,23.0,1.0,800.0,30.0,1.0,50.0,2.0,1.0,True
28.0,1.0,20.0,2.0,9130.0,26.0,2.0,40.0,2.0,1.0,False
60.0,7.0,23.0,1.0,2100.0,27.0,1.0,40.0,1.0,1.0,True
62.0,7.0,21.0,2.0,5120.0,19.0,8.0,16.0,1.0,1.0,False
60.0,5.0,19.0,2.0,1900.0,30.0,0.0,40.0,2.0,1.0,False
72.0,7.0,19.0,1.0,6050.0,50.0,0.0,70.0,1.0,1.0,False
65.0,1.0,16.0,2.0,5940.0,30.0,10.0,42.0,2.0,1.0,False
41.0,5.0,22.0,1.0,1610.0,30.0,0.0,40.0,1.0,1.0,True
37.0,1.0,19.0,2.0,7510.0,30.0,13.0,40.0,1.0,4.0,False
22.0,1.0,21.0,2.0,5400.0,30.0,13.0,40.0,1.0,1.0,False
48.0,1.0,14.0,2.0,4030.0,247.0,0.0,40.0,2.0,3.0,False
59.0,6.0,21.0,1.0,205.0,30.0,1.0,40.0,1.0,1.0,False
59.0,1.0,21.0,1.0,3255.0,30.0,1.0,40.0,2.0,1.0,True
48.0,6.0,19.0,1.0,205.0,30.0,0.0,70.0,1.0,1.0,True
40.0,6.0,19.0,1.0,4920.0,30.0,1.0,8.0,2.0,1.0,False
30.0,6.0,11.0,1.0,6442.0,30.0,0.0,50.0,1.0,1.0,False
