AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
32.0,1.0,16.0,1.0,5610.0,6.0,12.0,30.0,2.0,1.0,False
34.0,2.0,15.0,2.0,2861.0,229.0,0.0,6.0,2.0,3.0,False
44.0,1.0,20.0,1.0,6442.0,38.0,0.0,40.0,1.0,1.0,True
23.0,1.0,20.0,2.0,6260.0,38.0,2.0,55.0,1.0,5.0,False
33.0,1.0,17.0,1.0,4720.0,38.0,1.0,40.0,1.0,1.0,False
45.0,1.0,19.0,1.0,5120.0,6.0,0.0,36.0,2.0,1.0,False
33.0,1.0,21.0,1.0,410.0,27.0,0.0,55.0,1.0,1.0,True
23.0,4.0,21.0,2.0,2300.0,38.0,13.0,15.0,2.0,1.0,False
55.0,1.0,21.0,1.0,3330.0,38.0,0.0,50.0,2.0,1.0,True
71.0,3.0,15.0,1.0,3801.0,38.0,1.0,5.0,1.0,1.0,True
52.0,1.0,16.0,1.0,4220.0,38.0,0.0,40.0,1.0,1.0,False
53.0,1.0,19.0,2.0,8140.0,38.0,2.0,40.0,1.0,1.0,False
53.0,1.0,16.0,2.0,4040.0,38.0,15.0,20.0,1.0,1.0,False
65.0,6.0,20.0,2.0,6765.0,38.0,0.0,50.0,1.0,1.0,False
51.0,1.0,21.0,2.0,4800.0,38.0,0.0,40.0,1.0,1.0,False
22.0,1.0,20.0,2.0,7210.0,38.0,13.0,50.0,1.0,1.0,True
37.0,1.0,20.0,1.0,7410.0,38.0,1.0,40.0,1.0,1.0,True
43.0,3.0,18.0,1.0,5740.0,46.0,0.0,40.0,2.0,1.0,False
47.0,2.0,18.0,1.0,3603.0,38.0,0.0,60.0,2.0,1.0,False
44.0,1.0,16.0,1.0,6305.0,2.0,0.0,40.0,1.0,1.0,True
65.0,1.0,21.0,1.0,20.0,15.0,0.0,65.0,1.0,1.0,True
49.0,1.0,21.0,1.0,800.0,29.0,1.0,40.0,2.0,1.0,True
55.0,1.0,16.0,1.0,7700.0,38.0,0.0,50.0,1.0,1.0,True
58.0,1.0,21.0,1.0,10.0,27.0,0.0,45.0,1.0,1.0,True
84.0,7.0,11.0,2.0,205.0,38.0,0.0,10.0,2.0,1.0,False
51.0,1.0,21.0,1.0,440.0,6.0,1.0,50.0,1.0,1.0,True
19.0,4.0,18.0,2.0,2723.0,27.0,17.0,4.0,2.0,1.0,False
55.0,3.0,20.0,1.0,800.0,38.0,0.0,40.0,2.0,1.0,False
72.0,1.0,16.0,2.0,3603.0,38.0,0.0,36.0,2.0,1.0,False
71.0,2.0,16.0,2.0,9620.0,38.0,17.0,30.0,1.0,1.0,False
71.0,6.0,16.0,2.0,6230.0,38.0,0.0,35.0,1.0,1.0,False
27.0,1.0,21.0,1.0,4465.0,38.0,0.0,45.0,1.0,1.0,True
43.0,1.0,18.0,1.0,7700.0,38.0,0.0,50.0,1.0,1.0,True
56.0,1.0,16.0,1.0,4720.0,38.0,1.0,50.0,2.0,1.0,False
45.0,7.0,21.0,1.0,205.0,38.0,1.0,80.0,1.0,1.0,False
54.0,7.0,19.0,1.0,4030.0,53.0,1.0,47.0,2.0,1.0,False
55.0,7.0,16.0,1.0,6260.0,38.0,1.0,40.0,1.0,1.0,False
48.0,1.0,19.0,1.0,5840.0,38.0,1.0,40.0,2.0,1.0,False
40.0,4.0,22.0,1.0,1750.0,31.0,0.0,40.0,1.0,1.0,True
56.0,1.0,22.0,1.0,5000.0,27.0,0.0,55.0,2.0,1.0,True
25.0,1.0,19.0,2.0,5300.0,38.0,2.0,30.0,1.0,1.0,False
54.0,3.0,22.0,1.0,2330.0,38.0,0.0,40.0,2.0,1.0,True
62.0,6.0,20.0,2.0,8990.0,38.0,0.0,8.0,1.0,1.0,False
42.0,3.0,20.0,2.0,800.0,38.0,0.0,40.0,2.0,1.0,False
36.0,3.0,20.0,1.0,7340.0,38.0,1.0,40.0,1.0,1.0,True
34.0,6.0,19.0,2.0,205.0,27.0,2.0,40.0,1.0,1.0,True
63.0,1.0,20.0,1.0,630.0,38.0,0.0,60.0,1.0,1.0,True
54.0,3.0,20.0,2.0,160.0,38.0,0.0,40.0,2.0,4.0,False
46.0,1.0,23.0,1.0,2100.0,30.0,1.0,50.0,1.0,1.0,True
25.0,1.0,20.0,2.0,4600.0,55.0,0.0,40.0,2.0,1.0,False
68.0,1.0,16.0,1.0,4760.0,20.0,1.0,40.0,2.0,1.0,False
56.0,1.0,21.0,1.0,3050.0,38.0,0.0,40.0,1.0,1.0,True
59.0,3.0,20.0,2.0,2545.0,38.0,0.0,39.0,2.0,1.0,False
54.0,2.0,21.0,1.0,420.0,38.0,1.0,40.0,2.0,1.0,True
53.0,1.0,17.0,1.0,4220.0,36.0,1.0,35.0,2.0,1.0,False
46.0,6.0,21.0,1.0,4210.0,38.0,0.0,40.0,1.0,1.0,True
18.0,1.0,16.0,2.0,9610.0,27.0,15.0,30.0,1.0,1.0,False
59.0,1.0,17.0,1.0,5120.0,38.0,0.0,40.0,2.0,4.0,False
62.0,2.0,20.0,2.0,7340.0,38.0,13.0,40.0,1.0,1.0,False
32.0,1.0,18.0,2.0,7750.0,48.0,0.0,40.0,2.0,1.0,False
60.0,3.0,20.0,1.0,2545.0,38.0,1.0,40.0,2.0,1.0,False
64.0,1.0,19.0,1.0,5120.0,38.0,0.0,40.0,2.0,1.0,False
53.0,1.0,20.0,2.0,7200.0,38.0,0.0,95.0,1.0,1.0,True
45.0,3.0,22.0,1.0,2205.0,6.0,1.0,40.0,1.0,1.0,True
24.0,1.0,20.0,2.0,4255.0,38.0,2.0,40.0,1.0,1.0,False
69.0,1.0,19.0,2.0,5630.0,38.0,0.0,56.0,2.0,1.0,False
18.0,1.0,18.0,2.0,4110.0,6.0,17.0,20.0,1.0,1.0,False
49.0,7.0,21.0,1.0,4700.0,38.0,1.0,60.0,1.0,1.0,False
48.0,6.0,19.0,2.0,3602.0,38.0,0.0,8.0,2.0,1.0,False
75.0,6.0,12.0,1.0,9130.0,38.0,0.0,40.0,1.0,1.0,True
56.0,1.0,19.0,2.0,5860.0,38.0,0.0,38.0,2.0,1.0,False
58.0,1.0,20.0,1.0,1555.0,19.0,0.0,40.0,1.0,1.0,True
19.0,1.0,16.0,2.0,2920.0,53.0,17.0,8.0,2.0,1.0,False
25.0,1.0,16.0,1.0,110.0,38.0,0.0,45.0,1.0,1.0,False
18.0,1.0,16.0,2.0,8255.0,26.0,7.0,40.0,1.0,1.0,False
17.0,1.0,13.0,2.0,9645.0,38.0,2.0,5.0,1.0,1.0,False
17.0,1.0,14.0,2.0,4720.0,38.0,3.0,14.0,2.0,1.0,False
33.0,1.0,20.0,1.0,6355.0,27.0,0.0,40.0,1.0,1.0,True
61.0,1.0,17.0,1.0,7010.0,38.0,0.0,40.0,1.0,1.0,False
50.0,2.0,16.0,2.0,4220.0,46.0,0.0,40.0,2.0,4.0,False
63.0,6.0,20.0,1.0,205.0,38.0,0.0,72.0,1.0,1.0,True
44.0,2.0,18.0,1.0,4200.0,38.0,1.0,40.0,2.0,1.0,False
38.0,1.0,20.0,2.0,8990.0,38.0,0.0,45.0,1.0,1.0,False
26.0,5.0,18.0,2.0,3401.0,41.0,0.0,41.0,1.0,1.0,False
56.0,6.0,17.0,1.0,205.0,38.0,0.0,70.0,1.0,1.0,True
21.0,1.0,20.0,2.0,9620.0,38.0,2.0,30.0,1.0,1.0,False
26.0,2.0,19.0,2.0,3602.0,48.0,5.0,40.0,1.0,1.0,False
51.0,2.0,20.0,1.0,5400.0,38.0,0.0,40.0,2.0,1.0,False
