AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
38.0,2.0,18.0,2.0,3640.0,26.0,13.0,28.0,2.0,1.0,False,51024
39.0,1.0,20.0,1.0,3603.0,36.0,0.0,40.0,2.0,1.0,True,51573
58.0,1.0,21.0,1.0,440.0,39.0,0.0,60.0,1.0,1.0,True,34263
51.0,1.0,19.0,1.0,5120.0,39.0,1.0,36.0,2.0,1.0,True,43976
53.0,5.0,16.0,1.0,8610.0,39.0,0.0,40.0,1.0,1.0,True,55277
65.0,1.0,19.0,1.0,9620.0,39.0,0.0,6.0,1.0,1.0,False,45473
18.0,1.0,19.0,2.0,5120.0,39.0,17.0,40.0,2.0,1.0,False,917
23.0,1.0,19.0,2.0,6442.0,19.0,13.0,45.0,1.0,1.0,False,10410
66.0,7.0,21.0,1.0,4700.0,39.0,0.0,35.0,1.0,1.0,True,9019
27.0,1.0,16.0,2.0,9640.0,39.0,16.0,45.0,1.0,1.0,False,909
58.0,1.0,16.0,2.0,310.0,39.0,0.0,45.0,2.0,1.0,False,58563
48.0,1.0,21.0,2.0,4760.0,39.0,0.0,40.0,1.0,1.0,True,6529
67.0,2.0,20.0,2.0,5110.0,39.0,0.0,40.0,2.0,1.0,True,43397
70.0,2.0,22.0,2.0,3255.0,25.0,13.0,20.0,2.0,1.0,False,34417
23.0,1.0,16.0,2.0,4600.0,39.0,4.0,3.0,2.0,1.0,False,35846
25.0,1.0,21.0,2.0,5240.0,39.0,13.0,36.0,2.0,1.0,False,56934
30.0,1.0,21.0,2.0,1720.0,72.0,0.0,43.0,2.0,1.0,False,53089
35.0,1.0,20.0,1.0,1460.0,18.0,0.0,50.0,1.0,1.0,True,47784
37.0,1.0,21.0,1.0,3255.0,39.0,0.0,32.0,2.0,1.0,False,13938
27.0,7.0,1.0,2.0,10.0,39.0,7.0,40.0,1.0,1.0,False,28399
63.0,1.0,16.0,1.0,5840.0,39.0,0.0,45.0,2.0,1.0,False,49443
72.0,2.0,19.0,1.0,2050.0,39.0,0.0,40.0,1.0,2.0,True,36479
29.0,1.0,22.0,1.0,630.0,39.0,0.0,45.0,2.0,1.0,True,50104
58.0,1.0,16.0,2.0,4965.0,39.0,0.0,15.0,1.0,2.0,False,17957
17.0,1.0,12.0,2.0,4150.0,39.0,2.0,14.0,1.0,2.0,False,38986
22.0,1.0,19.0,2.0,800.0,39.0,12.0,20.0,1.0,1.0,False,3836
34.0,7.0,11.0,2.0,4252.0,39.0,5.0,48.0,1.0,1.0,False,27791
31.0,1.0,20.0,2.0,310.0,12.0,0.0,40.0,2.0,1.0,False,22556
55.0,1.0,19.0,2.0,20.0,39.0,0.0,25.0,1.0,5.0,False,60044
17.0,1.0,14.0,2.0,4055.0,39.0,2.0,20.0,1.0,1.0,False,19649
42.0,1.0,16.0,2.0,7750.0,39.0,2.0,40.0,1.0,1.0,False,21090
21.0,1.0,19.0,2.0,4150.0,39.0,13.0,39.0,1.0,1.0,False,50202
35.0,1.0,21.0,1.0,3255.0,39.0,1.0,36.0,2.0,1.0,True,5814
56.0,1.0,16.0,2.0,9130.0,39.0,0.0,40.0,1.0,1.0,False,27393
53.0,1.0,18.0,2.0,8990.0,39.0,11.0,40.0,1.0,2.0,False,52716
54.0,2.0,22.0,1.0,2310.0,39.0,0.0,32.0,2.0,1.0,False,6874
