AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
37.0,2.0,16.0,2.0,2014.0,40.0,2.0,40.0,2.0,4.0,False
39.0,1.0,19.0,2.0,4760.0,40.0,13.0,33.0,2.0,1.0,False
46.0,1.0,21.0,1.0,4621.0,6.0,1.0,10.0,2.0,1.0,False
57.0,1.0,18.0,2.0,101.0,29.0,0.0,40.0,2.0,1.0,False
60.0,7.0,19.0,1.0,800.0,6.0,1.0,45.0,2.0,1.0,False
26.0,6.0,19.0,2.0,5120.0,48.0,2.0,10.0,1.0,1.0,False
46.0,1.0,21.0,1.0,9030.0,22.0,1.0,70.0,1.0,1.0,True
37.0,2.0,18.0,1.0,3515.0,40.0,0.0,40.0,2.0,1.0,False
23.0,1.0,19.0,2.0,9600.0,2.0,7.0,40.0,1.0,4.0,False
28.0,1.0,16.0,1.0,8740.0,6.0,0.0,54.0,1.0,5.0,False
60.0,1.0,19.0,1.0,20.0,40.0,0.0,45.0,1.0,1.0,True
50.0,1.0,21.0,1.0,5740.0,40.0,0.0,42.0,2.0,1.0,False
40.0,1.0,21.0,1.0,520.0,40.0,0.0,30.0,1.0,1.0,True
56.0,3.0,16.0,2.0,6730.0,40.0,11.0,40.0,1.0,1.0,False
50.0,1.0,16.0,1.0,440.0,40.0,1.0,40.0,1.0,1.0,True
47.0,1.0,21.0,1.0,150.0,40.0,1.0,40.0,2.0,1.0,False
38.0,1.0,20.0,1.0,3424.0,40.0,0.0,40.0,2.0,1.0,False
57.0,5.0,20.0,2.0,120.0,40.0,5.0,40.0,2.0,4.0,True
28.0,1.0,23.0,2.0,3090.0,247.0,0.0,60.0,2.0,3.0,False
22.0,1.0,19.0,1.0,4055.0,40.0,0.0,8.0,2.0,4.0,False
45.0,1.0,19.0,1.0,6850.0,40.0,1.0,60.0,1.0,1.0,False
38.0,1.0,22.0,1.0,630.0,40.0,0.0,40.0,2.0,1.0,True
41.0,1.0,19.0,1.0,8140.0,40.0,1.0,60.0,1.0,1.0,True
46.0,1.0,21.0,1.0,850.0,20.0,1.0,45.0,1.0,1.0,True
30.0,1.0,16.0,2.0,5240.0,40.0,0.0,40.0,2.0,5.0,False
41.0,1.0,21.0,2.0,1021.0,40.0,0.0,45.0,1.0,1.0,False
32.0,1.0,20.0,1.0,120.0,303.0,0.0,40.0,2.0,1.0,False
18.0,1.0,18.0,2.0,4150.0,140.0,17.0,17.0,2.0,1.0,False
29.0,2.0,19.0,1.0,2040.0,40.0,1.0,40.0,1.0,5.0,False
73.0,1.0,16.0,2.0,5240.0,6.0,0.0,40.0,2.0,1.0,False
20.0,1.0,12.0,2.0,9130.0,40.0,2.0,40.0,1.0,5.0,False
27.0,1.0,19.0,2.0,310.0,40.0,13.0,50.0,1.0,1.0,False
35.0,1.0,16.0,2.0,2545.0,40.0,0.0,20.0,2.0,2.0,False
