AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
35.0,5.0,21.0,2.0,3545.0,6.0,0.0,40.0,1.0,1.0,True,3725
56.0,4.0,20.0,1.0,630.0,41.0,1.0,40.0,2.0,1.0,True,6519
40.0,3.0,22.0,1.0,710.0,16.0,0.0,25.0,2.0,1.0,True,1685
60.0,1.0,16.0,1.0,4020.0,41.0,1.0,30.0,2.0,1.0,False,16904
50.0,1.0,19.0,2.0,5810.0,25.0,0.0,40.0,1.0,1.0,False,12818
40.0,1.0,16.0,1.0,5000.0,41.0,1.0,40.0,2.0,1.0,False,20738
57.0,1.0,18.0,1.0,4840.0,41.0,1.0,50.0,1.0,1.0,True,1571
37.0,1.0,24.0,2.0,9620.0,48.0,13.0,40.0,1.0,1.0,False,5472
42.0,1.0,21.0,1.0,565.0,8.0,0.0,45.0,1.0,1.0,True,10460
43.0,1.0,22.0,2.0,1240.0,51.0,0.0,45.0,2.0,1.0,True,17878
65.0,4.0,21.0,2.0,1935.0,41.0,0.0,7.0,2.0,1.0,False,8930
40.0,1.0,23.0,2.0,440.0,50.0,13.0,40.0,2.0,1.0,True,21684
56.0,3.0,20.0,1.0,5860.0,6.0,0.0,40.0,1.0,1.0,True,6438
40.0,1.0,19.0,2.0,5740.0,41.0,0.0,40.0,2.0,1.0,False,10150
77.0,3.0,19.0,1.0,5320.0,41.0,1.0,8.0,2.0,1.0,False,18555
35.0,6.0,20.0,1.0,7140.0,41.0,0.0,50.0,1.0,1.0,True,21220
47.0,1.0,20.0,1.0,3310.0,41.0,1.0,18.0,2.0,1.0,False,19511
67.0,1.0,18.0,1.0,5240.0,22.0,0.0,30.0,2.0,2.0,False,2835
65.0,6.0,18.0,2.0,205.0,48.0,0.0,45.0,2.0,1.0,True,6883
63.0,1.0,23.0,1.0,3090.0,6.0,1.0,50.0,1.0,1.0,True,9534
19.0,2.0,19.0,2.0,4600.0,19.0,17.0,20.0,2.0,1.0,False,154
21.0,6.0,19.0,2.0,4020.0,41.0,2.0,42.0,1.0,1.0,False,12090
39.0,1.0,21.0,2.0,101.0,53.0,0.0,40.0,2.0,1.0,True,2164
65.0,1.0,19.0,1.0,2300.0,6.0,1.0,40.0,2.0,1.0,False,1592
32.0,1.0,19.0,2.0,5860.0,16.0,2.0,30.0,2.0,1.0,False,8944
36.0,6.0,20.0,1.0,440.0,16.0,1.0,60.0,1.0,1.0,True,19303
62.0,1.0,16.0,1.0,5860.0,26.0,0.0,20.0,2.0,1.0,False,9184
28.0,1.0,21.0,2.0,2310.0,32.0,12.0,40.0,2.0,1.0,False,2960
42.0,2.0,22.0,1.0,3160.0,2.0,1.0,36.0,1.0,5.0,True,14682
63.0,1.0,19.0,1.0,220.0,39.0,0.0,40.0,1.0,1.0,True,14561
37.0,6.0,17.0,2.0,9130.0,41.0,0.0,50.0,1.0,1.0,False,20155
25.0,1.0,21.0,1.0,3255.0,6.0,2.0,36.0,2.0,1.0,False,10566
51.0,6.0,21.0,1.0,6240.0,6.0,1.0,40.0,1.0,1.0,False,10867
57.0,1.0,18.0,1.0,940.0,41.0,0.0,15.0,2.0,1.0,False,5363
43.0,1.0,22.0,2.0,4810.0,42.0,0.0,40.0,1.0,1.0,True,14499
