AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
49.0,3.0,16.0,1.0,3602.0,36.0,0.0,20.0,2.0,5.0,False
21.0,1.0,19.0,2.0,4720.0,72.0,2.0,24.0,2.0,1.0,False
62.0,7.0,20.0,1.0,5000.0,72.0,0.0,30.0,1.0,1.0,False
24.0,1.0,19.0,2.0,6230.0,72.0,2.0,40.0,1.0,2.0,False
35.0,7.0,21.0,2.0,205.0,72.0,7.0,30.0,2.0,2.0,False
41.0,1.0,17.0,2.0,4220.0,72.0,13.0,25.0,1.0,5.0,False
51.0,1.0,16.0,2.0,5000.0,72.0,5.0,50.0,1.0,5.0,False
48.0,7.0,19.0,2.0,310.0,72.0,0.0,25.0,1.0,1.0,False
45.0,2.0,19.0,2.0,4720.0,72.0,13.0,40.0,2.0,5.0,True
53.0,1.0,18.0,2.0,4220.0,72.0,13.0,20.0,1.0,5.0,False
24.0,6.0,20.0,1.0,4230.0,329.0,0.0,30.0,1.0,2.0,False
41.0,2.0,16.0,1.0,9620.0,72.0,1.0,16.0,1.0,5.0,False
49.0,3.0,14.0,2.0,4251.0,72.0,2.0,40.0,1.0,2.0,False
41.0,1.0,20.0,2.0,5740.0,72.0,2.0,40.0,2.0,1.0,False
23.0,1.0,21.0,2.0,3255.0,72.0,2.0,39.0,2.0,2.0,False
62.0,6.0,12.0,2.0,205.0,72.0,0.0,40.0,1.0,1.0,False
32.0,3.0,21.0,2.0,2350.0,72.0,0.0,9.0,2.0,1.0,False
22.0,2.0,21.0,2.0,800.0,72.0,2.0,20.0,2.0,1.0,False
23.0,6.0,16.0,2.0,4220.0,72.0,2.0,40.0,1.0,1.0,False
55.0,5.0,22.0,1.0,10.0,72.0,1.0,40.0,1.0,1.0,True
46.0,1.0,21.0,1.0,4810.0,72.0,0.0,60.0,2.0,4.0,True
42.0,3.0,16.0,2.0,5522.0,72.0,2.0,40.0,1.0,1.0,False
49.0,7.0,16.0,2.0,4500.0,36.0,16.0,40.0,1.0,5.0,False
31.0,1.0,21.0,2.0,9142.0,72.0,5.0,40.0,1.0,1.0,False
49.0,4.0,21.0,1.0,2014.0,72.0,0.0,37.0,2.0,1.0,False
49.0,1.0,16.0,1.0,4220.0,329.0,0.0,20.0,2.0,5.0,False
67.0,7.0,21.0,2.0,1800.0,72.0,0.0,30.0,1.0,1.0,False
37.0,5.0,21.0,1.0,2014.0,72.0,0.0,40.0,2.0,5.0,False
66.0,7.0,21.0,1.0,310.0,72.0,0.0,40.0,1.0,1.0,True
58.0,2.0,16.0,1.0,4220.0,72.0,0.0,6.0,2.0,5.0,False
30.0,2.0,21.0,1.0,1010.0,72.0,0.0,30.0,2.0,1.0,False
24.0,1.0,20.0,2.0,4020.0,72.0,7.0,20.0,1.0,1.0,False
31.0,1.0,19.0,1.0,4700.0,72.0,1.0,40.0,2.0,2.0,False
73.0,6.0,22.0,1.0,310.0,363.0,0.0,84.0,1.0,1.0,False
56.0,4.0,21.0,1.0,3820.0,72.0,0.0,40.0,1.0,1.0,False
