AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
40.0,1.0,21.0,1.0,20.0,47.0,0.0,66.0,1.0,1.0,True
57.0,1.0,22.0,2.0,1750.0,47.0,0.0,45.0,1.0,1.0,True
36.0,1.0,16.0,2.0,5740.0,47.0,0.0,40.0,2.0,1.0,False
52.0,6.0,18.0,1.0,205.0,47.0,1.0,55.0,1.0,1.0,True
24.0,2.0,21.0,1.0,2014.0,13.0,1.0,40.0,2.0,1.0,False
19.0,1.0,16.0,2.0,3602.0,47.0,10.0,48.0,2.0,1.0,False
38.0,1.0,16.0,1.0,300.0,6.0,1.0,40.0,1.0,1.0,True
53.0,1.0,14.0,1.0,9130.0,12.0,1.0,40.0,1.0,1.0,False
21.0,1.0,19.0,2.0,4020.0,303.0,2.0,25.0,1.0,5.0,False
40.0,6.0,20.0,1.0,4510.0,37.0,1.0,30.0,2.0,1.0,False
50.0,4.0,16.0,2.0,530.0,47.0,0.0,40.0,1.0,1.0,False
20.0,1.0,19.0,2.0,4720.0,47.0,2.0,15.0,1.0,1.0,False
21.0,1.0,16.0,2.0,3601.0,47.0,10.0,40.0,1.0,1.0,False
75.0,1.0,1.0,2.0,6260.0,47.0,0.0,40.0,1.0,1.0,True
39.0,1.0,16.0,2.0,9645.0,47.0,13.0,40.0,1.0,1.0,False
31.0,1.0,16.0,1.0,4760.0,47.0,1.0,58.0,1.0,1.0,False
40.0,1.0,19.0,2.0,3423.0,47.0,0.0,45.0,2.0,2.0,True
56.0,1.0,21.0,2.0,5740.0,47.0,0.0,40.0,1.0,1.0,False
63.0,1.0,16.0,2.0,4760.0,26.0,11.0,40.0,2.0,1.0,False
26.0,1.0,19.0,2.0,4251.0,47.0,11.0,40.0,1.0,1.0,False
59.0,1.0,16.0,2.0,5240.0,47.0,0.0,42.0,2.0,2.0,False
45.0,6.0,16.0,1.0,6410.0,26.0,0.0,55.0,1.0,1.0,False
38.0,1.0,19.0,1.0,2300.0,47.0,0.0,40.0,2.0,1.0,False
35.0,6.0,16.0,2.0,4510.0,18.0,4.0,60.0,2.0,1.0,False
60.0,1.0,21.0,1.0,3255.0,47.0,1.0,70.0,1.0,1.0,True
47.0,4.0,21.0,2.0,1050.0,47.0,0.0,38.0,1.0,1.0,True
23.0,1.0,21.0,2.0,4030.0,51.0,10.0,8.0,1.0,2.0,False
26.0,1.0,21.0,2.0,4720.0,233.0,0.0,30.0,1.0,3.0,False
55.0,1.0,16.0,1.0,5740.0,40.0,1.0,40.0,2.0,1.0,False
44.0,1.0,19.0,1.0,410.0,12.0,1.0,40.0,2.0,1.0,False
42.0,1.0,18.0,1.0,4700.0,1.0,1.0,40.0,1.0,1.0,False
40.0,1.0,21.0,1.0,3300.0,5.0,1.0,40.0,2.0,1.0,True
54.0,1.0,21.0,1.0,136.0,37.0,0.0,60.0,1.0,1.0,True
41.0,1.0,17.0,2.0,4230.0,47.0,0.0,40.0,2.0,1.0,False
30.0,1.0,22.0,1.0,2145.0,47.0,0.0,40.0,2.0,1.0,False
28.0,1.0,16.0,2.0,3255.0,47.0,2.0,36.0,2.0,1.0,False
19.0,1.0,16.0,2.0,4020.0,42.0,2.0,35.0,1.0,1.0,False
51.0,1.0,16.0,1.0,5300.0,36.0,1.0,40.0,2.0,1.0,False
56.0,7.0,19.0,1.0,2635.0,40.0,1.0,50.0,2.0,1.0,False
56.0,7.0,17.0,1.0,4700.0,6.0,0.0,55.0,1.0,1.0,True
54.0,1.0,20.0,2.0,4110.0,18.0,0.0,40.0,2.0,1.0,False
49.0,1.0,22.0,1.0,1350.0,47.0,0.0,45.0,1.0,1.0,True
18.0,2.0,18.0,2.0,9720.0,47.0,2.0,40.0,1.0,1.0,False
43.0,1.0,22.0,1.0,10.0,312.0,1.0,61.0,1.0,1.0,True
72.0,1.0,20.0,2.0,3930.0,47.0,0.0,40.0,2.0,1.0,False
32.0,2.0,21.0,2.0,725.0,25.0,0.0,40.0,2.0,1.0,False
50.0,4.0,22.0,2.0,5860.0,163.0,0.0,37.0,2.0,1.0,False
25.0,3.0,22.0,2.0,3870.0,47.0,5.0,40.0,1.0,1.0,False
60.0,1.0,20.0,1.0,9130.0,48.0,0.0,45.0,1.0,1.0,False
36.0,1.0,17.0,2.0,7200.0,47.0,13.0,50.0,1.0,1.0,False
61.0,1.0,15.0,1.0,8740.0,139.0,0.0,40.0,1.0,1.0,False
27.0,5.0,18.0,2.0,160.0,12.0,0.0,40.0,2.0,1.0,True
20.0,4.0,16.0,2.0,7330.0,47.0,17.0,10.0,2.0,5.0,False
48.0,6.0,17.0,1.0,6240.0,47.0,1.0,8.0,2.0,1.0,False
37.0,4.0,19.0,1.0,3870.0,47.0,0.0,45.0,1.0,1.0,False
55.0,6.0,16.0,2.0,205.0,29.0,0.0,40.0,1.0,1.0,False
32.0,4.0,21.0,1.0,136.0,47.0,0.0,40.0,2.0,1.0,True
56.0,1.0,16.0,1.0,9130.0,42.0,1.0,50.0,1.0,1.0,False
52.0,1.0,21.0,2.0,440.0,110.0,13.0,40.0,1.0,1.0,True
44.0,3.0,16.0,1.0,4220.0,6.0,1.0,40.0,1.0,1.0,False
31.0,1.0,16.0,2.0,8990.0,110.0,2.0,40.0,2.0,5.0,False
77.0,6.0,16.0,1.0,8540.0,47.0,1.0,30.0,1.0,1.0,False
58.0,6.0,21.0,1.0,2850.0,1.0,0.0,30.0,2.0,1.0,False
55.0,4.0,22.0,1.0,2555.0,47.0,1.0,40.0,1.0,1.0,True
56.0,6.0,19.0,1.0,6200.0,47.0,1.0,60.0,1.0,1.0,True
33.0,1.0,16.0,1.0,9620.0,47.0,0.0,40.0,1.0,1.0,False
51.0,1.0,16.0,1.0,5400.0,47.0,0.0,40.0,2.0,1.0,False
29.0,1.0,24.0,1.0,3160.0,17.0,1.0,40.0,2.0,1.0,True
33.0,6.0,14.0,2.0,6240.0,47.0,0.0,20.0,1.0,2.0,False
28.0,1.0,20.0,2.0,4720.0,12.0,3.0,40.0,2.0,1.0,False
34.0,1.0,16.0,1.0,630.0,47.0,1.0,40.0,2.0,1.0,False
42.0,1.0,16.0,1.0,4110.0,47.0,1.0,25.0,2.0,1.0,False
64.0,5.0,20.0,1.0,4220.0,47.0,1.0,70.0,1.0,2.0,False
54.0,1.0,16.0,1.0,530.0,47.0,0.0,40.0,2.0,1.0,False
45.0,1.0,16.0,1.0,9130.0,47.0,0.0,52.0,1.0,1.0,True
53.0,5.0,23.0,1.0,2105.0,5.0,0.0,40.0,2.0,1.0,True
21.0,1.0,16.0,2.0,4030.0,414.0,15.0,30.0,2.0,1.0,False
25.0,1.0,21.0,2.0,5240.0,47.0,2.0,45.0,2.0,2.0,False
35.0,1.0,20.0,1.0,800.0,47.0,0.0,40.0,2.0,1.0,True
51.0,6.0,12.0,2.0,7150.0,4.0,12.0,3.0,1.0,1.0,False
51.0,1.0,18.0,2.0,5140.0,47.0,0.0,50.0,2.0,2.0,False
39.0,1.0,9.0,1.0,6050.0,303.0,0.0,40.0,1.0,1.0,False
35.0,1.0,17.0,2.0,5300.0,28.0,2.0,40.0,1.0,1.0,False
17.0,1.0,14.0,2.0,4110.0,47.0,2.0,12.0,2.0,1.0,False
55.0,1.0,22.0,1.0,230.0,47.0,0.0,35.0,2.0,2.0,False
20.0,1.0,19.0,2.0,5860.0,48.0,17.0,20.0,2.0,1.0,False
66.0,6.0,16.0,1.0,7430.0,47.0,0.0,6.0,1.0,1.0,False
42.0,1.0,18.0,2.0,4720.0,48.0,2.0,40.0,2.0,1.0,False
33.0,1.0,16.0,2.0,4700.0,12.0,0.0,50.0,2.0,1.0,False
21.0,6.0,16.0,2.0,4230.0,47.0,2.0,40.0,2.0,1.0,False
25.0,1.0,20.0,2.0,5240.0,47.0,5.0,40.0,2.0,1.0,False
32.0,1.0,21.0,2.0,1007.0,26.0,0.0,45.0,1.0,1.0,True
71.0,6.0,20.0,2.0,4251.0,6.0,0.0,4.0,1.0,1.0,False
61.0,4.0,20.0,1.0,4020.0,25.0,0.0,38.0,2.0,1.0,False
29.0,6.0,20.0,1.0,205.0,1.0,1.0,50.0,1.0,1.0,False
69.0,1.0,19.0,2.0,4740.0,37.0,0.0,18.0,2.0,1.0,False
44.0,1.0,17.0,1.0,7330.0,55.0,1.0,50.0,1.0,1.0,True
75.0,2.0,16.0,1.0,4220.0,47.0,1.0,5.0,2.0,1.0,False
55.0,1.0,19.0,1.0,7330.0,17.0,0.0,40.0,1.0,1.0,True
23.0,1.0,16.0,2.0,6305.0,47.0,12.0,40.0,1.0,1.0,False
20.0,1.0,19.0,2.0,9620.0,47.0,2.0,20.0,1.0,1.0,False
49.0,1.0,16.0,2.0,9645.0,34.0,13.0,30.0,2.0,1.0,False
31.0,1.0,16.0,2.0,8740.0,47.0,0.0,40.0,2.0,2.0,False
32.0,1.0,22.0,1.0,710.0,210.0,0.0,40.0,1.0,3.0,True
50.0,1.0,22.0,1.0,4840.0,373.0,1.0,40.0,1.0,5.0,False
57.0,4.0,19.0,2.0,2002.0,40.0,0.0,38.0,2.0,1.0,False
40.0,1.0,16.0,2.0,5860.0,47.0,2.0,32.0,2.0,1.0,False
45.0,1.0,22.0,1.0,1021.0,18.0,0.0,40.0,1.0,1.0,True
48.0,1.0,16.0,1.0,530.0,47.0,0.0,45.0,1.0,1.0,True
62.0,2.0,23.0,2.0,726.0,47.0,0.0,40.0,1.0,1.0,True
30.0,3.0,16.0,2.0,3740.0,47.0,2.0,35.0,1.0,1.0,False
52.0,2.0,16.0,2.0,5610.0,47.0,0.0,40.0,1.0,1.0,False
44.0,1.0,20.0,2.0,5240.0,47.0,0.0,35.0,2.0,1.0,False
65.0,1.0,16.0,1.0,9130.0,47.0,1.0,20.0,1.0,1.0,False
26.0,1.0,16.0,2.0,9640.0,12.0,15.0,40.0,1.0,1.0,False
61.0,1.0,20.0,2.0,5940.0,47.0,0.0,40.0,2.0,1.0,False
63.0,4.0,22.0,2.0,150.0,330.0,0.0,40.0,2.0,2.0,True
65.0,1.0,21.0,1.0,440.0,47.0,0.0,55.0,1.0,1.0,True
21.0,1.0,16.0,2.0,4140.0,47.0,7.0,25.0,1.0,1.0,False
27.0,1.0,19.0,1.0,220.0,47.0,0.0,45.0,1.0,1.0,True
43.0,1.0,16.0,1.0,1555.0,18.0,1.0,50.0,1.0,1.0,True
42.0,6.0,19.0,1.0,205.0,47.0,1.0,80.0,1.0,1.0,True
25.0,1.0,20.0,2.0,310.0,6.0,0.0,50.0,2.0,1.0,False
30.0,1.0,19.0,1.0,4000.0,42.0,9.0,40.0,1.0,1.0,False
23.0,1.0,18.0,1.0,8225.0,47.0,9.0,40.0,1.0,1.0,False
65.0,1.0,18.0,2.0,9645.0,47.0,0.0,45.0,2.0,1.0,False
22.0,1.0,21.0,1.0,52.0,47.0,7.0,32.0,2.0,1.0,False
29.0,1.0,20.0,2.0,4500.0,47.0,13.0,40.0,1.0,1.0,False
29.0,2.0,19.0,1.0,8600.0,47.0,1.0,40.0,1.0,1.0,True
23.0,1.0,16.0,2.0,800.0,51.0,4.0,40.0,2.0,1.0,False
62.0,2.0,24.0,1.0,2205.0,12.0,0.0,50.0,1.0,1.0,True
23.0,1.0,16.0,1.0,6260.0,47.0,1.0,50.0,1.0,1.0,False
75.0,6.0,21.0,1.0,4840.0,45.0,0.0,30.0,1.0,1.0,False
67.0,1.0,18.0,1.0,7000.0,37.0,0.0,30.0,1.0,1.0,False
20.0,1.0,19.0,2.0,4720.0,12.0,15.0,30.0,1.0,1.0,False
54.0,1.0,17.0,2.0,3603.0,28.0,0.0,40.0,2.0,2.0,False
19.0,2.0,18.0,2.0,9620.0,48.0,17.0,7.0,1.0,1.0,False
29.0,2.0,21.0,2.0,1541.0,47.0,2.0,40.0,1.0,1.0,False
52.0,1.0,20.0,1.0,9030.0,36.0,0.0,50.0,1.0,1.0,True
23.0,5.0,16.0,2.0,3930.0,47.0,13.0,40.0,1.0,1.0,True
30.0,3.0,21.0,1.0,2310.0,47.0,0.0,40.0,2.0,1.0,False
23.0,1.0,20.0,1.0,3421.0,47.0,0.0,40.0,2.0,1.0,False
68.0,1.0,18.0,1.0,7700.0,47.0,0.0,55.0,1.0,1.0,True
54.0,1.0,21.0,1.0,1360.0,21.0,0.0,50.0,1.0,1.0,True
51.0,1.0,21.0,1.0,4760.0,47.0,0.0,40.0,2.0,1.0,False
67.0,6.0,22.0,1.0,2723.0,47.0,0.0,4.0,1.0,1.0,False
34.0,2.0,18.0,1.0,5740.0,139.0,0.0,25.0,2.0,1.0,False
36.0,1.0,19.0,2.0,4020.0,47.0,0.0,40.0,1.0,2.0,False
36.0,1.0,21.0,2.0,4720.0,47.0,0.0,43.0,2.0,1.0,False
31.0,2.0,21.0,2.0,230.0,47.0,0.0,50.0,1.0,1.0,False
42.0,1.0,9.0,1.0,6330.0,303.0,1.0,40.0,1.0,1.0,False
49.0,1.0,16.0,1.0,7700.0,47.0,1.0,40.0,2.0,1.0,False
48.0,6.0,17.0,2.0,9760.0,47.0,0.0,40.0,1.0,1.0,True
49.0,1.0,16.0,2.0,9130.0,47.0,0.0,40.0,1.0,1.0,False
51.0,1.0,20.0,2.0,3421.0,47.0,0.0,40.0,2.0,2.0,False
64.0,1.0,21.0,2.0,3930.0,5.0,0.0,29.0,1.0,2.0,False
48.0,1.0,15.0,1.0,5400.0,47.0,15.0,32.0,2.0,1.0,False
57.0,3.0,21.0,2.0,3960.0,47.0,0.0,45.0,2.0,1.0,True
63.0,1.0,16.0,1.0,5522.0,5.0,1.0,40.0,1.0,1.0,False
45.0,4.0,21.0,1.0,2012.0,47.0,1.0,40.0,2.0,2.0,True
56.0,1.0,20.0,2.0,1530.0,47.0,0.0,40.0,2.0,1.0,True
31.0,1.0,19.0,1.0,8530.0,47.0,0.0,50.0,1.0,1.0,False
34.0,1.0,21.0,1.0,4130.0,414.0,1.0,40.0,2.0,1.0,False
46.0,6.0,20.0,1.0,9130.0,39.0,0.0,50.0,2.0,1.0,True
49.0,6.0,16.0,1.0,7200.0,47.0,0.0,40.0,1.0,1.0,False
21.0,1.0,19.0,2.0,4110.0,29.0,17.0,20.0,2.0,1.0,False
18.0,1.0,16.0,2.0,4030.0,47.0,7.0,30.0,2.0,1.0,False
19.0,1.0,19.0,2.0,5600.0,47.0,2.0,40.0,1.0,5.0,False
19.0,1.0,19.0,2.0,4055.0,47.0,7.0,30.0,2.0,1.0,False
54.0,1.0,21.0,1.0,4710.0,47.0,0.0,50.0,1.0,1.0,True
71.0,1.0,19.0,1.0,5400.0,47.0,16.0,15.0,2.0,1.0,False
33.0,1.0,20.0,1.0,2910.0,47.0,1.0,40.0,2.0,1.0,False
36.0,1.0,22.0,2.0,5010.0,21.0,0.0,40.0,2.0,1.0,True
52.0,1.0,16.0,1.0,5110.0,47.0,1.0,40.0,2.0,1.0,False
77.0,1.0,16.0,1.0,5400.0,47.0,1.0,40.0,2.0,1.0,False
67.0,2.0,16.0,2.0,4760.0,12.0,0.0,40.0,2.0,1.0,False
54.0,4.0,17.0,1.0,440.0,47.0,16.0,30.0,1.0,2.0,False
47.0,6.0,16.0,2.0,9610.0,47.0,2.0,30.0,1.0,2.0,True
