AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
38.0,4.0,20.0,2.0,9130.0,50.0,13.0,45.0,1.0,1.0,False
56.0,1.0,21.0,1.0,10.0,50.0,0.0,50.0,1.0,1.0,True
24.0,1.0,20.0,2.0,6230.0,36.0,17.0,45.0,1.0,1.0,False
55.0,1.0,16.0,2.0,6230.0,50.0,0.0,40.0,1.0,1.0,False
24.0,1.0,21.0,1.0,1021.0,50.0,0.0,40.0,1.0,1.0,True
40.0,7.0,21.0,1.0,6230.0,23.0,0.0,55.0,1.0,1.0,True
47.0,1.0,19.0,1.0,4700.0,50.0,1.0,55.0,1.0,1.0,True
48.0,1.0,18.0,1.0,7220.0,50.0,0.0,40.0,1.0,1.0,True
26.0,1.0,18.0,2.0,9620.0,50.0,0.0,45.0,2.0,1.0,False
58.0,1.0,16.0,1.0,7340.0,50.0,0.0,42.0,1.0,1.0,True
34.0,2.0,21.0,1.0,120.0,50.0,1.0,40.0,1.0,1.0,True
32.0,1.0,16.0,2.0,6730.0,50.0,10.0,20.0,1.0,1.0,False
52.0,1.0,17.0,2.0,5240.0,50.0,13.0,41.0,2.0,1.0,True
44.0,1.0,21.0,1.0,3160.0,50.0,1.0,22.0,2.0,1.0,False
52.0,1.0,20.0,1.0,1430.0,51.0,0.0,40.0,1.0,1.0,True
26.0,3.0,21.0,1.0,3422.0,50.0,0.0,38.0,2.0,1.0,False
49.0,6.0,20.0,1.0,51.0,26.0,0.0,20.0,2.0,1.0,False
33.0,1.0,16.0,2.0,8030.0,36.0,0.0,52.0,1.0,1.0,False
28.0,2.0,16.0,2.0,4130.0,33.0,0.0,40.0,2.0,1.0,False
52.0,1.0,19.0,1.0,9645.0,8.0,1.0,4.0,2.0,1.0,False
61.0,6.0,19.0,1.0,6520.0,50.0,1.0,50.0,1.0,1.0,True
67.0,1.0,23.0,2.0,5120.0,36.0,0.0,20.0,2.0,1.0,False
20.0,1.0,18.0,2.0,4760.0,44.0,17.0,12.0,2.0,1.0,False
62.0,1.0,16.0,2.0,4120.0,50.0,0.0,30.0,2.0,1.0,False
69.0,7.0,23.0,1.0,2100.0,42.0,1.0,40.0,1.0,1.0,True
78.0,4.0,22.0,2.0,2861.0,53.0,0.0,7.0,2.0,1.0,False
43.0,2.0,18.0,1.0,5860.0,6.0,1.0,60.0,2.0,1.0,True
60.0,5.0,16.0,1.0,5550.0,50.0,0.0,40.0,1.0,1.0,True
42.0,1.0,16.0,1.0,8920.0,50.0,1.0,40.0,1.0,1.0,False
51.0,1.0,21.0,2.0,1305.0,36.0,0.0,40.0,1.0,1.0,True
26.0,1.0,16.0,1.0,7810.0,25.0,1.0,30.0,2.0,1.0,False
51.0,1.0,16.0,1.0,7000.0,50.0,1.0,53.0,1.0,1.0,True
56.0,8.0,18.0,2.0,6230.0,54.0,0.0,20.0,1.0,1.0,False
47.0,6.0,16.0,2.0,4600.0,50.0,0.0,50.0,2.0,1.0,False
29.0,6.0,21.0,2.0,9142.0,34.0,0.0,99.0,1.0,1.0,True
69.0,1.0,20.0,1.0,9130.0,50.0,1.0,12.0,1.0,1.0,False
63.0,6.0,18.0,1.0,2633.0,34.0,1.0,40.0,2.0,1.0,False
51.0,1.0,16.0,2.0,1050.0,36.0,13.0,50.0,1.0,1.0,True
17.0,1.0,13.0,2.0,4140.0,50.0,2.0,10.0,1.0,1.0,False
48.0,1.0,19.0,1.0,5860.0,50.0,0.0,10.0,2.0,1.0,False
48.0,1.0,16.0,2.0,7640.0,1.0,2.0,20.0,1.0,1.0,False
26.0,1.0,16.0,1.0,5630.0,33.0,1.0,42.0,1.0,1.0,False
53.0,1.0,16.0,1.0,5000.0,50.0,1.0,40.0,2.0,1.0,False
30.0,4.0,21.0,1.0,2205.0,25.0,0.0,38.0,2.0,1.0,False
