AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
62.0,1.0,21.0,1.0,2840.0,54.0,0.0,45.0,2.0,1.0,False,2212
57.0,1.0,16.0,1.0,9600.0,54.0,1.0,50.0,2.0,1.0,False,7097
68.0,1.0,18.0,2.0,4800.0,51.0,0.0,24.0,2.0,1.0,False,970
50.0,5.0,21.0,2.0,5740.0,42.0,0.0,40.0,2.0,1.0,True,6383
19.0,1.0,17.0,2.0,4055.0,54.0,2.0,35.0,1.0,1.0,False,7201
66.0,1.0,19.0,1.0,9130.0,54.0,1.0,39.0,1.0,1.0,True,4621
51.0,1.0,21.0,1.0,4720.0,37.0,0.0,30.0,2.0,1.0,True,911
76.0,7.0,19.0,2.0,440.0,54.0,0.0,84.0,2.0,1.0,False,1013
40.0,2.0,20.0,1.0,350.0,39.0,1.0,34.0,2.0,1.0,False,7254
62.0,1.0,16.0,1.0,9645.0,54.0,0.0,40.0,1.0,1.0,False,2941
32.0,2.0,16.0,1.0,350.0,54.0,0.0,35.0,2.0,1.0,False,3120
29.0,2.0,23.0,2.0,3090.0,21.0,0.0,80.0,2.0,1.0,True,5498
18.0,1.0,16.0,2.0,4720.0,54.0,2.0,25.0,2.0,1.0,False,322
61.0,2.0,16.0,1.0,4760.0,21.0,0.0,40.0,1.0,1.0,True,7307
45.0,2.0,18.0,2.0,3602.0,6.0,0.0,25.0,2.0,1.0,False,2899
26.0,2.0,24.0,1.0,3620.0,54.0,1.0,30.0,2.0,1.0,False,2981
48.0,1.0,17.0,2.0,8990.0,54.0,0.0,50.0,1.0,1.0,False,426
21.0,3.0,16.0,2.0,4130.0,54.0,2.0,30.0,2.0,1.0,False,1096
55.0,1.0,17.0,1.0,7330.0,54.0,0.0,40.0,1.0,1.0,False,7124
49.0,1.0,19.0,1.0,6260.0,54.0,1.0,40.0,1.0,1.0,True,2692
31.0,2.0,22.0,1.0,5940.0,110.0,1.0,40.0,2.0,1.0,True,4388
30.0,1.0,19.0,1.0,3322.0,54.0,1.0,40.0,2.0,1.0,False,6765
52.0,4.0,11.0,2.0,3602.0,24.0,16.0,35.0,1.0,1.0,False,143
52.0,1.0,16.0,1.0,9130.0,54.0,1.0,40.0,1.0,1.0,False,7929
76.0,6.0,22.0,1.0,710.0,110.0,0.0,10.0,1.0,1.0,False,2048
68.0,5.0,19.0,2.0,440.0,47.0,0.0,45.0,1.0,2.0,True,1605
36.0,1.0,16.0,2.0,6850.0,54.0,0.0,60.0,1.0,1.0,True,2440
39.0,1.0,19.0,2.0,5160.0,54.0,0.0,40.0,2.0,1.0,False,3641
53.0,1.0,21.0,1.0,1105.0,20.0,1.0,90.0,1.0,5.0,True,4234
22.0,1.0,16.0,2.0,6400.0,54.0,2.0,40.0,1.0,1.0,False,685
57.0,1.0,16.0,2.0,4700.0,54.0,0.0,40.0,2.0,1.0,False,7557
43.0,4.0,21.0,1.0,2310.0,54.0,0.0,40.0,2.0,1.0,False,7184
20.0,1.0,16.0,2.0,4110.0,54.0,2.0,15.0,2.0,1.0,False,4855
37.0,1.0,18.0,1.0,705.0,6.0,0.0,45.0,2.0,1.0,False,1746
21.0,1.0,19.0,2.0,4110.0,42.0,17.0,25.0,1.0,1.0,False,68
68.0,1.0,24.0,1.0,150.0,54.0,0.0,45.0,1.0,1.0,True,1414
62.0,1.0,16.0,2.0,8040.0,54.0,0.0,56.0,1.0,1.0,True,5424
33.0,1.0,16.0,2.0,4230.0,54.0,16.0,35.0,2.0,1.0,False,167
46.0,1.0,13.0,1.0,9130.0,42.0,0.0,67.0,2.0,1.0,True,2829
43.0,1.0,18.0,2.0,20.0,10.0,0.0,40.0,2.0,1.0,False,6943
19.0,2.0,16.0,2.0,4220.0,42.0,17.0,8.0,1.0,1.0,False,90
53.0,1.0,17.0,1.0,4230.0,54.0,1.0,40.0,2.0,1.0,False,1961
29.0,1.0,19.0,2.0,6410.0,54.0,13.0,35.0,1.0,1.0,False,7962
63.0,1.0,21.0,1.0,940.0,54.0,0.0,25.0,2.0,1.0,False,4402
70.0,1.0,17.0,1.0,410.0,54.0,0.0,40.0,1.0,1.0,True,317
62.0,5.0,20.0,1.0,7010.0,54.0,1.0,40.0,2.0,1.0,True,820
57.0,4.0,16.0,2.0,5240.0,54.0,0.0,40.0,2.0,1.0,False,3354
19.0,1.0,16.0,2.0,6260.0,54.0,2.0,40.0,1.0,1.0,False,7022
62.0,7.0,23.0,1.0,3050.0,54.0,1.0,40.0,1.0,1.0,True,2439
53.0,1.0,13.0,2.0,6130.0,54.0,0.0,40.0,1.0,1.0,False,3707
53.0,1.0,16.0,1.0,6850.0,39.0,1.0,60.0,1.0,1.0,True,3409
49.0,1.0,16.0,1.0,4220.0,54.0,1.0,40.0,1.0,1.0,False,6117
44.0,1.0,22.0,2.0,440.0,54.0,4.0,40.0,1.0,1.0,False,5545
26.0,1.0,16.0,2.0,6442.0,54.0,2.0,30.0,1.0,1.0,False,4867
34.0,5.0,21.0,2.0,1021.0,24.0,0.0,50.0,2.0,2.0,True,7068
37.0,6.0,13.0,1.0,7200.0,54.0,1.0,40.0,1.0,1.0,False,4777
41.0,1.0,16.0,2.0,6305.0,54.0,0.0,74.0,1.0,1.0,False,1121
30.0,1.0,12.0,1.0,7855.0,54.0,1.0,40.0,2.0,1.0,False,6076
50.0,1.0,18.0,1.0,8990.0,54.0,1.0,40.0,2.0,1.0,False,4484
49.0,1.0,18.0,1.0,3601.0,54.0,6.0,40.0,2.0,1.0,False,8052
53.0,2.0,20.0,1.0,3255.0,54.0,1.0,24.0,2.0,1.0,False,1164
44.0,3.0,21.0,1.0,3870.0,54.0,0.0,40.0,1.0,1.0,False,7131
42.0,1.0,22.0,1.0,705.0,54.0,0.0,48.0,2.0,1.0,True,6515
33.0,1.0,19.0,1.0,3603.0,48.0,1.0,36.0,2.0,1.0,False,5748
65.0,6.0,16.0,2.0,4220.0,54.0,0.0,10.0,2.0,1.0,False,6482
28.0,1.0,20.0,1.0,5400.0,54.0,1.0,34.0,2.0,1.0,False,1591
37.0,5.0,22.0,1.0,630.0,54.0,0.0,40.0,2.0,1.0,False,7920
23.0,1.0,19.0,1.0,9130.0,54.0,2.0,45.0,1.0,1.0,False,1820
35.0,1.0,16.0,1.0,4760.0,54.0,1.0,40.0,2.0,1.0,False,7981
32.0,1.0,16.0,1.0,51.0,51.0,0.0,40.0,2.0,1.0,False,4502
46.0,1.0,20.0,1.0,520.0,28.0,0.0,30.0,2.0,1.0,False,5086
58.0,1.0,12.0,2.0,9130.0,42.0,0.0,60.0,1.0,1.0,True,1484
24.0,1.0,19.0,1.0,3500.0,54.0,1.0,40.0,2.0,1.0,False,2912
65.0,1.0,18.0,1.0,410.0,54.0,0.0,60.0,2.0,1.0,True,2129
57.0,6.0,16.0,1.0,7240.0,54.0,0.0,40.0,1.0,1.0,False,3981
20.0,1.0,19.0,2.0,7750.0,54.0,2.0,30.0,1.0,1.0,False,964
33.0,3.0,22.0,2.0,2002.0,54.0,0.0,40.0,2.0,1.0,False,2009
58.0,1.0,14.0,2.0,6520.0,54.0,0.0,40.0,1.0,1.0,False,1576
64.0,7.0,21.0,1.0,850.0,54.0,1.0,50.0,1.0,1.0,True,2426
18.0,1.0,15.0,2.0,4110.0,54.0,15.0,30.0,2.0,1.0,False,905
53.0,1.0,16.0,1.0,4720.0,54.0,1.0,30.0,2.0,1.0,False,6846
26.0,1.0,16.0,1.0,5240.0,54.0,0.0,55.0,1.0,1.0,True,2012
55.0,1.0,17.0,1.0,4750.0,54.0,1.0,46.0,1.0,1.0,False,2028
30.0,1.0,19.0,2.0,8990.0,54.0,2.0,65.0,1.0,1.0,True,583
18.0,1.0,16.0,2.0,3960.0,54.0,17.0,25.0,1.0,1.0,False,146
58.0,1.0,16.0,2.0,4251.0,54.0,5.0,40.0,1.0,1.0,False,5962
44.0,1.0,19.0,2.0,4700.0,54.0,0.0,40.0,2.0,2.0,False,4314
34.0,1.0,17.0,2.0,6260.0,54.0,0.0,25.0,1.0,1.0,False,7985
45.0,1.0,16.0,1.0,9130.0,51.0,0.0,45.0,1.0,1.0,False,7134
24.0,6.0,16.0,2.0,4655.0,54.0,7.0,18.0,2.0,1.0,False,1685
43.0,1.0,19.0,1.0,20.0,54.0,0.0,40.0,1.0,1.0,False,4174
54.0,1.0,16.0,2.0,3602.0,51.0,0.0,50.0,1.0,1.0,False,6444
21.0,3.0,19.0,2.0,3402.0,51.0,12.0,50.0,1.0,1.0,False,2455
