AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
51.0,1.0,16.0,1.0,6260.0,56.0,0.0,60.0,1.0,1.0,False
37.0,5.0,16.0,1.0,9830.0,233.0,0.0,40.0,1.0,3.0,True
42.0,4.0,24.0,1.0,2205.0,20.0,1.0,50.0,2.0,1.0,True
44.0,1.0,20.0,1.0,1105.0,56.0,1.0,40.0,1.0,1.0,True
18.0,1.0,14.0,2.0,4720.0,56.0,4.0,8.0,2.0,1.0,False
39.0,1.0,20.0,1.0,1108.0,6.0,1.0,35.0,1.0,1.0,True
35.0,7.0,16.0,2.0,6305.0,16.0,0.0,55.0,1.0,1.0,False
67.0,4.0,22.0,1.0,4700.0,36.0,0.0,40.0,2.0,1.0,False
60.0,3.0,16.0,1.0,5350.0,56.0,1.0,40.0,2.0,1.0,False
60.0,1.0,22.0,1.0,2002.0,56.0,1.0,50.0,1.0,1.0,True
29.0,1.0,16.0,1.0,205.0,56.0,1.0,60.0,1.0,1.0,False
53.0,1.0,21.0,1.0,4850.0,49.0,1.0,40.0,1.0,1.0,True
72.0,1.0,19.0,1.0,9130.0,38.0,1.0,45.0,1.0,1.0,False
23.0,1.0,18.0,2.0,6230.0,56.0,2.0,40.0,1.0,1.0,False
53.0,7.0,19.0,2.0,2300.0,46.0,0.0,40.0,2.0,1.0,False
51.0,1.0,19.0,1.0,5120.0,31.0,0.0,50.0,2.0,1.0,False
59.0,1.0,20.0,1.0,1430.0,56.0,1.0,32.0,1.0,1.0,False
17.0,6.0,13.0,2.0,4251.0,56.0,2.0,1.0,1.0,1.0,False
34.0,4.0,21.0,1.0,2310.0,8.0,1.0,50.0,2.0,1.0,True
17.0,1.0,14.0,2.0,4055.0,56.0,2.0,25.0,2.0,1.0,False
68.0,1.0,18.0,2.0,5240.0,8.0,0.0,36.0,1.0,1.0,False
40.0,7.0,20.0,1.0,3270.0,16.0,1.0,40.0,2.0,1.0,True
38.0,1.0,20.0,1.0,9130.0,46.0,0.0,70.0,1.0,1.0,True
23.0,1.0,16.0,2.0,4055.0,56.0,2.0,28.0,2.0,1.0,False
43.0,1.0,16.0,2.0,4040.0,56.0,13.0,35.0,2.0,1.0,False
62.0,1.0,18.0,2.0,9600.0,40.0,0.0,40.0,1.0,1.0,False
59.0,1.0,20.0,2.0,6200.0,38.0,0.0,60.0,1.0,1.0,True
31.0,4.0,21.0,2.0,2320.0,30.0,0.0,40.0,2.0,1.0,True
28.0,1.0,18.0,1.0,6950.0,56.0,0.0,85.0,1.0,1.0,True
33.0,1.0,16.0,2.0,4700.0,56.0,13.0,40.0,1.0,1.0,False
18.0,1.0,18.0,2.0,4760.0,8.0,17.0,15.0,1.0,5.0,False
44.0,1.0,16.0,2.0,4760.0,56.0,0.0,55.0,1.0,1.0,True
26.0,1.0,16.0,1.0,7330.0,56.0,0.0,40.0,1.0,1.0,True
57.0,1.0,19.0,2.0,5740.0,40.0,0.0,50.0,2.0,1.0,True
22.0,6.0,19.0,2.0,3960.0,56.0,12.0,5.0,2.0,1.0,False
35.0,1.0,16.0,2.0,6515.0,56.0,2.0,30.0,1.0,1.0,False
