model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
LogisticRegression,0.7316017316017316,1.0_2.0,0.0164021164021164,1.0_4.0,0.2597299570025544,1.0_2.0,0.2347439794248305,AK
XGBoost,0.7806637806637806,1.0_2.0,0.0645502645502645,1.0_4.0,0.3634474114268488,1.0_2.0,0.2208323591302314,AK
LogisticRegression,0.77710386656558,1.0_2.0,0.0532716001482976,3.0_4.0,0.2142857142857142,1.0_2.0,0.1368890336573042,MS
XGBoost,0.8032600454890069,1.0_2.0,0.1075077094631684,3.0_4.0,0.1948051948051948,1.0_2.0,0.1742696166193625,MS
LogisticRegression,0.9052341597796144,2.0_1.0,0.0001066537211115,4.0_3.0,0.25,1.0_2.0,0.0170159029932401,PR
XGBoost,0.9068870523415978,2.0_1.0,0.0010518263530311,1.0_3.0,0.0883333333333333,1.0_2.0,0.0712674430804742,PR
LogisticRegression,0.7624602332979852,1.0_2.0,0.0326597448401201,3.0_4.0,0.5882352941176471,1.0_2.0,0.2711490582377138,DE
XGBoost,0.7794273594909862,1.0_2.0,0.0286200133158188,3.0_4.0,0.5294117647058824,1.0_2.0,0.2742972865699646,DE
LogisticRegression,0.7551515151515151,1.0_2.0,0.0573650947982498,1.0_5.0,0.1719783329290969,1.0_2.0,0.1641828999542689,LA
XGBoost,0.792969696969697,1.0_2.0,0.1694576898809462,1.0_5.0,0.2347481607243916,1.0_2.0,0.2223893749517753,LA
LogisticRegression,0.761595547309833,1.0_2.0,0.0577291310873052,1.0_4.0,0.1713995943204868,1.0_2.0,0.1793027808739889,NE
XGBoost,0.7987012987012987,1.0_2.0,0.1093670755058738,1.0_4.0,0.2322515212981744,1.0_2.0,0.2297472062648261,NE
LogisticRegression,0.7863554757630161,1.0_2.0,0.0483778552071235,3.0_5.0,0.1197916666666666,1.0_2.0,0.1019539655192546,AR
XGBoost,0.7996409335727109,1.0_2.0,0.088868241063363,4.0_5.0,0.1100852272727272,1.0_2.0,0.1368646321307215,AR
LogisticRegression,0.74415228262623,1.0_2.0,0.0395145221896052,1.0_2.0,0.2155590831188588,1.0_2.0,0.218079043564383,MN
XGBoost,0.7854492660106469,1.0_2.0,0.1291681010471498,1.0_2.0,0.2199740490655524,1.0_2.0,0.2291010312421372,MN
LogisticRegression,0.7733394202236932,1.0_2.0,0.0225668723459441,3.0_4.0,0.2915635117120548,1.0_2.0,0.2225246461429134,OR
XGBoost,0.800273910066195,1.0_2.0,0.102733735290686,3.0_4.0,0.263283184155399,1.0_2.0,0.236621750384641,OR
LogisticRegression,0.7567901234567901,1.0_2.0,0.0845258904469077,4.0_5.0,0.9444444444444444,1.0_2.0,0.112075769534333,WV
XGBoost,0.7759259259259259,1.0_2.0,0.1568466462352538,4.0_5.0,0.9444444444444444,1.0_2.0,0.2051536602209945,WV
LogisticRegression,0.7691497366440933,1.0_2.0,0.0363896266694159,3.0_5.0,0.2617730313947504,1.0_2.0,0.2009802997557497,AZ
XGBoost,0.8091798344620015,1.0_2.0,0.1063939524362031,3.0_5.0,0.3077714873906331,1.0_2.0,0.2178168202806739,AZ
LogisticRegression,0.7763740243019233,1.0_2.0,0.0432773328538766,3.0_4.0,0.34765625,1.0_2.0,0.2051115516256881,OH
XGBoost,0.8132292588718114,1.0_2.0,0.1306537540230644,3.0_4.0,0.38671875,1.0_2.0,0.2402144927220402,OH
LogisticRegression,0.7718904355635384,1.0_2.0,0.0777873043476504,3.0_4.0,0.2331201137171286,1.0_2.0,0.1709630437698102,AL
XGBoost,0.805792546026044,1.0_2.0,0.126686884538983,3.0_4.0,0.2004264392324093,1.0_2.0,0.2145877015370625,AL
LogisticRegression,0.7804921677356706,1.0_2.0,0.0345927496199292,3.0_5.0,0.2989795741341229,1.0_2.0,0.2384762963571325,CA
XGBoost,0.825594766565303,1.0_2.0,0.091356748178993,3.0_5.0,0.2824136300514499,1.0_2.0,0.2468324374855554,CA
LogisticRegression,0.7481635260300223,1.0_2.0,0.0641477553992742,3.0_4.0,0.2422974903081003,1.0_2.0,0.2742123963932847,CO
XGBoost,0.794314915362504,1.0_2.0,0.1312212853525125,1.0_4.0,0.2241162203571716,1.0_2.0,0.2815467739599313,CO
LogisticRegression,0.7642153146322972,1.0_2.0,0.0588814895351997,1.0_4.0,0.5351982785121426,1.0_2.0,0.3180831924282415,CT
XGBoost,0.8172858225928734,1.0_2.0,0.1174965308078568,1.0_4.0,0.428435290501076,1.0_2.0,0.3161771073903002,CT
LogisticRegression,0.773110942633308,1.0_2.0,0.0552845971382398,1.0_2.0,0.1278676864636529,1.0_2.0,0.1749616701134217,FL
XGBoost,0.8135961587060905,1.0_2.0,0.1015310607673868,3.0_2.0,0.190364135111876,1.0_2.0,0.2025653893700279,FL
LogisticRegression,0.7803201414121576,1.0_2.0,0.03372955811866,3.0_4.0,0.3028985507246376,1.0_2.0,0.2218579380462073,GA
XGBoost,0.8157713836786802,1.0_2.0,0.0852841709882549,3.0_4.0,0.287991718426501,1.0_2.0,0.2350828704980653,GA
LogisticRegression,0.7453135100193924,1.0_2.0,0.0161225312374043,1.0_4.0,0.4125874125874126,1.0_2.0,0.2215269383014529,HI
XGBoost,0.7776341305753071,1.0_2.0,0.0687877871825876,1.0_4.0,0.4731934731934732,1.0_2.0,0.284837279859679,HI
LogisticRegression,0.7725347852389595,1.0_2.0,0.0710604647030076,2.0_4.0,0.2102272727272727,1.0_2.0,0.1213103746424202,ID
XGBoost,0.7924984875983061,1.0_2.0,0.1333555466702208,2.0_4.0,0.2102272727272727,1.0_2.0,0.1503214768619443,ID
LogisticRegression,0.763055804237541,1.0_2.0,0.0445463012880759,3.0_5.0,0.364732064932798,1.0_2.0,0.2401651389212563,IL
XGBoost,0.8130408833184124,1.0_2.0,0.1515384908646169,3.0_5.0,0.3426470588235294,1.0_2.0,0.2610410894464728,IL
LogisticRegression,0.7703069236259814,1.0_2.0,0.0666514835321512,4.0_5.0,0.290547263681592,1.0_2.0,0.1705454259969455,IN
XGBoost,0.8081370449678801,1.0_2.0,0.1437023254203561,3.0_5.0,0.185681760688085,1.0_2.0,0.2186051575574703,IN
LogisticRegression,0.7610594533671456,1.0_2.0,0.0599356641700238,1.0_5.0,0.1636743328270774,1.0_2.0,0.1482244491087701,IA
XGBoost,0.7900817131586363,1.0_2.0,0.1246678624573306,1.0_5.0,0.2049703478701092,1.0_2.0,0.1941242655331916,IA
LogisticRegression,0.7669196710942442,1.0_2.0,0.0446056144763726,1.0_5.0,0.1314180888021807,1.0_2.0,0.1774441006042384,KS
XGBoost,0.8121442125237192,1.0_2.0,0.1533781082433114,1.0_5.0,0.1478027922312091,1.0_2.0,0.2384443060387978,KS
LogisticRegression,0.783507496592458,1.0_2.0,0.0301983836174595,3.0_4.0,0.2580645161290322,1.0_2.0,0.1640059944394565,KY
XGBoost,0.8082689686506134,1.0_2.0,0.0698637372360251,3.0_4.0,0.2903225806451613,1.0_2.0,0.2191224621258899,KY
LogisticRegression,0.7723054960742327,1.0_2.0,0.0034423162365639,3.0_2.0,0.2083333333333333,1.0_2.0,0.1627740655886303,ME
XGBoost,0.7994289793004996,1.0_2.0,0.0794239572166355,3.0_2.0,0.2745098039215686,1.0_2.0,0.165961189027813,ME
LogisticRegression,0.7648660916931457,1.0_2.0,0.0236313733247613,3.0_5.0,0.3230531036446469,1.0_2.0,0.2848147954606012,MD
XGBoost,0.8172189438644273,1.0_2.0,0.1154088983400095,1.0_5.0,0.3120630759453447,1.0_2.0,0.2918817779798275,MD
LogisticRegression,0.7745232456687025,1.0_2.0,0.0401484916544135,1.0_5.0,0.2999301440946331,1.0_2.0,0.2993514243919525,MA
XGBoost,0.8157796335535336,1.0_2.0,0.1096225624784819,1.0_5.0,0.2960143989923997,1.0_2.0,0.3090440957867517,MA
LogisticRegression,0.7743451309738052,1.0_2.0,0.0549613968233347,3.0_5.0,0.2954699537750385,1.0_2.0,0.1986049308536834,MI
XGBoost,0.8119376124775045,1.0_2.0,0.1225777311063357,3.0_5.0,0.3116795069337442,1.0_2.0,0.2283940135438346,MI
LogisticRegression,0.7667771987999369,1.0_2.0,0.0297791986341021,3.0_5.0,0.2108843537414965,1.0_2.0,0.1554189868670943,MO
XGBoost,0.8051476393494394,1.0_2.0,0.1084701972210837,3.0_5.0,0.2377633980421436,1.0_2.0,0.201194542001508,MO
LogisticRegression,0.7703568161024703,1.0_2.0,0.0733622126407697,1.0_2.0,0.1690140845070422,1.0_2.0,0.1135217879375446,MT
XGBoost,0.7923147301006405,1.0_2.0,0.1302841372981653,1.0_2.0,0.2484909456740442,1.0_2.0,0.1724937918835255,MT
LogisticRegression,0.7670492910195814,1.0_2.0,0.0080488694733371,1.0_5.0,0.2315478716136038,1.0_2.0,0.136051779227032,NV
XGBoost,0.7903443619176233,1.0_2.0,0.0837827631727349,1.0_5.0,0.2269068218158107,1.0_2.0,0.1699174581637268,NV
LogisticRegression,0.7647427854454203,1.0_2.0,0.111303467956775,3.0_2.0,0.3875,1.0_2.0,0.2462798876522046,NH
XGBoost,0.7816813048933501,1.0_2.0,0.1692935233713567,4.0_2.0,0.45,1.0_2.0,0.2652389805000925,NH
LogisticRegression,0.7642565658679502,1.0_2.0,0.040575498410509,3.0_5.0,0.3841959751585406,1.0_2.0,0.301422497560679,NJ
