model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
LogisticRegression,0.7718904355635384,1.0_2.0,0.00458025704129067,3.0_4.0,0.38666666666666666,1.0_2.0,0.07902973395931143,AL
XGBoost,0.805792546026044,1.0_2.0,0.040144333278661626,5.0_4.0,0.2857142857142857,1.0_2.0,0.10043623216643938,AL
LogisticRegression,0.7773952954675847,2.0_1.0,0.056494787264018076,3.0_4.0,0.38095238095238093,1.0_2.0,0.10961988830841296,NM
XGBoost,0.810671256454389,2.0_1.0,0.01397576782192167,3.0_4.0,0.45238095238095233,1.0_2.0,0.1307872455413439,NM
LogisticRegression,0.7602040816326531,1.0_2.0,0.05092159191925549,1.0_2.0,0.2727272727272727,1.0_2.0,0.04111672369778936,SD
XGBoost,0.7724489795918368,1.0_2.0,0.0603223801694502,4.0_2.0,0.5,1.0_2.0,0.08789776298330966,SD
LogisticRegression,0.7610594533671456,2.0_1.0,0.05229383619476502,1.0_4.0,0.4479638009049774,1.0_2.0,0.09291487657467412,IA
XGBoost,0.7900817131586363,1.0_2.0,0.045973564336731304,4.0_2.0,0.6666666666666667,1.0_2.0,0.08053574809112135,IA
LogisticRegression,0.7745232456687025,2.0_1.0,0.04114902483252958,1.0_4.0,0.24542682926829268,1.0_2.0,0.16099537437880995,MA
XGBoost,0.8157796335535336,1.0_2.0,0.02485761746559087,4.0_5.0,0.38888888888888884,1.0_2.0,0.1591492594662568,MA
LogisticRegression,0.7703069236259814,2.0_1.0,0.06751143593248854,4.0_5.0,0.44166666666666665,1.0_2.0,0.10737949995321255,IN
XGBoost,0.8081370449678801,1.0_2.0,0.0447811704232305,4.0_5.0,0.31666666666666665,1.0_2.0,0.1431006287346437,IN
LogisticRegression,0.7567901234567901,1.0_2.0,0.034141750031736,4.0_5.0,1.0,1.0_2.0,0.0926743557397729,WV
XGBoost,0.7759259259259259,1.0_2.0,0.08532186502444446,4.0_5.0,0.9375,1.0_2.0,0.22215714543160936,WV
LogisticRegression,0.773110942633308,2.0_1.0,0.009560580456088416,1.0_4.0,0.1564933544118508,1.0_2.0,0.10783088624786041,FL
XGBoost,0.8135961587060905,1.0_2.0,0.02376097145213428,3.0_4.0,0.3027522935779816,1.0_2.0,0.09700035781950489,FL
LogisticRegression,0.7691497366440933,2.0_1.0,0.03441780756561996,2.0_5.0,0.2783221065523577,1.0_2.0,0.11239470725590239,AZ
XGBoost,0.8091798344620015,1.0_2.0,0.028018340896917696,3.0_4.0,0.40131940626717977,1.0_2.0,0.0954301337336895,AZ
LogisticRegression,0.7646757429366126,2.0_1.0,0.06450668607661947,3.0_4.0,0.5064102564102565,1.0_2.0,0.10342151018380527,PA
XGBoost,0.8079344166300688,1.0_2.0,0.04955592416066516,3.0_4.0,0.6794871794871795,1.0_2.0,0.11354321907600597,PA
LogisticRegression,0.7597185149235622,2.0_1.0,0.051313863925943726,3.0_4.0,0.2142857142857143,1.0_2.0,0.12989985089709943,NY
XGBoost,0.8047561271536035,1.0_2.0,0.02212515196768769,1.0_4.0,0.21874054462934944,1.0_2.0,0.10687440859788039,NY
LogisticRegression,0.7316017316017316,2.0_1.0,0.11355770378326768,1.0_2.0,0.37293956043956045,1.0_2.0,0.14043269853607981,AK
XGBoost,0.7806637806637806,2.0_1.0,0.01614016340524055,1.0_4.0,0.4633190883190883,1.0_2.0,0.10527998538412352,AK
LogisticRegression,0.77710386656558,2.0_1.0,0.04985229628814147,1.0_4.0,0.38869257950530034,1.0_2.0,0.09962049335863377,MS
XGBoost,0.8032600454890069,1.0_2.0,0.017801557278026153,3.0_4.0,0.7142857142857143,1.0_2.0,0.10752688172043012,MS
LogisticRegression,0.7774150182446706,2.0_1.0,0.036389205962710114,3.0_5.0,0.3147195059186825,1.0_2.0,0.09223390601427572,NC
XGBoost,0.8160169003264836,1.0_2.0,0.029653295564754184,3.0_5.0,0.34843026248069986,1.0_2.0,0.09185562135506964,NC
LogisticRegression,0.763055804237541,2.0_1.0,0.07562595316692733,3.0_5.0,0.35220869714826447,1.0_2.0,0.12830455433591204,IL
XGBoost,0.8130408833184124,1.0_2.0,0.046623416175795046,3.0_5.0,0.3082498171964385,1.0_2.0,0.12277944574174982,IL
LogisticRegression,0.7743451309738052,2.0_1.0,0.057793313864256124,3.0_5.0,0.29070758738277924,1.0_2.0,0.1269780102150045,MI
XGBoost,0.8119376124775045,1.0_2.0,0.044278643490571507,3.0_5.0,0.2966751918158568,1.0_2.0,0.11186041532862345,MI
LogisticRegression,0.7803201414121576,2.0_1.0,0.03280350127305742,3.0_4.0,0.5135416666666666,1.0_2.0,0.11795709069659033,GA
XGBoost,0.8157713836786802,1.0_2.0,0.013482279646746628,3.0_4.0,0.21250000000000002,1.0_2.0,0.10742353476483303,GA
LogisticRegression,0.7679045092838196,2.0_1.0,0.09269162210338677,3.0_2.0,1.0,1.0_2.0,0.1260327685198151,VT
XGBoost,0.7453580901856764,2.0_1.0,0.13475935828877006,3.0_2.0,1.0,1.0_2.0,0.16118190729589688,VT
LogisticRegression,0.7640675241157556,2.0_1.0,0.009969188701445475,1.0_4.0,0.5135730007336757,1.0_2.0,0.11489156131154282,SC
XGBoost,0.8018488745980707,1.0_2.0,0.05321152664605222,1.0_4.0,0.6551724137931034,1.0_2.0,0.13937506424092916,SC
LogisticRegression,0.9052341597796143,2.0_1.0,0.06964285714285715,4.0_2.0,0.25,2.0_1.0,0.044756355932203395,PR
XGBoost,0.9068870523415978,2.0_1.0,0.012792320378906416,5.0_3.0,0.5,1.0_2.0,0.05852754237288138,PR
LogisticRegression,0.7641757416447615,2.0_1.0,0.06485079900921487,3.0_4.0,0.17151335311572702,1.0_2.0,0.14076312750288722,WA
XGBoost,0.8159969958693203,1.0_2.0,0.04865027049327389,1.0_2.0,0.11314037573030389,1.0_2.0,0.14233167405563762,WA
LogisticRegression,0.7642565658679502,2.0_1.0,0.04331548745967284,3.0_4.0,0.2711047653043013,1.0_2.0,0.1849531434426933,NJ
XGBoost,0.8163649680862195,1.0_2.0,0.04458848567700244,3.0_4.0,0.31347402597402596,1.0_2.0,0.18101840713022022,NJ
LogisticRegression,0.7734780209674453,2.0_1.0,0.03232227251775055,3.0_5.0,0.20366358712965915,1.0_2.0,0.13091373319541022,TX
XGBoost,0.8132058120286922,1.0_2.0,0.029675318676264148,3.0_5.0,0.20663427843262183,1.0_2.0,0.12914678157437265,TX
LogisticRegression,0.7642153146322972,2.0_1.0,0.039862390031835226,1.0_4.0,0.7868753762793498,1.0_2.0,0.18825499810211038,CT
XGBoost,0.8172858225928734,1.0_2.0,0.03583747612730162,3.0_4.0,0.9032258064516129,1.0_2.0,0.15188008468109582,CT
LogisticRegression,0.7624602332979852,2.0_1.0,0.035105033131256125,3.0_4.0,0.9411764705882353,1.0_2.0,0.1888392857142857,DE
XGBoost,0.7794273594909862,2.0_1.0,0.024982376991400046,3.0_4.0,0.8823529411764706,1.0_2.0,0.18380102040816326,DE
LogisticRegression,0.7667771987999369,2.0_1.0,0.0695789616079247,4.0_5.0,0.4404761904761905,1.0_2.0,0.08923769015512134,MO
XGBoost,0.8051476393494394,1.0_2.0,0.033804058126353176,4.0_2.0,0.40625,1.0_2.0,0.09962588861671429,MO
LogisticRegression,0.7655293088363955,2.0_1.0,0.07660256410256405,4.0_5.0,0.6363636363636364,1.0_2.0,0.16363864177421372,RI
XGBoost,0.8013998250218722,1.0_2.0,0.10109265734265735,4.0_5.0,0.4545454545454546,1.0_2.0,0.14872270466233875,RI
LogisticRegression,0.7308319738988581,2.0_1.0,0.052238805970149294,2.0_3.0,1.0,1.0_2.0,0.17891142384105962,WY
XGBoost,0.7797716150081566,1.0_2.0,0.07646380525304293,4.0_3.0,0.6666666666666666,1.0_2.0,0.06252539618041446,WY
LogisticRegression,0.7491587641480575,2.0_1.0,0.0447735572271295,4.0_5.0,0.4226190476190476,1.0_2.0,0.14071841440882055,WI
XGBoost,0.7958091159375956,1.0_2.0,0.05196404915620763,4.0_5.0,0.2976190476190476,1.0_2.0,0.1333665353677126,WI
LogisticRegression,0.7733394202236932,2.0_1.0,0.07896519434980975,3.0_4.0,0.13909774436090228,1.0_2.0,0.1251096295491413,OR
XGBoost,0.800273910066195,1.0_2.0,0.04439702951232585,3.0_4.0,0.3609022556390978,1.0_2.0,0.10810061516627517,OR
LogisticRegression,0.7856197617997354,2.0_1.0,0.08559686393525545,3.0_5.0,0.3215094339622641,1.0_2.0,0.12168824206434004,TN
